player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Tommy Tremble,84025,TE,CAR,1,2,0,5,4.0,0,0.0,,0,0,,0,-0.95,0,0,,57.3,0,0,0.0,0,2,0.0,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0,0.0,0,100.0,,0,0,0.0,0,0.43,0,0,64.7,54.8,0,2,0.0,0,5,60.0,1,100.0,5,79.2,1,20.0,0,2,2,2.0,2.0,0.4
Jeremy Ruckert,84029,TE,NYJ,1,2,0,22,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,4.0,0,100.0,,0,0,0.0,0,0.16,0,0,64.7,77.9,0,9,45.5,5,11,40.0,1,54.5,6,104.2,1,16.7,0,9,5,5.0,9.0,1.5
Elijah Higgins,98027,TE,ARZ,1,2,0,1,,0,,,0,0,,0,-0.68,0,0,,,0,0,100.0,1,1,0.0,0,0.0,0,0.0,0,,0,0,0,,,,0,3.0,1,100.0,,0,0,0.0,0,0.7,1,0,68.3,71.5,0,9,0.0,0,16,93.8,2,100.0,16,102.1,2,12.5,0,17,11,5.5,8.5,1.06
Greg Dulcich,84068,TE,MIA,1,2,0,17,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,9.0,0,100.0,100.0,1,1,0.0,0,0.47,1,0,68.3,69.8,0,21,10.0,1,10,50.0,2,90.0,9,116.7,2,22.2,0,24,6,3.0,12.0,2.67
Dont'e Thornton Jr.,146547,WR,LV,1,2,0,23,,0,,,0,0,,0,-1.1,0,0,,57.7,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,10.0,0,50.0,,0,0,0.0,0,-0.32,1,0,64.7,69.7,1,11,0.0,0,6,33.3,1,100.0,6,27.1,2,33.3,0,11,12,12.0,11.0,1.83
Rashid Shaheed,63707,WR,SEA,1,2,0,29,6.0,0,100.0,,0,0,0.0,0,0.48,0,0,64.7,57.5,0,7,0.0,0,5,75.0,1,80.0,4,95.8,1,25.0,0,7,1,1.0,7.0,1.75,0,5.0,0,0.0,0.0,0,1,,0,0.02,0,0,,54.0,0,0,0.0,0,11,45.5,0,100.0,11,39.6,1,9.1,0,0,0,,,0.0
John Bates,42275,TE,WAS,1,2,0,32,0.0,0,100.0,,0,0,0.0,0,-1.19,0,0,64.7,55.2,0,2,33.3,2,6,16.7,1,66.7,4,79.2,1,25.0,0,2,2,2.0,2.0,0.5,0,0.0,0,100.0,,0,0,0.0,0,0.29,0,0,64.7,51.1,0,7,14.3,2,14,57.1,1,85.7,12,95.8,1,8.3,0,7,7,7.0,7.0,0.58
Greg Dortch,42237,WR,ARZ,1,2,0,1,,0,,,0,0,,0,-2.36,0,0,,57.1,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,-0.11,1,0,68.3,66.6,0,11,0.0,0,10,60.0,2,100.0,10,95.8,2,20.0,0,14,16,8.0,7.0,1.4
Kareem Hunt,11841,HB,KC,1,2,0,16,0.0,0,100.0,,0,0,0.0,0,1.16,1,0,64.7,69.8,0,22,11.1,1,9,75.0,1,77.8,7,118.8,1,14.3,0,22,22,22.0,22.0,3.14,0,-1.0,0,0.0,,0,0,,0,0.27,0,0,,52.7,0,0,6.3,1,16,46.7,0,87.5,14,39.6,1,7.1,0,0,0,,,0.0
Calvin Austin III,61418,WR,PIT,1,2,0,25,19.0,0,0.0,0.0,0,1,,0,-1.14,0,0,,56.2,0,0,0.0,0,3,0.0,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,,0,,,0,0,,0,0.97,0,0,,54.9,0,0,0.0,0,6,83.3,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
