player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Terrell Suggs,1326,ED,KC,18,37,0,16,0,,,2.6,,,0,0,,64.1,0,,,0,0,0.0,0,5,13.5,196,4,0,0,0,0,0,0.0,,0,4,4.4,100.0,10.2,3.8,3.8,0,0,0.0,28.4,0,37,28.6,2,0,118.8,8,30,81.1,295,2,1,8,0,136,101,4.5,17.0
Mike Adams,1972,S,HST,6,96,0,13,0,8.5,50.0,100.0,44.0,22.0,0,0,0.0,64.5,0,8,0.0,0,0,100.0,1,48,50.0,48,0,3,2,1,8,4,0.2,8.0,0,1,-2.0,100.0,100.0,41.0,41.0,0,0,0.0,70.6,0,3,0.0,0,0,79.2,1,42,43.8,42,1,1,1,0,3,5,0.1,3.0
Thomas Davis Sr.,2231,LB,LAC,16,402,0,27,0,8.0,100.0,83.3,13.5,13.5,0,0,0.0,29.6,0,27,0.0,0,0,118.8,2,30,7.5,36,1,1,2,0,47,31,1.7,23.5,0,7,3.9,73.4,96.4,7.0,5.1,0,3,4.7,59.1,0,24,21.2,11,2,91.1,47,345,85.8,358,14,34,64,1,347,261,1.1,7.4
Lorenzo Alexander,2476,ED,BUF,17,92,0,4,0,10.5,50.0,18.7,17.0,8.5,1,1,50.0,71.6,0,8,50.0,1,1,100.0,1,20,21.7,107,3,1,2,1,8,1,0.5,8.0,0,4,2.7,93.3,35.1,4.4,4.1,0,1,6.7,61.5,0,15,0.0,0,1,94.7,14,67,72.8,191,5,10,15,0,101,66,1.6,7.2
Johnathan Joseph,2969,CB,HST,14,412,0,13,0,14.1,54.3,100.0,8.6,4.7,2,9,25.7,64.0,1,60,13.3,2,8,90.3,19,174,42.2,174,2,13,35,2,301,78,1.8,15.8,0,4,10.4,70.0,99.1,7.3,5.1,0,3,7.5,62.0,0,48,15.8,6,2,93.4,28,218,52.9,220,9,28,40,0,317,132,1.5,11.3
Domata Peko Sr.,3068,DI,BLT,8,2,0,3,0,,,3.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,32,0,0,0,0,0,0,0.0,,0,0,,,3.2,,,0,0,,61.2,0,,100.0,1,0,0.0,0,1,50.0,31,0,0,0,0,0,0,0.0,
Antoine Bethea,3152,S,NYG,16,650,0,21,0,11.3,66.7,97.8,103.5,69.0,0,1,33.3,59.3,0,7,17.6,3,1,75.7,2,223,34.3,228,1,14,3,0,13,8,0.1,6.5,0,2,12.2,71.4,99.5,24.9,17.8,0,4,19.0,64.9,1,45,14.0,6,4,133.4,15,393,60.5,395,6,35,21,4,321,129,0.9,21.4
Tramon Williams,3558,CB,GB,18,539,0,12,0,9.7,47.1,97.8,20.9,9.8,2,5,29.4,68.1,0,61,0.0,0,4,73.2,8,179,33.2,183,1,6,17,0,130,75,0.8,16.3,0,5,8.3,72.7,98.1,9.5,6.9,0,3,6.8,73.2,1,43,7.4,2,1,105.0,32,314,58.3,320,8,20,44,2,387,164,1.3,12.1
Eric Weddle,3653,S,LA,16,614,0,26,4,5.3,100.0,98.4,25.4,25.4,0,0,0.0,58.3,0,16,5.6,1,0,149.1,7,190,30.9,193,0,13,7,2,72,44,0.4,10.3,0,6,8.3,73.7,99.5,25.0,18.4,1,3,15.8,69.2,0,18,4.8,2,2,106.0,14,373,60.7,375,8,34,19,1,114,94,0.3,8.1
Dominique Rodgers-Cromartie,4330,CB,WAS,2,33,0,32,1,7.2,80.0,100.0,2.8,2.2,0,0,0.0,31.1,0,16,0.0,0,0,106.7,4,11,33.3,11,0,1,5,0,48,16,4.4,12.0,0,0,7.0,100.0,100.0,9.0,9.0,0,0,0.0,53.2,0,10,33.3,1,0,104.2,2,18,54.5,18,0,2,2,0,18,4,1.0,9.0
