player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Austin Reiter,9655,C,KC,19,2,16,79.2,1,7,757,100.0,100.0,99.1,8,11,3,835,835,77.8,1,5,265,100.0,100.0,98.5,7,1,312,312
Mitchell Schwartz,7041,T,KC,19,1,16,84.3,5,16,756,100.0,100.0,98.6,5,21,0,834,834,76.8,5,12,267,100.0,100.0,96.8,17,0,314,314
Jake Matthews,8641,T,ATL,16,0,2,84.9,3,17,753,100.0,100.0,97.6,5,28,8,808,808,78.8,2,13,363,100.0,100.0,96.3,21,6,392,392
Alex Mack,4944,C,ATL,16,0,2,76.3,8,19,748,100.0,100.0,97.9,2,29,2,803,803,60.4,8,15,361,100.0,100.0,96.3,25,2,390,390
Kaleb McGary,46912,T,ATL,16,0,2,52.8,13,23,711,99.9,99.9,95.6,0,49,13,764,765,44.4,8,18,349,100.0,100.0,92.6,39,13,377,377
Billy Turner,8702,G,GB,18,0,12,54.8,6,37,707,100.0,100.0,95.7,0,52,9,764,764,42.0,2,26,278,100.0,100.0,92.8,34,6,308,308
Isaac Seumalo,10713,G,PHI,17,0,24,70.1,5,32,715,100.0,100.0,96.7,0,42,5,763,763,64.3,2,21,272,100.0,100.0,94.7,26,3,291,291
Jason Kelce,6343,C,PHI,17,1,24,67.6,4,29,715,100.0,100.0,97.4,2,35,2,763,763,61.0,1,17,273,100.0,100.0,96.3,19,1,292,292
David Bakhtiari,7891,T,GB,18,0,12,89.8,8,27,705,100.0,100.0,97.2,5,37,2,762,762,80.5,4,22,276,100.0,100.0,94.6,28,2,306,306
Ryan Jensen,7985,C,TB,16,0,30,85.0,3,11,707,100.0,100.0,98.9,0,15,1,751,751,82.0,2,6,349,100.0,100.0,98.6,9,1,373,373
Ali Marpet,9494,G,TB,16,1,30,80.6,8,13,707,100.0,100.0,98.2,3,23,2,751,751,73.1,6,11,349,100.0,100.0,97.0,19,2,373,373
Nick Martin,10684,C,HST,18,2,13,82.3,2,10,703,100.0,100.0,98.7,4,15,3,748,748,83.0,1,4,278,100.0,100.0,98.4,7,2,300,300
Germain Ifedi,10665,T,SEA,18,1,29,63.3,6,39,687,100.0,100.0,95.7,3,52,7,744,744,55.7,6,25,271,100.0,100.0,92.1,37,6,296,296
Taylor Moton,11819,T,CAR,16,2,5,79.0,3,21,707,100.0,100.0,97.6,3,29,5,736,736,74.5,3,15,300,100.0,100.0,95.3,23,5,309,309
Andrew Norwell,9126,G,JAX,16,2,15,74.2,5,20,684,100.0,100.0,97.7,4,28,3,736,736,70.1,5,15,346,100.0,100.0,96.5,22,2,377,377
Brandon Linder,8728,C,JAX,16,2,15,80.9,0,12,683,100.0,100.0,99.1,5,12,0,735,735,78.5,0,9,345,100.0,100.0,98.7,9,0,376,376
Jawaan Taylor,41665,T,JAX,16,1,15,69.0,4,28,683,100.0,100.0,96.3,9,41,9,735,735,60.9,2,27,345,100.0,100.0,93.8,36,7,376,376
Laurent Duvernay-Tardif,8834,G,KC,17,1,16,68.6,2,22,662,100.0,100.0,97.7,1,27,3,734,734,61.6,1,14,242,100.0,100.0,96.1,17,2,286,286
Joe Thuney,10712,G,NE,17,0,19,88.0,4,12,685,100.0,100.0,98.7,0,17,1,732,732,83.5,2,6,262,100.0,100.0,98.5,8,0,285,285
Matt Paradis,8841,C,CAR,16,1,5,43.8,4,40,703,100.0,100.0,96.4,3,47,3,731,731,26.5,3,26,295,100.0,100.0,94.1,32,3,304,304
Will Hernandez,46180,G,NYG,16,0,21,72.5,6,23,681,100.0,100.0,97.6,2,31,2,728,728,75.6,4,13,342,100.0,100.0,97.2,18,1,368,368
Trey Hopkins,9276,C,CIN,16,0,7,71.5,3,20,673,100.0,100.0,97.7,0,27,4,720,720,62.6,3,14,308,100.0,100.0,96.6,19,2,329,329
Bobby Hart,9659,T,CIN,16,1,7,68.7,3,29,669,100.0,100.0,96.7,3,38,6,715,715,65.8,1,22,305,100.0,100.0,94.9,27,4,326,326
Andrew Whitworth,3000,T,LA,16,1,26,84.7,3,25,662,100.0,100.0,97.7,11,29,1,710,710,76.6,1,21,281,100.0,100.0,95.7,23,1,306,306
