player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Greg Mabin,12068,CB,CIN,4,9,,9.0,7,0,39.6,0,1,0,0,0,0.0
John Johnson III,11847,S,LA,6,30,,15.0,26,0,39.6,0,2,0,0,0,0.0
Sam Hubbard,48457,ED,CIN,6,10,,10.0,7,0,39.6,0,1,0,0,0,0.0
Tyler Matakevich,10880,LB,PIT,1,1,,1.0,25,0,39.6,0,1,0,0,0,0.0
Miles Killebrew,10745,LB,DET,3,5,,5.0,11,0,39.6,0,1,0,0,0,0.0
Ryan Smith,10742,CB,TB,1,4,,4.0,30,0,39.6,0,1,0,0,0,0.0
Isaac Yiadom,49355,CB,DEN,5,8,,8.0,10,0,39.6,0,1,0,0,0,0.0
Dominique Rodgers-Cromartie,4330,CB,WAS,1,1,,1.0,32,0,39.6,0,1,0,0,0,0.0
Johnson Bademosi,7374,CB,NO,2,7,,7.0,20,0,39.6,0,1,0,0,0,0.0
Johnathan Cyprien,7814,S,ATL,2,2,,2.0,2,0,39.6,0,1,0,0,0,0.0
Matthew Slater,4467,WR,NE,1,1,,1.0,19,0,39.6,0,1,0,0,0,0.0
Simeon Thomas,51583,CB,WAS,6,11,,11.0,32,0,39.6,0,1,0,0,0,0.0
C.J. Mosley,8652,LB,NYJ,2,2,,2.0,22,0,39.6,0,1,0,0,0,0.0
Elandon Roberts,10848,LB,NE,3,3,,1.5,19,0,39.6,0,2,0,0,0,0.0
Darius Phillips,49507,CB,CIN,3,13,,13.0,7,0,39.6,0,1,0,0,0,0.0
Alex Okafor,7885,ED,KC,2,3,,3.0,16,0,39.6,0,1,0,0,0,0.0
David Long Jr.,27377,CB,LA,4,20,,20.0,26,0,39.6,0,1,0,0,0,0.0
Justin Hardee,18348,CB,NO,1,2,,2.0,20,0,39.6,0,1,0,0,0,0.0
Kyle Wilber,7113,LB,OAK,4,5,,2.5,23,0,39.6,0,2,0,0,0,0.0
Andrew Adams,11240,S,TB,10,26,,26.0,30,0,39.6,0,1,0,0,0,0.0
Holton Hill,50414,CB,MIN,5,9,,9.0,18,0,39.6,0,1,0,0,0,0.0
Duke Shelley,49569,CB,CHI,3,3,,3.0,6,0,39.6,0,1,0,0,0,0.0
Jermaine Grace,12081,ED,ATL,1,1,,1.0,2,0,39.6,0,1,0,0,0,0.0
Albert McClellan,6022,LB,NYJ,1,2,,2.0,22,0,39.6,0,1,0,0,0,0.0
Jaquiski Tartt,9479,S,SF,15,85,85.0,12.1,28,0,39.6,1,7,0,12,10,0.14
Minkah Fitzpatrick,51206,S,PIT,13,52,52.0,26.0,25,0,95.8,1,2,1,3,1,0.06
Sidney Jones IV,11798,CB,PHI,4,41,41.0,10.3,24,0,49.0,1,4,0,21,15,0.51
Amani Hooker,51378,S,TEN,13,37,37.0,9.3,31,0,39.6,1,4,0,12,1,0.32
Malcolm Butler,9040,CB,TEN,8,36,36.0,12.0,31,0,56.3,1,3,0,19,9,0.53
Tony Jefferson,8361,S,BLT,5,34,34.0,34.0,3,0,104.2,1,1,0,9,0,0.26
Alexander Johnson,15267,LB,DEN,11,30,30.0,30.0,10,0,79.2,1,1,0,2,0,0.07
Marcus Maye,11794,S,NYJ,16,90,30.0,11.3,22,0,112.0,3,8,1,75,20,0.83
Troy Hill,9881,CB,LA,11,27,27.0,27.0,26,0,116.7,1,1,0,12,12,0.44
Will Redmond,10702,S,GB,8,27,27.0,13.5,12,0,95.8,1,2,1,3,0,0.11
Earl Thomas III,5539,S,BLT,15,51,25.5,25.5,3,0,118.8,2,2,0,39,11,0.76
Juan Thornhill,50426,S,KC,16,93,23.3,11.6,16,1,24.0,4,8,0,38,17,0.41
Orlando Scandrick,4457,CB,PHI,3,46,23.0,11.5,24,0,61.5,2,4,0,17,4,0.37
Neville Hewitt,9836,LB,NYJ,8,23,23.0,3.8,22,0,39.6,1,6,0,11,5,0.48
Micah Hyde,7941,S,BUF,17,114,22.8,12.7,4,1,67.6,5,9,1,47,32,0.41
Jabrill Peppers,11780,S,NYG,11,64,21.3,10.7,21,0,76.4,3,6,0,47,9,0.73
Malcolm Jenkins,4937,S,PHI,17,185,20.6,10.9,24,0,63.4,9,17,0,70,46,0.38
Quandre Diggs,9633,S,SEA,11,41,20.5,13.7,29,1,61.1,2,3,0,31,32,0.76
Rayshawn Jenkins,11868,S,LAC,13,20,20.0,20.0,27,0,83.3,1,1,0,4,0,0.2
Jalen Mills,10867,CB,PHI,6,20,20.0,4.0,24,0,39.6,1,5,0,13,17,0.65
Jimmy Smith,6179,CB,BLT,8,20,20.0,4.0,3,0,79.2,1,5,1,4,0,0.2
Trayvon Mullen,41968,CB,OAK,10,20,20.0,10.0,23,0,56.3,1,2,0,6,1,0.3
Duron Harmon,7872,S,NE,9,20,20.0,10.0,19,1,16.7,1,2,0,4,2,0.2
Jalen Ramsey,10639,CB,LA,11,59,19.7,11.8,26,1,28.3,3,5,0,19,4,0.32
Tashaun Gipson Sr.,7288,S,HST,13,77,19.3,12.8,13,0,103.5,4,6,0,66,29,0.86
Eddie Jackson,11867,S,CHI,16,134,19.1,8.4,6,0,52.9,7,16,0,55,35,0.41
Jordan Poyer,8000,S,BUF,14,55,18.3,13.8,4,0,99.0,3,4,0,33,11,0.6
Duke Dawson,51576,CB,DEN,10,182,18.2,14.0,10,0,102.1,10,13,0,112,57,0.62
Anthony Harris,9895,S,MIN,16,109,18.2,15.6,18,0,87.5,6,7,0,35,17,0.32
Curtis Riley,10109,S,OAK,8,18,18.0,9.0,23,0,135.4,1,2,1,35,11,1.94
B.W. Webb,7896,CB,CIN,13,106,17.7,9.6,7,0,74.4,6,11,0,71,36,0.67
Luke Kuechly,7015,LB,CAR,14,52,17.3,17.3,5,0,108.3,3,3,0,30,31,0.58
Keion Crossen,49454,CB,HST,4,17,17.0,17.0,13,0,118.8,1,1,0,25,22,1.47
Ken Webster,12955,CB,MIA,6,17,17.0,8.5,17,0,56.3,1,2,0,1,4,0.06
Will Harris,51336,S,DET,13,51,17.0,12.8,11,0,133.3,3,4,1,28,4,0.55
Ryan Lewis,12017,CB,MIA,7,17,17.0,4.3,17,0,39.6,1,4,0,11,5,0.65
Kenny Vaccaro,7796,S,TEN,19,118,16.9,9.1,31,0,96.3,7,13,1,74,18,0.63
Darqueze Dennard,8659,CB,CIN,9,235,16.8,9.0,7,0,68.4,14,26,0,134,76,0.57
Kevin Byard,10698,S,TEN,19,145,16.1,11.2,31,2,85.1,9,13,2,79,19,0.54
Darian Thompson,10705,S,DAL,6,32,16.0,16.0,9,0,102.1,2,2,0,17,8,0.53
Karl Joseph,10648,S,OAK,7,32,16.0,16.0,23,0,118.8,2,2,0,39,9,1.22
Rodney McLeod,7271,S,PHI,17,95,15.8,8.6,24,0,63.8,6,11,0,43,23,0.45
Jamal Adams,11761,S,NYJ,14,78,15.6,13.0,22,0,138.9,5,6,1,47,5,0.6
Mike Ford,50535,CB,DET,6,31,15.5,6.2,11,0,100.0,2,5,1,30,5,0.97
Charvarius Ward,43034,CB,KC,14,31,15.5,10.3,16,0,109.7,2,3,1,4,2,0.13
Damarious Randall,9463,S,CLV,11,61,15.3,7.6,8,0,67.2,4,8,0,45,22,0.74
Dont'a Hightower,7030,LB,NE,9,15,15.0,7.5,19,0,56.3,1,2,0,5,4,0.33
Joe Thomas,9272,LB,DAL,12,30,15.0,10.0,9,0,70.1,2,3,0,6,0,0.2
Sheldrick Redwine,50458,S,CLV,7,30,15.0,15.0,8,0,79.2,2,2,0,5,14,0.17
Tarvarius Moore,49178,S,SF,6,15,15.0,15.0,28,0,100.0,1,1,0,8,10,0.53
Shaun Dion Hamilton,49706,LB,WAS,10,15,15.0,15.0,32,0,100.0,1,1,0,8,10,0.53
Eric Murray,10740,CB,CLV,8,162,14.7,10.1,8,0,88.5,11,16,0,112,45,0.69
Justin Simmons,10732,S,DEN,16,102,14.6,6.8,10,2,13.9,7,15,0,32,23,0.31
Ronnie Harrison,49206,S,JAX,12,42,14.0,8.4,15,0,103.7,3,5,0,62,20,1.48
Clay Matthews,4949,ED,LA,11,14,14.0,14.0,26,0,118.8,1,1,0,19,5,1.36
D.J. Hayden,7793,CB,JAX,15,335,14.0,8.8,15,0,76.1,24,38,0,195,110,0.58
Chris Payton-Jones,49339,CB,ARZ,5,14,14.0,7.0,1,0,93.8,1,2,0,24,0,1.71
Tae Hayes,35173,CB,MIA,2,14,14.0,3.5,17,0,62.5,1,4,0,34,5,2.43
Dylan Cole,24304,LB,HST,5,14,14.0,14.0,13,0,83.3,1,1,0,4,0,0.29
Brandon Wilson,11962,S,CIN,7,28,14.0,14.0,7,0,118.8,2,2,0,31,18,1.11
Samson Ebukam,11880,ED,LA,8,14,14.0,7.0,26,0,56.3,1,2,0,5,8,0.36
Kamalei Correa,10676,ED,TEN,8,14,14.0,14.0,31,0,112.5,1,1,0,11,6,0.79
Tramaine Brock Sr.,5903,CB,TEN,17,232,13.6,8.6,31,0,116.1,17,27,2,239,108,1.03
Eric Rowe,9480,CB,MIA,16,175,13.5,7.6,17,0,95.7,13,23,1,177,74,1.01
Nickell Robey-Coleman,8483,CB,LA,16,431,13.5,8.1,26,0,80.1,32,53,1,272,144,0.63
Cameron Sutton,11850,CB,PIT,16,107,13.4,7.1,25,0,63.8,8,15,0,62,17,0.58
Brian Poole,11052,CB,NYJ,14,417,13.0,8.2,22,1,72.1,32,51,1,237,131,0.57
Ryan Connelly,49840,LB,NYG,4,13,13.0,13.0,21,0,87.5,1,1,0,5,0,0.38
Donte Jackson,49377,CB,CAR,6,13,13.0,13.0,5,0,118.8,1,1,0,18,4,1.38
Joe Schobert,10733,LB,CLV,13,39,13.0,5.6,8,0,89.9,3,7,1,16,14,0.41
Darnell Savage,34247,S,GB,16,143,13.0,10.2,12,1,90.8,11,14,1,101,36,0.71
Jermaine Carter,28838,LB,CAR,5,13,13.0,13.0,5,0,95.8,1,1,0,7,9,0.54
Kevin Johnson,9449,CB,BUF,9,91,13.0,8.3,4,0,97.9,7,11,0,113,51,1.24
Anthony Averett,50365,CB,BLT,6,26,13.0,6.5,3,0,82.3,2,4,0,37,15,1.42
Tramon Williams,3558,CB,GB,18,388,12.9,8.1,12,1,85.9,30,48,1,385,198,0.99
Jimmie Ward,8665,S,SF,15,102,12.8,9.3,28,0,143.2,8,11,2,108,29,1.06
Devin McCourty,5552,S,NE,15,64,12.8,12.8,19,0,139.6,5,5,1,40,27,0.63
Denzel Ward,49558,CB,CLV,12,38,12.7,5.4,8,0,82.4,3,7,0,75,19,1.97
Emmanuel Moseley,50430,CB,SF,9,38,12.7,7.6,28,0,85.4,3,5,0,40,17,1.05
Chandon Sullivan,49349,CB,GB,11,89,12.7,5.9,12,1,41.0,7,15,0,100,38,1.12
C.J. Gardner-Johnson,49371,S,NO,15,214,12.6,7.4,20,1,83.8,17,29,2,169,84,0.79
Phillip Gaines,8722,CB,HST,2,25,12.5,6.3,13,0,113.5,2,4,1,29,2,1.16
Nick Vigil,10721,LB,CIN,15,50,12.5,7.1,7,0,79.5,4,7,0,50,12,1.0
Quinton Dunbar,10073,CB,WAS,9,25,12.5,6.3,32,1,27.1,2,4,0,22,7,0.88
Blidi Wreh-Wilson,7851,CB,ATL,8,25,12.5,8.3,2,0,137.5,2,3,1,29,11,1.16
Jordan Whitehead,49196,S,TB,14,99,12.4,9.0,30,0,131.3,8,11,1,101,24,1.02
Benardrick McKinney,9476,LB,HST,14,49,12.3,12.3,13,0,106.3,4,4,0,38,21,0.78
