player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,14,61,61,4.31,41.89,47.77,9.0,1,1,5,15,1,60.5,22,64,6,1,50.8,279,31,62,262.97,2555,4,2914
Dustin Colquitt,2316,P,KC,19,56,56,4.38,40.39,44.13,5.0,2,0,12,16,16,60.7,26,68,1,0,39.3,109,22,58,245.26,2262,5,2471
Sam Koch,3148,P,BLT,16,41,41,4.19,40.88,46.32,9.5,1,0,5,11,3,66.8,21,62,6,0,36.6,143,15,42,171.68,1676,4,1899
Brett Kern,4580,P,TEN,19,93,93,4.22,42.82,47.32,9.1,0,0,11,21,31,88.9,45,70,22,0,35.5,299,33,93,392.2,3982,6,4401
Kevin Huber,5066,P,CIN,16,75,75,4.31,42.11,45.25,5.4,0,0,9,30,7,63.9,32,63,6,0,33.3,136,25,75,323.15,3158,5,3394
Thomas Morstead,5088,P,NO,17,65,65,4.31,43.02,46.14,7.0,0,0,7,24,20,70.2,34,64,7,0,40.0,183,26,65,279.96,2796,1,2999
Britton Colquitt,5192,P,MIN,17,74,74,4.48,42.5,45.81,7.5,0,0,10,26,18,74.4,28,61,7,0,40.5,225,30,74,331.48,3145,1,3390
Matt Bosher,6344,P,ATL,3,9,9,4.61,40.78,41.89,5.0,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377
Chris Jones,6798,P,DAL,16,50,50,4.48,37.7,41.58,8.6,1,0,9,18,9,68.7,18,58,3,0,36.0,154,18,51,224.14,1885,2,2079
Bryan Anger,7072,P,HST,15,53,53,4.45,44.25,46.17,3.1,0,0,10,20,13,72.9,31,71,1,0,37.7,62,20,53,235.66,2345,2,2447
Johnny Hekker,7252,P,LA,16,66,66,4.31,42.95,47.3,8.1,1,0,10,14,26,69.4,26,69,14,0,34.8,187,23,67,284.72,2835,5,3122
Sam Martin,7947,P,DET,16,76,76,4.33,41.79,45.33,4.4,0,0,13,22,11,60.2,31,62,5,0,38.2,129,29,76,329.01,3176,7,3445
Ryan Allen,8242,P,ATL,8,28,28,3.91,37.5,41.86,7.8,0,0,5,8,2,62.2,14,59,4,0,28.6,62,8,28,109.54,1050,3,1172
Tress Way,8358,P,WAS,16,79,79,4.36,44.11,49.61,9.1,0,0,12,19,32,71.3,31,79,5,0,49.4,354,39,79,344.77,3485,4,3919
Pat O'Donnell,8826,P,CHI,16,80,80,4.23,41.24,44.83,7.1,1,0,13,26,6,55.3,27,75,4,1,43.8,247,35,81,338.38,3299,2,3586
Kasey Redfern,9155,P,ATL,3,9,9,4.41,36.89,41.22,7.8,0,0,0,3,2,60.2,3,54,1,0,55.6,39,5,9,39.68,332,0,371
Michael Palardy,9277,P,CAR,16,75,75,4.33,38.73,46.03,12.2,0,0,7,16,5,59.7,28,62,9,0,53.3,487,40,75,324.9,2905,3,3452
Bradley Pinion,9598,P,TB,16,57,57,4.48,38.28,43.23,8.9,0,0,9,18,30,70.6,23,63,2,0,43.9,222,25,57,255.33,2182,3,2464
Ty Long,9728,K,LAC,15,48,48,4.06,40.92,47.0,7.6,0,0,3,8,27,52.8,20,60,2,0,68.8,252,33,48,195.01,1964,2,2256
Matt Wile,9972,P,ATL,2,6,6,4.53,44.67,48.33,5.5,0,0,0,0,2,63.7,3,60,2,0,66.7,22,4,6,27.16,268,0,290
Jordan Berry,10236,P,PIT,16,74,74,4.44,40.85,45.51,9.1,0,0,12,24,25,64.0,27,69,5,0,39.2,265,29,74,328.33,3023,4,3368
Riley Dixon,10862,P,NYG,16,69,69,4.35,43.51,46.06,5.7,2,0,17,17,21,67.0,32,62,9,0,34.8,136,24,71,300.03,3002,2,3178
Lachlan Edwards,10869,P,NYJ,16,87,87,4.19,41.63,45.87,7.0,0,0,18,13,22,57.7,30,63,9,0,50.6,309,44,87,364.16,3622,3,3991
Ka'imi Fairbairn,11161,K,HST,1,1,1,3.88,26.0,26.0,,0,0,0,0,13,60.0,1,26,1,0,0.0,0,0,1,3.88,26,0,26
Zane Gonzalez,11979,K,ARZ,1,2,2,4.25,42.0,42.0,,0,0,1,1,1,59.7,0,44,0,0,0.0,0,0,2,8.49,84,0,84
Rigoberto Sanchez,12130,P,IND,16,59,59,4.33,41.24,44.39,5.9,0,0,9,15,14,73.4,25,60,6,0,47.5,166,28,59,255.51,2433,1,2619
Matt Haack,12212,P,MIA,16,69,69,4.3,41.1,44.97,7.8,0,0,12,20,17,60.1,27,62,6,0,42.0,227,29,69,296.82,2836,2,3103
Cameron Johnston,12255,P,PHI,17,74,74,4.21,42.38,46.32,6.4,0,0,9,21,24,54.9,34,61,7,0,44.6,212,33,74,311.63,3136,4,3428
Austin Seibert,13701,K,CLV,1,1,1,3.57,37.0,37.0,,0,0,1,0,8,60.0,1,37,0,0,0.0,0,0,1,3.57,37,0,37
Corey Bojorquez,27626,P,BUF,17,83,83,4.52,38.12,42.07,8.8,1,0,14,27,4,67.8,36,67,15,0,22.9,168,19,84,375.35,3164,8,3492
Logan Cooke,29214,P,JAX,16,75,75,4.42,44.53,46.76,5.3,0,0,11,26,15,70.2,29,66,12,0,32.0,127,24,75,331.3,3340,2,3507
Ryan Winslow,30026,P,ARZ,2,6,6,4.15,44.17,48.5,1.5,0,0,1,0,1,53.8,2,55,0,0,66.7,6,4,6,24.88,265,1,291
Jake Bailey,33963,P,NE,17,86,86,4.38,41.08,44.98,6.3,0,0,12,20,19,71.9,41,65,18,0,32.6,175,28,86,376.77,3533,8,3868
Michael Dickson,35381,P,SEA,18,81,81,4.39,41.07,45.26,6.3,0,0,10,22,29,64.6,41,64,8,0,43.2,219,35,81,355.9,3327,6,3666
AJ Cole,36038,P,OAK,16,67,67,4.27,39.45,45.99,10.6,0,0,8,20,23,58.9,35,74,3,1,44.8,318,30,67,286.08,2643,6,3081
