player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
TreVeyon Henderson,145059,HB,NE,1,6,0,19,-1.0,0,100.0,,0,0,0.0,0,-1.16,0,0,64.7,61.0,0,-1,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,-1,0,0.0,-1.0,-1.0,0,-3.0,0,100.0,,0,0,0.0,0,0.36,0,0,73.4,65.9,0,13,0.0,0,17,52.9,5,100.0,17,87.5,5,29.4,0,25,40,8.0,5.0,1.47
Ricky Pearsall,100660,WR,SF,1,6,0,28,22.0,0,100.0,100.0,1,1,0.0,0,1.34,1,0,64.7,76.5,0,24,0.0,0,7,83.3,1,85.7,6,118.8,1,16.7,0,24,2,2.0,24.0,4.0,0,20.5,0,50.0,0.0,0,1,0.0,0,0.21,2,0,68.3,74.5,1,45,0.0,0,18,56.3,2,88.9,16,56.3,4,25.0,0,58,11,5.5,29.0,3.63
Marvin Harrison Jr.,145056,WR,ARZ,1,6,0,1,,0,,,0,0,,0,-0.72,0,0,,52.4,0,0,0.0,0,10,25.0,0,80.0,8,0.0,0,0.0,0,0,0,,,0.0,0,17.8,0,75.0,100.0,1,1,0.0,0,0.44,1,0,70.5,73.3,0,45,0.0,0,19,61.1,3,94.7,18,116.7,4,22.2,0,58,11,3.7,19.3,3.22
Sterling Shepard,10674,WR,TB,1,6,0,30,15.7,0,33.3,,0,0,0.0,0,-0.05,1,0,64.7,67.5,0,10,0.0,0,7,33.3,1,85.7,6,43.8,3,50.0,0,10,1,1.0,10.0,1.67,0,9.0,0,50.0,,0,0,0.0,0,0.13,1,0,64.7,61.1,0,10,0.0,0,19,36.8,1,100.0,19,64.6,2,10.5,0,10,8,8.0,10.0,0.53
Jake Ferguson,61081,TE,DAL,1,6,0,9,5.0,0,100.0,100.0,1,1,0.0,0,0.12,0,0,64.7,52.2,0,5,0.0,0,10,62.5,1,80.0,8,87.5,1,12.5,0,5,0,0.0,5.0,0.63,0,11.0,0,50.0,0.0,0,1,0.0,0,0.6,0,0,64.7,51.9,0,3,7.7,1,13,54.5,1,76.9,10,56.3,2,20.0,0,3,4,4.0,3.0,0.3
David Njoku,11784,TE,CLV,1,5,0,8,,0,,,0,0,,0,-0.38,0,0,,50.9,0,0,0.0,0,13,30.8,0,100.0,13,0.0,0,0.0,0,0,0,,,0.0,0,11.3,2,33.3,50.0,1,2,0.0,0,0.29,1,0,64.7,81.0,0,17,8.3,1,12,60.0,1,75.0,9,53.5,3,33.3,0,17,12,12.0,17.0,1.89
Amon-Ra St. Brown,84470,WR,DET,1,5,0,11,5.0,0,100.0,,0,0,0.0,0,0.52,1,0,64.7,70.5,0,9,0.0,0,4,75.0,1,100.0,4,104.2,1,25.0,0,9,4,4.0,9.0,2.25,0,9.8,0,75.0,,0,0,0.0,0,0.08,3,0,70.5,70.4,1,19,0.0,0,33,50.0,3,97.0,32,62.5,4,12.5,0,36,2,0.7,12.0,1.13
Nico Collins,61441,WR,HST,1,5,0,13,12.0,0,66.7,50.0,1,2,0.0,0,0.02,0,0,68.3,69.9,0,14,0.0,0,7,28.6,2,100.0,7,82.6,3,42.9,0,18,1,0.5,9.0,2.57,0,-0.5,0,50.0,,0,0,0.0,0,-0.02,0,0,64.7,52.8,0,7,0.0,0,25,54.5,1,88.0,22,58.3,2,9.1,0,7,10,10.0,7.0,0.32
Demario Douglas,104155,WR,NE,1,5,0,19,9.0,0,50.0,100.0,1,1,0.0,0,0.05,1,0,64.7,71.2,0,2,0.0,0,5,40.0,1,100.0,5,95.8,2,40.0,1,2,0,0.0,2.0,0.4,0,6.5,0,0.0,,0,0,100.0,1,-0.04,0,0,27.9,44.5,0,0,0.0,0,34,36.4,0,97.1,33,39.6,2,6.1,0,0,0,,,0.0
Hunter Renfrow,47509,WR,CAR,1,5,0,5,15.0,0,0.0,0.0,0,1,,0,-1.24,0,0,,54.3,0,0,0.0,0,6,25.0,0,66.7,4,39.6,1,25.0,0,0,0,,,0.0,0,16.0,0,33.3,50.0,1,2,0.0,0,0.15,1,0,64.7,58.2,0,6,0.0,0,24,43.5,1,95.8,23,42.4,3,13.0,0,6,0,0.0,6.0,0.26
Ja'Marr Chase,84270,WR,CIN,1,5,0,7,19.0,0,0.0,0.0,0,2,,0,-0.46,0,0,,52.4,0,0,0.0,0,9,22.2,0,100.0,9,39.6,2,22.2,0,0,0,,,0.0,0,4.0,1,100.0,,0,0,0.0,0,-0.05,0,0,64.7,62.5,0,6,0.0,0,16,46.7,1,93.8,15,91.7,1,6.7,0,6,2,2.0,6.0,0.4
Saquon Barkley,45791,HB,PHI,1,5,0,24,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,-1.0,2,80.0,,0,0,20.0,1,0.23,2,0,41.6,64.0,0,8,8.0,2,25,60.0,4,92.0,23,86.7,5,21.7,0,24,27,6.8,6.0,1.04
Jayden Reed,78171,WR,GB,1,5,0,12,24.5,0,50.0,0.0,0,1,50.0,1,0.58,1,0,28.8,63.6,0,17,0.0,0,8,50.0,1,100.0,8,118.8,2,25.0,1,17,0,0.0,17.0,2.13,0,7.7,0,66.7,,0,0,0.0,0,0.33,1,0,68.3,72.2,0,26,0.0,0,4,25.0,2,100.0,4,96.5,3,75.0,0,28,15,7.5,14.0,7.0
DJ Moore,48267,WR,CHI,1,5,0,6,,0,,,0,0,,0,0.86,0,0,,55.6,0,0,0.0,0,5,66.7,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0,0,16.0,0,33.3,100.0,1,1,0.0,0,-0.37,0,0,64.7,53.7,0,5,0.0,0,25,37.5,1,96.0,24,42.4,3,12.5,0,5,0,0.0,5.0,0.21
JuJu Smith-Schuster,11817,WR,KC,1,5,0,16,,0,,,0,0,,0,0.84,0,0,,53.8,0,0,0.0,0,8,62.5,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,0,6.3,3,100.0,,0,0,0.0,0,0.43,1,0,72.1,72.6,0,16,0.0,0,22,61.9,4,95.5,21,117.7,4,19.0,0,49,24,6.0,12.3,2.33
Zach Ertz,7816,TE,WAS,1,5,0,32,10.5,0,0.0,0.0,0,1,100.0,1,0.2,0,0,27.9,41.2,0,0,0.0,0,12,50.0,0,83.3,10,39.6,2,20.0,0,0,0,,,0.0,0,7.5,0,100.0,,0,0,0.0,0,0.27,1,0,68.3,60.2,0,11,0.0,0,19,52.9,2,89.5,17,106.3,2,11.8,0,19,4,2.0,9.5,1.12
Malik Washington,97108,WR,MIA,1,5,0,17,19.0,0,0.0,,0,0,,0,-0.09,0,0,,45.8,0,0,0.0,0,7,28.6,0,100.0,7,39.6,1,14.3,0,0,0,,,0.0,0,9.0,1,33.3,,0,0,0.0,0,-0.03,1,0,64.7,60.1,1,11,0.0,0,16,56.3,1,100.0,16,5.6,3,18.8,0,11,15,15.0,11.0,0.69
Jameson Williams,101701,WR,DET,1,5,0,11,3.0,0,100.0,,0,0,0.0,0,0.52,1,0,64.7,70.3,0,11,0.0,0,4,75.0,1,100.0,4,112.5,1,25.0,0,11,8,8.0,11.0,2.75,0,6.7,0,66.7,,0,0,0.0,0,0.07,1,0,68.3,52.1,0,5,0.0,0,34,48.5,2,97.1,33,70.1,3,9.1,0,8,0,0.0,4.0,0.24
D'Andre Swift,57212,HB,CHI,1,5,0,6,,0,,,0,0,,0,0.89,0,0,,54.5,0,0,16.7,1,6,75.0,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,1,66.7,,0,0,0.0,0,-0.3,1,0,70.5,70.5,0,8,13.6,3,22,38.1,2,81.8,18,70.1,3,16.7,0,9,16,8.0,4.5,0.5
