player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Amon-Ra St. Brown,84470,WR,DET,1,14,0,11,2.0,1,100.0,100.0,1,1,0.0,0,1.65,1,0,64.7,78.1,0,4,0.0,0,1,100.0,1,100.0,1,122.9,1,100.0,1,4,2,2.0,4.0,4.0,0,6.0,0,70.0,0.0,0,1,0.0,0,0.0,2,0,75.6,59.2,0,19,0.0,0,32,46.9,7,100.0,32,116.2,10,31.3,1,54,18,2.6,7.7,1.69
Chris Olave,84355,WR,NO,1,13,0,20,4.5,0,100.0,,0,0,0.0,0,0.1,1,0,68.3,61.1,0,11,0.0,0,18,57.1,2,77.8,14,108.3,2,14.3,0,20,11,5.5,10.0,1.43,0,21.7,0,70.0,50.0,2,4,12.5,1,-0.17,5,0,52.1,86.5,0,47,0.0,0,35,45.7,7,100.0,35,112.5,10,28.6,0,140,10,1.4,20.0,4.0
Matthew Golden,156165,WR,GB,1,12,0,12,,0,,,0,0,,0,-0.98,0,0,,60.0,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,10.7,1,83.3,,0,0,0.0,0,0.23,4,0,73.4,79.6,0,42,0.0,0,29,48.3,5,100.0,29,118.8,6,20.7,0,90,32,6.4,18.0,3.1
Trey McBride,75916,TE,ARZ,1,12,0,1,1.7,2,66.7,50.0,1,2,0.0,0,0.5,2,0,68.3,69.8,0,7,0.0,0,9,62.5,2,88.9,8,111.1,3,37.5,1,10,10,5.0,5.0,1.25,0,8.7,1,77.8,50.0,1,2,0.0,0,0.29,4,0,75.6,83.3,0,27,3.8,1,26,64.0,7,92.3,24,106.0,9,37.5,0,85,25,3.6,12.1,3.54
Jaxon Smith-Njigba,129758,WR,SEA,1,11,0,29,6.7,0,0.0,0.0,0,1,,0,-0.47,0,0,,53.5,0,0,0.0,0,10,22.2,0,90.0,9,39.6,3,33.3,0,0,0,,,0.0,0,6.6,2,100.0,100.0,1,1,0.0,0,0.59,4,0,75.6,94.1,0,45,0.0,0,14,57.1,7,100.0,14,158.3,7,50.0,1,109,63,9.0,15.6,7.79
Nico Collins,61441,WR,HST,1,10,0,13,9.0,0,100.0,100.0,1,1,0.0,0,0.05,0,0,64.7,69.5,0,9,0.0,0,8,42.9,1,87.5,7,104.2,1,14.3,0,9,0,0.0,9.0,1.29,0,15.0,1,40.0,100.0,1,1,33.3,1,0.04,2,0,36.8,58.3,0,12,0.0,0,26,39.1,2,88.5,23,92.5,5,21.7,1,21,7,3.5,10.5,0.91
Puka Nacua,100632,WR,LA,1,9,0,26,0.0,0,100.0,100.0,1,1,0.0,0,-0.91,0,0,70.5,59.6,0,5,0.0,0,5,20.0,3,100.0,5,80.6,3,60.0,0,10,10,3.3,3.3,2.0,0,22.0,0,33.3,,0,0,0.0,0,-0.26,1,0,64.7,64.9,0,23,0.0,0,11,25.0,1,72.7,8,61.8,3,37.5,0,23,5,5.0,23.0,2.88
Jalen Coker,143068,WR,CAR,1,9,0,5,13.0,1,66.7,100.0,1,1,0.0,0,-0.18,2,0,68.3,66.6,1,14,0.0,0,20,33.3,2,90.0,18,88.2,3,16.7,1,22,6,3.0,11.0,1.22,0,16.6,2,100.0,,0,0,0.0,0,0.6,3,0,73.4,91.5,0,51,0.0,0,18,55.6,5,100.0,18,158.3,5,27.8,1,103,20,4.0,20.6,5.72
Malik Nabers,146759,WR,NYG,1,9,0,21,11.5,0,50.0,,0,0,0.0,0,0.56,0,0,64.7,57.3,0,8,0.0,0,4,75.0,1,100.0,4,60.4,2,50.0,0,8,0,0.0,8.0,2.0,0,12.6,1,60.0,0.0,0,1,0.0,0,0.6,3,0,70.5,71.6,0,16,0.0,0,17,70.6,3,100.0,17,89.6,5,29.4,0,45,9,3.0,15.0,2.65
Jameson Williams,101701,WR,DET,1,9,0,11,,0,,,0,0,,0,1.65,0,0,,59.0,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,15.3,0,37.5,50.0,1,2,25.0,1,0.0,2,0,36.2,60.9,0,22,0.0,0,32,46.9,3,100.0,32,53.1,8,25.0,0,38,1,0.3,12.7,1.19
