player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Travis Kelce,7844,TE,KC,1,0,16,62.0,0,0,1,3.7,3.6,100.0,0,0,0,1,28,,0,0,0,0.0,0.0,,0,0,0,11
Nick Muse,61079,TE,ATL,1,0,2,70.2,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Jayden Reed,78171,WR,GB,1,0,12,66.1,0,0,1,3.3,3.3,100.0,0,0,0,1,30,66.1,0,0,1,7.7,7.7,100.0,0,0,1,13
Ryan McCollum,41974,C,PIT,1,0,25,63.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Jonah Coleman,158717,HB,DEN,1,0,10,70.4,0,0,1,100.0,100.0,100.0,0,0,0,1,1,70.4,0,0,1,100.0,100.0,100.0,0,0,1,1
Yahya Black,129460,DI,PIT,1,0,25,63.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Ko Kieft,41372,TE,TB,1,0,30,67.2,0,0,0,,100.0,,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Blake Corum,129574,HB,LA,1,0,26,68.8,0,0,1,33.3,25.0,100.0,0,0,0,1,4,,0,0,0,0.0,0.0,,0,0,0,2
Zak Zinter,129605,G,CLV,1,0,8,68.7,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Robert Tonyan,12193,TE,PIT,1,0,25,67.6,0,0,1,100.0,50.0,100.0,0,0,0,1,2,,0,0,0,,0.0,,0,0,0,1
Theo Johnson,129787,TE,NYG,1,0,21,69.6,0,0,1,6.3,6.3,100.0,0,0,0,1,16,,0,0,0,0.0,0.0,,0,0,0,6
Erick All,52595,TE,CIN,1,0,7,69.6,0,0,1,14.3,14.3,100.0,0,0,0,1,7,,0,0,0,0.0,0.0,,0,0,0,1
Kenyon Sadiq,174132,TE,NYJ,1,0,22,65.9,0,0,0,0.0,7.7,,0,0,0,1,13,,0,0,0,0.0,0.0,,0,0,0,7
Riley Nowakowski,129928,FB,PIT,1,0,25,69.2,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,,,,0,0,0,0
Harold Fannin Jr.,163104,TE,CLV,1,0,8,66.9,0,0,1,4.0,3.7,100.0,0,0,0,1,27,,0,0,0,0.0,0.0,,0,0,0,16
Jake Tonges,60864,TE,SF,1,0,28,67.1,0,0,1,16.7,16.7,100.0,0,0,0,1,6,,0,0,0,0.0,0.0,,0,0,0,3
Chris Boswell,8990,K,PIT,1,0,25,63.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Max Iheanachor,171881,T,PIT,1,0,25,66.5,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Drew Ogletree,138351,TE,IND,1,0,14,66.3,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,,,,0,0,0,0
Kaelon Black,138448,HB,SF,1,0,28,66.3,0,0,1,7.7,7.7,100.0,0,0,0,1,13,,0,0,0,0.0,0.0,,0,0,0,5
