player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jordan van den Berg,145085,DI,CHI,1,0,0,6,54.3,0,0,11,100.0,0.0,0,0,0.0,0,12,12,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Cashius Howell,145655,ED,CIN,1,0,0,7,60.8,0,1,15,100.0,13.3,2,0,3.3,0,16,16,1,0,51.8,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Thomas Incoom,145694,ED,CAR,1,0,0,5,54.9,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,59.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Oluwafemi Oladejo,146302,ED,TEN,1,0,0,31,60.8,0,1,6,100.0,16.7,1,0,8.3,0,6,6,1,0,66.0,0,1,3,100.0,33.3,1,16.7,0,3,3,1
Kaleb Elarms-Orr,146306,LB,BUF,1,0,0,4,55.9,0,0,1,33.3,0.0,0,0,0.0,0,6,2,0,0,55.9,0,0,1,50.0,0.0,0,0.0,0,4,2,0
Carson Schwesinger,146401,LB,CLV,1,0,0,8,55.8,1,0,2,8.0,0.0,0,0,25.0,0,25,2,1,0,,0,0,0,0.0,,0,,0,9,0,0
Cole Bishop,146454,S,BUF,1,0,0,4,67.4,0,1,2,4.9,50.0,1,0,25.0,0,41,2,1,0,67.4,0,1,2,10.0,50.0,1,25.0,0,20,2,1
Jonah Elliss,146458,ED,DEN,1,0,0,10,60.2,1,1,17,85.7,5.9,1,0,5.9,0,21,18,2,0,62.5,0,0,4,100.0,0.0,0,0.0,0,5,5,0
Jaden Hicks,146512,S,KC,1,0,0,16,55.7,0,1,2,5.7,0.0,0,0,25.0,0,35,2,1,0,58.3,0,0,1,5.6,0.0,0,0.0,0,18,1,0
Jeffrey Bassa,146552,LB,KC,1,0,0,16,70.1,0,1,1,50.0,100.0,1,0,50.0,0,2,1,1,0,70.1,0,1,1,100.0,100.0,1,50.0,0,1,1,1
Dallas Turner,146604,ED,MIN,1,0,0,18,90.4,6,2,33,86.8,24.2,8,0,15.2,1,38,33,9,0,90.9,3,1,11,84.6,54.5,6,18.2,0,13,11,4
Lee Hunter,146676,DI,CAR,1,0,0,5,80.7,0,2,15,100.0,6.7,1,0,6.7,0,16,16,2,0,90.7,0,1,2,100.0,50.0,1,25.0,0,3,3,1
Javon Bullard,146726,S,GB,1,0,0,12,59.7,0,0,1,4.0,0.0,0,2,0.0,0,25,1,0,0,59.7,0,0,1,5.9,0.0,0,0.0,0,17,1,0
Tyrion Ingram-Dawkins,146730,DI,MIN,1,0,0,18,58.7,0,2,28,96.6,7.1,2,0,3.6,0,29,28,2,0,58.9,0,1,13,100.0,7.7,1,3.8,0,13,13,1
Maason Smith,146774,DI,ATL,1,1,0,2,85.0,0,3,23,100.0,17.4,4,0,6.5,0,26,26,3,1,71.7,0,1,14,100.0,14.3,2,3.6,0,16,16,1
Sai'vion Jones,146782,DI,DEN,1,0,0,10,57.5,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Landon Jackson,146784,ED,BUF,1,0,0,4,61.0,0,0,7,100.0,14.3,1,0,0.0,0,8,8,0,0,68.4,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Byron Young,146932,ED,LA,1,0,0,26,57.4,0,2,23,85.7,8.7,2,0,4.3,0,28,24,2,0,62.7,0,2,11,92.3,18.2,2,9.1,0,13,12,2
Albert Regis,147009,DI,JAX,1,0,0,15,55.7,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Josaiah Stewart,147092,ED,LA,1,0,0,26,60.3,1,0,10,76.9,0.0,0,0,5.0,0,13,10,1,0,55.0,0,0,3,75.0,0.0,0,0.0,0,4,3,0
