player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Benjamin St-Juste,56061,CB,GB,1,0,0,,0,0,12,0,0,,60.0,61.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Reed Blankenship,56065,S,HST,1,0,0,100.0,0,0,13,0,0,40.4,41.1,76.7,,65.0,83.1,0,0,0,0,43,0.0,0,0,0,158.3,6,0,0,15,0,33,51,2,0,0,2,0,20,49,0,18,14,4,6,0,6,0,1,110,53,18.3
DaRon Bland,56158,CB,DAL,1,2,0,80.0,0,0,9,0,0,58.5,60.1,77.1,,62.8,81.1,0,0,0,0,15,0.0,0,0,0,137.9,4,0,0,11,58,34,69,0,0,0,0,0,0,69,0,35,0,5,6,0,5,0,1,38,2,9.5
Keisean Nixon,56167,CB,GB,1,0,0,60.0,0,0,12,0,0,68.3,78.4,77.0,85.7,83.4,79.0,1,0,0,1,17,0.0,0,0,0,41.7,3,1,0,9,54,32,65,2,0,0,2,0,0,63,2,31,0,3,4,1,5,2,0,35,2,11.7
Christian Braswell,56207,CB,JAX,1,0,0,,0,0,15,0,0,63.5,64.3,70.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,6,3,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,
Quentin Lake,56245,S,LA,1,1,0,70.0,0,0,26,0,0,89.8,78.8,72.4,58.7,47.6,67.6,0,0,0,1,13,9.1,1,2,0,43.3,7,0,0,29,0,36,65,1,0,0,1,0,12,64,1,28,23,0,9,0,10,0,0,54,27,7.7
Jaylon Johnson,56259,CB,CHI,1,1,0,71.4,0,1,6,0,0,41.5,44.8,77.8,60.0,66.7,36.7,0,0,0,0,48,25.0,1,0,0,113.7,5,0,0,1,62,44,65,0,0,0,0,0,0,65,1,20,2,0,2,0,7,0,0,127,38,25.4
Elijah Molden,56290,S,LAC,1,1,0,,0,0,27,0,0,66.8,71.5,78.3,,67.3,84.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,34,53,0,0,0,0,0,47,53,0,19,1,1,4,0,0,0,0,0,0,
A.J. Epenesa,56369,ED,PHI,1,0,0,100.0,0,0,24,0,0,63.9,60.1,73.3,53.5,60.4,70.5,0,0,0,0,5,0.0,0,0,0,87.5,1,0,0,0,0,3,12,10,0,0,9,1,0,2,4,5,2,0,1,0,1,0,0,5,10,5.0
Chase Young,56436,ED,NO,1,0,1,,0,0,20,0,0,62.1,57.2,4.4,77.0,44.8,72.8,1,1,0,0,,,0,0,1,0.0,0,0,0,0,0,5,59,59,0,0,58,1,0,0,27,27,0,0,0,0,0,2,0,0,0,
Patrick Johnson,56460,ED,LV,1,0,0,,0,0,23,0,0,,59.9,73.0,55.4,61.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,
T.J. Slaton,56597,DI,CIN,1,0,0,,0,0,7,1,0,61.1,50.6,0.0,52.6,59.9,66.8,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,21,21,8,12,0,1,0,0,14,7,0,1,1,0,0,0,0,0,0,
Malik Herring,56616,ED,MIA,1,0,0,,0,0,17,0,0,,41.8,77.1,49.8,45.9,23.8,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,32,32,0,1,15,16,0,0,17,15,0,1,1,1,0,0,0,0,0,
Milton Williams,56682,DI,NE,1,1,0,,0,0,19,0,0,,49.8,0.0,54.2,62.6,69.6,0,3,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,33,33,0,26,0,7,0,0,20,13,0,2,2,0,0,3,0,0,0,
Jonathan Ford,56705,DI,GB,1,0,0,,0,0,12,0,0,,54.6,0.0,67.5,60.4,71.3,1,0,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,28,28,13,15,0,0,0,0,9,19,0,1,3,0,0,2,0,0,0,
Kwity Paye,56713,ED,LV,1,0,0,,0,0,23,0,0,60.5,77.6,77.8,69.3,72.3,73.1,2,3,0,0,,0.0,0,0,0,0.0,0,3,0,0,0,2,32,32,0,0,20,12,0,0,24,6,0,5,2,1,0,8,0,0,0,
Jordan Elliott,56734,DI,TEN,1,1,0,,0,0,31,0,0,,34.7,74.4,62.4,33.4,66.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,21,21,0,16,0,5,0,0,9,12,0,0,0,0,0,0,0,0,0,
Javon Kinlaw,56834,DI,WAS,1,0,0,,0,0,32,0,0,,62.0,76.7,51.5,67.2,28.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,32,32,0,20,8,4,0,0,16,16,0,2,2,1,0,1,0,0,0,
Arnold Ebiketie,56862,ED,PHI,1,0,0,,0,0,24,0,0,41.2,43.3,76.5,49.1,61.2,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,2,28,28,0,0,27,1,0,0,15,11,0,1,2,0,0,0,0,0,0,
Micheal Clemons,56872,ED,IND,1,1,0,,0,0,14,0,0,,64.2,74.3,61.6,62.0,67.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,1,7,4,2,0,0,8,6,0,0,0,0,0,1,0,0,0,
Jaelan Phillips,56902,ED,CAR,1,1,0,100.0,0,0,5,0,0,64.6,69.6,79.1,68.3,61.3,74.2,0,3,0,0,7,0.0,0,0,0,95.8,1,1,0,1,0,4,58,56,0,2,53,1,0,2,29,25,1,3,2,0,1,4,0,7,11,7.0
Dayo Odeyingbo,56923,ED,CHI,1,0,0,,0,0,6,0,0,,47.4,0.0,62.9,58.2,69.2,1,4,0,0,,0.0,0,0,2,0.0,0,0,0,0,0,0,43,43,0,5,27,11,0,0,30,13,0,0,1,0,0,5,0,0,0,
James Lynch,56962,DI,CHI,1,0,0,,0,0,6,0,0,60.0,36.6,0.0,50.8,48.9,71.4,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,22,22,0,1,13,8,0,0,15,7,0,1,2,0,0,0,0,0,0,
Cory Durden,56976,DI,NE,1,1,0,,0,0,19,0,0,62.2,41.3,77.0,60.3,31.6,69.0,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,28,28,9,19,0,0,0,0,14,14,0,0,1,0,0,1,0,0,0,
Brandon Pili,57036,DI,SEA,1,0,0,,0,0,29,0,0,,30.1,70.6,,38.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
Jack Gibbens,57662,LB,ARZ,1,2,0,100.0,0,0,1,0,0,58.5,61.7,74.1,73.4,59.6,61.7,0,0,0,0,13,11.1,1,0,0,152.1,3,1,0,43,0,35,54,2,0,0,2,0,0,52,3,16,9,2,6,0,3,1,1,33,22,11.0
D'Marco Jackson,57691,LB,CHI,1,0,0,,0,0,6,0,0,63.8,41.5,73.0,54.6,39.8,73.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,5,20,10,0,0,10,0,0,10,4,11,2,2,2,0,0,0,0,0,0,
Jalen Pitre,57737,S,HST,1,2,0,100.0,0,0,13,0,0,82.3,76.0,74.8,58.8,53.8,78.4,0,0,0,0,3,0.0,0,1,0,79.2,2,0,0,20,0,36,57,8,0,0,8,0,3,49,1,20,26,3,4,0,2,0,0,5,15,2.5
Terrel Bernard,57739,LB,BUF,1,2,0,75.0,0,0,4,1,0,58.3,72.6,74.5,52.8,84.7,83.9,0,0,0,0,35,0.0,0,0,0,108.3,3,0,0,73,0,42,79,5,0,0,5,0,0,74,6,31,1,6,11,2,4,0,0,42,34,14.0
Isaiah McDuffie,57754,LB,GB,1,0,0,,0,0,12,0,0,60.0,60.9,64.2,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Nate Landman,57788,LB,LA,1,0,0,87.5,0,0,26,0,0,58.3,47.3,74.6,60.0,37.3,54.6,1,0,0,0,14,12.5,1,1,0,88.0,7,0,0,63,0,36,64,0,0,0,0,0,0,64,0,28,1,4,7,0,8,1,0,41,44,5.9
Ventrell Miller,57809,LB,JAX,1,1,0,100.0,0,1,15,0,0,92.1,92.4,74.2,79.7,62.7,59.2,0,1,0,0,5,11.1,1,0,0,79.2,2,1,0,31,0,14,33,1,0,0,1,0,0,32,4,15,1,5,7,1,2,2,0,6,6,3.0
James Houston,57810,ED,DAL,1,1,0,,0,0,9,0,0,,37.9,71.9,58.3,44.5,70.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,2,8,0,0,0,0,0,0,0,0,0,
Robert Beal Jr.,57840,ED,MIA,1,0,0,,0,0,17,0,0,,66.9,75.4,56.3,66.7,67.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,0,1,11,2,0,0,3,11,0,0,1,0,0,0,0,0,0,
Del'Shawn Phillips,57868,LB,LAC,1,2,0,100.0,0,0,27,0,0,51.0,70.0,74.4,65.1,78.3,52.0,1,0,0,0,17,16.7,1,0,0,112.5,2,0,0,38,0,16,41,0,0,0,0,0,0,41,3,22,3,2,3,0,2,1,0,22,11,11.0
Patrick Queen,57941,LB,PIT,1,5,0,66.7,0,0,25,0,0,37.0,46.7,76.4,,64.6,32.3,0,0,0,0,7,18.2,2,0,0,74.3,2,0,0,53,0,28,60,3,0,0,3,0,0,57,0,32,4,2,4,0,3,0,0,12,12,6.0
K'Lavon Chaisson,57945,ED,WAS,1,0,0,50.0,0,0,32,0,0,36.5,37.3,78.3,52.2,51.6,21.7,2,1,0,0,10,100.0,1,0,0,64.6,1,0,0,1,0,6,42,40,0,0,40,0,0,2,22,14,1,0,0,0,2,3,0,10,4,10.0
Willie Gay,57987,LB,MIA,1,2,0,100.0,0,0,17,0,0,56.6,53.4,75.4,58.8,53.4,74.1,0,0,0,0,12,0.0,0,0,0,116.7,1,0,0,16,0,15,41,22,0,0,22,0,0,19,1,25,3,0,0,0,1,0,0,12,8,12.0
Pete Werner,58093,LB,NO,1,6,0,100.0,0,0,20,0,0,73.1,71.2,73.7,,60.6,82.5,0,0,0,0,7,0.0,0,1,0,88.9,3,0,0,37,0,23,40,2,0,0,2,0,0,38,0,17,1,1,3,1,3,0,0,16,5,5.3
Baron Browning,58095,ED,ARZ,1,0,0,,0,0,1,0,0,65.6,63.3,76.6,58.9,59.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,9,27,24,0,0,24,0,0,3,11,7,3,0,0,0,0,0,0,0,0,
Derrick Barnes,58120,LB,DET,1,2,0,71.4,0,0,11,0,0,84.9,73.4,79.4,65.1,42.5,53.2,0,1,0,1,22,16.7,1,1,0,48.2,5,1,0,38,0,43,77,19,0,0,19,0,0,58,14,20,20,3,3,0,7,2,0,44,22,8.8
Devin Lloyd,58238,LB,CAR,1,3,0,77.8,0,0,5,0,0,36.7,31.9,77.7,60.4,42.1,45.3,0,3,0,0,22,13.3,2,0,0,130.6,7,0,0,63,0,31,74,9,0,0,9,0,0,65,8,35,2,4,10,0,9,3,1,58,5,8.3
Michael Carter II,60644,CB,PHI,1,0,0,,0,0,24,0,0,61.8,63.1,69.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,1,5,6,1,0,0,1,0,3,5,0,1,0,0,0,0,0,0,0,0,0,
James Pierre,60649,CB,MIN,1,0,0,0.0,0,0,18,0,0,77.1,78.3,74.0,,60.0,79.0,0,0,0,1,,0.0,0,1,0,0.0,0,0,0,1,19,22,23,0,0,0,0,0,3,23,0,1,0,0,3,0,2,0,0,0,0,
Grant Delpit,60685,S,CLV,1,0,0,33.3,0,0,8,0,0,62.1,54.3,75.1,,44.3,42.3,0,0,0,0,8,25.0,1,1,0,42.4,1,0,0,18,0,25,57,4,0,0,4,0,24,53,0,32,11,0,3,0,3,0,0,8,12,8.0
Malcolm Rodriguez,60731,LB,DET,1,1,0,100.0,0,0,11,0,0,78.0,83.1,71.8,54.3,73.9,56.3,1,1,0,0,0,20.0,1,0,0,79.2,1,0,0,18,0,10,20,1,0,0,1,0,0,19,2,8,1,3,3,0,1,2,0,0,5,0.0
Garret Wallow,60761,LB,SF,1,0,0,100.0,1,0,28,0,0,31.0,46.1,69.0,,75.1,26.0,0,0,0,0,5,50.0,1,0,1,87.5,1,0,0,11,0,7,13,0,0,0,0,0,0,13,0,6,2,1,1,0,1,0,0,5,4,5.0
Keion White,60998,ED,SF,1,1,0,,0,0,28,1,0,60.0,69.4,78.7,61.1,58.8,67.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,30,27,0,12,15,0,0,3,15,15,0,0,0,0,0,1,0,0,0,
Dominique Robinson,61436,ED,HST,1,0,0,,0,0,13,0,0,,57.7,69.4,57.6,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Daiyan Henley,61500,LB,LAC,1,4,0,100.0,0,0,27,0,0,60.3,60.5,75.7,61.3,59.2,65.1,0,0,0,0,14,7.7,1,0,0,105.6,3,1,0,52,0,34,67,8,0,0,8,0,0,59,7,26,7,4,8,0,3,1,0,28,22,9.3
Tariq Woolen,61790,CB,PHI,1,0,0,20.0,0,0,24,0,0,66.9,67.9,77.1,,66.5,,0,0,0,0,1,,0,0,0,79.2,1,0,0,7,62,41,70,0,0,0,0,0,0,70,0,29,1,0,0,0,5,0,1,1,0,1.0
Christian Elliss,61853,LB,NE,1,1,0,100.0,0,0,19,0,0,28.1,31.0,75.3,51.4,69.7,34.2,0,0,0,0,45,28.6,2,0,0,158.3,6,0,0,42,0,23,49,4,0,0,4,0,3,45,5,21,0,2,4,0,6,0,1,98,52,16.3
Theo Jackson,62919,S,MIN,1,0,0,50.0,0,0,18,0,0,34.9,36.6,75.1,,66.1,79.4,0,0,0,0,23,0.0,0,0,0,91.7,1,0,0,10,0,25,43,1,0,0,1,0,28,42,0,18,4,0,2,0,2,0,0,23,7,23.0
Jack Cochrane,63345,LB,KC,1,0,0,0.0,0,0,16,0,0,60.0,71.2,69.1,,55.4,,0,0,0,0,,,0,0,0,39.6,0,0,0,3,0,1,5,1,0,0,1,0,0,4,0,4,1,0,0,0,1,0,0,0,0,
Winston Reid,63354,LB,CLV,1,0,0,,0,0,8,0,0,,61.0,64.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Ty Hamilton,66298,DI,LA,1,1,0,,0,0,26,0,0,,48.4,73.8,55.6,51.8,67.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,12,12,0,11,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,
Zyon McCollum,66769,CB,TB,1,1,0,50.0,0,0,30,0,0,58.5,60.1,77.2,,64.7,82.1,0,0,0,0,18,0.0,0,2,0,75.0,2,0,0,4,55,38,63,0,0,0,0,0,0,63,0,25,4,3,9,1,4,0,0,30,2,15.0
Kobie Turner,66894,DI,LA,1,1,1,,0,0,26,0,0,60.0,75.3,76.9,56.2,80.1,71.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,43,43,0,39,1,3,0,0,28,15,0,5,6,0,0,0,0,0,0,
Zach Sieler,66917,DI,MIA,1,0,0,,0,0,17,0,0,,41.1,77.2,65.0,35.1,70.1,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,48,48,4,32,0,12,0,0,22,26,0,2,3,2,0,2,0,0,0,
Dennis Gardeck,66928,LB,JAX,1,1,0,100.0,0,0,15,0,0,30.1,36.4,75.6,49.1,61.7,27.8,1,1,0,0,16,33.3,1,0,0,118.8,2,0,0,6,0,6,26,19,0,0,19,0,0,7,13,7,1,0,1,0,2,2,0,30,24,15.0
Jonathan Owens,66930,S,IND,1,0,0,,0,0,14,0,0,60.2,60.2,64.4,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,
Easton Mascarenas-Arnold,71410,LB,CLV,1,0,0,100.0,0,0,8,0,0,29.5,30.3,68.8,57.8,55.7,71.7,0,0,0,0,9,0.0,0,0,0,104.2,1,0,0,17,0,4,19,1,0,0,1,0,0,18,1,14,1,1,1,0,1,0,0,9,0,9.0
Trent McDuffie,72191,CB,LA,1,1,0,33.3,0,0,26,0,0,85.4,83.4,77.1,60.0,67.3,78.8,0,0,0,0,13,0.0,0,0,0,47.9,1,0,0,5,60,36,65,0,0,0,0,0,0,65,1,28,0,2,4,1,3,0,0,13,0,13.0
Evan Williams,73864,S,GB,1,1,0,,0,0,12,0,0,71.9,73.6,0.0,,73.3,85.4,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,19,0,34,65,1,0,0,1,0,42,64,0,31,3,1,6,0,0,0,0,0,0,
Jowon Briggs,74867,DI,NYJ,1,0,0,,0,0,22,0,0,,63.6,72.6,66.2,58.9,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,1,9,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,
Jonah Laulu,75763,DI,LV,1,0,0,,0,0,23,0,0,,42.9,74.2,55.4,44.9,,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,19,19,1,11,1,6,0,0,15,4,0,0,0,0,0,2,0,0,0,
Asante Samuel Jr.,76625,CB,PIT,1,0,0,50.0,0,0,25,0,0,56.5,48.2,0.0,,46.0,24.3,0,0,0,0,21,66.7,2,0,1,87.5,1,0,0,3,57,28,60,0,0,0,0,0,0,60,0,32,0,0,1,0,2,0,0,21,3,21.0
Andre Cisco,76641,S,NYJ,1,0,0,100.0,0,0,22,0,0,52.7,52.6,81.4,58.3,61.7,67.9,0,0,0,0,10,16.7,1,0,0,101.4,3,0,0,3,1,35,44,0,0,0,0,0,37,44,1,8,3,0,5,0,3,0,0,25,14,8.3
DJ Ivey,76670,CB,CIN,1,0,0,,0,0,7,0,0,63.3,64.1,69.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,4,4,6,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,
DeMarvion Overshown,76729,LB,DAL,1,3,0,100.0,0,0,9,0,0,28.2,29.4,0.0,64.0,63.5,37.1,0,1,0,0,16,25.0,2,0,1,145.8,4,0,0,46,0,22,51,2,0,0,2,0,0,49,4,25,3,1,3,0,4,1,1,38,13,9.5
Tyler Lacy,76836,ED,DET,1,0,0,,0,0,11,0,0,,65.4,74.4,62.9,61.7,69.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,15,15,0,7,3,5,0,0,11,4,0,0,1,0,0,0,0,0,0,
Will McDonald IV,76842,ED,NYJ,1,0,0,,0,0,22,0,0,60.3,80.7,78.0,80.8,59.5,69.2,0,4,0,0,,100.0,1,0,0,0.0,0,1,0,0,0,2,25,25,0,0,25,0,0,0,18,5,0,1,0,0,0,5,0,0,0,
Desjuan Johnson,76850,ED,LA,1,0,0,,0,0,26,0,0,,62.7,75.4,54.0,65.0,69.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,15,15,0,0,15,0,0,0,5,10,0,0,1,0,0,0,0,0,0,
Jalen Redmond,76861,DI,MIN,1,1,0,,0,0,18,0,0,59.5,71.2,78.5,53.5,81.4,70.4,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,51,51,1,45,5,0,0,0,34,16,0,1,3,0,0,2,0,0,0,
Greg Rousseau,76889,ED,BUF,1,0,0,0.0,0,2,4,0,0,77.2,84.5,79.1,78.6,58.7,74.2,4,1,0,0,,0.0,0,1,0,39.6,0,2,0,0,0,2,63,63,0,0,63,0,0,0,39,22,0,4,2,0,1,7,0,0,0,
Travis Jones,76914,DI,BLT,1,0,0,,0,0,3,0,0,62.7,77.4,75.9,63.3,68.9,70.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,2,29,0,0,0,0,17,14,0,4,4,2,0,2,0,0,0,
Logan Hall,76919,DI,HST,1,0,0,,0,0,13,0,0,,52.0,74.5,56.4,53.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,22,22,0,10,1,11,0,0,16,6,0,0,0,0,0,0,0,0,0,
Moro Ojomo,76927,DI,PHI,1,1,0,,0,0,24,0,0,60.0,57.0,77.2,50.5,51.5,27.6,0,4,0,0,,40.0,2,0,0,0.0,0,0,0,0,0,0,48,48,1,27,3,17,0,0,31,17,0,2,2,0,0,4,0,0,0,
Dante Stills,76937,DI,ARZ,1,0,1,,0,0,1,0,0,60.0,50.5,76.8,71.8,39.6,26.6,0,3,0,0,,,0,0,0,0.0,0,1,0,0,0,0,32,32,0,16,8,8,0,0,23,9,0,1,0,0,0,4,0,0,0,
Karl Brooks,76941,DI,GB,1,0,0,,0,0,12,0,0,,73.5,77.1,71.4,65.0,69.2,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,37,37,1,13,7,16,0,0,21,16,0,2,2,0,0,2,0,0,0,
Braden Fiske,76958,DI,LA,1,0,0,,0,0,26,0,0,,68.9,76.6,52.6,77.5,29.2,0,2,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,29,29,0,17,6,6,0,0,19,10,0,1,2,0,0,2,0,0,0,
Alim McNeill,76996,DI,DET,1,0,0,,0,0,11,0,0,59.5,62.3,79.7,59.4,64.0,26.3,0,2,0,0,,100.0,1,0,0,0.0,0,1,0,1,0,1,83,82,4,61,0,17,0,1,60,22,0,1,0,0,0,3,0,0,0,
Yasir Abdullah,77100,LB,ATL,1,0,0,,0,0,2,0,0,,69.2,66.9,68.3,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Payton Wilson,77127,LB,PIT,1,3,0,100.0,0,0,25,0,0,30.8,58.4,72.9,,85.9,35.6,0,0,0,0,24,25.0,3,0,0,110.8,5,0,0,51,0,28,57,1,0,0,1,0,0,56,0,29,5,4,6,1,5,0,0,53,63,10.6
Zaven Collins,77190,ED,ARZ,1,0,0,100.0,0,0,1,0,0,64.1,65.2,75.7,63.8,59.1,73.9,0,1,0,0,8,0.0,0,0,0,100.0,1,0,0,0,0,4,27,26,0,0,26,0,0,1,15,8,1,2,3,0,1,1,0,8,3,8.0
Nik Bonitto,77196,ED,DEN,1,0,0,0.0,0,0,10,0,0,60.0,59.1,75.7,54.8,62.1,72.8,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,0,0,1,36,36,0,0,36,0,0,0,19,16,0,2,2,0,1,0,0,0,0,
Tre'von Moehrig,77847,S,CAR,1,3,0,100.0,0,0,5,0,0,62.7,58.1,76.2,67.6,45.7,42.2,0,0,0,0,7,25.0,1,0,0,95.8,1,0,0,30,0,39,75,3,0,0,3,0,22,72,1,35,20,0,0,0,1,0,0,7,11,7.0
Ar'Darius Washington,77848,S,NYG,1,0,0,,0,0,21,0,0,60.0,60.0,62.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
Cobie Durant,79126,CB,DAL,1,0,0,33.3,0,1,9,0,0,73.4,70.6,76.9,,58.0,45.2,0,0,0,0,18,0.0,0,0,0,54.9,1,0,0,2,47,26,50,0,0,0,0,0,0,50,0,24,1,0,2,0,3,0,0,18,0,18.0
Christian Benford,79181,CB,BUF,1,1,0,66.7,0,0,4,0,0,33.1,32.5,78.4,,40.8,42.2,0,0,0,0,25,28.6,2,0,1,126.7,8,0,0,6,73,48,79,0,0,0,0,0,0,79,0,31,0,2,4,0,12,0,2,85,13,10.6
Nick Bolton,81322,LB,KC,1,1,1,,0,0,16,0,0,59.2,76.4,77.7,87.1,68.2,62.0,0,3,0,0,,20.0,1,0,0,0.0,0,0,0,44,0,25,51,3,0,0,3,0,1,48,10,16,3,0,3,0,0,3,0,0,0,
Ernest Jones,81399,LB,SEA,1,1,0,100.0,0,0,29,0,0,50.8,45.1,76.5,51.5,49.4,83.4,0,0,0,0,17,0.0,0,0,0,111.5,4,0,0,71,0,40,71,0,0,0,0,0,0,71,4,27,0,5,11,0,4,0,0,43,26,10.8
Brenton Cox Jr.,81957,ED,GB,1,0,0,100.0,0,0,12,0,0,52.0,56.9,0.0,67.7,68.1,74.2,0,3,0,0,5,0.0,0,0,1,87.5,1,0,0,1,0,6,27,25,0,0,25,0,0,2,12,9,1,3,4,0,1,3,0,5,6,5.0
Odafe Oweh,82161,ED,WAS,1,1,0,,0,0,32,0,0,62.5,53.7,77.5,55.2,52.6,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,3,46,46,0,0,46,0,0,0,27,16,0,2,1,1,0,1,0,0,0,
Thomas Booker IV,82168,DI,LV,1,1,0,,0,0,23,0,0,62.3,84.1,74.8,60.1,78.2,70.1,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,19,19,1,15,0,3,0,0,13,6,0,2,2,1,0,1,0,0,0,
Christian Barmore,82198,DI,NE,1,0,0,,0,0,19,0,0,,80.0,76.5,90.0,54.7,67.3,1,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,1,21,0,8,0,0,18,12,0,1,1,0,0,4,0,0,0,
Teair Tart,82261,DI,LAC,1,0,0,,0,0,27,0,0,,70.3,76.1,57.0,72.8,68.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,3,25,0,3,0,0,19,12,0,2,2,0,0,0,0,0,0,
Devonte Wyatt,82268,DI,GB,1,0,0,,0,0,12,0,0,,53.3,76.7,58.8,52.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,1,25,1,7,0,0,15,19,0,2,3,0,0,0,0,0,0,
Aidan Hutchinson,82330,ED,DET,1,2,0,100.0,0,0,11,0,0,63.6,90.2,82.2,87.4,72.5,75.1,2,6,0,0,6,0.0,0,0,0,91.7,1,2,0,0,1,3,75,74,0,0,74,0,0,1,53,19,0,4,2,0,1,10,0,6,1,6.0
Eku Leota,82363,ED,ARZ,1,0,0,,0,0,1,0,0,,54.6,71.9,54.3,60.0,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,6,2,0,0,0,0,0,1,0,0,0,
Cameron Thomas,82387,ED,ATL,1,0,0,,0,1,2,0,0,88.5,72.1,76.5,60.5,55.5,35.4,1,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,1,34,34,0,0,34,0,0,0,18,15,0,1,1,0,0,2,0,0,0,
