player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
B.J. Hill,49894,DI,CIN,1,0,0,,0,0,7,0,0,,33.1,0.0,56.8,43.3,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,24,24,1,16,1,6,0,0,15,9,0,0,0,0,0,0,0,0,0,
Sebastian Joseph-Day,49935,DI,PIT,1,0,0,,0,0,25,0,0,60.0,68.2,73.3,52.0,72.6,68.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,18,18,0,9,0,9,0,0,9,9,0,1,1,0,0,0,0,0,0,
Jerry Tillery,49949,DI,IND,1,0,0,,0,0,14,0,0,,53.8,76.7,66.6,51.0,69.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,36,36,2,32,1,1,0,0,10,26,0,2,3,0,0,0,0,0,0,
Broderick Washington,50049,DI,BLT,1,0,0,,0,0,3,0,0,61.3,38.4,75.0,53.7,29.5,67.3,0,0,0,0,,0.0,0,1,0,0.0,0,0,0,0,0,1,21,21,0,18,0,3,0,0,8,12,0,1,1,0,0,0,0,0,0,
Uchenna Nwosu,50084,ED,SEA,1,2,0,,0,0,29,0,0,91.6,76.7,76.4,50.4,66.5,37.1,0,5,0,0,,28.6,2,1,0,0.0,0,0,0,0,0,1,33,33,0,2,30,1,0,0,19,13,0,3,3,1,0,5,0,0,0,
John Franklin-Myers,50088,DI,TEN,1,0,0,,0,0,31,0,0,,52.7,78.0,52.8,55.4,34.1,0,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,40,40,0,8,16,16,0,0,17,23,0,3,3,0,0,1,0,0,0,
Josh Sweat,50120,ED,ARZ,1,0,0,,0,0,1,0,0,,40.4,77.3,49.3,44.2,69.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,29,29,0,0,29,0,0,0,23,6,0,1,1,1,0,0,0,0,0,
Ogbo Okoronkwo,50130,ED,SF,1,0,0,,0,0,28,0,0,,59.9,77.3,60.4,58.0,,1,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,18,18,0,0,18,0,0,0,12,6,0,0,0,0,0,3,0,0,0,
Jacob Martin,50152,ED,TEN,1,0,0,100.0,0,0,31,0,0,46.7,37.7,76.8,48.7,54.1,21.5,1,0,0,0,30,100.0,1,0,0,118.8,1,0,0,0,0,1,30,30,0,1,26,3,0,0,17,12,0,0,0,0,1,1,0,30,26,30.0
Malcolm Roach,50191,DI,DEN,1,0,1,,0,0,10,0,0,58.0,49.2,76.3,58.1,53.1,23.4,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,0,0,0,32,32,1,27,0,4,0,0,18,14,0,2,2,0,0,0,0,0,0,
