player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Quintin Morris,61182,TE,JAX,1,70.8,0,15,73.2,,79.6,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,24,0,7,0,0,17,22
Chris Moore,10741,WR,BLT,1,68.0,0,3,81.8,,69.4,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,25,0,8,0,0,17,0
Dak Prescott,10769,QB,DAL,1,29.3,0,9,79.7,,60.0,0,0,0,0.0,0.0,,1,0,0,17,0,0,0,58,0,41,0,0,17,0
Cooper Kupp,11824,WR,SEA,1,43.6,0,29,84.0,,51.1,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,39,0,22,0,0,17,1
Kendrick Bourne,12270,WR,ARZ,1,34.0,0,1,83.7,,71.9,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,50,0,33,0,0,17,3
Michael Pittman Jr.,29049,WR,PIT,1,28.8,0,25,60.3,,52.8,0,0,0,0.0,0.0,,1,0,0,17,0,0,0,59,0,42,0,0,17,0
Baker Mayfield,46518,QB,TB,1,29.8,0,30,50.2,,60.0,0,0,0,0.0,0.0,,1,0,0,17,0,0,0,57,0,39,0,0,17,0
Bryce Young,123943,QB,CAR,1,27.9,0,5,80.7,,60.0,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,61,0,44,0,0,17,0
Matthew Hibner,129581,TE,BLT,1,73.9,0,3,81.0,,70.5,0,0,0,0.0,0.0,,0,0,0,17,0,0,1,23,0,6,0,0,17,19
Theo Johnson,129787,TE,NYG,1,53.1,0,21,54.9,69.6,44.3,0,0,1,6.3,6.3,100.0,0,0,0,17,0,0,0,32,1,16,0,0,16,21
Parker Washington,129799,WR,JAX,1,48.6,0,15,90.9,,76.8,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,35,0,18,0,0,17,0
Terrance Ferguson,146563,TE,LA,1,54.8,0,26,56.5,65.9,65.4,0,0,1,7.1,6.7,100.0,0,0,0,17,0,0,0,31,1,15,0,0,16,22
Jahdae Walker,175944,WR,CHI,1,50.0,0,6,62.8,,66.9,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,34,0,17,0,0,17,0
Mitchell Evans,147486,TE,CAR,1,59.3,0,5,64.7,76.8,57.0,0,0,4,33.3,26.7,100.0,0,0,0,16,0,0,0,27,4,15,0,0,12,20
Justin Herbert,28237,QB,LAC,1,29.1,0,27,53.5,,60.0,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,55,0,39,0,0,16,0
T.J. Hockenson,40912,TE,MIN,1,37.2,0,18,66.3,68.1,61.9,0,0,2,8.0,6.9,100.0,0,0,0,16,0,0,0,43,2,29,0,0,14,24
Travis Etienne Jr.,57185,HB,NO,1,30.2,0,20,68.8,23.9,60.0,1,0,15,39.5,35.7,96.7,0,1,0,16,0,0,0,53,15,42,0,0,1,1
Emeka Egbuka,145055,WR,TB,1,32.7,0,30,73.3,71.9,49.7,0,0,2,5.9,5.7,100.0,0,0,0,16,0,0,0,49,2,35,0,0,14,1
Chigoziem Okonkwo,84000,TE,WAS,1,41.0,0,32,63.4,,63.3,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,39,0,23,0,0,16,22
Denzel Boston,162481,WR,CLV,1,34.0,0,8,67.6,,52.2,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,47,0,31,0,0,16,0
Charlie Kolar,60917,TE,LAC,1,53.3,0,27,54.6,74.0,68.8,0,0,3,20.0,17.6,100.0,1,0,0,16,0,0,0,30,3,17,0,0,13,22
Matthew Golden,156165,WR,GB,1,28.6,0,12,72.6,,80.8,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,56,0,40,0,0,16,0
Johnny Mundt,12206,TE,PHI,1,80.0,0,24,75.2,75.3,74.1,0,0,3,42.9,50.0,100.0,0,0,0,16,0,0,0,20,4,8,0,0,12,19
Jakobi Meyers,47468,WR,JAX,1,43.2,0,15,66.0,,49.6,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,37,0,20,0,0,16,0
Dalton Schultz,47304,TE,HST,1,30.8,0,13,62.5,78.5,59.7,0,0,2,5.9,7.7,100.0,0,0,0,16,0,0,0,52,3,39,0,0,13,22
Deshaun Watson,11767,QB,CLV,1,31.4,0,8,37.0,,60.0,0,0,0,0.0,0.0,,2,0,0,16,0,0,0,51,0,33,0,0,16,0
Elijah Higgins,98027,TE,ARZ,1,80.0,0,1,49.1,70.2,51.5,0,0,1,20.0,20.0,100.0,0,0,0,16,0,0,0,20,1,5,0,0,15,18
Harold Fannin Jr.,163104,TE,CLV,1,38.1,0,8,63.9,66.9,53.5,0,0,1,4.0,3.7,100.0,0,0,0,16,0,0,0,42,1,27,0,0,15,25
Stefon Diggs,9579,WR,WAS,1,36.4,0,32,61.0,,59.0,0,0,0,0.0,0.0,,1,0,0,16,0,0,0,44,0,28,0,0,16,0
Kyle Pitts,83964,TE,ATL,1,42.1,0,2,41.0,,31.3,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,38,0,22,0,0,16,19
Alec Ingold,34934,FB,LAC,1,71.4,0,27,47.0,69.0,36.6,0,1,6,50.0,53.8,91.7,0,1,0,15,0,0,0,21,7,13,0,0,8,0
Caleb Douglas,157740,WR,MIA,1,30.0,0,17,76.1,,59.7,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,50,0,35,0,0,15,0
Josh Downs,122832,WR,IND,1,31.3,0,14,66.0,,55.0,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,48,0,33,0,0,15,0
Gunnar Helm,144726,TE,TEN,1,39.5,0,31,62.3,61.6,59.4,0,0,7,24.1,23.3,100.0,0,0,0,15,0,0,0,38,7,30,0,0,8,17
Kenyon Sadiq,174132,TE,NYJ,1,53.6,0,22,56.2,65.9,62.8,0,0,0,0.0,7.7,,1,0,0,15,0,0,0,28,1,13,0,0,14,21
Josh Allen,46601,QB,BUF,1,26.3,0,4,69.7,,60.0,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,57,0,37,0,0,15,0
Tee Higgins,61211,WR,CIN,1,32.6,0,7,76.8,,77.6,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,46,0,31,0,0,15,0
Jalen Coker,143068,WR,CAR,1,26.3,0,5,89.3,,74.4,0,0,0,0.0,0.0,,1,0,0,15,0,0,0,57,0,42,0,0,15,0
Davis Allen,99697,TE,LA,1,71.4,0,26,64.9,,56.4,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,21,0,6,0,0,15,17
Jonnu Smith,11855,TE,GB,1,46.9,0,12,73.8,58.2,66.7,0,1,7,29.2,29.2,92.9,0,1,0,15,0,0,0,32,7,24,0,0,8,17
Tetairoa McMillan,158735,WR,CAR,1,26.8,0,5,60.8,,62.5,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,56,0,41,0,0,15,0
Jake Ferguson,61081,TE,DAL,1,31.8,0,9,49.8,72.1,57.6,0,0,2,6.9,9.1,100.0,0,0,0,14,0,0,0,44,3,33,0,0,11,24
A.J. Brown,48327,WR,NE,1,45.2,0,19,69.2,,58.8,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,31,0,17,0,0,14,0
Jared Wayne,99691,WR,HST,1,56.0,0,13,65.1,,53.2,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,25,0,11,0,0,14,0
Christian Watson,66581,WR,GB,1,26.9,0,12,87.1,,58.3,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,52,0,38,0,0,14,1
Malik Washington,97108,WR,MIA,1,25.9,0,17,49.7,,53.7,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,54,0,40,0,0,14,0
Jack Bech,146771,WR,LV,1,51.9,0,23,70.4,,57.4,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,27,0,13,0,0,14,1
Bo Nix,97790,QB,DEN,1,27.5,0,10,33.4,,60.0,0,0,0,0.0,0.0,,1,0,0,14,0,0,0,51,0,35,0,0,14,0
Erick All,52595,TE,CIN,1,70.0,0,7,48.3,69.6,45.1,0,0,1,14.3,14.3,100.0,0,0,0,14,0,0,0,20,1,7,0,0,13,10
Nico Collins,61441,WR,HST,1,24.6,0,13,70.9,,35.9,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,57,0,42,0,0,14,0
Pat Freiermuth,84085,TE,PIT,1,28.6,0,25,71.0,66.6,67.2,0,0,1,3.1,2.8,100.0,0,0,0,14,0,0,0,49,1,36,0,0,13,22
Jelani Woods,60509,TE,NYJ,1,87.5,0,22,55.7,74.2,66.7,0,0,3,60.0,60.0,100.0,1,0,0,14,0,0,0,16,3,5,0,0,11,14
Antonio Williams,156241,WR,WAS,1,53.8,0,32,91.2,,60.5,0,0,0,0.0,0.0,,0,0,0,14,0,0,0,26,0,12,0,0,14,0
George Kittle,11901,TE,SF,1,43.3,0,28,47.0,42.2,49.8,0,1,2,10.5,10.5,75.0,0,1,0,13,0,0,0,30,2,19,0,0,11,19
Woody Marks,124179,HB,HST,1,32.5,0,13,74.7,74.5,60.0,0,1,11,44.0,37.9,95.5,0,1,0,13,0,0,0,40,11,29,0,0,2,0
Chris Godwin,11839,WR,TB,1,26.5,0,30,63.0,,45.9,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,49,0,35,0,0,13,1
Quentin Johnston,123085,WR,LAC,1,30.2,0,27,53.1,,37.6,0,0,0,0.0,0.0,,1,0,0,13,0,0,0,43,0,30,0,0,13,0
Rome Odunze,73774,WR,CHI,1,36.1,0,6,59.2,,30.3,0,0,0,0.0,0.0,,1,0,0,13,0,0,0,36,0,23,0,0,13,0
Bryce Lance,148151,WR,NO,1,21.0,0,20,62.5,,61.9,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,62,0,49,0,0,13,0
Ryan Flournoy,159617,WR,DAL,1,31.7,0,9,46.0,,48.4,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,41,0,28,0,0,13,0
Darnell Mooney,48236,WR,NYG,1,33.3,0,21,64.4,,59.4,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,39,0,26,0,0,13,0
Malik Willis,60341,QB,MIA,1,23.6,0,17,55.4,,60.0,0,0,0,0.0,0.0,,2,0,0,13,0,0,0,55,0,40,0,0,13,0
Xavier Hutchinson,122518,WR,HST,1,29.5,0,13,64.3,,74.0,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,44,0,31,0,0,13,0
Saquon Barkley,45791,HB,PHI,1,33.3,0,24,72.0,47.1,,0,0,13,56.5,54.2,92.3,0,1,1,13,0,0,0,39,13,24,0,0,0,0
DJ Moore,48267,WR,BUF,1,30.2,0,4,79.0,,61.6,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,43,0,30,0,0,13,0
David Njoku,11784,TE,LAC,1,40.0,1,27,71.9,82.4,58.1,0,0,3,15.0,14.3,100.0,1,0,0,12,0,0,0,30,3,21,0,0,9,14
Rashid Shaheed,63707,WR,SEA,1,36.4,0,29,49.0,,58.0,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,33,0,21,0,0,12,0
D'Andre Swift,57212,HB,CHI,1,27.9,0,6,90.7,22.0,60.0,0,3,9,50.0,47.4,83.3,0,3,0,12,0,0,0,43,9,19,0,0,3,0
Malik Nabers,146759,WR,NYG,1,33.3,0,21,74.6,,61.9,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,36,0,24,0,0,12,0
George Pickens,99229,WR,DAL,1,24.5,0,9,51.3,,61.2,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,49,0,37,0,0,12,0
Josh Cameron,144513,WR,JAX,1,63.2,0,15,87.1,,53.6,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,19,0,7,0,0,12,0
Reggie Gilliam,40951,FB,NE,1,92.3,0,19,58.8,64.2,60.1,0,0,1,50.0,50.0,100.0,0,0,0,12,0,0,0,13,1,2,0,0,11,1
Brady Russell,60876,FB,SEA,1,70.6,0,29,62.0,43.0,58.0,0,1,3,37.5,37.5,83.3,0,1,0,12,0,0,0,17,3,8,0,0,9,6
CeeDee Lamb,61570,WR,DAL,1,25.5,0,9,66.1,,60.0,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,47,0,34,0,0,12,0
Andrei Iosivas,109811,WR,CIN,1,30.8,0,7,57.2,,60.6,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,39,0,27,0,0,12,0
Kendre Miller,123091,HB,NO,1,46.2,0,20,44.1,25.3,60.0,0,0,9,64.3,64.3,88.9,0,1,1,12,0,0,0,26,9,14,0,0,3,0
Dyami Brown,77986,WR,WAS,1,32.4,0,32,47.6,,53.9,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,37,0,25,0,0,12,0
Ted Hurst,187922,WR,TB,1,27.9,0,30,61.4,,58.8,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,43,0,31,0,0,12,0
Zachariah Branch,174142,WR,ATL,1,61.1,0,2,54.5,,58.4,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,18,0,7,0,0,11,0
KC Concepcion,170362,WR,CLV,1,31.4,0,8,68.1,,79.3,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,35,0,21,0,0,11,0
Blake Whiteheart,77881,TE,CLV,1,55.0,0,8,59.9,72.9,59.8,0,0,3,25.0,25.0,100.0,1,0,0,11,0,0,0,20,3,12,0,0,8,19
Jordan Whittington,97623,WR,LA,1,44.0,0,26,54.9,,58.7,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,25,0,14,0,0,11,1
Christian Mahogany,98261,G,DET,1,100.0,0,11,76.8,77.5,72.6,0,0,5,100.0,100.0,100.0,0,0,0,11,0,11,0,11,5,5,0,0,6,0
Rhamondre Stevenson,98689,HB,NE,1,18.3,0,19,63.8,57.0,60.0,1,0,9,23.7,25.6,94.4,0,1,0,11,0,0,0,60,10,39,0,0,1,0
Greg Dulcich,84068,TE,MIA,1,26.2,0,17,57.2,72.5,55.2,0,0,2,6.7,6.1,100.0,0,0,0,11,0,0,0,42,2,33,0,0,9,31
Tyler Allgeier,83639,HB,ARZ,1,25.0,0,1,56.2,75.4,60.0,0,0,9,39.1,38.5,100.0,0,0,0,11,0,0,0,44,10,26,0,0,1,0
Tony Pollard,27126,HB,TEN,1,42.3,0,31,66.4,77.6,,0,1,11,61.1,57.9,95.5,0,1,0,11,0,0,0,26,11,19,0,0,0,0
Isaiah Likely,83955,TE,NYG,1,32.4,0,21,88.7,66.1,85.7,0,0,1,4.2,4.2,100.0,0,0,0,11,0,0,1,34,1,24,0,0,10,3
Josh Whyle,54037,TE,GB,1,90.9,0,12,50.7,25.4,61.0,0,0,4,80.0,80.0,100.0,0,0,0,10,0,0,0,11,4,5,0,0,6,7
Tylan Wallace,61577,WR,CLV,1,66.7,0,8,61.2,,72.8,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,15,0,5,0,0,10,1
Tre Harris,122676,WR,LAC,1,24.4,0,27,58.3,,53.7,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,41,0,31,0,0,10,0
Laquon Treadwell,10657,WR,IND,1,52.6,0,14,59.0,,81.3,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,19,0,9,0,0,10,0
Cam Skattebo,147787,HB,NYG,1,23.8,0,21,67.1,77.6,60.0,0,0,2,13.3,13.3,100.0,0,0,0,10,0,0,0,42,2,15,0,0,8,0
Cam Ward,133244,QB,TEN,1,20.0,0,31,54.8,,60.0,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,50,0,40,0,0,10,0
Davante Adams,8688,WR,LA,1,30.3,0,26,67.1,,61.3,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,33,0,23,0,0,10,0
Keenan Allen,7857,WR,IND,1,27.8,0,14,60.9,,58.9,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,36,0,26,0,0,10,0
Mo Alie-Cox,12078,TE,IND,1,71.4,0,14,49.7,71.5,53.1,0,0,2,40.0,33.3,100.0,0,0,0,10,0,0,0,14,2,6,0,0,8,14
Blake Fisher,147479,T,HST,1,100.0,0,13,60.3,70.2,59.0,0,0,1,100.0,100.0,100.0,0,0,0,10,0,0,0,10,1,1,0,0,9,10
Chase Brown,77787,HB,CIN,1,21.7,0,7,71.9,80.2,60.0,0,0,6,23.1,23.1,100.0,0,0,0,10,0,0,0,46,6,26,0,0,4,0
Stone Forsythe,41795,T,CAR,1,100.0,0,5,59.4,44.7,60.9,0,1,2,100.0,100.0,75.0,0,1,0,10,0,0,0,10,3,3,0,7,7,3
Jayden Reed,78171,WR,GB,1,25.6,0,12,59.4,66.1,58.7,0,0,1,3.3,3.3,100.0,0,0,0,10,0,0,0,39,1,30,0,0,9,0
MarShawn Lloyd,124247,HB,GB,1,33.3,0,12,61.1,47.4,60.0,0,1,9,56.3,56.3,94.4,0,1,0,10,0,0,0,30,9,16,0,0,1,1
Adam Trautman,109795,TE,DEN,1,52.6,0,10,43.1,70.6,57.5,0,0,0,0.0,10.0,,0,0,0,10,0,0,0,19,1,10,0,1,9,14
Jake Briningstool,124831,TE,KC,1,76.9,0,16,74.6,,56.3,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,13,0,3,0,0,10,11
Demario Douglas,104155,WR,NE,1,20.5,0,19,62.1,,60.8,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,44,0,35,0,0,9,0
Will Kacmarek,145896,TE,MIA,1,64.3,0,17,52.0,44.0,57.6,0,0,2,28.6,28.6,100.0,0,0,0,9,0,0,0,14,2,7,0,0,7,12
Wyatt Milum,144785,G,JAX,1,100.0,0,15,58.2,,57.8,0,0,0,,,,0,0,0,9,0,0,0,9,0,0,7,1,9,1
Alec Pierce,78038,WR,IND,1,28.1,0,14,78.6,,60.5,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,32,0,23,0,0,9,0
Kyle Hinton,83163,G,ATL,1,100.0,0,2,56.9,75.1,55.6,0,0,2,100.0,100.0,100.0,0,0,0,9,0,0,0,9,2,2,9,0,7,0
Chris Rodriguez Jr.,83689,HB,JAX,1,39.1,0,15,68.7,59.4,60.0,0,0,4,33.3,33.3,100.0,0,0,0,9,0,0,0,23,4,12,0,0,5,0
Nate Adkins,87625,TE,DEN,1,69.2,0,10,46.9,16.8,55.6,0,0,2,33.3,33.3,50.0,0,1,1,9,0,0,0,13,2,6,0,0,7,9
Zay Flowers,97268,WR,BLT,1,45.0,0,3,93.7,,58.6,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,20,0,11,0,0,9,0
Daniel Bellinger,84041,TE,TEN,1,64.3,0,31,56.4,70.0,53.4,0,0,2,28.6,28.6,100.0,0,0,0,9,0,0,0,14,2,7,0,0,7,6
Larry Borom,59879,T,DET,1,100.0,0,11,59.2,70.8,57.3,0,0,1,100.0,100.0,100.0,0,0,0,9,0,0,4,9,1,1,0,1,8,4
Chuba Hubbard,57373,HB,CAR,1,18.8,0,5,65.9,83.0,,0,0,8,24.2,25.0,100.0,0,0,0,9,0,0,0,48,9,36,0,0,0,0
Corey Bullock,108855,C,CAR,1,100.0,0,5,71.9,74.2,68.8,0,0,3,100.0,100.0,100.0,0,0,0,9,0,2,0,9,3,3,7,0,6,0
CJ Williams,158471,WR,JAX,1,90.0,0,15,59.5,,60.1,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,10,0,1,0,0,9,0
Jaylen Waddle,84088,WR,DEN,1,23.7,0,10,46.9,,58.7,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,38,0,29,0,0,9,0
Jaylin Lane,121811,WR,WAS,1,50.0,0,32,56.0,,58.9,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,18,0,9,0,0,9,0
Courtland Sutton,48164,WR,DEN,1,23.1,0,10,52.1,,51.5,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,39,0,30,0,0,9,0
Ja'Kobi Lane,176638,WR,BLT,1,33.3,0,3,61.7,,57.6,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,27,0,18,0,0,9,0
Rico Dowdle,40693,HB,PIT,1,23.1,0,25,45.5,58.3,,0,1,8,27.6,29.0,93.7,0,1,0,9,0,0,0,39,9,31,0,0,0,0
Olamide Zaccheaus,44920,WR,ATL,1,44.4,0,2,56.3,62.3,57.9,0,0,1,10.0,9.1,100.0,0,0,0,8,0,0,0,18,1,11,0,0,7,0
Jauan Jennings,48027,WR,MIN,1,25.8,0,18,46.4,,36.1,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,31,0,23,0,0,8,1
Tyjae Spears,97195,HB,TEN,1,32.0,0,31,57.1,83.6,,0,0,8,36.4,36.4,100.0,0,0,0,8,0,0,0,25,8,22,0,0,0,0
Andrew Beck,47121,FB,NYJ,1,88.9,0,22,55.4,,55.9,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,9,0,1,0,0,8,1
Tyler Conklin,47124,TE,DET,1,80.0,0,11,49.9,,50.9,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,10,0,2,0,0,8,5
Xavier Legette,99197,WR,CAR,1,22.2,0,5,41.6,,33.0,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,36,0,28,0,0,8,0
Roman Wilson,129604,WR,PIT,1,21.6,0,25,54.6,,60.6,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,37,0,29,0,0,8,0
Braxton Berrios,47961,WR,NYG,1,66.7,0,21,53.7,,53.6,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,12,0,4,0,0,8,0
Kaden Davis,156151,WR,CHI,1,80.0,0,6,57.7,,60.3,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,10,0,2,0,0,8,0
Evan Engram,11778,TE,DEN,1,25.0,0,10,75.8,23.3,66.9,0,1,1,4.2,4.0,50.0,0,1,0,8,0,0,0,32,1,25,0,0,7,21
Keon Coleman,144949,WR,BUF,1,27.6,0,4,52.9,,59.4,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,29,0,21,0,0,8,0
Dareke Young,111900,WR,LV,1,80.0,0,23,43.6,,59.7,0,0,0,0.0,0.0,,1,0,0,8,0,0,0,10,0,2,0,0,8,1
James Cook,83666,HB,BUF,1,19.5,0,4,50.2,82.6,59.0,0,0,4,20.0,20.0,100.0,0,0,0,8,0,0,0,41,5,25,0,0,3,2
Quinshon Judkins,157128,HB,CLV,1,24.2,0,8,55.9,55.3,59.7,0,1,4,23.5,23.5,87.5,0,1,0,8,0,0,0,33,4,17,0,0,4,0
Jonathan Taylor,57488,HB,IND,1,16.7,0,14,67.7,68.0,,0,0,8,28.6,27.6,100.0,0,0,0,8,0,0,0,48,8,29,0,0,0,0
Ben Sinnott,122616,TE,WAS,1,44.4,0,32,52.4,73.4,59.1,0,0,1,9.1,9.1,100.0,0,0,0,8,0,0,0,18,1,11,0,0,7,12
George Holani,72154,HB,SEA,1,34.8,0,29,45.7,56.6,60.0,0,1,5,41.7,46.2,90.0,0,1,0,8,0,0,0,23,6,13,0,0,2,0
DJ Herman,146162,FB,MIA,1,53.3,0,17,46.4,65.8,43.7,0,0,1,12.5,12.5,100.0,0,0,0,8,0,0,0,15,1,8,0,0,7,3
Austin Hooper,10715,TE,ATL,1,57.1,0,2,63.7,,67.5,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,14,0,6,0,0,8,12
Pat Bryant,144800,WR,DEN,1,26.7,0,10,62.2,,30.0,0,0,0,0.0,0.0,,2,0,0,8,0,0,0,30,0,22,0,0,8,0
Ashton Jeanty,157196,HB,LV,1,14.0,0,23,71.0,54.9,60.0,0,0,4,17.4,16.7,100.0,0,0,0,7,0,0,0,50,4,24,0,0,3,3
Tyler Higbee,10744,TE,LA,1,58.3,0,26,29.2,65.9,59.8,0,0,1,20.0,16.7,100.0,0,0,0,7,0,0,0,12,1,6,0,0,6,10
Sam Roush,157270,TE,CHI,1,58.3,0,6,53.8,39.5,61.0,0,1,2,28.6,28.6,75.0,0,1,0,7,0,0,0,12,2,7,0,0,5,8
Derrick Henry,10679,HB,BLT,1,18.9,0,3,71.7,78.6,60.0,0,0,5,50.0,54.5,100.0,0,0,0,7,0,0,0,37,6,11,0,0,1,0
Chris Blair,84096,WR,ATL,1,70.0,0,2,62.8,,71.6,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,10,0,3,0,0,7,0
Emmett Johnson,156473,HB,KC,1,28.0,0,16,68.2,55.2,60.0,0,1,4,30.8,30.8,87.5,0,1,0,7,0,0,0,25,4,13,0,0,3,0
Chris Bell,156321,WR,MIA,1,25.0,0,17,53.7,,59.4,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,28,0,21,0,0,7,0
Ladd McConkey,124030,WR,LAC,1,25.9,0,27,90.7,,60.1,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,27,0,20,0,0,7,0
Sam Hecht,144601,C,CAR,1,100.0,0,5,59.4,70.0,58.4,0,0,2,100.0,100.0,100.0,0,0,0,7,7,0,0,7,2,2,0,0,5,0
Omarion Hampton,162750,HB,LAC,1,21.9,0,27,60.1,76.9,,0,0,6,35.3,35.0,100.0,0,0,0,7,0,0,0,32,7,20,0,0,0,0
Breece Hall,97636,HB,NYJ,1,17.9,0,22,67.4,79.7,60.0,0,0,5,38.5,35.7,100.0,0,0,0,7,0,0,0,39,5,14,0,0,2,0
Jordan Mason,62946,HB,MIN,1,24.1,0,18,66.4,75.8,60.0,0,0,4,36.4,36.4,100.0,0,0,0,7,0,0,0,29,4,11,0,0,3,0
Carnell Tate,170273,WR,TEN,1,15.9,0,31,61.5,,60.3,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,44,0,37,0,0,7,0
Eric Saubert,11929,TE,SEA,1,70.0,0,29,60.0,,73.8,0,0,0,0.0,0.0,,1,0,0,7,0,0,0,10,0,3,0,0,7,9
Justice Hill,45865,HB,BLT,1,22.6,1,3,52.3,32.7,60.0,0,1,3,15.8,18.2,83.3,2,1,0,7,0,0,0,31,4,22,0,0,3,0
Khalil Shakir,84140,WR,BUF,1,23.3,0,4,74.3,69.6,58.5,0,0,1,4.8,4.2,100.0,0,0,0,7,0,0,0,30,1,24,0,0,6,7
De'Zhaun Stribling,146508,WR,SF,1,33.3,0,28,46.8,,34.3,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,21,0,14,0,0,7,0
Hunter Luepke,91319,FB,DAL,1,46.7,0,9,53.4,84.0,57.0,0,0,4,40.0,41.7,100.0,0,0,0,7,0,0,0,15,5,12,0,0,2,0
Jayden Williams,146815,T,ARZ,1,100.0,0,1,53.4,73.6,51.4,0,0,4,100.0,100.0,100.0,0,0,0,7,0,0,0,7,4,4,0,0,3,7
Riley Nowakowski,129928,FB,PIT,1,87.5,0,25,55.3,69.2,54.3,0,0,1,50.0,50.0,100.0,0,0,0,7,0,0,0,8,1,2,0,0,6,0
Jonah Monheim,86461,C,JAX,1,100.0,0,15,55.1,,51.4,0,0,0,,,,0,0,0,7,7,0,0,7,0,0,0,0,7,0
Kenneth Gainwell,77737,HB,TB,1,26.9,0,30,60.0,72.7,60.0,0,0,2,13.3,17.6,100.0,0,0,0,7,0,0,0,26,3,17,0,0,4,0
Romeo Doubs,84329,WR,NE,1,17.5,0,19,42.5,,34.4,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,40,0,33,0,0,7,0
Aaron Jones,11937,HB,MIN,1,23.3,0,18,67.0,78.8,60.0,0,0,6,46.2,35.3,100.0,0,0,0,7,0,0,0,30,6,17,0,0,1,0
