player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Spencer Fano,174217,T,CLV,1,100.0,0,8,58.8,59.8,54.9,0,3,31,100.0,100.0,95.2,0,3,0,51,0,0,51,51,33,33,0,0,18,0
Garett Bolles,11775,T,DEN,1,100.0,1,10,70.1,84.9,52.9,0,0,33,100.0,100.0,100.0,1,0,0,51,0,0,51,51,35,35,0,0,16,0
Peter Skoronski,129737,G,TEN,1,100.0,0,31,65.0,67.1,61.5,0,2,39,100.0,100.0,97.4,0,2,0,50,0,50,0,50,40,40,0,0,10,0
Zion Johnson,99681,G,CLV,1,100.0,0,8,62.1,69.9,66.9,0,1,30,100.0,100.0,98.3,2,1,0,50,0,50,0,50,32,32,0,0,18,0
JC Latham,146596,T,TEN,1,100.0,0,31,52.2,55.5,58.2,0,2,39,100.0,100.0,97.4,2,2,0,50,0,0,0,50,40,40,0,50,10,0
Abraham Lucas,60218,T,SEA,1,100.0,0,29,71.7,45.8,84.2,1,1,27,100.0,100.0,92.6,1,3,1,50,0,0,0,50,28,28,0,50,22,0
Dan Moore Jr.,60120,T,TEN,1,100.0,0,31,67.8,55.1,81.7,0,1,39,100.0,100.0,96.2,0,2,1,50,0,0,50,50,40,40,0,0,10,0
Anthony Bradford,99103,G,SEA,1,100.0,0,29,50.5,3.1,75.1,0,3,27,100.0,100.0,94.4,2,3,0,50,0,0,0,50,28,28,50,0,22,0
Grey Zabel,125314,G,SEA,1,100.0,0,29,64.2,60.7,63.3,0,2,27,100.0,100.0,96.3,0,2,0,50,0,50,0,50,28,28,0,0,22,0
Fernando Carmona,146185,G,TEN,1,100.0,0,31,61.4,57.4,61.4,1,2,39,100.0,100.0,96.2,0,3,0,50,0,0,0,50,40,40,50,0,10,0
Charles Cross,98401,T,SEA,1,100.0,0,29,55.4,59.2,49.7,1,0,27,100.0,100.0,98.1,0,1,0,50,0,0,49,50,28,28,0,0,22,0
Robert Hainsey,59980,C,JAX,1,100.0,0,15,60.7,75.8,63.5,1,0,25,100.0,100.0,94.0,1,2,1,50,50,0,0,50,25,25,0,0,25,0
Ezra Cleveland,41973,G,JAX,1,100.0,0,15,63.1,63.7,61.0,0,2,25,100.0,100.0,96.0,0,2,0,50,0,0,0,50,25,25,50,0,25,0
Austin Schlottmann,30097,C,TEN,1,100.0,0,31,62.1,72.0,56.1,1,0,39,100.0,100.0,98.7,0,1,0,50,50,0,0,50,40,40,0,0,10,0
Jalen Sundell,91396,C,SEA,1,100.0,0,29,58.9,63.8,71.4,1,2,27,100.0,100.0,94.4,2,3,0,50,50,0,0,50,28,28,0,0,22,0
Cole Van Lanen,41583,T,JAX,1,100.0,0,15,75.5,81.6,70.8,0,0,20,100.0,100.0,100.0,0,0,0,36,0,0,0,36,20,20,0,36,16,0
Kayode Awosika,44909,G,LAC,1,100.0,0,27,71.1,85.1,63.4,0,0,23,100.0,100.0,100.0,0,0,0,35,0,35,0,35,25,25,0,0,10,0
Geno Smith,7820,QB,NYJ,1,52.2,0,22,84.6,,60.0,0,0,0,0.0,0.0,,2,0,0,35,0,0,0,67,0,28,0,0,35,0
Jared Goff,10635,QB,DET,1,45.5,0,11,65.9,,60.0,0,0,0,0.0,0.0,,1,0,0,35,0,0,0,77,0,41,0,0,35,0
Durham Smythe,47257,TE,BLT,1,78.6,0,3,67.4,77.3,71.7,0,0,3,25.0,30.8,100.0,0,0,0,33,0,0,0,42,4,13,0,0,29,28
Josh Oliver,47083,TE,MIN,1,78.6,0,18,76.5,23.3,62.7,0,1,3,25.0,25.0,83.3,0,1,0,33,0,0,0,42,3,12,0,0,30,41
Brock Wright,60994,TE,DET,1,82.1,0,11,56.6,45.0,60.8,0,0,7,50.0,50.0,100.0,0,0,0,32,0,0,0,39,7,14,0,0,25,35
Patrick Mahomes,11765,QB,KC,1,46.4,0,16,62.3,,60.0,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,69,0,34,0,0,32,0
Caleb Williams,144622,QB,CHI,1,42.7,0,6,64.6,,60.3,0,0,0,0.0,0.0,,1,0,0,32,0,0,0,75,0,40,0,0,32,0
Kirk Cousins,7102,QB,LV,1,47.1,0,23,46.3,,60.1,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,68,0,32,0,0,32,0
Patrick Ricard,48862,FB,NYG,1,86.5,0,21,61.1,73.8,62.0,1,0,5,50.0,50.0,90.0,0,1,0,32,0,0,0,37,5,10,0,0,27,7
Cooper Rush,12324,QB,ATL,1,53.3,0,2,43.7,,60.0,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,60,0,28,0,0,32,0
Drake London,86519,WR,ATL,1,52.5,0,2,71.5,,61.4,0,0,0,0.0,0.0,,0,0,0,31,0,0,0,59,0,27,0,0,31,0
Lamar Jackson,46416,QB,BLT,1,45.6,0,3,83.1,,60.0,0,0,0,0.0,0.0,,0,0,0,31,0,0,0,68,0,33,0,0,31,0
Amon-Ra St. Brown,84470,WR,DET,1,43.5,0,11,65.2,,53.2,0,0,0,0.0,0.0,,0,0,0,30,0,0,0,69,0,39,0,0,30,0
C.J. Stroud,129759,QB,HST,1,38.0,0,13,67.6,,60.0,0,0,0,0.0,0.0,,0,0,0,30,0,0,0,79,0,48,0,0,30,0
Michael Mayer,122906,TE,LV,1,54.5,0,23,76.3,42.9,74.1,0,0,3,11.1,10.7,100.0,0,0,0,30,0,0,0,55,3,28,0,0,27,49
Colston Loveland,158540,TE,CHI,1,44.6,0,6,51.6,23.7,66.5,0,1,2,5.6,5.3,75.0,1,1,0,29,0,0,0,65,2,38,0,0,27,36
Hunter Henry,10669,TE,NE,1,53.7,0,19,61.7,77.8,57.2,0,0,10,28.6,30.6,100.0,0,0,0,29,0,0,0,54,11,36,0,0,18,24
Ian Thomas,42130,TE,LV,1,93.5,0,23,72.2,77.5,69.1,0,0,7,77.8,77.8,100.0,0,0,0,29,0,0,0,31,7,9,0,0,22,26
Malachi Fields,151069,WR,NYG,1,58.0,0,21,63.2,,73.2,0,0,0,0.0,0.0,,0,0,0,29,0,0,0,50,0,21,0,0,29,0
Jacoby Brissett,10725,QB,ARZ,1,37.3,0,1,86.1,,60.0,0,0,0,0.0,0.0,,0,0,0,28,0,0,0,75,0,42,0,0,28,0
Sam LaPorta,101690,TE,DET,1,45.2,0,11,65.4,70.2,56.6,0,0,1,2.9,2.9,100.0,0,0,0,28,0,0,0,62,1,35,0,0,27,39
Drew Sample,47259,TE,CIN,1,66.7,0,7,61.0,31.4,58.0,0,0,6,31.6,30.0,83.3,0,1,1,28,0,0,0,42,6,20,0,0,22,29
Nate Boerkircher,129676,TE,JAX,1,73.7,0,15,60.3,71.9,54.9,0,0,2,16.7,16.7,100.0,1,0,0,28,0,0,0,38,2,12,0,0,26,33
Noah Gray,60878,TE,KC,1,71.1,0,16,47.2,76.9,43.8,0,0,5,31.3,31.3,100.0,0,0,0,27,0,0,0,38,5,16,0,1,22,20
Jaxson Dart,146409,QB,NYG,1,39.1,0,21,71.9,,60.0,0,0,0,0.0,0.0,,1,0,0,27,0,0,0,69,0,34,0,0,27,0
Eli Raridon,156970,TE,NE,1,71.1,0,19,57.1,76.4,49.5,0,0,6,37.5,35.3,100.0,0,0,0,27,0,0,0,38,6,17,0,0,21,33
Jayden Daniels,97993,QB,WAS,1,38.6,0,32,73.5,,60.0,0,0,0,0.0,0.0,,2,0,0,27,0,0,0,70,0,41,0,0,27,0
Mason Taylor,157122,TE,NYJ,1,61.4,0,22,54.3,69.6,76.2,0,0,1,5.9,5.6,100.0,1,0,0,27,0,0,0,44,1,18,0,0,26,31
Rashee Rice,97605,WR,KC,1,47.4,0,16,60.2,66.4,77.0,0,0,1,3.3,3.2,100.0,0,0,0,27,0,0,0,57,1,31,0,0,26,4
Garrett Wilson,97405,WR,NYJ,1,54.0,0,22,72.2,,59.4,0,0,0,0.0,0.0,,1,0,0,27,0,0,0,50,0,23,0,0,27,1
Jameson Williams,101701,WR,DET,1,40.0,0,11,54.7,,60.4,0,0,0,0.0,0.0,,0,0,0,26,0,0,0,65,0,39,0,0,26,0
Luke Farrell,42353,TE,SF,1,56.5,0,28,63.6,74.3,63.5,0,0,3,13.6,13.0,100.0,0,0,0,26,0,0,0,46,3,23,0,0,23,41
Drake Maye,143969,QB,NE,1,36.6,0,19,55.1,,60.0,0,0,0,0.0,0.0,,0,0,0,26,0,0,0,71,0,44,0,0,26,0
Darnell Washington,124044,TE,PIT,1,59.1,0,25,65.6,78.8,63.3,0,0,7,30.4,28.0,100.0,0,0,0,26,0,0,0,44,7,25,0,0,19,37
Foster Moreau,47043,TE,HST,1,74.3,0,13,64.0,51.1,56.9,0,1,2,18.2,25.0,75.0,0,1,0,26,0,0,0,35,3,12,0,0,23,26
Justin Jefferson,61398,WR,MIN,1,43.3,0,18,90.3,,62.6,0,0,0,0.0,0.0,,0,0,0,26,0,0,0,60,0,34,0,0,26,0
Brock Purdy,77672,QB,SF,1,38.5,0,28,63.3,,60.0,0,0,0,0.0,0.0,,0,0,0,25,0,0,0,65,0,37,0,0,25,0
Michael Wilson,84423,WR,ARZ,1,39.1,0,1,69.3,,59.5,0,0,0,0.0,0.0,,0,0,0,25,0,0,0,64,0,39,0,0,25,0
Charlie Woerner,42257,TE,ATL,1,67.6,0,2,52.7,76.8,54.5,0,0,3,23.1,20.0,100.0,0,0,0,25,0,0,0,37,3,15,0,0,22,24
Luther Burden III,157170,WR,CHI,1,45.5,0,6,62.3,,54.9,0,0,0,0.0,0.0,,0,0,0,25,0,0,0,55,0,29,0,0,25,0
Colby Parkinson,52266,TE,LA,1,53.2,0,26,49.0,65.9,52.5,0,0,1,5.3,4.3,100.0,1,0,0,25,0,0,0,47,1,23,0,0,24,41
Cole Kmet,60995,TE,CHI,1,55.8,0,6,84.6,39.5,75.4,0,0,1,5.0,9.5,100.0,0,0,0,24,0,0,0,43,2,21,0,0,22,31
Trevor Lawrence,77632,QB,JAX,1,48.0,0,15,86.0,,60.3,0,0,0,0.0,0.0,,1,0,0,24,0,0,0,50,0,25,0,0,24,0
Mack Hollins,11873,WR,NE,1,48.0,0,19,72.9,,76.8,0,0,0,0.0,0.0,,0,0,0,24,0,0,0,50,0,26,0,0,24,2
Connor Heyward,57301,FB,LV,1,75.0,0,23,61.5,61.1,57.2,1,0,6,46.2,46.2,91.7,0,1,0,24,0,0,0,32,6,13,0,0,18,4
Rashod Bateman,84296,WR,BLT,1,45.3,0,3,58.7,,56.9,0,0,0,0.0,0.0,,0,0,0,24,0,0,0,53,0,29,0,0,24,0
Dallas Goedert,47272,TE,PHI,1,46.2,0,24,81.1,74.6,68.0,0,0,4,12.9,12.5,100.0,0,0,0,24,0,0,0,52,4,32,0,0,20,36
AJ Barner,129433,TE,SEA,1,54.5,0,29,62.8,51.4,72.5,0,1,4,17.4,20.8,87.5,1,1,0,24,0,0,0,44,5,24,0,0,19,33
Ja'Marr Chase,84270,WR,CIN,1,38.3,0,7,55.7,,60.7,0,0,0,0.0,0.0,,0,0,0,23,0,0,0,60,0,37,0,0,23,0
Tucker Kraft,104034,TE,GB,1,51.1,0,12,76.6,46.1,66.0,0,0,5,18.5,18.5,100.0,0,0,0,23,0,0,0,45,5,27,0,0,18,31
Brenton Strange,101694,TE,JAX,1,59.0,0,15,63.9,72.4,57.5,0,0,2,11.1,11.1,100.0,1,0,0,23,0,0,0,39,2,18,0,0,21,23
Terry McLaurin,48229,WR,WAS,1,37.7,0,32,49.5,,60.7,0,0,0,0.0,0.0,,0,0,0,23,0,0,0,61,0,38,0,0,23,0
Mark Andrews,47436,TE,BLT,1,46.9,0,3,69.0,73.1,75.0,0,0,2,8.3,7.1,100.0,1,0,0,23,0,0,0,49,2,28,0,0,21,23
Adonai Mitchell,146712,WR,NYJ,1,50.0,0,22,68.8,,36.3,0,0,0,0.0,0.0,,0,0,0,23,0,0,0,46,0,23,0,0,23,0
Cade Otton,61071,TE,TB,1,41.1,0,30,53.0,45.8,65.4,0,0,4,11.4,13.2,100.0,1,0,0,23,0,0,0,56,5,38,0,0,18,36
Jeremy Ruckert,84029,TE,NYJ,1,79.3,0,22,57.7,70.6,59.5,0,0,1,14.3,25.0,100.0,0,0,0,23,0,0,0,29,2,8,0,0,21,27
