player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Von Miller,6154,ED,DAL,1,1,0,9,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,4,0,0,0,0,0,0,0.0,
Demario Davis,7079,LB,NYJ,1,37,0,22,0,21.0,0.0,88.9,,8.0,0,0,0.0,78.1,0,,0.0,0,0,39.6,0,8,21.6,9,0,1,1,0,0,0,0.0,,0,0,1.0,50.0,90.9,19.0,9.5,0,1,50.0,68.8,0,8,0.0,0,1,60.4,1,20,54.1,22,0,3,2,0,8,8,0.4,8.0
Harrison Smith,7641,S,MIN,1,19,0,18,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,9.3,66.7,72.2,6.5,4.3,1,0,0.0,45.3,0,20,0.0,0,0,95.1,2,13,68.4,18,0,1,3,0,27,8,2.1,13.5
Tony Jefferson,8361,S,LAC,1,14,0,27,0,3.0,0.0,100.0,,2.0,0,1,100.0,75.4,0,,,0,1,39.6,0,2,14.3,2,0,0,1,0,0,0,0.0,,0,0,,,91.7,,,0,0,,62.5,0,,,0,0,0.0,0,11,78.6,12,0,0,0,0,0,0,0.0,
DeMarcus Lawrence,8669,ED,SEA,1,5,0,29,0,,,66.7,,,0,0,,60.1,0,,,0,0,0.0,0,2,40.0,3,0,0,0,0,0,0,0.0,,0,0,,,21.4,,,0,0,,50.5,0,,,0,0,0.0,0,3,60.0,14,0,0,0,0,0,0,0.0,
Kyle Van Noy,8675,ED,MIN,1,1,0,18,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,7.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,13,0,0,0,0,0,0,0.0,
Dante Fowler Jr.,9436,ED,SEA,1,2,0,29,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,,0,0,,,25.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,4,0,0,0,0,0,0,0.0,
Arik Armstead,9450,DI,JAX,1,1,0,15,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,7,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,58.7,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,
Bud Dupree,9455,ED,LAC,1,2,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,,,18.2,,,0,0,,60.5,0,,,0,0,0.0,0,2,100.0,11,0,0,0,0,0,0,0.0,
Za'Darius Smith,9555,ED,ATL,1,1,0,2,0,4.0,0.0,20.0,,1.0,0,0,0.0,60.0,0,,,0,0,39.6,0,1,100.0,5,1,0,1,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,1,0,0,0,0,0,,
