player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Kenyon Sadiq,174132,TE,NYJ,1,3,0,22,0,-8.0,0,100.0,,0,0,0.0,0,0.32,0,0,78.7,66.0,0,7,50.0,1,2,100.0,1,50.0,1,95.8,1,100.0,0,7,15,15.0,7.0,7.0,4.0,0,100.0,,0,0,0.0,0,-0.08,0,0,72.1,56.3,0,6,0.0,0,2,50.0,1,100.0,2,91.7,1,50.0,0,6,2,2.0,6.0,3.0
Ja'Kobi Lane,176638,WR,BLT,1,3,0,3,0,,0,,,0,0,,0,1.77,0,0,,50.8,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.23,0,0,68.3,53.1,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Rachaad White,131633,HB,WAS,1,2,0,32,0,-4.0,0,100.0,,0,0,0.0,0,-0.12,0,0,78.7,62.2,0,2,33.3,1,3,50.0,1,33.3,1,79.2,1,100.0,0,2,6,6.0,2.0,2.0,-4.0,0,100.0,,0,0,0.0,0,-0.72,0,0,73.4,58.5,0,2,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,2,6,6.0,2.0,2.0
Jordan Addison,123000,WR,MIN,1,2,0,18,0,,0,,,0,0,,0,-0.45,0,0,,47.6,0,0,0.0,0,4,0.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.35,0,0,,49.3,0,0,0.0,0,8,28.6,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0
Kevin Coleman Jr.,160756,WR,MIA,1,2,0,17,0,,0,,,0,0,,0,-0.45,0,0,,52.6,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.78,0,0,,52.1,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Foster Moreau,47043,TE,HST,1,2,0,13,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,70.5,85.2,0,0,100.0,1,1,,0,0.0,0,0.0,0,,0,0,0,,,
Mitchell Evans,147486,TE,CAR,1,2,0,5,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,5.0,0,100.0,,0,0,0.0,0,2.7,0,0,73.4,78.4,0,9,25.0,1,4,100.0,1,25.0,1,104.2,1,100.0,0,9,4,4.0,9.0,9.0
Lan Larison,142157,HB,NE,1,2,0,19,0,,0,,,0,0,,0,0.0,0,0,,55.1,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,68.3,81.0,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Joshua Palmer,62979,WR,BUF,1,2,0,4,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,1.09,0,0,68.3,77.9,0,0,0.0,0,7,75.0,0,57.1,4,0.0,0,0.0,0,0,0,,,0.0
Saquon Barkley,45791,HB,PHI,1,2,0,24,0,-6.0,0,100.0,,0,0,0.0,0,-0.69,0,0,78.7,94.6,0,-3,50.0,2,4,25.0,1,50.0,2,79.2,1,50.0,0,-3,3,3.0,-3.0,-1.5,-6.0,0,100.0,,0,0,0.0,0,-0.18,0,0,72.1,91.6,0,-3,0.0,0,2,50.0,1,100.0,2,79.2,1,50.0,0,-3,3,3.0,-3.0,-1.5
Jaylin Noel,125155,WR,HST,1,2,0,13,0,,0,,,0,0,,0,-1.38,0,0,,53.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,13.0,0,100.0,,0,0,0.0,0,0.11,2,0,72.1,73.1,0,35,0.0,0,15,61.5,2,86.7,13,118.8,2,15.4,0,53,27,13.5,26.5,4.08
Luke Farrell,42353,TE,SF,1,2,0,28,0,,0,,,0,0,,0,-0.19,0,0,,37.3,0,0,14.3,1,7,57.1,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0,1.0,0,100.0,,0,0,0.0,0,-1.07,0,0,64.7,46.9,0,5,33.3,1,3,33.3,1,66.7,2,87.5,1,50.0,0,5,4,4.0,5.0,2.5
Chris Bell,156321,WR,MIA,1,2,0,17,0,,0,,,0,0,,0,0.07,0,0,,53.6,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.85,0,0,28.0,46.3,0,0,0.0,0,6,40.0,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0
Oronde Gadsden II,144046,TE,LAC,1,2,0,27,0,,0,,,0,0,,0,0.0,0,0,,51.2,0,0,0.0,0,2,,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,-0.14,0,0,70.5,65.0,0,0,0.0,0,4,50.0,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0
Emmett Johnson,156473,HB,KC,1,2,0,16,0,-5.0,3,100.0,,0,0,0.0,0,1.88,0,0,78.7,94.9,0,19,0.0,0,2,100.0,1,100.0,2,118.8,1,50.0,0,19,24,24.0,19.0,9.5,,0,,,0,0,,0,0.0,0,0,72.1,92.5,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
AJ Barner,129433,TE,SEA,1,2,0,29,0,,0,,,0,0,,0,-0.51,0,0,,45.1,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,64.7,49.9,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Jadarian Price,156985,HB,SEA,1,2,0,29,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,-5.0,0,100.0,,0,0,0.0,0,-0.08,0,0,72.1,61.8,0,2,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,2,7,7.0,2.0,2.0
LaJohntay Wester,123616,WR,BLT,1,2,0,3,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,6.0,0,100.0,100.0,1,1,0.0,0,0.21,0,0,70.5,55.1,0,6,0.0,0,8,50.0,1,100.0,8,91.7,1,12.5,0,6,0,0.0,6.0,0.75
Quinshon Judkins,157128,HB,CLV,1,2,0,8,0,,0,,,0,0,,0,-2.01,0,0,,,0,0,100.0,2,2,50.0,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,-1.03,0,0,,53.1,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Josh Cameron,144513,WR,JAX,1,2,0,15,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,2.33,0,0,,55.6,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Tony Pollard,27126,HB,TEN,1,2,0,31,0,,0,,,0,0,,0,-0.9,0,0,,52.8,0,0,50.0,1,2,0.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.32,0,0,68.3,55.1,0,0,0.0,0,2,100.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Colby Parkinson,52266,TE,LA,1,2,0,26,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,-0.74,0,0,64.7,55.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Jonathon Brooks,144721,HB,CAR,1,2,0,5,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,70.5,97.9,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Darnell Mooney,48236,WR,NYG,1,2,0,21,0,,0,,,0,0,,0,-1.42,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,7.0,0,100.0,,0,0,0.0,0,0.69,1,0,72.1,67.1,0,9,0.0,0,14,71.4,1,100.0,14,104.2,1,7.1,0,9,2,2.0,9.0,0.64
Chris Moore,10741,WR,BLT,1,2,0,3,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,30.0,0,100.0,,0,0,0.0,0,1.71,1,0,68.3,90.0,0,53,0.0,0,4,100.0,1,75.0,3,118.8,1,33.3,0,53,23,23.0,53.0,17.67
Colston Loveland,158540,TE,CHI,1,2,0,6,0,,0,,,0,0,,0,-0.88,0,0,,46.5,0,0,33.3,1,3,66.7,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.25,0,0,,46.2,0,0,0.0,0,13,58.3,0,92.3,12,0.0,0,0.0,0,0,0,,,0.0
Jake Ferguson,61081,TE,DAL,1,2,0,9,0,,0,,,0,0,,0,0.09,0,0,,37.9,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,3.0,0,100.0,,0,0,0.0,0,0.23,0,0,70.5,48.6,0,6,0.0,0,15,57.1,2,93.3,14,79.2,2,14.3,0,6,0,0.0,3.0,0.43
Tyler Higbee,10744,TE,LA,1,2,0,26,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,68.3,28.0,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Brady Russell,60876,FB,SEA,1,2,0,29,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Jakobi Meyers,47468,WR,JAX,1,2,0,15,0,-4.0,0,100.0,,0,0,0.0,0,0.51,1,0,78.7,88.3,0,8,0.0,0,4,75.0,1,100.0,4,100.0,1,25.0,0,8,12,12.0,8.0,2.0,41.0,0,100.0,100.0,1,1,0.0,0,1.4,1,0,73.4,79.2,0,32,0.0,0,6,83.3,1,100.0,6,158.3,1,16.7,1,32,0,0.0,32.0,5.33
Darren Waller,9637,TE,CAR,1,2,0,5,0,,0,,,0,0,,0,-0.86,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,3.5,0,100.0,,0,0,0.0,0,-0.65,2,0,73.4,77.1,0,17,0.0,0,13,46.2,2,100.0,13,118.8,2,15.4,0,28,21,10.5,14.0,2.15
Rashee Rice,97605,WR,KC,1,2,0,16,0,-1.0,2,100.0,,0,0,0.0,0,0.75,1,0,78.7,89.9,0,13,20.0,1,5,80.0,1,80.0,4,158.3,1,25.0,1,13,14,14.0,13.0,3.25,,0,,,0,0,,0,-0.73,0,0,68.3,54.9,0,0,0.0,0,14,30.8,0,92.9,13,0.0,0,0.0,0,0,0,,,0.0
Tyler Allgeier,83639,HB,ARZ,1,2,0,1,0,-6.0,0,100.0,,0,0,0.0,0,-0.16,0,0,78.7,78.5,0,4,0.0,0,1,0.0,1,100.0,1,83.3,1,100.0,0,4,10,10.0,4.0,4.0,,0,,,0,0,,0,1.59,0,0,70.5,55.6,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Breece Hall,97636,HB,NYJ,1,2,0,22,0,,0,,,0,0,,0,-0.74,0,0,,,0,0,100.0,2,2,50.0,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,2.12,0,0,68.3,68.2,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Darnell Washington,124044,TE,PIT,1,2,0,25,0,,0,,,0,0,,0,-1.3,0,0,,49.6,0,0,33.3,1,3,33.3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.04,0,0,64.7,57.4,0,0,0.0,0,5,40.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Kayshon Boutte,124087,WR,HST,1,2,0,13,0,,0,,,0,0,,0,0.39,0,0,,51.8,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.21,0,0,36.8,58.1,0,0,0.0,0,8,57.1,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0
Greg Dulcich,84068,TE,MIA,1,2,0,17,0,-2.0,0,100.0,,0,0,0.0,0,0.13,1,0,78.7,92.3,0,12,0.0,0,5,40.0,1,100.0,5,116.7,1,20.0,0,12,14,14.0,12.0,2.4,,0,,,0,0,,0,-1.01,0,0,64.7,53.9,0,0,0.0,0,4,33.3,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Xavier Legette,99197,WR,CAR,1,2,0,5,0,,0,,,0,0,,0,-0.86,0,0,,49.7,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,1.0,0,0.0,,0,0,100.0,1,1.0,0,0,27.9,45.7,0,0,0.0,0,7,42.9,0,100.0,7,39.6,1,14.3,0,0,0,,,0.0
Kyle Monangai,129891,HB,CHI,1,2,0,6,0,,0,,,0,0,,0,0.04,0,0,,,0,0,100.0,1,1,100.0,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,70.5,63.2,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Dyami Brown,77986,WR,WAS,1,2,0,32,0,,0,,,0,0,,0,-0.69,0,0,,49.4,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.6,0,0,,45.3,0,0,0.0,0,5,0.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Malik Benson,169698,WR,LV,1,2,0,23,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,58.1,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Brevyn Spann-Ford,84006,TE,DAL,1,2,0,9,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,5.0,0,100.0,,0,0,0.0,0,-0.47,0,0,68.3,56.7,0,6,0.0,0,5,20.0,1,100.0,5,91.7,1,20.0,0,6,1,1.0,6.0,1.2
Braelon Allen,145159,HB,NYJ,1,1,0,22,0,,0,,,0,0,,0,0.0,0,0,,,0,0,100.0,1,1,,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.51,0,0,,44.0,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Konata Mumpfield,145598,WR,LA,1,1,0,26,0,,0,,,0,0,,0,-0.17,0,0,,53.7,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.38,0,0,,52.1,0,0,0.0,0,7,14.3,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Will Kacmarek,145896,TE,MIA,1,1,0,17,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,6.0,0,0.0,,0,0,,0,-0.59,0,0,,52.6,0,0,0.0,0,1,0.0,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0
Terrance Ferguson,146563,TE,LA,1,1,0,26,0,,0,,,0,0,,0,-0.17,0,0,,54.9,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,21.0,0,0.0,,0,0,,0,-0.82,0,0,,52.9,0,0,0.0,0,3,50.0,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0
Troy Franklin,146567,WR,DEN,1,1,0,10,0,,0,,,0,0,,0,0.8,0,0,,51.8,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.04,0,0,,55.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Derrick Henry,10679,HB,BLT,1,1,0,3,0,-1.0,0,100.0,,0,0,0.0,0,1.77,1,0,78.7,96.4,0,19,0.0,0,1,100.0,1,100.0,1,118.8,1,100.0,0,19,20,20.0,19.0,19.0,,0,,,0,0,,0,0.0,0,0,68.3,85.9,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Durham Smythe,47257,TE,BLT,1,1,0,3,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,-0.67,0,0,64.7,53.1,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Laquon Treadwell,10657,WR,IND,1,1,0,14,0,,0,,,0,0,,0,-1.8,0,0,,49.3,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.23,0,0,,51.8,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Justice Hill,45865,HB,BLT,1,1,0,3,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,-0.81,0,0,64.7,57.4,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Bhayshul Tuten,150568,HB,JAX,1,1,0,15,0,-5.0,0,100.0,,0,0,0.0,0,1.11,1,0,78.7,96.7,0,22,0.0,0,1,100.0,1,100.0,1,118.8,1,100.0,0,22,27,27.0,22.0,22.0,,0,,,0,0,,0,1.54,0,0,64.7,57.5,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Olamide Zaccheaus,44920,WR,ATL,1,1,0,2,0,,0,,,0,0,,0,0.88,0,0,,53.3,0,0,50.0,1,2,50.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.14,0,0,64.7,54.6,0,0,0.0,0,7,14.3,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Omar Cooper Jr.,156395,WR,NYJ,1,1,0,22,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,4.0,2,100.0,,0,0,0.0,0,3.08,1,0,64.7,89.9,0,30,0.0,0,2,100.0,1,50.0,1,118.8,1,100.0,0,30,26,26.0,30.0,30.0
Eli Raridon,156970,TE,NE,1,1,0,19,0,,0,,,0,0,,0,-0.3,0,0,,49.4,0,0,25.0,1,4,33.3,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.27,0,0,,49.3,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Jahdae Walker,175944,WR,CHI,1,1,0,6,0,,0,,,0,0,,0,-1.82,0,0,,49.6,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,1.0,0,100.0,,0,0,0.0,0,0.04,1,0,68.3,65.5,0,1,0.0,0,9,77.8,1,100.0,9,118.8,1,11.1,1,1,0,0.0,1.0,0.11
Dawson Knox,35883,TE,BUF,1,1,0,4,0,,0,,,0,0,,0,-0.25,0,0,,,0,0,100.0,1,1,0.0,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.41,0,0,64.7,51.4,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
