player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Grant Delpit,60685,S,CLV,1,4,4.0,2.0,8,0,60.4,1,2,0,8,12,2.0
Justin Walley,144980,CB,IND,1,15,3.8,3.8,14,0,118.8,4,4,0,82,34,5.47
Divine Deablo,42208,LB,ATL,1,11,3.7,3.7,2,0,118.8,3,3,0,60,19,5.45
Cole Bishop,146454,S,BUF,1,7,3.5,3.5,4,0,118.8,2,2,0,27,13,3.86
Cam Lewis,49395,S,CHI,1,7,3.5,3.5,6,0,108.3,2,2,0,20,3,2.86
Myles Harden,141857,CB,CLV,1,13,3.3,3.3,8,0,158.3,4,4,1,54,11,4.15
L'Jarius Sneed,40588,CB,KC,1,22,3.1,3.1,16,0,91.1,7,7,0,41,49,1.86
Josh Metellus,43395,S,MIN,1,3,3.0,3.0,18,0,95.8,1,1,0,7,1,2.33
Theo Jackson,62919,S,MIN,1,3,3.0,3.0,18,0,118.8,1,1,0,23,7,7.67
Quentin Lake,56245,S,LA,1,18,3.0,3.0,26,0,98.6,6,6,0,46,24,2.56
Sauce Gardner,100903,CB,IND,1,3,3.0,3.0,14,0,116.7,1,1,0,12,1,4.0
Quay Walker,82547,LB,LV,1,3,3.0,1.5,23,0,58.3,1,2,0,7,9,2.33
DeMarvion Overshown,76729,LB,DAL,1,3,3.0,3.0,9,0,118.8,1,1,0,13,8,4.33
Justin Reid,49048,S,NO,1,5,2.5,2.5,20,0,85.4,2,2,0,9,5,1.8
Kaden Elliss,51485,LB,NO,1,2,2.0,2.0,20,0,87.5,1,1,0,5,1,2.5
Josaiah Stewart,147092,ED,LA,1,2,2.0,2.0,26,0,91.7,1,1,0,6,8,3.0
Jacob Rodriguez,151095,LB,MIA,1,2,2.0,2.0,17,0,79.2,1,1,0,2,6,1.0
Trenton Simpson,122157,LB,BLT,1,2,2.0,2.0,3,0,118.8,1,1,0,13,2,6.5
Devin Lloyd,58238,LB,CAR,1,2,2.0,2.0,5,0,95.8,1,1,0,7,2,3.5
Jarrian Jones,97486,CB,JAX,1,2,2.0,2.0,15,0,87.5,1,1,0,5,7,2.5
Anthony Hill Jr.,173158,LB,TEN,1,2,2.0,2.0,31,0,95.8,1,1,0,7,4,3.5
Jahdae Barron,123105,CB,DEN,1,2,2.0,2.0,10,0,112.5,1,1,0,11,8,5.5
Harrison Smith,7641,S,MIN,1,2,2.0,2.0,18,0,95.8,1,1,0,7,5,3.5
Jordyn Brooks,50851,LB,MIA,1,2,2.0,2.0,17,0,95.8,1,1,0,7,1,3.5
Dell Pettus,97290,S,NE,1,4,2.0,2.0,19,0,106.3,2,2,0,19,11,4.75
Quincy Williams,49779,LB,CLV,1,2,2.0,2.0,8,0,116.7,1,1,0,12,-4,6.0
Andre Cisco,76641,S,NYJ,1,2,2.0,2.0,22,0,87.5,1,1,0,5,2,2.5
Malaki Starks,157069,S,BLT,1,3,1.5,1.5,3,0,118.8,2,2,0,28,21,9.33
Payton Wilson,77127,LB,PIT,1,5,1.3,1.3,25,0,96.9,4,4,0,29,32,5.8
Easton Mascarenas-Arnold,71410,LB,CLV,1,1,1.0,1.0,8,0,104.2,1,1,0,9,0,9.0
Bobby Okereke,50954,LB,CAR,1,1,1.0,1.0,5,0,118.8,1,1,0,19,15,19.0
Bralen Trice,100550,ED,ATL,1,1,1.0,1.0,2,0,108.3,1,1,0,10,5,10.0
Quan Martin,83236,S,WAS,1,1,1.0,1.0,32,0,79.2,1,1,0,-3,2,-3.0
Rayshawn Jenkins,11868,S,PIT,1,1,1.0,1.0,25,0,158.3,1,1,1,23,27,23.0
