player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Quinshon Judkins,157128,HB,CLV,1,12,1,0,0.0,0,0,33,0,3,1,24,57.1,0,1,8,0,5,74.8,55.9,73.5,,55.3,66.5,54.0,59.7,5,0,17,2,13,16,0,0,2,14,0,33,24,2.0,2.8,1.31,7
Jeremiyah Love,171090,HB,ARZ,1,11,2,1,43.9,18,0,41,1,0,2,49,68.5,1,2,1,0,3,74.4,60.6,82.7,,51.2,37.4,69.9,60.0,18,0,9,2,15,14,0,0,3,13,1,41,49,4.45,3.7,0.6,8
Jaxson Dart,146409,QB,NYG,1,11,0,1,40.7,22,0,28,0,0,0,8,0.0,2,4,21,1,0,29.5,71.9,0.0,65.8,,,78.1,60.0,22,1,0,0,0,35,26,3,0,8,0,54,8,0.73,4.9,,2
Kyren Williams,97118,HB,LA,1,11,0,0,0.0,0,0,41,0,0,0,23,0.0,0,3,26,0,8,74.6,65.5,75.6,,19.3,63.4,68.3,60.0,8,0,24,3,20,13,0,0,3,14,1,41,23,2.09,3.7,1.2,3
De'Von Achane,124305,HB,MIA,1,11,2,0,0.0,0,0,36,0,1,2,18,32.7,1,2,17,0,6,75.5,70.2,76.5,,13.9,82.4,65.4,,10,0,30,4,29,12,0,0,4,15,0,36,18,1.64,3.3,1.03,5
Caleb Williams,144622,QB,CHI,1,10,1,0,0.0,0,0,6,0,0,0,1,0.0,1,4,6,0,0,79.7,64.6,0.0,64.0,,,64.8,60.3,29,1,0,0,0,35,59,7,0,3,2,65,3,0.3,6.5,,0
Blake Corum,129574,HB,LA,1,10,1,0,0.0,0,0,54,0,0,1,15,15.0,2,2,26,0,7,73.3,70.8,69.8,,68.8,57.3,69.4,,13,0,0,0,2,10,0,0,0,10,0,54,15,1.5,5.4,0.0,3
Chuba Hubbard,57373,HB,CAR,1,10,3,0,0.0,0,0,49,0,3,3,23,106.2,1,2,5,0,2,75.2,65.9,77.0,,83.0,67.8,61.5,,11,0,38,3,25,12,0,0,3,13,1,49,23,2.3,4.9,1.52,8
Kyle Monangai,129891,HB,CHI,1,10,2,1,61.0,61,0,100,0,0,2,79,131.7,2,2,6,0,2,73.9,74.1,76.1,,46.2,63.6,76.2,60.0,61,0,24,2,15,11,0,0,2,12,1,100,79,7.9,10.0,1.6,8
Christian McCaffrey,11763,HB,SF,1,10,3,1,23.5,16,0,68,1,0,3,39,78.0,2,2,28,0,1,74.7,61.7,75.3,,69.2,45.5,75.7,32.5,16,0,20,5,21,13,0,0,8,15,0,68,39,3.9,6.8,0.95,9
Jaylen Warren,98692,HB,PIT,1,10,4,1,37.0,17,0,46,0,2,4,37,148.0,1,3,25,1,4,23.1,56.7,74.7,,,38.4,65.8,,17,0,29,5,13,10,0,0,6,15,0,46,37,3.7,4.6,2.23,6
Travis Etienne Jr.,57185,HB,NO,1,10,1,1,38.3,18,0,47,0,1,1,23,27.1,2,2,20,0,1,75.4,68.8,79.8,,23.9,85.4,65.8,60.0,18,0,32,7,24,11,0,0,8,17,0,47,23,2.3,4.7,1.33,7
Jadarian Price,156985,HB,SEA,1,10,2,0,0.0,0,0,52,0,0,2,30,50.0,2,4,29,0,1,73.9,67.0,74.0,,73.8,58.5,67.5,,13,0,6,2,11,10,0,0,2,12,0,52,30,3.0,5.2,0.55,9
Braelon Allen,145159,HB,NYJ,1,10,2,0,0.0,0,0,40,0,0,2,27,54.0,0,3,22,0,5,73.8,70.8,75.9,,78.1,48.1,72.1,60.0,9,0,0,0,10,14,0,0,1,10,0,40,27,2.7,4.0,0.0,5
Woody Marks,124179,HB,HST,1,9,5,0,0.0,0,0,42,0,0,5,36,200.0,2,4,13,0,6,75.1,74.7,76.4,,74.5,55.3,78.1,60.0,12,0,-2,1,14,11,0,0,1,10,0,42,36,4.0,4.7,-0.14,2
Kendre Miller,123091,HB,NO,1,9,1,0,0.0,0,0,30,0,0,1,29,35.8,0,2,20,0,1,73.5,44.1,72.4,,25.3,56.2,50.0,60.0,8,0,0,0,5,12,0,0,0,9,1,30,29,3.22,3.3,0.0,8
Brian Robinson,57120,HB,ATL,1,9,2,0,0.0,0,0,31,0,0,2,33,81.5,1,2,2,0,3,74.2,70.4,71.7,,78.0,57.0,69.0,60.0,14,0,0,0,2,10,0,0,0,9,0,31,33,3.67,3.4,0.0,6
Rico Dowdle,40693,HB,PIT,1,8,1,0,0.0,0,0,15,1,0,1,11,13.8,0,0,25,0,2,72.9,45.5,76.5,,58.3,40.6,49.8,,6,0,6,2,21,8,0,0,4,10,0,15,11,1.38,1.9,0.29,6
Emmett Johnson,156473,HB,KC,1,8,1,0,0.0,0,0,24,0,5,1,21,157.5,0,1,16,0,4,73.4,68.2,74.9,,55.2,87.6,62.2,60.0,6,0,44,2,9,12,0,0,2,10,0,24,21,2.63,3.0,4.89,4
George Holani,72154,HB,SEA,1,8,1,0,0.0,0,0,29,0,0,1,17,26.6,0,0,29,0,2,72.1,45.7,77.6,,56.6,55.1,47.3,60.0,9,0,0,0,7,10,0,0,1,8,0,29,17,2.13,3.6,0.0,5
Bucky Irving,144970,HB,TB,1,8,5,0,0.0,0,0,45,0,0,5,31,129.2,1,3,30,1,2,23.8,74.1,75.6,,75.0,44.4,86.2,,10,0,48,7,21,10,0,0,7,15,1,45,31,3.88,5.6,2.29,6
J.K. Dobbins,57366,HB,DEN,1,8,1,1,47.2,17,0,36,0,0,1,33,51.6,1,1,10,0,4,72.7,55.0,74.1,,13.2,53.1,60.9,,17,0,0,0,8,9,0,0,0,8,0,36,33,4.13,4.5,0.0,3
Patrick Mahomes,11765,QB,KC,1,7,0,0,0.0,0,0,-4,0,0,0,0,0.0,1,2,16,1,0,78.6,62.3,79.2,56.2,,,70.7,60.0,15,0,0,0,0,35,27,4,0,3,1,23,21,3.0,3.3,,0
Drake Maye,143969,QB,NE,1,7,2,0,0.0,0,0,3,0,0,0,1,0.0,2,5,19,0,0,79.8,55.1,79.3,50.7,,,67.9,60.0,16,0,0,0,0,27,44,6,0,1,0,47,28,4.0,6.7,,0
Chris Brooks,83644,HB,GB,1,7,0,0,0.0,0,0,29,0,0,0,18,0.0,1,1,12,0,3,72.1,54.8,77.1,,38.2,52.1,62.0,,14,0,0,0,10,8,0,0,0,7,0,29,18,2.57,4.1,0.0,4
Rachaad White,131633,HB,WAS,1,7,0,0,0.0,0,0,22,0,0,0,11,0.0,0,1,32,0,3,73.9,55.3,76.0,,66.0,57.9,54.0,60.0,9,0,5,2,14,8,0,0,2,9,0,22,11,1.57,3.1,0.36,4
Lamar Jackson,46416,QB,BLT,1,7,2,0,0.0,0,0,2,0,0,0,0,0.0,2,3,3,1,1,27.9,83.1,79.3,75.9,,,81.0,60.0,19,0,0,0,0,35,38,3,0,4,1,40,29,4.14,5.7,,0
Jalen Hurts,40291,QB,PHI,1,7,1,0,0.0,0,0,-2,0,0,0,0,0.0,2,2,24,0,0,78.7,79.7,78.4,75.6,,,71.6,60.0,22,0,0,0,0,20,48,5,0,2,0,46,36,5.14,6.6,,0
Mike Washington Jr.,145672,HB,LV,1,7,0,1,43.9,18,0,41,0,0,0,13,0.0,1,1,23,0,1,71.4,62.8,69.4,,75.8,57.4,62.4,,18,0,0,0,3,7,0,0,0,7,0,41,13,1.86,5.9,0.0,6
Tony Pollard,27126,HB,TEN,1,7,1,0,0.0,0,0,35,0,0,1,16,28.6,1,1,31,0,6,71.9,66.4,77.9,,77.6,57.0,64.7,,13,0,-1,1,7,7,0,0,2,8,0,35,16,2.29,5.0,-0.14,1
Josh Allen,46601,QB,BUF,1,6,1,0,0.0,0,0,2,0,0,0,5,0.0,1,2,4,1,2,29.3,69.7,78.5,70.6,,,57.0,60.0,21,0,0,0,0,20,21,1,0,5,2,23,8,1.33,3.8,,0
Deshaun Watson,11767,QB,CLV,1,6,3,0,0.0,0,0,9,0,0,0,8,0.0,0,3,8,1,1,27.6,37.0,0.0,33.7,,,67.9,60.0,9,2,0,0,0,18,29,4,0,2,0,38,30,5.0,6.3,,1
Devin Singletary,40485,HB,NYG,1,6,1,0,0.0,0,0,16,0,0,1,11,18.3,0,0,21,0,2,72.4,57.0,73.1,,77.4,71.7,48.4,,4,0,22,4,17,6,0,0,4,10,0,16,11,1.83,2.7,1.29,4
Justice Hill,45865,HB,BLT,1,6,1,0,0.0,0,1,18,0,0,1,11,26.2,0,2,3,0,1,71.1,52.3,0.0,,32.7,61.1,57.2,60.0,7,2,10,1,17,9,0,0,1,7,0,18,11,1.83,3.0,0.59,5
Malik Willis,60341,QB,MIA,1,6,1,0,0.0,0,0,0,0,0,0,0,0.0,1,2,17,1,0,28.8,55.4,0.0,62.0,,,50.8,60.0,14,2,0,0,0,15,39,5,0,1,1,39,34,5.67,6.5,,1
Chris Rodriguez Jr.,83689,HB,JAX,1,6,1,0,0.0,0,0,23,0,0,1,17,47.2,0,1,15,0,4,70.6,68.7,73.8,,59.4,54.2,70.7,60.0,8,0,0,0,8,11,0,0,0,6,0,23,17,2.83,3.8,0.0,2
Jacoby Brissett,10725,QB,ARZ,1,6,0,0,0.0,0,0,3,0,0,0,3,0.0,1,3,1,0,0,80.3,86.1,79.6,81.5,,,75.1,60.0,11,0,0,0,0,33,11,1,0,5,0,14,3,0.5,2.3,,0
Corey Kiner,86392,HB,NE,1,6,0,0,0.0,0,0,11,0,0,0,9,0.0,0,0,19,0,2,70.6,50.5,68.1,,69.4,59.7,52.0,,7,0,0,0,1,6,0,0,0,6,0,11,9,1.5,1.8,0.0,4
Geno Smith,7820,QB,NYJ,1,6,0,0,0.0,0,0,-9,0,0,0,0,0.0,0,0,22,1,0,77.8,84.6,79.3,88.4,,,51.6,60.0,7,2,0,0,0,39,10,2,0,4,0,1,11,1.83,0.2,,0
Kirk Cousins,7102,QB,LV,1,5,0,0,0.0,0,0,-9,0,0,0,2,0.0,0,0,23,0,1,78.7,46.3,79.2,47.0,,,53.9,60.1,3,0,0,0,0,36,3,1,0,4,0,-6,2,0.4,-1.2,,0
Joe Burrow,28022,QB,CIN,1,5,0,0,0.0,0,0,14,0,0,0,1,0.0,1,4,7,0,0,79.6,66.2,78.9,62.6,,,69.6,60.0,12,0,0,0,0,26,6,1,0,4,0,20,2,0.4,4.0,,0
Justin Herbert,28237,QB,LAC,1,5,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,27,0,0,78.9,53.5,78.6,53.2,,,58.4,60.0,11,0,0,0,0,16,29,5,0,0,0,29,31,6.2,5.8,,0
Brock Purdy,77672,QB,SF,1,5,2,0,0.0,0,0,3,0,0,0,0,0.0,1,4,28,0,0,79.2,63.3,78.9,58.4,,,72.4,60.0,18,0,0,0,0,28,26,2,0,3,0,29,21,4.2,5.8,,0
Ronnie Rivers,57208,HB,LA,1,5,0,0,0.0,0,0,19,0,1,0,12,40.0,0,1,26,0,5,70.3,67.7,69.8,,,78.7,63.1,,7,0,5,1,3,5,0,0,1,6,0,19,12,2.4,3.8,1.67,0
Kenneth Gainwell,77737,HB,TB,1,5,0,0,0.0,0,0,15,0,2,0,12,80.0,0,1,30,0,3,71.9,60.0,76.5,,72.7,66.4,55.3,60.0,7,0,3,1,13,9,0,0,1,6,0,15,12,2.4,3.0,0.23,2
AJ Dillon,57165,HB,CAR,1,5,2,0,0.0,0,0,28,0,0,2,15,120.0,1,1,5,0,4,69.7,74.1,68.6,,,57.8,72.3,,11,0,0,0,2,5,0,0,0,5,0,28,15,3.0,5.6,0.0,1
Baker Mayfield,46518,QB,TB,1,5,2,0,0.0,0,0,-1,0,0,0,0,0.0,0,1,30,3,0,16.2,50.2,0.0,55.1,,,49.0,60.0,9,1,0,0,0,18,31,4,0,1,1,30,21,4.2,6.0,,0
Samaje Perine,11869,HB,CIN,1,5,0,0,0.0,0,0,20,0,0,0,12,0.0,0,1,7,0,1,71.4,66.6,74.5,,26.0,90.7,56.9,60.0,8,0,30,3,7,8,0,0,3,8,0,20,12,2.4,4.0,4.29,4
Jayden Daniels,97993,QB,WAS,1,5,5,0,0.0,0,0,2,0,0,1,6,150.0,2,1,32,0,0,79.6,73.5,0.0,70.5,,,79.3,60.0,14,2,0,0,0,29,29,3,0,2,0,31,37,7.4,6.2,,2
Carson Wentz,10636,QB,MIN,1,5,1,0,0.0,0,0,-2,0,0,0,1,0.0,0,1,18,0,0,77.9,63.4,78.4,62.3,,,61.1,60.0,1,0,0,0,0,27,1,1,0,4,0,-1,4,0.8,-0.2,,0
Cam Ward,133244,QB,TEN,1,4,1,0,0.0,0,0,0,0,0,0,,100.0,0,2,31,0,0,79.0,54.8,78.1,52.8,,,63.7,60.0,7,0,0,0,0,10,21,4,0,0,0,21,13,3.25,5.3,,0
Jonathon Brooks,144721,HB,CAR,1,4,0,0,0.0,0,0,14,0,0,0,5,0.0,0,0,5,0,1,70.3,87.3,73.8,,78.2,93.1,67.9,,6,0,48,1,5,5,0,0,2,5,0,14,5,1.25,3.5,9.6,3
Kaytron Allen,164158,HB,WAS,1,4,0,0,0.0,0,0,16,0,0,0,12,0.0,0,0,32,0,2,68.6,60.6,69.6,,78.5,58.8,59.8,,5,0,0,0,1,4,0,0,0,4,0,16,12,3.0,4.0,0.0,2
Ameer Abdullah,9487,HB,JAX,1,4,2,0,0.0,0,0,32,0,0,2,24,240.0,2,1,15,0,2,71.8,72.7,69.2,,,65.2,69.9,,12,0,0,1,1,4,0,0,1,5,0,32,24,6.0,8.0,0.0,2
Keaton Mitchell,123826,HB,LAC,1,4,1,0,0.0,0,0,9,0,0,1,13,81.3,0,0,27,0,1,71.8,57.0,76.4,,73.0,53.8,60.2,,8,0,0,0,11,4,0,0,0,4,0,9,13,3.25,2.3,0.0,3
RJ Harvey,99622,HB,DEN,1,3,0,0,0.0,0,0,18,0,2,0,8,76.2,0,1,10,0,0,74.4,59.9,75.5,,12.5,68.4,66.3,60.0,7,0,23,4,16,6,0,0,4,7,0,18,8,2.67,6.0,1.44,3
Nick Mullens,12282,QB,JAX,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,15,0,0,67.2,61.6,71.5,,,,60.5,60.0,-1,0,0,0,0,7,0,0,0,3,0,-3,0,0.0,-1.0,,0
Bo Nix,97790,QB,DEN,1,3,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,10,3,0,16.8,33.4,0.0,41.5,,,41.6,60.0,3,1,0,0,0,16,3,1,0,2,0,2,0,0.0,0.7,,0
Tyler Shough,83537,QB,NO,1,3,2,0,0.0,0,0,4,0,0,0,1,0.0,0,1,20,2,0,42.3,75.0,0.0,76.1,,,56.6,60.0,4,2,0,0,0,23,4,2,0,1,0,8,1,0.33,2.7,,1
Tyjae Spears,97195,HB,TEN,1,3,0,0,0.0,0,0,12,0,0,0,7,0.0,1,1,31,0,0,69.0,57.1,77.7,,83.6,48.6,57.3,,10,0,12,2,14,3,0,0,4,5,0,12,7,2.33,4.0,0.86,3
Aaron Rodgers,2241,QB,PIT,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,25,0,0,80.4,80.5,0.0,78.7,,,70.0,60.0,-1,1,0,0,0,21,0,0,0,3,0,-3,0,0.0,-1.0,,0
KC Concepcion,170362,WR,CLV,1,3,1,0,0.0,0,0,15,0,1,1,6,57.1,1,1,8,1,1,19.1,68.1,80.9,,,61.8,68.3,79.3,10,0,43,4,20,14,0,0,4,7,0,15,6,2.0,5.0,2.15,0
Emanuel Wilson,154173,HB,SEA,1,2,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,29,0,0,65.2,50.2,66.3,,,60.0,52.7,,3,0,0,0,1,2,0,0,0,2,0,3,2,1.0,1.5,0.0,2
