player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Theo Jackson,62919,S,MIN,1,0,17.0,50.0,100.0,25.0,12.5,0,0,0,0.0,18,34.9,36.6,75.1,,66.1,79.4,0,23,,0,0,0,91.7,1,25,25,0,0,2,0,23,7,0.9,23.0
Jack Cochrane,63345,LB,KC,1,0,6.0,0.0,100.0,,1.0,0,0,0,0.0,16,60.0,71.2,69.1,,55.4,,0,,,0,0,0,39.6,0,1,1,0,0,1,0,0,0,0.0,
Zyon McCollum,66769,CB,TB,1,1,16.3,50.0,100.0,18.5,9.3,0,0,2,50.0,30,58.5,60.1,77.2,,64.7,82.1,0,18,0.0,0,2,0,75.0,2,38,38,2,7,4,0,30,2,0.8,15.0
Dennis Gardeck,66928,LB,JAX,1,1,3.0,100.0,31.6,3.0,3.0,0,0,0,0.0,15,30.1,36.4,75.6,49.1,61.7,27.8,0,16,50.0,1,0,0,118.8,2,6,19,0,0,2,0,30,24,5.0,15.0
Jonathan Owens,66930,S,IND,1,0,,,100.0,,,0,0,0,,14,60.2,60.2,64.4,,,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Easton Mascarenas-Arnold,71410,LB,CLV,1,0,9.0,100.0,80.0,4.0,4.0,0,0,0,0.0,8,29.5,30.3,68.8,57.8,55.7,71.7,0,9,,0,0,0,104.2,1,4,5,0,0,1,0,9,0,2.3,9.0
Trent McDuffie,72191,CB,LA,1,0,13.3,33.3,97.3,35.0,11.7,0,0,1,33.3,26,85.4,83.4,77.1,60.0,67.3,78.8,0,13,0.0,0,0,0,47.9,1,36,37,2,4,3,0,13,0,0.4,13.0
Evan Williams,73864,S,GB,1,0,,,100.0,,,0,0,0,,12,71.9,73.6,0.0,,73.3,85.4,0,,0.0,0,0,1,0.0,0,34,34,0,2,0,0,0,0,0.0,
Asante Samuel Jr.,76625,CB,PIT,1,0,14.5,50.0,100.0,26.0,13.0,0,0,0,0.0,25,56.5,48.2,0.0,,46.0,24.3,0,21,50.0,1,0,1,87.5,1,28,28,0,1,2,0,21,3,0.8,21.0
Andre Cisco,76641,S,NYJ,1,0,3.7,100.0,97.2,11.3,11.3,0,0,0,0.0,22,52.7,52.6,81.4,58.3,61.7,67.9,0,10,20.0,1,0,0,101.4,3,35,36,0,4,3,0,25,14,0.7,8.3
DJ Ivey,76670,CB,CIN,1,0,,,100.0,,,0,0,0,,7,63.3,64.1,69.8,,60.0,,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
DeMarvion Overshown,76729,LB,DAL,1,0,6.3,100.0,84.6,5.5,5.5,0,0,0,0.0,9,28.2,29.4,0.0,64.0,63.5,37.1,0,16,100.0,1,0,1,145.8,4,22,26,0,0,4,1,38,13,1.7,9.5
Will McDonald IV,76842,ED,NYJ,1,0,,,10.0,,,0,0,0,,22,60.3,80.7,78.0,80.8,59.5,69.2,0,,100.0,1,0,0,0.0,0,2,20,1,0,0,0,0,0,0.0,
