player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Christian Watson,66581,WR,GB,1,16.0,1,75.0,100.0,2,2,0,0.0,0,-0.22,5,12,0,74.6,68.8,87.1,,85.8,2.6,1,1,81,0.0,0,38,0,34.2,6,100.0,38,23.7,9,116.7,8,2,73.7,28,147,72,12.0,24.5,3.87
Christian McCaffrey,11763,HB,SF,1,-0.5,0,62.5,50.0,1,2,0,16.7,1,0.06,0,28,0,45.8,74.7,61.7,69.2,45.5,0.0,0,0,8,4.3,1,23,0,54.5,5,91.3,21,30.4,7,66.7,8,0,4.3,1,20,32,6.4,4.0,0.95
Kendrick Bourne,12270,WR,ARZ,1,5.1,1,100.0,100.0,1,1,0,0.0,0,0.42,5,1,0,76.5,70.1,83.7,,80.1,0.0,0,0,13,0.0,0,33,0,63.3,8,90.9,30,63.6,21,105.7,8,0,36.4,12,75,34,4.3,9.4,2.5
CeeDee Lamb,61570,WR,DAL,1,11.8,1,62.5,0.0,0,2,0,16.7,1,0.22,5,9,0,46.3,69.1,66.1,,67.4,0.0,0,0,15,0.0,0,34,0,58.6,5,85.3,29,38.2,13,116.7,8,1,61.8,21,44,20,4.0,8.8,1.52
Tetairoa McMillan,158735,WR,CAR,1,14.0,1,62.5,0.0,0,1,0,0.0,0,0.22,4,5,1,73.4,16.0,60.8,,60.3,0.0,0,0,21,0.0,0,41,0,46.2,5,95.1,39,26.8,11,93.2,8,0,73.2,30,75,24,4.8,15.0,1.92
Deebo Samuel,48274,WR,SF,1,3.0,0,85.7,,0,0,0,14.3,1,0.15,3,28,0,49.2,71.9,69.6,,67.4,0.0,0,0,15,0.0,0,20,0,57.9,6,95.0,19,45.0,9,134.8,7,1,50.0,10,48,28,4.7,8.0,2.53
Jayden Reed,78171,WR,GB,1,5.6,0,42.9,,0,0,0,0.0,0,-0.25,1,12,0,70.5,65.8,59.4,66.1,59.0,0.0,0,0,7,3.3,1,30,0,36.7,3,96.7,29,76.7,23,50.3,7,0,20.0,6,20,4,1.3,6.7,0.69
Mike Gesicki,47153,TE,CIN,1,10.1,0,71.4,0.0,0,1,0,0.0,0,0.51,5,7,0,73.4,68.0,90.1,,87.5,0.0,0,0,25,0.0,0,17,0,58.8,5,100.0,17,76.5,13,147.6,7,1,23.5,4,78,22,4.4,15.6,4.59
Mike Evans,8642,WR,SF,1,8.6,0,85.7,100.0,3,3,0,14.3,1,0.33,6,28,0,49.7,68.8,81.7,,80.5,0.0,0,0,13,0.0,0,27,0,57.7,6,96.3,26,22.2,6,135.4,7,1,77.8,21,49,7,1.2,8.2,1.88
Michael Mayer,122906,TE,LV,1,4.7,1,85.7,,0,0,0,0.0,0,0.05,3,23,0,74.6,68.8,76.3,42.9,70.0,85.7,24,0,14,10.7,3,28,0,44.4,6,85.7,24,10.7,3,85.7,7,0,3.6,1,32,15,2.5,5.3,1.33
Demario Douglas,104155,WR,NE,1,6.0,0,71.4,,0,0,0,0.0,0,-0.06,2,19,0,73.4,68.0,62.1,,61.6,0.0,0,1,8,0.0,0,35,0,51.5,5,94.3,33,85.7,30,34.5,7,0,14.3,5,20,23,4.6,4.0,0.61
Dalton Schultz,47304,TE,HST,1,4.9,1,57.1,,0,0,0,0.0,0,0.1,1,13,0,72.1,67.0,62.5,78.5,61.3,33.3,13,0,18,7.7,3,39,0,47.1,4,82.1,32,46.2,18,70.5,7,0,17.9,7,35,27,6.8,8.8,1.09
Michael Wilson,84423,WR,ARZ,1,12.3,0,71.4,66.7,2,3,0,0.0,0,0.4,3,1,0,74.6,68.8,69.3,,68.7,0.0,0,0,17,0.0,0,39,0,63.9,5,92.3,36,28.2,11,94.9,7,0,71.8,28,56,2,0.4,11.2,1.56
DJ Moore,48267,WR,BUF,1,21.9,0,71.4,0.0,0,1,0,0.0,0,0.75,4,4,0,73.4,68.0,79.0,,77.3,0.0,0,0,43,0.0,0,30,0,53.8,5,86.7,26,23.3,7,153.3,7,1,76.7,23,100,27,5.4,20.0,3.85
Ladd McConkey,124030,WR,LAC,1,14.9,0,71.4,50.0,1,2,0,0.0,0,0.21,5,27,0,73.4,68.0,90.7,,90.0,0.0,0,0,23,0.0,0,20,0,66.7,5,90.0,18,70.0,14,150.0,7,1,30.0,6,82,8,1.6,16.4,4.56
Garrett Wilson,97405,WR,NYJ,1,10.7,0,85.7,100.0,1,1,0,0.0,0,0.42,3,22,0,75.6,69.5,72.2,,71.6,0.0,0,0,31,0.0,0,23,1,57.1,6,91.3,21,13.0,3,113.7,7,0,87.0,20,79,19,3.2,13.2,3.76
Bucky Irving,144970,HB,TB,1,-3.7,0,100.0,,0,0,0,0.0,0,-0.36,2,30,1,75.6,23.8,74.1,75.0,44.4,0.0,0,0,22,12.0,3,25,0,54.2,7,84.0,21,0.0,0,95.2,7,0,4.0,1,48,74,10.6,6.9,2.29
George Pickens,99229,WR,DAL,1,18.0,0,50.0,0.0,0,1,0,40.0,2,0.27,2,9,0,28.0,65.8,51.3,,51.4,0.0,0,0,11,0.0,0,37,0,59.4,3,86.5,32,2.7,1,63.2,6,0,97.3,36,28,6,2.0,9.3,0.88
Jaylen Warren,98692,HB,PIT,1,-1.5,2,83.3,,0,0,0,0.0,0,-0.49,1,25,1,73.4,23.1,56.7,,38.4,0.0,0,0,18,0.0,0,15,0,30.8,5,86.7,13,13.3,2,86.8,6,0,13.3,2,29,42,8.4,5.8,2.23
Rhamondre Stevenson,98689,HB,NE,1,-1.5,0,83.3,0.0,0,1,0,0.0,0,0.08,1,19,0,73.4,77.9,63.8,57.0,64.4,0.0,0,0,17,25.6,10,39,0,57.9,5,74.4,29,0.0,0,97.2,6,0,7.7,3,44,47,9.4,8.8,1.52
Davante Adams,8688,WR,LA,1,10.8,0,50.0,50.0,1,2,0,0.0,0,-0.84,1,26,0,70.5,65.8,67.1,,66.1,0.0,0,0,13,0.0,0,23,0,19.0,3,91.3,21,39.1,9,61.8,6,0,60.9,14,26,9,3.0,8.7,1.24
Dalton Kincaid,91791,TE,BUF,1,15.8,2,83.3,100.0,1,1,0,0.0,0,0.58,4,4,0,73.4,68.0,91.5,69.8,91.6,44.0,11,0,40,4.0,1,25,0,52.2,5,88.0,22,36.0,9,118.8,6,0,20.0,5,130,42,8.4,26.0,5.91
Zay Flowers,97268,WR,BLT,1,13.8,1,83.3,,0,0,0,0.0,0,1.26,5,3,0,73.4,68.0,93.7,,94.0,0.0,0,0,54,0.0,0,11,0,72.7,5,100.0,11,54.5,6,158.3,6,1,36.4,4,150,83,16.6,30.0,13.64
Kenneth Walker III,97199,HB,KC,1,-0.8,0,50.0,0.0,0,1,0,40.0,2,-0.11,2,16,0,28.0,78.3,86.8,73.1,41.1,4.8,1,0,11,4.8,1,21,0,50.0,3,90.5,19,0.0,0,95.8,6,1,0.0,0,18,19,6.3,6.0,0.95
Caleb Douglas,157740,WR,MIA,1,16.7,2,83.3,,0,0,0,0.0,0,-0.09,3,17,0,73.4,68.0,76.1,,75.1,0.0,0,1,30,0.0,0,35,0,43.8,5,91.4,32,31.4,11,79.2,6,0,68.6,24,94,35,7.0,18.8,2.94
Ashton Jeanty,157196,HB,LV,1,2.5,0,100.0,100.0,1,1,0,0.0,0,0.12,2,23,0,74.6,78.7,71.0,54.9,66.4,12.5,3,0,13,16.7,4,24,0,52.2,6,79.2,19,16.7,4,137.5,6,2,4.2,1,45,30,5.0,7.5,2.37
Juwan Johnson,28305,TE,NO,1,13.8,0,50.0,33.3,1,3,0,0.0,0,0.15,3,20,0,70.5,65.8,73.4,60.0,70.1,30.0,18,0,27,8.3,5,60,0,53.6,3,85.0,51,53.3,32,120.8,6,1,16.7,10,54,3,1.0,18.0,1.06
Keenan Allen,7857,WR,IND,1,3.7,0,100.0,,0,0,0,0.0,0,-0.26,1,14,0,74.6,68.8,60.9,,60.6,0.0,0,0,9,0.0,0,26,0,42.3,6,100.0,26,30.8,8,88.9,6,0,69.2,18,32,10,1.7,5.3,1.23
