player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Chris Godwin,11839,WR,TB,1,0.3,3,100.0,,0,0,0,0.0,0,-0.35,2,30,0,72.1,68.3,63.0,,64.5,2.9,1,0,30,0.0,0,35,0,50.0,4,91.4,32,54.3,19,108.3,4,0,42.9,15,40,39,9.8,10.0,1.25
Courtland Sutton,48164,WR,DEN,1,8.0,0,50.0,,0,0,0,0.0,0,-0.48,0,10,0,68.3,64.0,52.1,,53.0,0.0,0,1,6,0.0,0,30,0,41.4,2,96.7,29,26.7,8,16.7,4,0,73.3,22,11,4,2.0,5.5,0.38
Terry McLaurin,48229,WR,WAS,1,5.5,0,50.0,,0,0,0,33.3,1,0.14,1,32,0,29.9,64.0,49.5,,49.2,0.0,0,0,8,0.0,0,38,0,37.1,2,92.1,35,28.9,11,58.3,4,0,71.1,27,14,15,7.5,7.0,0.4
Gunnar Helm,144726,TE,TEN,1,1.8,1,100.0,100.0,1,1,0,0.0,0,-0.15,1,31,0,72.1,67.0,62.3,61.6,61.7,36.7,11,0,12,23.3,7,30,0,48.3,4,73.3,22,36.7,11,95.8,4,0,23.3,7,28,21,5.3,7.0,1.27
Josh Oliver,47083,TE,MIN,1,3.0,0,50.0,,0,0,0,0.0,0,-0.14,1,18,0,68.3,64.0,76.5,23.3,89.4,91.7,11,0,13,25.0,3,12,0,33.3,2,75.0,9,0.0,0,66.7,4,0,0.0,0,22,6,3.0,11.0,2.44
Denzel Boston,162481,WR,CLV,1,29.0,0,50.0,,0,0,0,0.0,0,-0.24,2,8,0,68.3,67.1,67.6,,67.6,0.0,0,0,46,0.0,0,31,0,46.7,2,96.8,30,9.7,3,135.4,4,1,90.3,28,59,2,1.0,29.5,1.97
Jack Bech,146771,WR,LV,1,7.3,1,75.0,100.0,1,1,0,0.0,0,0.19,1,23,0,70.5,65.8,70.4,,70.2,0.0,0,1,15,0.0,0,13,0,46.2,3,100.0,13,69.2,9,88.5,4,1,30.8,4,23,7,2.3,7.7,1.77
Bryce Lance,148151,WR,NO,1,9.5,0,75.0,100.0,1,1,0,0.0,0,0.09,2,20,0,70.5,65.8,62.5,,61.9,0.0,0,0,19,0.0,0,49,0,55.6,3,91.8,45,22.4,11,108.3,4,0,77.6,38,42,7,2.3,14.0,0.93
RJ Harvey,99622,HB,DEN,1,-6.0,2,100.0,,0,0,0,0.0,0,-0.5,0,10,0,72.1,74.4,59.9,12.5,68.4,0.0,0,0,11,20.0,4,20,0,45.0,4,80.0,16,0.0,0,90.6,4,0,10.0,2,23,47,11.8,5.8,1.44
A.J. Brown,48327,WR,NE,1,4.8,0,75.0,50.0,1,2,0,0.0,0,0.3,2,19,0,70.5,65.8,69.2,,68.7,0.0,0,0,14,0.0,0,17,0,75.0,3,94.1,16,5.9,1,91.7,4,0,94.1,16,26,15,5.0,8.7,1.63
Jonathan Taylor,57488,HB,IND,1,0.3,1,75.0,,0,0,0,0.0,0,-0.28,0,14,1,70.5,26.0,67.7,68.0,36.2,0.0,0,0,13,27.6,8,29,0,39.3,3,69.0,20,10.3,3,88.5,4,0,3.4,1,23,25,8.3,7.7,1.15
Malachi Fields,151069,WR,NYG,1,16.8,0,50.0,0.0,0,1,0,0.0,0,0.75,1,21,0,68.3,64.0,63.2,,60.3,0.0,0,0,19,0.0,0,21,0,81.0,2,100.0,21,23.8,5,69.8,4,0,76.2,16,25,16,8.0,12.5,1.19
Tre Tucker,101106,WR,LV,1,12.5,0,50.0,0.0,0,2,0,0.0,0,0.09,1,23,0,68.3,64.0,56.5,,57.1,0.0,0,0,21,0.0,0,28,0,44.4,2,96.4,27,14.3,4,71.9,4,0,85.7,24,27,2,1.0,13.5,1.0
De'Von Achane,124305,HB,MIA,1,2.3,1,100.0,100.0,2,2,0,0.0,0,-0.18,1,17,0,73.4,75.5,70.2,13.9,82.4,0.0,0,0,14,11.4,4,35,0,39.4,4,82.9,29,22.9,8,97.9,4,0,5.7,2,30,21,5.3,7.5,1.03
Antonio Williams,156241,WR,WAS,1,13.8,0,100.0,,0,0,0,0.0,0,1.35,4,32,0,72.1,67.0,91.2,,90.8,0.0,0,0,33,0.0,0,12,0,81.8,4,91.7,11,58.3,7,158.3,4,1,41.7,5,64,9,2.3,16.0,5.82
Jerry Jeudy,61103,WR,CLV,1,11.3,0,50.0,,0,0,0,0.0,0,-0.17,1,8,0,68.3,64.0,59.0,,59.0,0.0,0,1,20,0.0,0,26,0,56.0,2,96.2,25,26.9,7,31.3,4,0,73.1,19,26,10,5.0,13.0,1.04
KC Concepcion,170362,WR,CLV,1,7.0,1,100.0,100.0,1,1,0,0.0,0,-0.19,2,8,1,72.1,19.1,68.1,,61.8,0.0,0,0,25,0.0,0,21,0,45.0,4,95.2,20,66.7,14,111.5,4,0,33.3,7,43,15,3.8,10.8,2.15
James Cook,83666,HB,BUF,1,-0.8,0,75.0,,0,0,0,25.0,1,0.23,2,4,0,36.2,23.7,50.2,82.6,38.6,8.0,2,0,6,20.0,5,25,0,50.0,3,64.0,16,4.0,1,77.1,4,0,0.0,0,12,14,4.7,4.0,0.75
T.J. Hockenson,40912,TE,MIN,1,6.3,0,100.0,100.0,2,2,0,0.0,0,0.22,2,18,0,72.1,67.0,66.3,68.1,64.7,34.5,10,0,16,6.9,2,29,0,40.0,4,79.3,23,55.2,16,143.8,4,1,10.3,3,36,13,3.3,9.0,1.57
Rico Dowdle,40693,HB,PIT,1,0.3,0,50.0,,0,0,0,33.3,1,-0.2,0,25,0,29.9,72.9,45.5,58.3,40.6,0.0,0,0,4,29.0,9,31,0,41.4,2,67.7,21,12.9,4,56.3,4,0,9.7,3,6,12,6.0,3.0,0.29
Devin Singletary,40485,HB,NYG,1,-4.0,0,100.0,,0,0,0,0.0,0,0.85,2,21,0,72.1,72.4,57.0,77.4,71.7,0.0,0,0,13,10.5,2,19,0,73.7,4,89.5,17,5.3,1,129.2,4,1,5.3,1,22,38,9.5,5.5,1.29
Makai Lemon,174150,WR,PHI,1,-0.3,0,75.0,,0,0,0,0.0,0,0.08,0,24,0,70.5,65.8,54.9,,52.9,0.0,0,0,3,0.0,0,29,0,37.9,3,100.0,29,75.9,22,77.1,4,0,24.1,7,-5,3,1.0,-1.7,-0.17
Ja'Marr Chase,84270,WR,CIN,1,8.5,0,50.0,33.3,1,3,0,0.0,0,0.02,1,7,0,68.3,64.0,55.7,,55.3,0.0,0,0,16,0.0,0,37,0,52.8,2,97.3,36,37.8,14,56.3,4,0,62.2,23,12,1,0.5,6.0,0.33
Tyjae Spears,97195,HB,TEN,1,-3.0,0,50.0,0.0,0,1,0,0.0,0,-0.04,0,31,0,68.3,69.0,57.1,83.6,48.6,0.0,0,0,8,36.4,8,22,0,50.0,2,63.6,14,13.6,3,56.3,4,0,0.0,0,12,22,11.0,6.0,0.86
Evan Engram,11778,TE,DEN,1,7.5,1,100.0,,0,0,0,0.0,0,-0.55,3,10,0,72.1,67.0,75.8,23.3,77.1,60.0,15,0,19,4.0,1,25,0,41.7,4,92.0,23,16.0,4,151.0,4,1,24.0,6,43,15,3.8,10.8,1.87
Ted Hurst,187922,WR,TB,1,11.3,0,100.0,100.0,1,1,0,0.0,0,0.02,2,30,0,70.5,65.8,61.4,,61.1,0.0,0,0,16,0.0,0,31,0,63.3,3,96.8,30,32.3,10,116.7,3,0,67.7,21,36,2,0.7,12.0,1.2
Hunter Henry,10669,TE,NE,1,4.0,1,100.0,100.0,1,1,0,0.0,0,0.09,1,19,0,70.5,65.8,61.7,77.8,59.0,38.9,14,0,13,30.6,11,36,0,62.9,3,69.4,25,36.1,13,102.8,3,0,5.6,2,26,14,4.7,8.7,1.04
Demarcus Robinson,10760,WR,SF,1,17.7,0,66.7,50.0,1,2,1,0.0,0,0.46,2,28,0,68.3,64.0,68.2,,69.0,0.0,0,0,39,0.0,0,22,1,66.7,2,95.5,21,27.3,6,149.3,3,1,72.7,16,50,8,4.0,25.0,2.38
Cooper Kupp,11824,WR,SEA,1,17.3,1,66.7,100.0,1,1,0,0.0,0,0.04,2,29,0,70.5,65.8,84.0,,84.0,0.0,0,0,24,0.0,0,22,0,47.6,2,95.5,21,45.5,10,106.3,3,0,54.5,12,35,3,1.5,17.5,1.67
Jonnu Smith,11855,TE,GB,1,8.3,0,66.7,0.0,0,1,0,0.0,0,-0.03,2,12,0,68.3,64.0,73.8,58.2,71.8,37.5,9,0,43,29.2,7,24,0,37.5,2,70.8,17,45.8,11,109.7,3,0,16.7,4,50,29,14.5,25.0,2.94
Samaje Perine,11869,HB,CIN,1,1.0,0,100.0,,0,0,0,0.0,0,0.02,2,7,0,70.5,71.4,66.6,26.0,90.7,0.0,0,0,14,30.0,3,10,0,60.0,3,70.0,7,0.0,0,108.3,3,0,10.0,1,30,27,9.0,10.0,4.29
Michael Pittman Jr.,29049,WR,PIT,1,11.3,0,100.0,100.0,1,1,0,0.0,0,-0.34,2,25,0,70.5,65.8,60.3,,63.2,0.0,0,0,28,0.0,0,42,1,35.9,3,92.9,39,28.6,12,118.8,3,0,71.4,30,58,24,8.0,19.3,1.49
John Bates,42275,TE,WAS,1,2.3,0,66.7,,0,0,0,0.0,0,0.0,0,32,0,70.5,65.8,55.9,77.0,55.1,68.8,11,0,8,31.3,5,16,0,42.9,2,62.5,10,12.5,2,75.7,3,0,6.3,1,13,16,8.0,6.5,1.3
David Montgomery,45719,HB,HST,1,1.3,0,100.0,100.0,1,1,0,0.0,0,0.02,1,13,0,70.5,77.6,72.6,78.4,76.6,0.0,0,0,9,26.3,5,19,1,47.1,3,73.7,14,0.0,0,132.6,3,1,0.0,0,19,15,5.0,6.3,1.36
Drew Sample,47259,TE,CIN,1,1.3,0,100.0,,0,0,0,0.0,0,0.09,1,7,0,72.1,67.0,61.0,31.4,68.2,55.0,11,0,11,30.0,6,20,0,63.2,3,65.0,13,10.0,2,93.1,3,0,0.0,0,19,15,5.0,6.3,1.46
Chuba Hubbard,57373,HB,CAR,1,0.3,3,100.0,,0,0,0,0.0,0,0.23,2,5,0,72.1,75.2,65.9,83.0,67.8,0.0,0,0,29,25.0,9,36,0,48.5,3,69.4,25,11.1,4,158.3,3,1,2.8,1,38,38,12.7,12.7,1.52
Cole Kmet,60995,TE,CHI,1,17.3,0,66.7,100.0,1,1,0,0.0,0,0.08,2,6,0,68.3,64.0,84.6,39.5,80.3,61.9,13,0,22,9.5,2,21,0,45.0,2,90.5,19,4.8,1,145.8,3,1,19.0,4,35,8,4.0,17.5,1.84
Rashid Shaheed,63707,WR,SEA,1,5.3,0,33.3,,0,0,0,0.0,0,-0.25,0,29,0,64.7,75.2,49.0,,49.1,0.0,0,0,4,0.0,0,21,0,30.0,1,95.2,20,23.8,5,42.4,3,0,76.2,16,4,2,2.0,4.0,0.2
Rome Odunze,73774,WR,CHI,1,29.7,0,66.7,100.0,2,2,0,0.0,0,0.84,1,6,0,68.3,66.8,59.2,,65.0,0.0,0,0,47,0.0,0,23,1,63.6,2,95.7,22,21.7,5,109.7,3,0,73.9,17,52,2,1.0,26.0,2.36
Chigoziem Okonkwo,84000,TE,WAS,1,13.0,0,66.7,50.0,1,2,0,0.0,0,-0.44,1,32,0,68.3,64.0,63.4,,60.9,39.1,9,0,15,0.0,0,23,0,18.2,2,95.7,22,52.2,12,79.9,3,0,8.7,2,16,2,1.0,8.0,0.73
Tommy Tremble,84025,TE,CAR,1,5.0,1,100.0,,0,0,0,0.0,0,0.65,2,5,0,70.5,65.8,75.8,70.2,69.9,57.1,12,0,11,9.5,2,21,0,60.0,3,85.7,18,38.1,8,101.4,3,0,0.0,0,25,10,3.3,8.3,1.39
Jaylen Waddle,84088,WR,DEN,1,4.0,0,33.3,100.0,1,1,0,50.0,1,-0.58,0,10,0,29.9,64.0,46.9,,47.2,0.0,0,0,2,0.0,0,29,0,37.0,1,93.1,27,65.5,19,42.4,3,0,31.0,9,2,0,0.0,2.0,0.07
Romeo Doubs,84329,WR,NE,1,22.3,0,0.0,0.0,0,1,0,100.0,1,-0.09,0,19,0,27.9,,42.5,,46.1,0.0,0,1,0,0.0,0,33,0,53.1,0,97.0,32,18.2,6,0.0,3,0,81.8,27,0,0,,,0.0
Jahan Dotson,84375,WR,ATL,1,15.7,0,33.3,,0,0,0,0.0,0,-0.64,1,2,0,64.7,61.2,60.2,,60.4,0.0,0,1,19,0.0,0,20,0,26.3,1,95.0,19,25.0,5,16.7,3,0,75.0,15,19,1,1.0,19.0,1.0
Drake London,86519,WR,ATL,1,8.7,0,66.7,,0,0,0,0.0,0,-0.63,1,2,0,70.5,67.4,71.5,,70.0,0.0,0,0,21,0.0,0,27,0,36.0,2,92.6,25,22.2,6,97.9,3,0,77.8,21,29,8,4.0,14.5,1.16
Kyren Williams,97118,HB,LA,1,2.3,0,100.0,,0,0,0,0.0,0,-0.48,1,26,0,70.5,74.6,65.5,19.3,63.4,3.8,1,0,16,11.5,3,26,0,30.4,3,76.9,20,0.0,0,100.0,3,0,0.0,0,24,17,5.7,8.0,1.2
Brenton Strange,101694,TE,JAX,1,13.0,0,66.7,0.0,0,1,0,0.0,0,0.89,1,15,0,68.3,64.0,63.9,72.4,71.1,61.1,11,0,14,11.1,2,18,1,66.7,2,88.9,16,27.8,5,129.2,3,1,11.1,2,23,0,0.0,11.5,1.44
Adam Trautman,109795,TE,DEN,1,-0.3,0,66.7,,0,0,0,33.3,1,-0.48,0,10,0,29.9,64.0,43.1,70.6,38.6,70.0,7,0,6,10.0,1,10,0,22.2,2,90.0,9,20.0,2,71.5,3,0,10.0,1,10,8,4.0,5.0,1.11
Andrei Iosivas,109811,WR,CIN,1,5.0,0,66.7,100.0,1,1,0,0.0,0,-0.1,1,7,0,68.3,64.0,57.2,,56.9,0.0,0,1,12,0.0,0,27,0,50.0,2,96.3,26,59.3,16,34.7,3,0,40.7,11,12,2,1.0,6.0,0.46
Josh Downs,122832,WR,IND,1,7.0,0,66.7,,0,0,0,0.0,0,-0.42,2,14,0,68.3,69.2,66.0,,65.8,0.0,0,0,25,0.0,0,33,0,34.4,2,97.0,32,78.8,26,109.0,3,0,21.2,7,37,22,11.0,18.5,1.16
Marvin Harrison Jr.,145056,WR,ARZ,1,24.7,0,33.3,100.0,1,1,0,50.0,1,0.31,1,1,0,28.8,61.2,54.6,,54.2,0.0,0,0,33,0.0,0,37,0,61.8,1,91.9,34,13.5,5,75.7,3,0,86.5,32,33,3,3.0,33.0,0.97
Raheim Sanders,146626,HB,CLV,1,-2.0,2,100.0,,0,0,0,0.0,0,0.24,1,8,0,70.5,71.6,59.1,68.5,67.2,0.0,0,0,11,6.3,1,16,0,57.1,3,81.3,13,6.3,1,101.4,3,0,0.0,0,25,31,10.3,8.3,1.92
Adonai Mitchell,146712,WR,NYJ,1,19.7,0,100.0,100.0,1,1,0,0.0,0,0.36,2,22,0,70.5,65.8,68.8,,73.5,0.0,0,0,40,0.0,0,23,0,52.4,3,91.3,21,17.4,4,118.8,3,0,82.6,19,60,1,0.3,20.0,2.86
Brian Thomas Jr.,146760,WR,JAX,1,14.7,1,100.0,100.0,1,1,0,0.0,0,0.86,3,15,1,70.5,13.9,71.9,,70.6,0.0,0,0,18,0.0,0,14,0,71.4,3,100.0,14,14.3,2,118.8,3,0,85.7,12,40,-4,-1.3,13.3,2.86
Mason Taylor,157122,TE,NYJ,1,0.0,0,66.7,0.0,0,1,0,0.0,0,0.32,0,22,0,68.3,64.0,54.3,69.6,46.0,50.0,9,0,6,5.6,1,18,1,58.8,2,88.9,16,44.4,8,70.1,3,0,5.6,1,-2,0,0.0,-1.0,-0.13
Elic Ayomanor,157263,WR,TEN,1,13.3,0,33.3,0.0,0,2,0,0.0,0,-0.26,1,31,0,64.7,61.2,59.3,,59.0,0.0,0,0,11,0.0,0,21,0,42.9,1,100.0,21,23.8,5,84.7,3,1,76.2,16,11,0,0.0,11.0,0.52
Harold Fannin Jr.,163104,TE,CLV,1,3.3,0,66.7,,0,0,0,0.0,0,-0.19,1,8,0,68.3,64.0,63.9,66.9,66.3,59.3,16,0,12,3.7,1,27,0,52.0,2,88.9,24,22.2,6,86.8,3,0,18.5,5,21,15,7.5,10.5,0.88
Jeremiyah Love,171090,HB,ARZ,1,2.3,0,66.7,100.0,1,1,0,33.3,1,0.15,0,1,0,29.9,74.4,60.6,51.2,37.4,0.0,0,0,5,16.7,3,18,0,55.6,2,83.3,15,27.8,5,70.1,3,0,0.0,0,9,4,2.0,4.5,0.6
Kenyon Sadiq,174132,TE,NYJ,1,-0.3,0,100.0,,0,0,0,0.0,0,0.28,0,22,0,70.5,67.4,56.2,65.9,55.3,61.5,8,0,8,7.7,1,13,1,66.7,3,92.3,12,15.4,2,95.8,3,0,15.4,2,21,22,7.3,7.0,1.75
Ja'Kobi Lane,176638,WR,BLT,1,13.3,0,33.3,,0,0,0,0.0,0,0.29,0,3,0,68.3,64.0,61.7,,61.6,0.0,0,0,11,0.0,0,18,0,68.8,1,88.9,16,16.7,3,45.1,3,0,83.3,15,11,4,4.0,11.0,0.69
Rachaad White,131633,HB,WAS,1,-5.0,0,100.0,,0,0,0,0.0,0,0.34,0,32,0,68.3,73.9,55.3,66.0,57.9,0.0,0,0,3,23.8,5,21,0,42.1,2,66.7,14,4.8,1,79.2,2,0,9.5,2,5,15,7.5,2.5,0.36
Jordan Addison,123000,WR,MIN,1,14.0,0,0.0,,0,0,0,,0,-0.03,0,18,0,,,49.9,,50.8,0.0,0,0,0,0.0,0,32,0,32.1,0,87.5,28,25.0,8,39.6,2,0,75.0,24,0,0,,,0.0
Kevin Coleman Jr.,160756,WR,MIA,1,13.0,0,0.0,0.0,0,1,0,,0,-0.79,0,17,0,,,52.8,,53.4,0.0,0,0,0,0.0,0,16,0,21.4,0,87.5,14,12.5,2,39.6,2,0,87.5,14,0,0,,,0.0
Foster Moreau,47043,TE,HST,1,3.0,0,100.0,,0,0,0,0.0,0,0.27,0,13,0,68.3,64.0,64.0,51.1,69.8,83.3,10,0,9,25.0,3,12,0,54.5,2,75.0,9,8.3,1,97.9,2,0,8.3,1,15,9,4.5,7.5,1.67
Mitchell Evans,147486,TE,CAR,1,7.5,0,50.0,0.0,0,1,0,0.0,0,0.53,0,5,0,68.3,64.0,64.7,76.8,64.9,60.0,9,0,9,26.7,4,15,0,41.7,1,53.3,8,26.7,4,62.5,2,0,6.7,1,9,4,4.0,9.0,1.13
Lan Larison,142157,HB,NE,1,-1.5,0,100.0,,0,0,0,0.0,0,0.17,1,19,0,68.3,68.7,67.5,,81.0,0.0,0,0,11,0.0,0,3,0,50.0,2,66.7,2,0.0,0,85.4,2,0,0.0,0,9,12,6.0,4.5,4.5
Joshua Palmer,62979,WR,BUF,1,31.5,0,50.0,,0,0,0,0.0,0,0.7,1,4,0,64.7,61.2,70.8,,69.6,6.3,1,0,34,0.0,0,16,0,53.8,1,81.3,13,43.8,7,135.4,2,1,50.0,8,34,7,7.0,34.0,2.62
Saquon Barkley,45791,HB,PHI,1,-1.0,0,50.0,,0,0,0,50.0,1,0.19,0,24,0,30.0,75.9,72.0,47.1,59.1,0.0,0,0,-3,54.2,13,24,0,39.1,1,41.7,10,8.3,2,56.3,2,0,0.0,0,-3,3,3.0,-3.0,-0.3
Jaylin Noel,125155,WR,HST,1,13.0,0,100.0,,0,0,0,0.0,0,0.14,2,13,0,68.3,71.6,69.3,,68.3,0.0,0,0,35,0.0,0,18,0,60.0,2,83.3,15,83.3,15,118.8,2,0,16.7,3,53,27,13.5,26.5,3.53
Luke Farrell,42353,TE,SF,1,1.5,0,100.0,,0,0,0,0.0,0,0.44,1,28,0,68.3,64.0,63.6,74.3,58.9,82.6,19,0,14,13.0,3,23,0,68.2,2,82.6,19,13.0,3,106.3,2,0,4.3,1,19,16,8.0,9.5,1.0
Chris Bell,156321,WR,MIA,1,21.0,1,50.0,0.0,0,1,0,50.0,1,0.24,1,17,0,28.9,61.2,53.7,,53.9,0.0,0,0,25,0.0,0,21,0,50.0,1,95.2,20,28.6,6,95.8,2,0,71.4,15,25,2,2.0,25.0,1.25
Oronde Gadsden II,144046,TE,LAC,1,3.5,0,100.0,,0,0,0,0.0,0,-0.13,1,27,0,68.3,64.0,64.4,,68.8,14.3,1,0,26,0.0,0,7,0,60.0,2,71.4,5,57.1,4,118.8,2,0,28.6,2,32,25,12.5,16.0,6.4
Emmett Johnson,156473,HB,KC,1,-4.0,5,100.0,,0,0,0,0.0,0,0.21,1,16,0,68.3,73.4,68.2,55.2,87.6,0.0,0,0,25,30.8,4,13,0,46.2,2,69.2,9,0.0,0,118.8,2,0,0.0,0,44,52,26.0,22.0,4.89
AJ Barner,129433,TE,SEA,1,-0.5,0,100.0,,0,0,0,0.0,0,0.24,1,29,0,68.3,66.2,62.8,51.4,54.4,70.8,17,0,9,20.8,5,24,1,47.8,2,79.2,19,12.5,3,93.8,2,0,12.5,3,13,14,7.0,6.5,0.68
Jadarian Price,156985,HB,SEA,1,-1.0,0,100.0,100.0,1,1,0,0.0,0,0.31,0,29,0,68.3,73.9,67.0,73.8,58.5,0.0,0,0,4,21.4,3,14,0,64.3,2,78.6,11,7.1,1,79.2,2,0,7.1,1,6,8,4.0,3.0,0.55
LaJohntay Wester,123616,WR,BLT,1,5.5,0,100.0,100.0,1,1,0,0.0,0,-0.37,0,3,0,68.3,74.1,55.9,,56.1,0.0,0,0,9,0.0,0,14,0,46.2,2,92.9,13,57.1,8,97.9,2,0,35.7,5,15,4,2.0,7.5,1.15
Quinshon Judkins,157128,HB,CLV,1,0.0,3,100.0,,0,0,0,0.0,0,-0.58,1,8,0,68.3,74.8,55.9,55.3,66.5,0.0,0,0,16,23.5,4,17,0,41.2,2,76.5,13,5.9,1,102.1,2,0,0.0,0,17,17,8.5,8.5,1.31
Josh Cameron,144513,WR,JAX,1,13.0,0,100.0,,0,0,0,0.0,0,0.9,2,15,0,68.3,66.8,87.1,,87.3,0.0,0,0,16,0.0,0,7,0,71.4,2,100.0,7,14.3,1,147.9,2,1,85.7,6,20,2,1.0,10.0,2.86
Tony Pollard,27126,HB,TEN,1,9.5,0,50.0,,0,0,0,0.0,0,-0.4,0,31,0,64.7,71.9,66.4,77.6,57.0,0.0,0,0,-1,57.9,11,19,0,44.4,1,36.8,7,10.5,2,56.3,2,0,0.0,0,-1,1,1.0,-1.0,-0.14
Colby Parkinson,52266,TE,LA,1,5.0,0,50.0,,0,0,0,0.0,0,0.2,0,26,0,68.3,64.0,49.0,65.9,57.4,82.6,19,0,6,4.3,1,23,1,42.1,1,78.3,18,4.3,1,56.3,2,0,13.0,3,6,4,4.0,6.0,0.33
Jonathon Brooks,144721,HB,CAR,1,17.0,0,50.0,,0,0,0,0.0,0,0.48,1,5,0,64.7,70.3,87.3,78.2,93.1,0.0,0,0,48,37.5,3,8,0,37.5,1,62.5,5,0.0,0,95.8,2,0,12.5,1,48,25,25.0,48.0,9.6
Darnell Mooney,48236,WR,NYG,1,12.5,0,100.0,,0,0,0,0.0,0,0.65,2,21,0,68.3,64.0,64.4,,63.9,0.0,0,0,18,0.0,0,26,0,69.2,2,100.0,26,53.8,14,118.8,2,0,46.2,12,27,2,1.0,13.5,1.04
Chris Moore,10741,WR,BLT,1,34.0,0,50.0,,0,0,0,0.0,0,0.37,1,3,0,64.7,70.9,81.8,,79.6,0.0,0,0,53,0.0,0,8,0,42.9,1,87.5,7,50.0,4,95.8,2,0,50.0,4,53,23,23.0,53.0,7.57
Colston Loveland,158540,TE,CHI,1,13.5,0,0.0,,0,0,0,,0,0.57,0,6,0,,,51.6,23.7,47.4,31.6,12,0,0,5.3,2,38,1,61.1,0,89.5,34,34.2,13,39.6,2,0,28.9,11,0,0,,,0.0
Jake Ferguson,61081,TE,DAL,1,3.0,0,100.0,,0,0,0,0.0,0,0.34,0,9,0,68.3,64.0,49.8,72.1,49.0,45.5,15,0,6,9.1,3,33,0,62.1,2,81.8,27,45.5,15,79.2,2,0,9.1,3,6,0,0.0,3.0,0.22
Tyler Higbee,10744,TE,LA,1,4.0,0,100.0,,0,0,0,0.0,0,-0.2,0,26,1,68.3,13.3,29.2,65.9,28.1,66.7,4,0,8,16.7,1,6,0,80.0,2,66.7,4,0.0,0,91.7,2,0,33.3,2,12,4,2.0,6.0,3.0
Brady Russell,60876,FB,SEA,1,3.0,0,100.0,,0,0,0,0.0,0,1.19,1,29,0,68.3,64.0,62.0,43.0,69.3,50.0,4,0,13,37.5,3,8,0,87.5,2,62.5,5,0.0,0,108.3,2,0,0.0,0,20,14,7.0,10.0,4.0
Jakobi Meyers,47468,WR,JAX,1,18.5,0,100.0,100.0,1,1,0,0.0,0,0.69,2,15,0,68.3,66.2,66.0,,65.8,0.0,0,0,32,0.0,0,20,0,65.0,2,100.0,20,30.0,6,158.3,2,1,70.0,14,40,12,6.0,20.0,2.0
Darren Waller,9637,TE,CAR,1,3.5,0,100.0,,0,0,0,0.0,0,-0.14,2,5,0,70.5,65.8,78.5,68.4,76.9,20.0,4,0,17,5.0,1,20,1,47.4,2,90.0,18,65.0,13,118.8,2,0,15.0,3,28,21,10.5,14.0,1.56
Rashee Rice,97605,WR,KC,1,2.5,2,100.0,100.0,1,1,0,0.0,0,0.0,1,16,0,68.3,64.0,60.2,66.4,56.7,3.2,1,0,13,3.2,1,31,0,46.7,2,93.5,29,45.2,14,145.8,2,1,51.6,16,19,14,7.0,9.5,0.66
Tyler Allgeier,83639,HB,ARZ,1,-2.5,0,100.0,,0,0,0,0.0,0,0.38,0,1,0,68.3,76.6,56.2,75.4,57.7,0.0,0,0,5,38.5,10,26,0,60.9,2,53.8,14,3.8,1,85.4,2,0,0.0,0,9,14,7.0,4.5,0.64
Breece Hall,97636,HB,NYJ,1,2.0,2,100.0,,0,0,0,0.0,0,0.16,0,22,0,68.3,78.2,67.4,79.7,67.8,0.0,0,0,8,35.7,5,14,0,46.2,2,57.1,8,7.1,1,100.0,2,0,0.0,0,16,12,6.0,8.0,2.0
Darnell Washington,124044,TE,PIT,1,2.5,1,100.0,,0,0,0,0.0,0,-0.2,1,25,0,68.3,64.0,65.6,78.8,60.8,72.0,18,0,15,28.0,7,25,0,47.8,2,64.0,16,20.0,5,104.2,2,0,4.0,1,18,13,6.5,9.0,1.13
Kayshon Boutte,124087,WR,HST,1,16.0,0,50.0,,0,0,0,50.0,1,0.25,1,13,0,30.0,64.0,56.8,,57.3,0.0,0,0,21,0.0,0,30,0,51.9,1,90.0,27,26.7,8,87.5,2,0,73.3,22,21,7,7.0,21.0,0.78
Greg Dulcich,84068,TE,MIA,1,0.0,0,100.0,,0,0,0,0.0,0,-0.1,1,17,0,68.3,64.0,57.2,72.5,57.0,72.7,24,0,12,6.1,2,33,0,43.3,2,84.8,28,12.1,4,104.2,2,0,15.2,5,18,18,9.0,9.0,0.64
Xavier Legette,99197,WR,CAR,1,9.5,0,0.0,,0,0,0,100.0,1,0.18,0,5,0,27.9,66.5,41.6,,45.8,0.0,0,0,0,0.0,0,28,0,37.0,0,96.4,27,25.0,7,39.6,2,0,75.0,21,0,0,,,0.0
