player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Bryan Anger,7072,P,DAL,1,2,2,4.59,48.0,48.0,,0,0,0,2,9,60.9,2,50,0,0,0.0,0,0,2,9.18,96,0,96
Sam Martin,7947,P,CAR,1,3,3,4.35,34.67,49.0,23.0,0,0,0,0,5,65.8,0,61,1,0,33.3,23,1,3,13.06,104,1,147
Tress Way,8358,P,WAS,1,6,6,4.38,43.5,53.0,9.3,0,0,0,1,32,62.0,0,60,0,0,66.7,37,4,6,26.28,261,1,318
Bradley Pinion,9598,P,MIA,1,4,4,4.47,37.0,45.75,17.5,0,0,0,2,17,62.8,2,59,0,0,50.0,35,2,4,17.86,148,0,183
Rigoberto Sanchez,12130,P,IND,1,5,5,4.53,46.6,52.6,10.0,0,0,0,2,14,65.9,0,59,0,0,60.0,30,3,5,22.64,233,0,263
Cameron Johnston,12255,P,PIT,1,4,4,3.89,40.25,48.5,11.0,0,0,0,0,25,56.2,2,55,1,0,75.0,33,3,4,15.55,161,0,194
Corey Bojorquez,27626,P,CLV,1,3,3,5.11,45.0,43.33,-5.0,0,0,0,2,8,65.7,1,48,0,0,33.3,-5,1,3,15.33,135,0,130
Logan Cooke,29214,P,JAX,1,2,2,4.57,49.0,54.0,10.0,0,0,0,1,15,60.9,1,58,0,0,50.0,10,1,2,9.13,98,0,108
Tommy Townsend,33007,P,TEN,1,7,7,4.24,33.86,46.57,14.5,0,0,0,1,31,55.5,1,54,1,0,28.6,29,2,7,29.69,237,3,326
Jake Bailey,33963,P,ATL,1,6,6,4.51,39.33,48.17,6.5,0,0,0,2,2,66.6,3,60,0,0,33.3,13,2,6,27.03,236,2,289
Jack Fox,34735,P,DET,1,7,7,4.87,42.14,48.0,5.3,0,0,1,1,11,74.3,3,56,0,0,57.1,21,4,7,34.07,295,1,336
Michael Dickson,35381,P,SEA,1,5,5,4.39,45.4,45.4,,0,0,1,3,29,72.2,4,50,1,0,0.0,0,0,5,21.95,227,0,227
AJ Cole,36038,P,LV,1,3,3,4.55,50.33,62.67,17.0,0,0,1,0,23,66.2,1,72,0,0,33.3,17,1,3,13.64,151,1,188
JK Scott,38809,P,LAC,1,2,2,5.26,49.5,49.5,,1,0,0,2,27,64.1,1,51,0,0,0.0,0,0,3,10.52,99,0,99
Corliss Waitman,39620,P,SF,1,2,2,3.86,31.5,47.0,11.0,0,0,0,0,28,59.5,0,51,0,0,50.0,11,1,2,7.71,63,1,94
Mitch Wishnowsky,44663,P,NE,1,4,4,4.42,42.0,44.25,9.0,0,0,0,3,19,65.8,3,46,0,0,25.0,9,1,4,17.69,168,0,177
Braden Mann,44664,P,PHI,1,7,7,4.29,44.0,51.57,13.3,0,0,1,0,24,67.9,4,64,2,0,57.1,53,4,7,30.02,308,0,361
Blake Gillikin,45045,P,ARZ,1,3,3,4.49,39.33,52.67,,0,0,0,1,1,65.4,1,61,0,0,0.0,0,0,3,13.46,118,2,158
Daniel Whelan,57639,P,GB,1,3,3,3.95,34.33,38.67,13.0,0,0,1,0,12,54.4,2,49,1,0,33.3,13,1,3,11.85,103,0,116
Jordan Stout,57649,P,NYG,1,1,1,4.09,46.0,46.0,,0,0,1,0,21,60.0,1,46,0,0,0.0,0,0,1,4.09,46,0,46
Ryan Wright,77591,P,NO,1,5,5,4.55,40.6,47.6,11.7,0,0,1,1,20,62.6,2,57,0,0,60.0,35,3,5,22.75,203,0,238
Matt Araiza,82642,P,KC,1,4,4,4.48,45.5,54.5,18.0,0,0,1,1,16,70.4,3,63,0,0,50.0,36,2,4,17.92,182,0,218
Austin McNamara,99363,P,NYJ,1,3,3,4.44,48.0,46.33,-5.0,0,0,2,0,22,62.8,2,50,0,0,33.3,-5,1,3,13.32,144,0,139
Ethan Evans,112090,P,LA,1,3,3,4.45,42.67,48.33,8.5,0,0,0,1,26,62.9,2,54,0,0,66.7,17,2,3,13.36,128,0,145
Ryan Rehkow,122074,P,CIN,1,1,1,4.32,38.0,51.0,13.0,0,0,0,0,7,60.0,0,51,0,0,100.0,13,1,1,4.32,38,0,51
Kai Kroeger,124245,P,HST,1,4,4,4.6,49.5,52.0,5.0,0,0,2,0,13,69.2,3,59,0,0,50.0,10,2,4,18.41,198,0,208
Jeremy Crawshaw,124372,P,DEN,1,6,6,4.39,47.83,52.33,3.5,0,0,1,2,10,68.7,3,68,0,0,33.3,7,2,6,26.31,287,1,314
Tory Taylor,129481,P,CHI,1,2,2,4.49,42.5,51.0,8.5,0,0,0,0,6,59.4,0,54,0,0,100.0,17,2,2,8.98,85,0,102
Tommy Doman,144944,P,BUF,1,2,2,3.94,54.5,54.5,,0,0,1,1,4,59.2,1,63,0,0,0.0,0,0,2,7.88,109,0,109
Brett Thorson,157071,P,MIN,1,4,4,4.17,36.0,40.25,8.5,0,0,0,2,18,61.4,3,48,0,0,50.0,17,2,4,16.66,144,0,161
Ryan Eckley,158380,P,BLT,1,3,3,4.27,46.67,46.67,,0,0,0,2,3,63.0,3,53,1,0,0.0,0,0,3,12.8,140,0,140
