player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
David Njoku,11784,TE,CLV,1,13,0,8,0,-4.0,0,100.0,,0,0,0.0,0,-0.34,0,0,78.7,60.7,0,5,0.0,0,2,0.0,1,100.0,2,87.5,1,50.0,0,5,9,9.0,5.0,2.5,4.5,0,100.0,100.0,1,1,0.0,0,-0.12,1,0,64.4,69.0,0,6,0.0,0,14,38.5,2,92.9,13,91.7,2,15.4,0,12,3,1.5,6.0,0.92
Brock Bowers,146715,TE,LV,1,13,0,23,0,,0,,,0,0,,0,0.22,0,0,78.7,52.3,0,0,0.0,0,4,66.7,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,6.0,0,75.0,,0,0,0.0,0,-0.52,4,0,84.5,91.0,1,11,4.2,1,24,45.8,6,95.8,23,50.5,8,34.8,0,49,18,3.0,8.2,2.13
Will Dissly,30762,TE,LAC,1,11,0,27,0,-3.0,1,100.0,,0,0,0.0,0,1.95,1,0,78.7,97.5,0,18,0.0,0,2,100.0,1,50.0,1,118.8,1,100.0,0,18,21,21.0,18.0,18.0,4.7,0,66.7,0.0,0,1,0.0,0,0.36,1,0,61.8,70.7,0,10,0.0,0,11,72.7,2,100.0,11,77.1,3,27.3,0,14,4,2.0,7.0,1.27
Cedric Tillman,84434,WR,CLV,1,11,0,8,0,-3.0,0,100.0,,0,0,0.0,0,-0.34,0,0,78.7,57.9,0,3,0.0,0,3,0.0,1,66.7,2,79.2,1,50.0,0,3,6,6.0,3.0,1.5,10.5,0,50.0,,0,0,0.0,0,-0.64,0,0,80.0,61.0,0,7,0.0,0,11,27.3,1,100.0,11,58.3,2,18.2,0,7,4,4.0,7.0,0.64
Romeo Doubs,84329,WR,GB,1,10,0,12,0,,0,,,0,0,,0,-0.09,0,0,,46.9,0,0,0.0,0,5,20.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.68,0,0,78.7,70.6,0,0,0.0,0,7,66.7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Cade Otton,61071,TE,TB,1,10,0,30,0,-1.0,1,100.0,,0,0,0.0,0,0.47,1,0,84.5,90.7,0,13,16.7,1,6,66.7,2,83.3,5,102.1,2,40.0,0,17,19,9.5,8.5,3.4,,0,,,0,0,,0,0.32,0,0,76.5,60.0,0,0,9.5,2,21,61.1,0,81.0,17,0.0,0,0.0,0,0,0,,,0.0
Mason Tipton,109617,WR,NO,1,9,0,20,0,,0,,,0,0,,0,-0.98,0,0,,48.0,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,13.7,0,66.7,,0,0,0.0,0,-0.26,0,0,76.5,53.8,0,9,0.0,0,10,20.0,2,100.0,10,79.9,3,30.0,0,16,8,4.0,8.0,1.6
Chris Godwin,11839,WR,TB,1,9,0,30,0,0.0,0,100.0,,0,0,0.0,0,0.51,0,0,78.7,85.1,0,9,0.0,0,5,60.0,1,100.0,5,104.2,1,20.0,0,9,9,9.0,9.0,1.8,9.2,1,66.7,0.0,0,1,0.0,0,0.29,2,0,82.7,78.0,1,21,0.0,0,32,53.3,4,93.8,30,43.1,6,20.0,0,36,8,2.0,9.0,1.2
Kyle Pitts,83964,TE,ATL,1,9,0,2,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,8.1,0,85.7,100.0,1,1,0.0,0,-0.17,1,0,80.0,65.7,1,11,0.0,0,18,66.7,6,100.0,18,58.0,7,38.9,0,52,16,2.7,8.7,2.89
Breece Hall,97636,HB,NYJ,1,9,0,22,0,-3.7,0,66.7,0.0,0,1,0.0,0,0.13,1,0,84.5,92.9,0,13,0.0,0,4,50.0,2,100.0,4,84.0,3,75.0,0,19,28,14.0,9.5,4.75,,0,,,0,0,,0,0.0,0,0,76.5,62.8,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
