player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
CeeDee Lamb,61570,WR,DAL,1,14,0,9,7.3,2,66.7,,0,0,0.0,0,-1.15,2,0,68.3,77.8,0,27,0.0,0,15,23.1,2,86.7,13,109.7,3,23.1,0,46,31,15.5,23.0,3.54,0,8.0,0,71.4,0.0,0,1,0.0,0,-0.01,1,0,73.4,69.7,0,19,0.0,0,18,27.8,5,100.0,18,87.2,7,38.9,0,43,14,2.8,8.6,2.39
Chris Godwin,11839,WR,TB,1,13,0,30,5.5,0,100.0,100.0,1,1,0.0,0,0.66,1,0,68.3,63.7,0,6,0.0,0,10,66.7,2,90.0,9,127.1,2,22.2,1,10,1,0.5,5.0,1.11,0,4.4,1,77.8,,0,0,0.0,0,-0.17,2,0,75.6,69.2,0,21,3.7,1,27,42.3,7,92.6,25,91.2,9,36.0,0,53,31,4.4,7.6,2.12
D.K. Metcalf,47864,WR,SEA,1,12,0,29,4.0,0,100.0,,0,0,0.0,0,-0.34,1,0,64.7,66.3,0,8,0.0,0,7,28.6,1,100.0,7,100.0,1,14.3,0,8,4,4.0,8.0,1.14,0,19.9,0,28.6,33.3,1,3,33.3,1,0.06,2,0,36.2,72.3,1,30,0.0,0,29,55.6,2,93.1,27,11.3,7,25.9,0,40,26,13.0,20.0,1.48
Darius Slayton,25578,WR,NYG,1,11,0,21,13.8,0,25.0,0.0,0,2,0.0,0,-0.66,0,0,64.7,63.9,0,9,0.0,0,12,30.0,1,83.3,10,39.6,4,40.0,0,9,2,2.0,9.0,0.9,0,8.0,1,66.7,100.0,2,2,33.3,2,-0.36,3,0,29.2,67.1,0,15,3.2,1,31,48.3,4,90.3,28,84.0,6,21.4,0,38,10,2.5,9.5,1.36
Brock Bowers,146715,TE,LV,1,11,0,23,8.0,0,100.0,100.0,1,1,0.0,0,0.38,1,0,68.3,69.1,0,10,0.0,0,7,66.7,2,85.7,6,104.2,2,33.3,0,18,2,1.0,9.0,3.0,0,4.3,1,85.7,100.0,1,1,0.0,0,-0.23,0,0,75.6,75.0,1,10,0.0,0,24,47.8,6,95.8,23,47.9,7,30.4,0,35,30,5.0,5.8,1.52
Evan Engram,11778,TE,JAX,1,10,0,15,8.5,0,100.0,,0,0,0.0,0,0.53,2,0,68.3,85.2,0,13,0.0,0,6,66.7,2,100.0,6,112.5,2,33.3,0,22,5,2.5,11.0,3.67,0,5.1,1,100.0,,0,0,0.0,0,-0.07,2,1,76.5,63.1,0,24,0.0,0,21,52.4,8,100.0,21,108.3,8,38.1,0,80,39,4.9,10.0,3.81
Drake London,86519,WR,ATL,1,10,0,2,11.0,0,0.0,,0,0,,0,0.3,0,0,,52.8,0,0,0.0,0,8,50.0,0,100.0,8,39.6,1,12.5,0,0,0,,,0.0,0,9.2,1,60.0,0.0,0,1,0.0,0,0.09,2,0,70.5,70.3,0,17,0.0,0,15,42.9,3,93.3,14,85.4,5,35.7,0,40,13,4.3,13.3,2.86
Diontae Johnson,33441,WR,CAR,1,10,0,5,,0,,,0,0,,0,0.44,0,0,,57.0,0,0,0.0,0,4,66.7,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,8.8,0,66.7,66.7,2,3,20.0,1,0.14,3,0,41.6,67.4,0,17,0.0,0,20,47.4,4,95.0,19,91.7,6,31.6,0,49,7,1.8,12.3,2.58
Garrett Wilson,97405,WR,NYJ,1,10,0,22,12.0,0,0.0,0.0,0,1,,0,0.29,0,0,,54.1,0,0,0.0,0,9,28.6,0,77.8,7,39.6,1,14.3,0,0,0,,,0.0,0,8.4,2,85.7,50.0,1,2,0.0,0,0.21,4,0,74.6,80.8,0,24,0.0,0,23,50.0,6,95.7,22,118.8,7,31.8,0,88,48,8.0,14.7,4.0
Demario Douglas,104155,WR,NE,1,9,0,19,10.0,0,60.0,,0,0,0.0,0,0.56,2,0,70.5,83.5,1,35,0.0,0,8,57.1,3,87.5,7,101.3,5,71.4,1,59,33,11.0,19.7,8.43,0,10.0,0,50.0,,0,0,0.0,0,-0.05,1,0,64.7,62.2,0,6,0.0,0,14,30.8,1,92.9,13,56.3,2,15.4,0,6,0,0.0,6.0,0.46
