year,week,team,player,status,plays_probability,workload_if_active,note
2026,1,PIT,Israel Mukuamu,out,,,
2026,1,LAR,Zech McPhearson,out,,,
2026,1,SF,Darrick Forrest,out,,,
2026,1,TEN,Milo Eifler,out,,,
2026,1,NYG,Calvin Austin III,out,,,
2026,1,ARI,Zach Carter,out,,,injured
2026,1,NYG,Jarrick Bernard-Converse,out,,,
2026,1,DEN,Matt Henningsen,out,,,
2026,1,CLE,Damarri Mathis,out,,,
2026,1,ARI,Joey Blount,out,,,
2026,1,CLE,Alex Wright,out,,,
2026,1,TEN,Nazeeh Johnson,out,,,
2026,1,NO,Bryan Bresee,out,,,
2026,1,LAR,Keir Thomas II,out,,,
2026,1,NYJ,Kingsley Jonathan,out,,,
2026,1,CHI,Dallis Flowers,out,,,
2026,1,HOU,Marte Mapu,out,,,
2026,1,SF,Andrew Farmer II,out,,,
2026,1,LAC,Scott Matlock,out,,,injured
2026,1,ATL,Keshawn Banks,out,,,
2026,1,NO,Rejzohn Wright,out,,,
2026,1,FA,Ja'Lynn Polk,out,,,retired
2026,1,SF,Ricky Pearsall,out,,,
2026,1,LV,Brennan Jackson,out,,,
2026,1,TEN,Dominique Hampton,out,,,
2026,1,PIT,Daequan Hardy,out,,,
2026,1,PIT,Logan Lee,out,,,
2026,1,TEN,Jaylen Harrell,out,,,
2026,1,NYG,Rico Payton,out,,,
2026,1,MIN,Taki Taimani,out,,,
2026,1,LV,Chigozie Anusiem,out,,,
2026,1,DEN,Levelle Bailey,out,,,
2026,1,PIT,Cole Burgess,out,,,
2026,1,CAR,Nic Scourton,out,,,
2026,1,ATL,Jalon Walker,out,,,
2026,1,HOU,Jayden Higgins,out,,,
2026,1,BUF,Dorian Strong,out,,,
2026,1,NYG,Thaddeus Dixon,out,,,
2026,1,FA,Le'Veon Moss,out,,,retired
2026,1,SEA,Robbie Ouzts,out,,,
2026,1,ATL,Malik Verdon,out,,,
2026,1,KC,Ethan Downs,out,,,
2026,1,GB,Johnathan Baldwin II,out,,,
2026,1,ARI,Josh Minkins,out,,,
2026,1,HOU,K.C. Ossai,out,,,
2026,1,JAC,Jared Bartlett,out,,,
