player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Puka Nacua,100632,WR,LA,1,15,0,26,0,,0,,,0,0,,0,-0.6,0,0,,53.2,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,5.3,1,100.0,100.0,2,2,0.0,0,0.35,2,0,81.7,87.4,0,15,0.0,0,11,50.0,4,90.9,10,105.2,4,40.0,0,37,16,4.0,9.3,3.7
Christian McCaffrey,11763,HB,SF,1,14,0,28,0,-3.0,1,100.0,,0,0,0.0,0,0.33,1,0,78.7,96.5,0,20,0.0,0,1,100.0,1,100.0,1,118.8,1,100.0,0,20,23,23.0,20.0,20.0,7.0,0,33.3,,0,0,50.0,1,0.19,1,0,33.5,58.4,0,17,0.0,0,8,50.0,1,100.0,8,53.5,3,37.5,0,17,13,13.0,17.0,2.13
Jake Ferguson,61081,TE,DAL,1,14,0,9,0,-1.0,0,100.0,,0,0,0.0,0,-0.07,0,0,78.7,66.0,0,4,0.0,0,1,0.0,1,100.0,1,83.3,1,100.0,0,4,5,5.0,4.0,4.0,5.0,0,83.3,,0,0,0.0,0,-0.55,2,0,83.2,75.9,0,12,0.0,0,15,38.5,5,86.7,13,91.0,6,46.2,0,35,19,3.8,7.0,2.69
Chris Olave,84355,WR,NO,1,13,0,20,0,-3.3,3,100.0,,0,0,0.0,0,0.08,1,0,88.7,94.1,0,7,0.0,0,5,60.0,3,100.0,5,83.3,3,60.0,0,12,22,7.3,4.0,2.4,9.2,3,80.0,100.0,1,1,0.0,0,-0.11,2,0,84.5,76.0,0,9,0.0,0,18,61.1,4,100.0,18,84.2,5,27.8,0,21,24,6.0,5.3,1.17
Garrett Wilson,97405,WR,NYJ,1,12,0,22,0,-4.0,0,100.0,,0,0,0.0,0,-0.23,0,0,84.5,57.4,0,5,0.0,0,5,40.0,2,100.0,5,85.4,2,40.0,0,9,17,8.5,4.5,1.8,2.2,0,100.0,100.0,1,1,0.0,0,-0.12,1,0,81.7,70.0,0,9,0.0,0,21,50.0,6,95.2,20,94.4,6,30.0,0,40,27,4.5,6.7,2.0
Ricky Pearsall,100660,WR,SF,1,11,0,28,0,,0,,,0,0,,0,0.33,0,0,,54.0,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,14.7,0,66.7,100.0,1,1,0.0,0,0.0,4,0,76.5,76.1,0,20,0.0,0,13,53.8,4,100.0,13,93.8,6,46.2,0,52,5,1.3,13.0,4.0
Nico Collins,61441,WR,HST,1,11,0,13,0,-3.0,0,100.0,,0,0,0.0,0,-0.51,0,0,78.7,57.1,0,-1,0.0,0,4,0.0,1,100.0,4,79.2,1,25.0,0,-1,2,2.0,-1.0,-0.25,-2.5,0,100.0,,0,0,0.0,0,-0.26,0,0,78.0,65.3,0,-1,0.0,0,7,28.6,2,100.0,7,79.2,2,28.6,0,-2,3,1.5,-1.0,-0.29
Keenan Allen,7857,WR,LAC,1,10,0,27,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,6.3,0,100.0,100.0,2,2,0.0,0,-0.05,2,0,47.7,71.4,0,11,0.0,0,21,45.0,4,95.2,20,96.9,4,20.0,0,29,4,1.0,7.3,1.45
A.J. Brown,48327,WR,PHI,1,10,0,24,0,,0,,,0,0,,0,-0.95,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,9.7,0,33.3,,0,0,0.0,0,-1.49,0,0,79.4,83.3,0,6,0.0,0,3,33.3,1,100.0,3,42.4,3,100.0,0,6,3,3.0,6.0,2.0
DeVonta Smith,61100,WR,PHI,1,10,0,24,0,,0,,,0,0,,0,-0.95,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,7.6,2,87.5,50.0,1,2,0.0,0,0.3,3,0,83.6,68.6,0,16,0.0,0,23,38.1,7,91.3,21,131.8,8,38.1,1,49,2,0.3,7.0,2.33
