player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
DJ Moore,48267,WR,CHI,1,16,0,6,11.5,0,45.5,0.0,0,3,16.7,1,-0.27,3,0,49.2,81.4,0,31,0.0,0,27,29.2,5,88.9,24,96.8,11,45.8,1,70,35,7.0,14.0,2.92,0,8.3,0,33.3,,0,0,0.0,0,0.51,0,0,64.7,52.9,0,6,0.0,0,22,66.7,1,81.8,18,42.4,3,16.7,0,6,1,1.0,6.0,0.33
David Njoku,11784,TE,CLV,1,16,0,8,8.0,0,20.0,33.3,1,3,0.0,0,-0.05,1,0,64.7,59.4,1,4,5.0,1,20,47.4,1,90.0,18,39.6,5,27.8,1,4,0,0.0,4.0,0.22,0,4.4,2,77.8,100.0,1,1,22.2,2,-0.21,2,0,31.8,60.6,0,13,7.1,2,28,46.4,7,92.9,26,125.9,9,34.6,1,48,18,2.6,6.9,1.85
Drake London,86519,WR,ATL,1,15,0,2,10.2,1,60.0,50.0,1,2,0.0,0,0.18,2,0,70.5,74.5,0,11,0.0,0,10,44.4,3,90.0,9,73.8,5,55.6,0,26,10,3.3,8.7,2.89,0,14.0,0,55.6,50.0,2,4,0.0,0,-0.61,3,0,73.4,70.2,2,17,0.0,0,27,46.2,5,96.3,26,34.3,9,34.6,0,55,23,4.6,11.0,2.12
Elijah Moore,84302,WR,CLV,1,13,0,8,12.4,0,55.6,0.0,0,4,0.0,0,-0.11,4,0,73.4,91.4,1,44,0.0,0,16,43.8,5,100.0,16,49.1,9,56.3,0,87,19,3.8,17.4,5.44,0,5.3,0,75.0,,0,0,0.0,0,-0.11,1,0,70.5,60.4,0,13,0.0,0,24,54.2,3,100.0,24,89.6,4,16.7,0,24,2,0.7,8.0,1.0
Travis Kelce,7844,TE,KC,1,13,0,16,8.0,0,71.4,100.0,1,1,16.7,1,0.13,4,0,45.8,75.9,0,24,9.1,2,22,42.1,5,81.8,18,97.9,7,38.9,0,61,27,5.4,12.2,3.39,0,3.4,0,20.0,,0,0,0.0,0,-0.05,0,0,68.3,61.0,0,5,0.0,0,21,45.0,1,95.2,20,39.6,5,25.0,0,5,0,0.0,5.0,0.25
Brock Bowers,146715,TE,LV,1,13,0,23,2.0,0,100.0,,0,0,0.0,0,0.8,0,0,64.7,56.1,0,4,0.0,0,7,57.1,1,100.0,7,83.3,1,14.3,0,4,2,2.0,4.0,0.57,0,9.6,0,88.9,50.0,1,2,0.0,0,0.33,5,0,76.5,93.1,0,33,0.0,0,28,44.0,8,89.3,25,155.8,9,36.0,1,127,46,5.8,15.9,5.08
Jerry Jeudy,61103,WR,CLV,1,13,0,8,40.0,0,100.0,,0,0,0.0,0,0.42,1,0,68.3,79.1,0,70,0.0,0,19,50.0,1,94.7,18,158.3,1,5.6,1,70,30,30.0,70.0,3.89,0,14.4,1,62.5,100.0,1,1,0.0,0,-0.12,5,0,73.4,78.3,0,35,0.0,0,29,44.8,5,100.0,29,105.2,8,27.6,0,98,37,7.4,19.6,3.38
Mike Evans,8642,WR,TB,1,12,0,30,12.2,0,66.7,100.0,2,2,0.0,0,0.17,4,0,72.1,91.5,0,21,0.0,0,13,50.0,4,92.3,12,132.6,6,50.0,1,51,11,2.8,12.8,4.25,0,12.8,0,50.0,,0,0,33.3,1,-0.34,2,0,29.9,59.5,0,27,0.0,0,17,50.0,2,94.1,16,85.4,4,25.0,0,40,10,5.0,20.0,2.5
Malik Nabers,146759,WR,NYG,1,12,0,21,3.8,1,50.0,,0,0,50.0,2,-0.89,1,0,27.3,55.7,0,9,0.0,0,12,45.5,2,91.7,11,56.3,4,36.4,0,12,3,1.5,6.0,1.09,0,7.3,0,75.0,0.0,0,1,0.0,0,-0.11,2,0,75.6,85.9,0,18,0.0,0,30,40.7,6,90.0,27,94.3,8,29.6,0,57,22,3.7,9.5,2.11
Trey McBride,75916,TE,ARZ,1,12,0,1,5.3,0,100.0,100.0,2,2,0.0,0,-0.07,4,0,72.1,77.5,0,9,0.0,0,27,41.7,4,88.9,24,93.8,4,16.7,0,26,5,1.3,6.5,1.08,0,2.6,0,100.0,,0,0,0.0,0,0.2,3,0,75.6,78.1,0,14,4.8,1,21,55.0,7,90.5,19,104.8,7,36.8,0,64,46,6.6,9.1,3.37
