player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Chase Young,56436,ED,NO,17,20,0,20,0,,,5.3,,,1,1,,85.9,0,,,0,1,0.0,0,8,40.0,151,1,0,0,0,0,0,0.0,,0,0,,,3.3,,,0,0,,87.0,0,,25.0,2,0,0.0,0,10,50.0,301,5,6,0,0,0,0,0.0,
Yetur Gross-Matos,56444,ED,SF,11,2,0,28,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,54,2,0,0,0,0,0,,,0,0,11.0,100.0,0.7,1.0,1.0,0,0,0.0,45.2,0,14,0.0,0,0,118.8,1,1,50.0,142,1,1,1,0,14,3,14.0,14.0
Patrick Johnson,56460,ED,NYG,6,1,0,21,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,0,,,7.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,13,0,0,0,0,0,0,0.0,
D.J. Davidson,56523,DI,NYG,12,3,0,21,0,,,3.4,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,29,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,78.7,0,,50.0,1,0,0.0,0,0,0.0,69,3,1,0,0,0,0,,
T.J. Slaton,56597,DI,GB,18,2,0,12,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,43,0,0,0,0,0,0,,,0,0,,,1.4,,,0,0,,59.1,0,,,0,0,0.0,0,2,100.0,144,0,0,0,0,0,0,0.0,
Malik Herring,56616,ED,KC,12,4,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,31,0,0,0,0,0,0,,,0,0,5.5,100.0,5.7,1.5,1.5,0,0,0.0,49.9,0,10,0.0,0,0,102.1,2,3,75.0,53,0,1,2,0,17,6,5.7,8.5
DJ Johnson,56704,ED,CAR,14,19,0,5,0,,,6.1,,,0,0,,78.9,0,,0.0,0,0,0.0,0,2,10.5,33,1,1,0,0,0,0,0.0,,0,1,,,14.9,,,0,0,,69.5,0,,0.0,0,0,0.0,0,13,68.4,87,1,3,0,0,0,0,0.0,
Kwity Paye,56713,ED,IND,15,8,0,14,0,,,0.0,,,0,0,,63.4,0,,0.0,0,0,0.0,0,0,0.0,56,2,2,0,0,0,0,,,0,0,10.0,100.0,2.2,6.0,6.0,0,0,0.0,57.7,0,29,0.0,0,0,118.8,1,6,75.0,279,8,5,1,0,29,19,4.8,29.0
Jordan Elliott,56734,DI,SF,15,1,0,28,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,39,0,0,0,0,0,0,,,0,0,,,0.6,,,0,0,,54.5,0,,,0,0,0.0,0,1,100.0,154,0,0,0,0,0,0,0.0,
Isaiah Thomas,56798,ED,CIN,2,2,0,7,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,12,0,0,0,0,0,0,,,0,0,-1.0,100.0,25.0,2.0,2.0,0,0,0.0,61.8,0,0,,0,0,79.2,1,2,100.0,8,0,0,1,0,0,1,0.0,0.0
Javon Kinlaw,56834,DI,NYJ,17,2,0,22,0,-2.0,0.0,0.0,,0.0,0,0,0.0,,0,,,0,0,39.6,0,0,0.0,121,1,0,1,0,0,0,,,0,0,3.0,100.0,0.9,2.0,2.0,0,0,0.0,55.0,0,3,0.0,0,0,79.2,1,2,100.0,221,4,2,1,0,3,0,1.5,3.0
Arnold Ebiketie,56862,ED,ATL,17,57,0,2,0,,,5.7,,,0,0,,66.0,0,,0.0,0,0,0.0,0,5,8.8,87,2,1,0,0,0,0,0.0,,0,2,4.0,83.3,19.4,7.8,6.5,0,0,0.0,67.3,0,14,10.0,1,0,88.9,5,41,71.9,211,9,7,6,0,32,11,0.8,6.4
Ta'Quon Graham,56868,DI,ATL,10,1,0,2,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,,0,0,,,1.4,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,100.0,74,0,0,0,0,0,0,0.0,
Micheal Clemons,56872,ED,NYJ,17,3,0,22,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,118,1,1,0,0,0,0,,,0,1,,,1.8,,,0,0,,71.0,0,,0.0,0,0,0.0,0,3,100.0,166,3,1,0,0,0,0,0.0,
Jaelan Phillips,56902,ED,MIA,4,18,0,17,0,,,11.1,,,0,0,,62.0,0,,,0,0,0.0,0,2,11.1,18,1,0,0,0,0,0,0.0,,0,0,1.5,50.0,25.0,13.0,6.5,0,0,0.0,47.5,0,9,100.0,1,0,62.5,1,13,72.2,52,0,0,2,0,9,10,0.7,9.0
Jay Tufele,56913,DI,CIN,12,1,0,7,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,20,0,0,0,0,0,0,,,0,0,,,1.3,,,0,0,,55.3,0,,50.0,1,0,0.0,0,1,100.0,77,0,1,0,0,0,0,0.0,
DeAngelo Malone,56941,ED,ATL,9,22,0,2,0,,,35.7,,,0,0,,64.0,0,,,0,0,0.0,0,10,45.5,28,0,0,0,0,0,0,0.0,,0,0,,,22.5,,,0,0,,31.0,0,,0.0,0,0,0.0,0,9,40.9,40,4,3,0,0,0,0,0.0,
James Lynch,56962,DI,TEN,16,1,0,31,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,24,0,0,0,0,0,0,,,0,0,,,1.2,,,0,0,,59.9,0,,,0,0,0.0,0,1,100.0,82,1,0,0,0,0,0,0.0,
Troy Andersen,57317,LB,ATL,7,148,0,2,1,-1.5,50.0,62.5,23.0,11.5,0,0,0.0,59.4,0,3,50.0,1,0,56.3,1,25,16.9,40,0,0,2,0,3,7,0.1,3.0,0,3,1.3,93.3,88.1,5.9,5.5,0,0,0.0,51.0,1,31,21.4,3,0,76.7,14,89,60.1,101,4,8,15,0,136,118,1.6,9.7
Jack Gibbens,57662,LB,TEN,8,129,0,31,0,-7.0,100.0,73.1,18.0,18.0,0,0,0.0,68.7,0,24,,0,0,118.8,1,19,14.7,26,0,0,1,0,24,31,1.3,24.0,0,5,2.3,71.4,95.6,16.8,12.0,0,0,0.0,65.5,0,9,14.3,2,0,74.1,5,86,66.7,90,2,7,7,0,18,11,0.2,3.6
D'Marco Jackson,57691,LB,NO,3,26,0,20,0,,,70.0,,,0,0,,63.7,0,,,0,0,0.0,0,7,26.9,10,0,0,0,0,0,0,0.0,,0,1,4.0,100.0,77.3,16.0,16.0,0,0,0.0,56.9,0,10,0.0,0,0,108.3,1,17,65.4,22,0,0,1,0,10,6,0.6,10.0
Tony Fields II,57698,LB,CLV,1,5,0,8,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,1,0,0,0,0,0,0,0.0,,0,0,,,80.0,,,0,0,,63.3,0,,,0,0,0.0,0,4,80.0,5,0,0,0,0,0,0,0.0,
Chandler Wooten,57726,LB,CAR,3,80,0,5,0,3.0,100.0,57.1,7.0,7.0,0,0,0.0,79.8,0,3,0.0,0,0,79.2,1,8,10.0,14,1,2,1,0,3,0,0.4,3.0,0,1,7.0,60.0,84.7,15.3,9.2,0,0,0.0,38.7,0,20,42.9,3,0,134.2,3,50,62.5,59,0,3,5,1,51,33,1.1,17.0
K.J. Britt,57727,LB,TB,15,337,0,30,0,-2.0,33.3,83.6,51.0,17.0,0,0,0.0,61.3,0,10,100.0,2,0,43.8,1,56,16.6,67,0,0,3,0,10,15,0.2,10.0,0,6,5.4,79.3,85.5,10.3,8.2,0,1,3.4,42.0,0,32,6.7,2,1,113.4,23,247,73.3,289,5,22,29,1,245,142,1.0,10.7
Jalen Pitre,57737,S,HST,12,379,0,13,0,14.7,60.0,84.2,8.9,5.3,0,1,6.7,42.9,0,69,0.0,0,0,143.8,9,85,22.4,101,2,6,15,3,210,82,2.6,23.3,0,3,2.4,85.2,88.0,9.3,7.9,0,3,11.1,79.5,1,23,14.3,4,3,86.4,23,221,58.3,251,7,21,27,1,148,95,0.7,6.4
Terrel Bernard,57739,LB,BUF,16,497,0,4,0,0.8,60.0,62.8,27.0,16.2,0,0,0.0,67.9,0,17,33.3,2,0,64.6,3,91,18.3,145,3,4,5,0,15,20,0.2,5.0,0,10,7.3,66.7,96.5,9.0,6.0,0,0,0.0,32.1,1,66,15.4,6,0,96.1,32,300,60.4,311,6,23,48,2,383,240,1.3,12.0
Isaiah McDuffie,57754,LB,GB,18,379,0,12,1,6.2,50.0,76.1,16.0,8.0,0,0,0.0,64.8,0,18,0.0,0,0,102.1,3,51,13.5,67,0,2,6,2,27,13,0.6,9.0,0,10,3.5,88.9,94.0,6.4,5.7,1,2,4.4,50.2,0,32,11.4,5,2,114.7,40,266,70.2,283,11,29,45,1,439,310,1.7,11.0
Baylon Spector,57782,LB,BUF,8,174,0,4,0,4.0,60.0,81.6,9.3,5.6,0,0,0.0,39.3,0,26,50.0,1,0,125.0,3,31,17.8,38,1,1,5,1,40,20,1.4,13.3,0,5,4.9,94.7,96.6,6.1,5.8,0,0,0.0,31.5,0,20,17.4,4,0,108.1,18,112,64.4,116,1,14,19,0,189,111,1.7,10.5
Nate Landman,57788,LB,ATL,13,297,0,2,0,1.7,100.0,77.1,11.3,11.3,0,0,0.0,54.2,0,13,0.0,0,0,145.1,3,37,12.5,48,0,2,3,1,28,27,0.8,9.3,0,5,4.3,88.2,96.3,11.5,10.2,0,0,0.0,59.8,0,27,14.3,3,0,104.4,15,181,60.9,188,3,13,17,0,154,105,0.9,10.3
Ventrell Miller,57809,LB,JAX,15,237,0,15,1,-0.3,75.0,86.3,21.3,16.0,0,0,0.0,76.8,0,17,40.0,2,0,90.6,3,69,29.1,80,1,2,4,0,25,27,0.4,8.3,0,4,5.0,95.2,99.3,6.2,5.9,0,0,0.0,34.8,0,32,15.4,4,0,108.7,20,133,56.1,134,6,18,21,0,212,111,1.7,10.6
James Houston,57810,ED,CLV,11,5,0,8,0,,,3.3,,,0,0,,61.3,0,,100.0,2,0,0.0,0,2,40.0,60,0,0,0,0,0,0,0.0,,0,0,,,5.4,,,0,0,,62.6,0,,0.0,0,0,0.0,0,2,40.0,37,0,1,0,0,0,0,0.0,
Mykal Walker,57834,LB,WAS,11,22,0,32,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,4.5,2,0,0,0,0,0,0,0.0,,0,3,3.2,100.0,94.4,2.7,2.7,0,0,0.0,29.1,0,29,0.0,0,0,118.8,6,17,77.3,18,1,2,6,0,77,58,4.8,12.8
Monty Rice,57839,LB,NE,1,2,0,19,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Robert Beal Jr.,57840,ED,SF,14,4,0,28,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,0,,,9.5,,,0,0,,61.6,0,,,0,0,0.0,0,4,100.0,42,0,0,0,0,0,0,0.0,
Del'Shawn Phillips,57868,LB,HST,3,10,0,13,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,4.3,100.0,90.0,3.0,3.0,0,0,0.0,55.9,0,16,33.3,1,0,112.5,3,9,90.0,10,0,2,3,0,33,20,3.7,11.0
Jake Hummel,57879,LB,LA,6,41,0,26,0,3.0,100.0,60.0,3.0,3.0,0,0,0.0,53.6,0,25,0.0,0,0,118.8,2,6,14.6,10,1,2,2,0,29,23,4.8,14.5,0,1,3.0,50.0,93.5,29.0,14.5,0,0,0.0,68.2,0,10,33.3,1,0,64.6,1,29,70.7,31,0,1,2,0,10,10,0.3,10.0
Isaac Ukwu,57888,ED,DET,2,1,0,11,0,,,4.8,,,0,0,,67.5,0,,,0,0,0.0,0,1,100.0,21,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,18,0,0,0,0,0,0,,
Jamin Davis,57905,ED,NYJ,8,11,0,22,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,6.3,100.0,23.3,3.3,3.3,0,0,0.0,55.0,0,11,0.0,0,0,98.6,3,10,90.9,43,2,4,3,0,23,4,2.3,7.7
Josh Paschal,57908,ED,DET,15,14,0,11,0,,,2.1,,,0,0,,61.7,0,,0.0,0,0,0.0,0,4,28.6,191,4,4,0,0,0,0,0.0,,0,1,1.0,100.0,3.3,3.0,3.0,0,0,0.0,65.5,0,8,50.0,2,0,89.6,2,6,42.9,183,1,1,2,0,11,9,1.8,5.5
Patrick Queen,57941,LB,PIT,18,633,0,25,1,4.5,75.0,74.6,13.7,10.3,0,1,6.3,79.4,0,22,0.0,0,0,115.1,12,185,29.2,248,7,11,16,1,114,84,0.7,9.5,0,7,5.4,89.3,95.9,7.2,6.4,2,2,3.6,38.7,0,49,10.2,5,2,108.8,50,374,59.1,390,12,37,56,0,566,299,1.6,11.3
