player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Matt Prater,3471,K,ARZ,4,0,1,1,100.0,3,3,100.0,1,80.9,0,0,,10,10,100.0,0,1,1,100.0,6,6,100.0,1,1,100.0
Nick Folk,3794,K,TEN,14,0,6,6,100.0,9,8,88.9,31,87.7,0,0,,25,25,100.0,0,2,2,100.0,22,21,95.5,5,5,100.0
Graham Gano,5443,K,NYG,9,0,2,2,100.0,5,4,80.0,21,78.7,0,0,,15,15,100.0,0,2,1,50.0,11,9,81.8,2,2,100.0
Greg Zuerlein,7163,K,NYJ,8,0,1,0,0.0,4,1,25.0,22,29.9,0,0,,14,13,92.9,0,6,4,66.7,15,9,60.0,4,4,100.0
Justin Tucker,7604,K,BLT,19,0,11,6,54.5,9,6,66.7,3,62.8,0,0,,67,65,97.0,0,7,7,100.0,32,24,75.0,5,5,100.0
Dustin Hopkins,7958,K,CLV,16,0,8,4,50.0,8,5,62.5,8,27.9,0,0,,20,17,85.0,0,7,6,85.7,27,18,66.7,4,3,75.0
Brandon McManus,8437,K,GB,12,0,3,3,100.0,4,3,75.0,12,81.6,0,0,,31,31,100.0,0,10,9,90.0,23,21,91.3,6,6,100.0
Cairo Santos,8932,K,CHI,17,0,9,8,88.9,8,5,62.5,6,87.9,0,0,,26,25,96.2,0,4,4,100.0,25,21,84.0,4,4,100.0
Chris Boswell,8990,K,PIT,18,0,15,13,86.7,8,7,87.5,25,92.3,0,0,,37,37,100.0,0,12,12,100.0,44,41,93.2,9,9,100.0
Jason Myers,10207,K,SEA,17,0,12,9,75.0,8,7,87.5,29,91.2,0,0,,40,37,92.5,0,6,6,100.0,30,26,86.7,4,4,100.0
Wil Lutz,11096,K,DEN,18,0,8,5,62.5,11,11,100.0,10,83.5,0,0,,47,47,100.0,0,14,13,92.9,35,31,88.6,2,2,100.0
Ka'imi Fairbairn,11161,K,HST,18,0,17,13,76.5,7,6,85.7,13,71.2,0,0,,40,37,92.5,0,15,14,93.3,49,41,83.7,10,8,80.0
Jake Elliott,11908,K,PHI,21,0,9,2,22.2,12,11,91.7,24,52.8,0,0,,64,60,93.8,0,15,14,93.3,47,38,80.9,11,11,100.0
Zane Gonzalez,11979,K,WAS,9,0,2,1,50.0,9,7,77.8,32,71.9,0,0,,27,27,100.0,0,3,3,100.0,15,12,80.0,1,1,100.0
Harrison Butker,11988,K,KC,15,0,5,2,40.0,4,4,100.0,16,66.5,1,1,100.0,36,34,94.4,0,10,10,100.0,29,25,86.2,9,8,88.9
Younghoe Koo,12042,K,ATL,14,0,9,6,66.7,11,7,63.6,2,69.0,0,0,,26,26,100.0,0,7,5,71.4,34,25,73.5,7,7,100.0
Austin Seibert,13701,K,WAS,9,0,5,2,40.0,8,8,100.0,32,61.6,0,0,,24,22,91.7,0,7,7,100.0,30,27,90.0,10,10,100.0
Greg Joseph,22842,K,NYJ,8,0,2,1,50.0,8,5,62.5,22,57.8,0,0,,11,11,100.0,0,5,5,100.0,20,16,80.0,5,5,100.0
Daniel Carlson,28121,K,LV,17,0,11,7,63.6,8,6,75.0,23,69.7,0,0,,25,23,92.0,0,11,11,100.0,40,34,85.0,10,10,100.0
Jason Sanders,29578,K,MIA,17,0,14,12,85.7,7,5,71.4,17,82.9,0,0,,28,26,92.9,0,13,13,100.0,41,37,90.2,7,7,100.0
Tyler Bass,33010,K,BUF,20,0,6,6,100.0,11,7,63.6,4,70.6,0,0,,71,66,93.0,0,8,8,100.0,35,30,85.7,10,9,90.0
Chase McLaughlin,33285,K,TB,18,0,11,9,81.8,4,4,100.0,30,87.6,0,0,,58,56,96.6,0,8,8,100.0,34,32,94.1,11,11,100.0
Parker Romo,33384,K,MIN,4,0,1,1,100.0,5,4,80.0,18,65.8,0,0,,8,7,87.5,0,3,3,100.0,12,11,91.7,3,3,100.0
Joey Slye,39235,K,NE,17,0,9,6,66.7,7,5,71.4,19,74.0,0,0,,26,25,96.2,0,11,10,90.9,33,26,78.8,6,5,83.3
Matthew Wright,39675,K,TEN,5,0,2,1,50.0,3,3,100.0,31,76.4,0,0,,6,6,100.0,0,8,8,100.0,16,15,93.8,3,3,100.0
Eddy Pineiro,44140,K,CAR,17,0,2,1,50.0,8,6,75.0,5,59.9,0,0,,35,33,94.3,0,9,8,88.9,26,22,84.6,7,7,100.0
Mitch Wishnowsky,44663,P,SF,1,0,0,0,,0,0,,28,60.2,0,0,,0,0,,0,0,0,,1,1,100.0,1,1,100.0
Blake Grupe,57502,K,NO,16,0,8,6,75.0,8,7,87.5,20,76.1,0,0,,33,31,93.9,0,11,10,90.9,31,27,87.1,4,4,100.0
Anders Carlson,57509,K,NYJ,7,0,3,3,100.0,7,5,71.4,22,64.7,0,0,,15,12,80.0,0,2,2,100.0,15,13,86.7,3,3,100.0
Riley Patterson,57556,K,ATL,5,0,3,1,33.3,1,0,0.0,2,47.6,0,0,,16,16,100.0,0,3,3,100.0,7,4,57.1,0,0,
Matt Gay,57643,K,IND,16,0,9,3,33.3,7,7,100.0,14,72.9,0,0,,33,33,100.0,0,12,12,100.0,37,31,83.8,9,9,100.0
Jamie Gillan,63303,P,NYG,1,0,0,0,,0,0,,21,54.4,0,0,,1,0,0.0,0,0,0,,0,0,,0,0,
Cameron Dicker,77069,K,LAC,18,0,11,9,81.8,12,11,91.7,27,76.0,1,1,100.0,37,33,89.2,0,11,11,100.0,44,41,93.2,9,9,100.0
Brayden Narveson,77073,K,TEN,7,0,1,0,0.0,9,5,55.6,31,41.1,0,0,,18,18,100.0,0,4,3,75.0,18,12,66.7,4,4,100.0
Chad Ryland,77083,K,ARZ,13,0,4,4,100.0,11,7,63.6,1,90.2,0,0,,27,26,96.3,0,11,11,100.0,32,28,87.5,6,6,100.0
Evan McPherson,82583,K,CIN,12,0,7,3,42.9,5,3,60.0,7,56.2,0,0,,38,37,97.4,0,4,4,100.0,22,16,72.7,6,6,100.0
Jake Moody,82603,K,SF,14,0,9,4,44.4,11,6,54.5,28,44.8,0,0,,33,32,97.0,0,5,5,100.0,34,24,70.6,9,9,100.0
Will Reichard,98965,K,MIN,14,0,11,8,72.7,7,5,71.4,18,70.4,0,0,,38,38,100.0,0,8,7,87.5,31,25,80.6,5,5,100.0
Cade York,98975,K,CIN,6,0,2,1,50.0,3,1,33.3,7,44.8,0,0,,17,16,94.1,0,3,2,66.7,13,9,69.2,5,5,100.0
Spencer Shrader,100974,K,KC,4,0,0,0,,2,2,100.0,16,76.2,0,0,,9,9,100.0,0,1,1,100.0,5,5,100.0,2,2,100.0
Jake Bates,121959,K,DET,18,0,8,6,75.0,8,7,87.5,11,91.1,0,0,,71,68,95.8,0,10,10,100.0,30,27,90.0,4,4,100.0
Joshua Karty,131765,K,LA,19,0,7,6,85.7,7,5,71.4,26,63.4,0,0,,41,37,90.2,0,13,12,92.3,38,33,86.8,11,10,90.9
Cam Little,146646,K,JAX,17,0,6,5,83.3,9,8,88.9,15,90.2,0,0,,27,27,100.0,0,6,6,100.0,29,27,93.1,8,8,100.0
Brandon Aubrey,156112,K,DAL,17,0,17,14,82.4,16,14,87.5,9,95.8,0,0,,30,30,100.0,0,10,8,80.0,47,40,85.1,4,4,100.0
Jude McAtamney,162910,K,NYG,1,0,0,0,,0,0,,21,62.2,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
