player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Ja'Marr Chase,84270,WR,CIN,1,23,0,7,0,-1.0,0,100.0,,0,0,0.0,0,0.23,0,0,84.5,63.9,0,8,0.0,0,2,50.0,2,100.0,2,93.8,2,100.0,0,13,15,7.5,6.5,6.5,5.4,2,60.0,0.0,0,1,25.0,1,0.58,2,0,51.6,88.6,0,14,0.0,0,14,46.2,3,92.9,13,77.1,5,38.5,0,30,17,5.7,10.0,2.31
Keenan Allen,7857,WR,LAC,1,14,0,27,0,,0,,,0,0,,0,-0.08,0,0,,47.9,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,7.0,1,100.0,,0,0,0.0,0,0.94,3,0,84.1,83.7,0,17,0.0,0,15,73.3,4,100.0,15,113.5,4,26.7,0,45,17,4.3,11.3,3.0
Ladd McConkey,124030,WR,LAC,1,13,0,27,0,-4.5,1,100.0,,0,0,0.0,0,-0.28,0,0,84.5,60.8,0,5,0.0,0,3,33.3,2,100.0,3,79.2,2,66.7,0,5,14,7.0,2.5,1.67,11.5,1,63.6,50.0,1,2,0.0,0,0.1,2,0,80.6,63.4,0,15,0.0,0,44,51.2,7,97.7,43,75.2,11,25.6,0,53,14,2.0,7.6,1.23
Jaxon Smith-Njigba,129758,WR,SEA,1,13,0,29,0,-1.0,0,100.0,,0,0,0.0,0,-0.27,0,0,78.7,55.8,0,5,0.0,0,4,25.0,1,100.0,4,87.5,1,25.0,0,5,6,6.0,5.0,1.25,11.5,0,50.0,,0,0,0.0,0,-0.64,1,0,79.4,93.4,1,19,0.0,0,8,25.0,1,100.0,8,43.8,2,25.0,0,19,3,3.0,19.0,2.38
Travis Hunter,160766,WR,JAX,1,12,0,15,0,-2.5,1,100.0,,0,0,0.0,0,-0.55,0,0,84.5,57.6,0,0,0.0,0,7,14.3,2,100.0,7,79.2,2,28.6,0,0,5,2.5,0.0,0.0,10.1,1,72.7,50.0,1,2,0.0,0,-0.12,5,0,79.4,71.9,0,34,0.0,0,35,38.2,8,97.1,34,131.3,11,32.4,1,101,36,4.5,12.6,2.97
Trey McBride,75916,TE,ARZ,1,12,0,1,0,-1.0,1,100.0,,0,0,0.0,0,-0.37,1,0,84.5,91.3,0,4,0.0,0,3,0.0,2,100.0,3,81.3,2,66.7,0,7,9,4.5,3.5,2.33,5.0,1,80.0,100.0,1,1,0.0,0,0.09,2,0,81.1,74.1,0,15,3.1,1,32,39.3,4,84.4,27,129.6,5,18.5,1,28,9,2.3,7.0,1.04
Jordan Addison,123000,WR,MIN,1,12,0,18,0,,0,,,0,0,,0,-0.62,0,0,,53.6,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,4.3,0,66.7,,0,0,0.0,0,-1.07,2,0,78.0,73.3,0,9,0.0,0,11,27.3,2,100.0,11,77.1,3,27.3,0,14,3,1.5,7.0,1.27
Emeka Egbuka,145055,WR,TB,1,11,0,30,0,,0,,,0,0,,0,0.55,0,0,,49.3,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,8.3,0,66.7,0.0,0,1,0.0,0,-1.42,0,0,74.6,60.3,0,6,0.0,0,10,33.3,2,90.0,9,71.5,3,33.3,0,10,3,1.5,5.0,1.11
DeVonta Smith,61100,WR,PHI,1,11,0,24,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,5.7,0,66.7,50.0,1,2,33.3,1,0.51,0,0,41.8,68.6,0,6,0.0,0,16,37.5,2,100.0,16,71.5,3,18.8,0,10,3,1.5,5.0,0.63
Wan'Dale Robinson,101735,WR,NYG,1,10,0,21,0,-1.0,0,100.0,,0,0,0.0,0,2.42,1,0,84.5,91.7,0,13,0.0,0,3,100.0,2,100.0,3,110.4,2,66.7,0,21,23,11.5,10.5,7.0,11.2,0,55.6,33.3,1,3,0.0,0,0.14,4,0,81.1,86.7,0,19,0.0,0,29,50.0,5,82.8,24,81.7,9,37.5,0,72,35,7.0,14.4,3.0
