player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Ja'Marr Chase,84270,WR,CIN,1,23,0,7,6.4,0,85.7,50.0,1,2,0.0,0,0.07,4,0,74.6,86.1,0,16,0.0,0,19,50.0,6,94.7,18,104.2,7,38.9,0,63,28,4.7,10.5,3.5,0,7.0,3,60.0,0.0,0,1,10.0,1,0.24,4,0,56.7,78.6,0,18,0.0,0,26,48.0,9,96.2,25,77.1,15,60.0,0,90,58,6.4,10.0,3.6
Keenan Allen,7857,WR,LAC,1,14,0,27,9.0,0,50.0,0.0,0,1,0.0,0,0.17,1,0,68.3,65.9,0,8,0.0,0,9,50.0,2,88.9,8,57.3,4,50.0,0,13,6,3.0,6.5,1.63,0,8.7,1,83.3,100.0,2,2,0.0,0,0.67,2,0,73.4,80.8,0,30,0.0,0,18,72.2,5,100.0,18,112.5,6,33.3,0,66,21,4.2,13.2,3.67
Ladd McConkey,124030,WR,LAC,1,13,0,27,8.3,0,66.7,100.0,1,1,0.0,0,0.16,1,0,68.3,62.8,0,14,0.0,0,14,46.2,2,92.9,13,84.0,3,23.1,0,19,10,5.0,9.5,1.46,0,16.3,1,66.7,0.0,0,1,0.0,0,0.49,1,0,68.3,59.9,0,11,0.0,0,22,63.6,2,100.0,22,72.9,3,13.6,0,11,4,2.0,5.5,0.5
Jaxon Smith-Njigba,129758,WR,SEA,1,13,0,29,16.0,0,100.0,100.0,1,1,0.0,0,0.4,2,0,68.3,88.4,0,19,0.0,0,7,50.0,2,85.7,6,158.3,2,33.3,1,30,3,1.5,15.0,5.0,0,12.2,0,54.5,0.0,0,1,0.0,0,-0.62,4,0,74.6,88.1,1,26,0.0,0,27,32.0,6,92.6,25,44.9,11,44.0,0,93,27,4.5,15.5,3.72
Travis Hunter,160766,WR,JAX,1,12,0,15,16.3,0,66.7,50.0,1,2,0.0,0,-0.35,2,0,68.3,80.7,0,34,0.0,0,12,27.3,2,91.7,11,149.3,3,27.3,1,50,7,3.5,25.0,4.55,0,7.7,1,71.4,,0,0,0.0,0,-0.22,3,0,73.4,67.8,0,21,0.0,0,34,42.4,5,97.1,33,87.2,7,21.2,0,43,29,5.8,8.6,1.3
Trey McBride,75916,TE,ARZ,1,12,0,1,1.5,1,100.0,,0,0,0.0,0,0.45,1,0,68.3,66.4,0,8,0.0,0,9,57.1,2,77.8,7,89.6,2,28.6,0,11,8,4.0,5.5,1.57,0,7.4,0,77.8,66.7,2,3,0.0,0,0.18,2,0,75.6,68.9,0,15,0.0,0,32,46.7,7,93.8,30,127.3,9,30.0,1,51,13,1.9,7.3,1.7
Jordan Addison,123000,WR,MIN,1,12,0,18,12.0,0,100.0,,0,0,0.0,0,-0.12,2,0,68.3,63.3,0,14,0.0,0,13,58.3,2,92.3,12,114.6,2,16.7,0,23,-1,-0.5,11.5,1.92,0,16.0,0,33.3,,0,0,0.0,0,0.31,1,0,64.7,61.6,0,25,0.0,0,15,50.0,1,93.3,14,64.6,3,21.4,0,25,7,7.0,25.0,1.79
Emeka Egbuka,145055,WR,TB,1,11,0,30,17.8,0,25.0,,0,0,0.0,0,-0.54,1,0,64.7,60.5,0,18,0.0,0,19,35.3,1,89.5,17,45.8,4,23.5,0,18,1,1.0,18.0,1.06,0,14.8,1,50.0,0.0,0,1,0.0,0,-0.26,1,0,70.5,66.7,0,30,0.0,0,21,38.1,3,100.0,21,71.5,6,28.6,0,40,19,6.3,13.3,1.9
DeVonta Smith,61100,WR,PHI,1,11,0,24,23.0,0,0.0,,0,0,,0,1.94,0,0,,54.7,0,0,0.0,0,5,60.0,0,100.0,5,39.6,1,20.0,0,0,0,,,0.0,0,15.4,1,90.0,75.0,3,4,10.0,1,0.51,5,0,57.0,91.6,0,79,0.0,0,19,47.4,9,100.0,19,152.1,10,52.6,1,183,39,4.3,20.3,9.63
Wan'Dale Robinson,101735,WR,NYG,1,10,0,21,11.7,0,33.3,0.0,0,1,0.0,0,-0.27,1,0,68.3,55.8,0,14,0.0,0,11,33.3,1,81.8,9,49.3,3,33.3,0,14,10,10.0,14.0,1.56,0,11.0,0,66.7,50.0,1,2,0.0,0,0.57,3,0,73.4,75.1,0,19,0.0,0,26,50.0,4,84.6,22,97.9,6,27.3,0,58,25,6.3,14.5,2.64
Justin Jefferson,61398,WR,MIN,1,10,0,18,19.2,1,20.0,0.0,0,1,0.0,0,-0.12,1,0,64.7,62.3,1,10,0.0,0,13,58.3,1,92.3,12,0.0,5,41.7,0,10,3,3.0,10.0,0.83,0,2.3,1,100.0,,0,0,0.0,0,0.31,2,0,70.5,79.2,0,40,0.0,0,15,50.0,3,93.3,14,118.8,3,21.4,0,62,55,18.3,20.7,4.43
Troy Franklin,146567,WR,DEN,1,10,0,10,12.5,0,25.0,50.0,1,2,0.0,0,0.44,1,0,64.7,65.3,0,2,0.0,0,17,58.8,1,100.0,17,79.2,4,23.5,1,2,0,0.0,2.0,0.12,0,20.3,0,33.3,50.0,1,2,0.0,0,0.14,1,0,68.3,56.9,0,12,0.0,0,20,47.4,2,95.0,19,42.4,6,31.6,0,17,0,0.0,8.5,0.89
Alec Pierce,78038,WR,IND,1,10,0,14,7.0,0,0.0,,0,0,,0,-0.1,0,0,,56.3,0,0,0.0,0,5,25.0,0,80.0,4,39.6,1,25.0,0,0,0,,,0.0,0,20.9,0,71.4,66.7,2,3,0.0,0,0.51,4,0,73.4,80.6,0,48,0.0,0,24,66.7,5,100.0,24,113.7,7,29.2,0,98,8,1.6,19.6,4.08
Kyle Pitts,83964,TE,ATL,1,10,0,2,8.5,0,100.0,100.0,1,1,0.0,0,-0.01,3,0,72.1,88.9,0,19,0.0,0,15,53.8,4,86.7,13,112.5,4,30.8,0,44,10,2.5,11.0,3.38,0,8.0,0,50.0,,0,0,0.0,0,0.04,0,0,70.5,61.3,0,4,4.8,1,21,47.4,2,85.7,18,56.3,4,22.2,0,1,1,0.5,0.5,0.06
Nico Collins,61441,WR,HST,1,10,0,13,,0,,,0,0,,0,0.67,0,0,64.7,85.6,0,0,0.0,0,4,50.0,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,10.8,0,16.7,0.0,0,2,0.0,0,-0.65,1,0,64.7,62.6,1,4,0.0,0,15,35.7,1,93.3,14,0.0,6,42.9,0,4,0,0.0,4.0,0.29
Dalton Schultz,47304,TE,HST,1,10,0,13,2.0,0,100.0,,0,0,0.0,0,0.47,2,0,68.3,76.0,0,17,12.5,1,8,50.0,2,75.0,6,112.5,2,33.3,0,22,18,9.0,11.0,3.67,0,4.8,2,100.0,,0,0,0.0,0,-0.17,2,0,73.4,74.0,0,13,9.1,2,22,55.0,5,81.8,18,100.8,5,27.8,0,41,17,3.4,8.2,2.28
