player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Eric Weddle,3653,S,LA,4,146,0,26,1,-1.0,0.0,100.0,,25.0,0,0,0.0,77.0,0,,0.0,0,0,39.6,0,25,17.1,25,0,0,1,0,0,0,0.0,,0,1,9.2,66.7,100.0,20.3,13.5,0,0,0.0,60.2,0,16,0.0,0,0,126.4,4,82,56.2,82,1,3,6,1,42,23,0.5,10.5
Malcolm Jenkins,4937,S,NO,16,629,0,20,2,9.0,50.0,89.1,17.8,8.9,0,2,9.1,51.5,1,31,15.4,2,2,51.9,11,212,33.7,238,1,9,22,0,143,75,0.7,13.0,0,3,4.8,86.7,95.4,13.5,11.7,0,2,6.7,68.7,0,26,2.9,1,2,116.4,26,370,58.8,388,16,31,30,2,198,86,0.6,7.6
Jason McCourty,5127,S,MIA,7,190,0,17,0,8.1,62.5,97.0,18.6,11.6,0,3,37.5,78.9,0,23,0.0,0,3,75.5,5,98,51.6,101,2,5,8,0,41,19,0.4,8.2,0,2,12.3,100.0,98.8,26.0,26.0,0,0,0.0,63.2,0,25,0.0,0,0,118.8,3,80,42.1,81,0,3,3,0,45,8,0.6,15.0
Steve McLendon,5232,DI,TB,14,5,0,30,0,,,0.0,,,0,0,,62.3,0,,0.0,0,0,0.0,0,0,0.0,39,1,1,0,0,0,0,,,0,0,,,2.2,,,0,0,,64.1,1,,0.0,0,0,0.0,0,3,60.0,135,1,2,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,19,9,0,30,1,,,0.0,,,0,0,,60.0,0,,33.3,1,0,0.0,0,0,0.0,152,1,1,0,0,0,0,,,0,0,3.0,100.0,1.1,4.0,4.0,1,0,0.0,57.3,0,5,0.0,0,0,87.5,1,4,44.4,352,6,2,1,0,5,2,1.3,5.0
Joe Haden,5532,CB,PIT,13,446,0,25,4,12.2,72.7,100.0,7.6,5.5,0,2,9.1,49.2,0,37,0.0,0,2,141.9,16,127,28.5,127,2,9,22,3,209,53,1.7,13.1,0,1,9.9,58.3,100.0,17.1,10.0,0,3,12.5,73.8,0,14,21.1,4,3,80.6,14,251,56.3,251,6,14,24,1,92,42,0.4,6.6
Jason Pierre-Paul,5540,ED,TB,14,55,0,30,0,,,1.7,,,0,0,,53.4,0,,25.0,1,0,0.0,0,2,3.6,117,4,3,0,0,0,0,0.0,,0,2,3.2,100.0,13.5,4.8,4.8,0,0,0.0,66.2,0,24,21.1,4,0,140.7,9,44,80.0,327,5,13,9,1,80,51,1.9,8.9
Kareem Jackson,5545,S,DEN,15,531,0,10,0,8.4,62.5,99.1,42.0,26.3,0,1,12.5,58.2,0,8,26.1,6,1,66.7,5,219,41.2,221,2,17,8,0,22,17,0.1,4.4,0,0,6.4,82.4,100.0,10.9,8.9,0,0,0.0,48.9,1,17,4.3,1,0,77.0,14,160,30.1,160,3,22,17,0,142,83,0.9,10.1
Devin McCourty,5552,S,NE,18,620,0,19,1,9.1,42.9,99.3,86.7,37.1,2,2,28.6,64.3,1,13,5.9,1,2,14.9,3,273,44.0,275,0,15,7,0,28,7,0.1,9.3,0,6,13.4,56.3,98.7,31.9,17.9,0,4,25.0,69.2,2,33,9.5,2,4,43.5,9,301,48.5,305,1,13,16,0,131,56,0.5,14.6
Jerry Hughes,5556,ED,BUF,19,20,0,4,0,14.0,0.0,3.7,,5.0,0,0,0.0,72.0,0,,50.0,1,0,39.6,0,5,25.0,135,2,1,1,0,0,0,0.0,,0,2,0.0,66.7,5.7,5.5,3.7,0,0,0.0,46.3,0,18,33.3,1,0,84.0,2,12,60.0,212,2,0,3,0,19,11,1.7,9.5
