player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Larry Rountree III,57308,HB,LAC,8,2,0,27,0,,0,,,0,0,,0,-0.06,0,0,,48.0,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,29.9,38.3,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Nick Boyle,9604,TE,BLT,5,2,0,3,0,,0,,,0,0,,0,-0.07,0,0,,48.1,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.77,0,0,29.9,39.6,0,0,25.0,2,8,75.0,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Derek Carrier,7406,TE,LV,6,2,0,23,0,,0,,,0,0,,0,-0.04,0,0,,46.3,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.75,0,0,73.4,74.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Dwayne Washington,10870,HB,NO,5,2,0,20,0,,0,,,0,0,,0,-0.72,0,0,,53.7,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.72,0,0,70.5,55.4,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Trey Ragas,42174,HB,LV,1,2,0,23,0,,0,,,0,0,,0,-0.31,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,-2.0,0,100.0,,0,0,0.0,0,-0.34,0,0,72.1,59.3,0,2,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,2,4,4.0,2.0,2.0
Geronimo Allison,11141,WR,DET,3,2,0,11,0,,0,,,0,0,,0,1.26,0,0,,47.0,0,0,0.0,0,5,60.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,,49.5,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Giovanni Ricci,13756,FB,CAR,16,2,0,5,0,,0,,,0,0,,0,0.54,0,0,,42.4,0,0,33.3,2,6,80.0,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,9.0,0,0.0,,0,0,,0,0.03,0,0,,48.2,0,0,0.0,0,9,44.4,0,100.0,9,39.6,1,11.1,0,0,0,,,0.0
C.J. Saunders,42541,WR,CAR,2,2,0,5,0,,0,,,0,0,,0,0.05,0,0,,46.8,0,0,0.0,0,4,33.3,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,5.5,0,100.0,100.0,1,1,0.0,0,-0.68,1,0,72.1,61.5,0,8,0.0,0,11,30.0,2,90.9,10,89.6,2,20.0,0,11,0,0.0,5.5,1.1
Reggie Bonnafon,47542,HB,CAR,1,2,0,5,0,,0,,,0,0,,0,2.24,0,0,,51.9,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,72.1,74.8,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Hunter Long,60859,TE,MIA,6,2,0,17,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,-0.51,0,0,,48.2,0,0,33.3,1,3,66.7,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Trayveon Williams,45775,HB,CIN,2,2,0,7,0,-5.5,1,50.0,,0,0,0.0,0,-0.39,0,0,78.7,74.4,0,4,0.0,0,2,0.0,1,100.0,2,56.3,2,100.0,0,4,11,11.0,4.0,2.0,,0,,,0,0,,0,0.0,0,0,64.7,50.6,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,
Kylin Hill,57306,HB,GB,3,2,0,12,0,-2.5,0,50.0,,0,0,0.0,0,-0.63,0,0,78.7,67.2,0,5,0.0,0,4,50.0,1,100.0,4,56.3,2,50.0,0,5,7,7.0,5.0,1.25,,0,,,0,0,,0,-0.51,0,0,68.3,53.4,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Darrynton Evans,40692,HB,TEN,1,2,0,31,0,-4.0,0,100.0,,0,0,0.0,0,0.03,0,0,78.7,79.2,0,6,0.0,0,1,100.0,1,100.0,1,91.7,1,100.0,0,6,10,10.0,6.0,6.0,,0,,,0,0,,0,0.0,0,0,70.5,75.5,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Daniel Brown,10144,TE,NYJ,6,2,0,22,0,,0,,,0,0,,0,0.65,0,0,,41.1,0,0,33.3,1,3,66.7,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,1.03,0,0,68.3,52.9,0,0,8.3,1,12,75.0,0,91.7,11,0.0,0,0.0,0,0,0,,,0.0
Daniel Helm,47307,TE,LV,8,2,0,23,0,,0,,,0,0,,0,0.67,0,0,,38.8,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.26,0,0,,53.2,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Cethan Carter,47149,TE,MIA,8,2,0,17,0,,0,,,0,0,,0,-1.26,0,0,,55.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,8.0,0,100.0,100.0,1,1,0.0,0,-0.05,0,0,70.5,71.9,0,8,30.0,3,10,44.4,1,70.0,7,100.0,1,14.3,0,8,0,0.0,8.0,1.14
Andre Roberts,5612,WR,LAC,4,2,0,27,0,,0,,,0,0,,0,1.88,0,0,,48.5,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,15.5,0,50.0,0.0,0,1,0.0,0,0.18,1,0,68.3,62.7,1,35,0.0,0,13,33.3,1,92.3,12,56.3,2,16.7,0,35,15,15.0,35.0,2.92
Luke Stocker,6256,TE,MIN,12,2,0,18,0,,0,,,0,0,,0,0.14,0,0,,47.4,0,0,50.0,1,2,50.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.36,0,0,64.7,48.8,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Tommylee Lewis,11231,WR,MIA,1,2,0,17,0,-4.0,0,100.0,,0,0,0.0,0,1.11,1,0,78.7,96.6,0,7,0.0,0,1,100.0,1,100.0,1,95.8,1,100.0,0,7,11,11.0,7.0,7.0,3.5,0,50.0,,0,0,0.0,0,0.37,1,0,68.3,88.2,0,7,0.0,0,2,50.0,1,100.0,2,58.3,2,100.0,0,7,11,11.0,7.0,3.5
Richard Rodgers,8733,TE,PHI,4,2,0,24,0,-2.0,0,100.0,,0,0,0.0,0,-0.15,0,0,78.7,56.0,0,2,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,2,4,4.0,2.0,1.0,,0,,,0,0,,0,-0.1,0,0,64.7,59.1,0,0,0.0,0,4,25.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
John Brown,8726,WR,TB,5,2,0,30,0,,0,,,0,0,,0,0.0,0,0,,54.0,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,30.0,0,0.0,,0,0,,0,0.14,0,0,,51.2,0,0,0.0,0,9,44.4,0,100.0,9,39.6,1,11.1,0,0,0,,,0.0
Patrick Taylor,40448,HB,GB,5,2,0,12,0,-4.0,0,100.0,,0,0,0.0,0,1.73,0,0,78.7,58.6,0,0,0.0,0,4,75.0,1,100.0,4,79.2,1,25.0,0,0,4,4.0,0.0,0.0,,0,,,0,0,,0,0.0,0,0,74.6,63.4,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
