player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Brennan Scarlett,11169,ED,MIA,4,6,6.0,3.0,17,0,75.0,1,2,0,15,17,2.5
Carlos Dunlap,5579,ED,SEA,5,6,6.0,6.0,29,0,83.3,1,1,0,4,0,0.67
Charles Harris,11777,ED,DET,4,6,6.0,6.0,11,0,79.2,1,1,0,-1,2,-0.17
Essang Bassey,45258,CB,LAC,1,6,6.0,6.0,27,0,118.8,1,1,0,23,3,3.83
Leonard Floyd,10643,ED,LA,11,12,6.0,6.0,26,0,95.8,2,2,0,14,4,1.17
William Jackson III,10658,CB,WAS,11,30,6.0,5.0,32,0,140.3,5,6,1,49,15,1.63
Chandler Jones,7027,ED,ARZ,6,6,6.0,6.0,1,0,118.8,1,1,0,17,13,2.83
Joe Haden,5532,CB,PIT,4,6,6.0,6.0,25,0,139.6,1,1,1,8,11,1.33
T.J. Carrie,8853,CB,IND,7,18,6.0,3.6,14,0,69.6,3,5,0,21,15,1.17
Julian Blackmon,49434,S,IND,3,6,6.0,6.0,14,0,104.2,1,1,0,9,4,1.5
Erik Harris,10346,S,ATL,12,100,5.9,5.0,2,0,106.5,17,20,0,191,67,1.91
A.J. Bouye,8110,CB,CAR,10,165,5.9,5.2,5,0,101.6,28,32,0,268,145,1.62
Deion Jones,10686,LB,ATL,16,59,5.9,4.5,2,0,117.1,10,13,1,79,59,1.34
Tre Herndon,50380,CB,JAX,6,113,5.9,5.7,15,0,140.0,19,20,2,192,103,1.7
Sean Murphy-Bunting,25891,CB,TB,9,164,5.9,4.1,30,0,106.0,28,40,1,358,186,2.18
Denzel Perryman,9481,LB,LV,16,154,5.9,5.0,23,0,115.2,26,31,2,201,69,1.31
Troy Reeder,38268,LB,LA,20,76,5.8,4.8,26,0,104.9,13,16,0,147,79,1.93
Nick Scott,49012,S,LA,12,23,5.8,4.6,26,0,122.1,4,5,1,19,6,0.83
Bobby Wagner,7050,LB,SEA,14,52,5.8,3.7,29,0,90.8,9,14,0,118,66,2.27
Azeez Al-Shaair,49792,LB,SF,14,52,5.8,4.3,28,0,116.0,9,12,1,68,37,1.31
Avery Williams,42873,CB,ATL,6,64,5.8,4.6,2,0,120.2,11,14,1,100,73,1.56
Marcus Williams,11797,S,NO,12,17,5.7,5.7,20,0,94.4,3,3,0,20,5,1.18
Tony Jefferson,8361,S,BLT,4,17,5.7,3.4,3,0,72.1,3,5,0,24,13,1.41
Chris Lammons,49368,CB,KC,1,11,5.5,3.7,16,0,81.3,2,3,0,17,15,1.55
Marco Wilson,55592,CB,ARZ,11,33,5.5,3.7,1,0,131.5,6,9,2,74,31,2.24
Robert Alford,7841,CB,ARZ,11,22,5.5,3.7,1,0,138.2,4,6,1,59,48,2.68
Divine Deablo,42208,LB,LV,5,11,5.5,5.5,23,0,97.9,2,2,0,15,8,1.36
M.J. Stewart,49397,S,CLV,8,99,5.5,4.0,8,0,110.1,18,25,2,128,93,1.29
Duke Riley,11830,LB,MIA,6,11,5.5,3.7,17,0,75.7,2,3,0,13,4,1.18
Akeem Davis-Gaither,34788,LB,CIN,5,11,5.5,5.5,7,0,118.8,2,2,0,26,2,2.36
Logan Wilson,29623,LB,CIN,14,54,5.4,4.5,7,0,99.3,10,12,0,94,47,1.74
Jerome Baker,28091,LB,MIA,13,38,5.4,4.8,17,0,96.9,7,8,0,58,40,1.53
Tae Crowder,35774,LB,NYG,15,38,5.4,4.2,21,0,82.4,7,9,0,34,23,0.89
Jamel Dean,34918,CB,TB,12,21,5.3,3.5,30,0,90.3,4,6,0,47,17,2.24
Keith Taylor Jr.,56289,CB,CAR,10,16,5.3,4.0,5,0,111.5,3,4,0,45,21,2.81
Myles Jack,10670,LB,JAX,12,32,5.3,4.6,15,0,99.4,6,7,0,55,26,1.72
Carlton Davis III,49335,CB,TB,11,31,5.2,2.8,30,0,111.9,6,11,1,90,54,2.9
Anthony Barr,8644,LB,MIN,11,47,5.2,4.7,18,0,98.8,9,10,0,77,73,1.64
Travin Howard,50959,LB,LA,7,46,5.1,3.5,26,1,46.0,9,13,0,57,43,1.24
Kevin Peterson,11302,CB,ARZ,3,10,5.0,3.3,1,0,145.8,2,3,1,35,15,3.5
Alex Singleton,9994,LB,PHI,13,45,5.0,4.1,24,1,49.2,9,11,0,54,46,1.2
Damien Wilson,9560,LB,JAX,10,15,5.0,3.0,15,0,142.5,3,5,1,61,24,4.07
Xavier Rhodes,7806,CB,IND,6,10,5.0,2.5,14,0,59.4,2,4,0,15,14,1.5
Jonathan Garvin,56703,ED,GB,4,5,5.0,5.0,12,0,104.2,1,1,0,9,8,1.8
Jon Bostic,7831,LB,WAS,4,10,5.0,3.3,32,0,102.1,2,3,0,32,4,3.2
Adrian Colbert,11983,S,CLV,4,10,5.0,2.5,8,0,65.6,2,4,0,21,9,2.1
Emmanuel Moseley,50430,CB,SF,5,5,5.0,5.0,28,0,79.2,1,1,0,2,3,0.4
Tavon Wilson,7051,S,SF,2,5,5.0,5.0,28,0,104.2,1,1,0,9,7,1.8
Josh Metellus,43395,S,MIN,1,15,5.0,3.0,18,0,80.4,3,5,0,34,8,2.27
Roderic Teamer,51405,S,LV,7,45,5.0,3.5,23,0,81.9,9,13,0,69,18,1.53
Melvin Ingram III,7024,ED,KC,3,5,5.0,5.0,16,0,118.8,1,1,0,13,18,2.6
Richard LeCounte III,55910,S,CLV,2,5,5.0,5.0,8,0,143.8,1,1,1,9,0,1.8
Tre Flowers,49059,CB,CIN,9,34,4.9,3.1,7,0,85.4,7,11,0,80,40,2.35
Cole Holcomb,49753,LB,WAS,12,49,4.9,4.5,32,0,100.8,10,11,0,90,60,1.84
Leighton Vander Esch,50950,LB,DAL,16,38,4.8,4.8,9,0,102.1,8,8,0,68,28,1.79
