player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Kenny Yeboah,42196,TE,NYJ,3,0,22,77.2,0,0,6,16.7,16.2,100.0,0,0,0,6,37,65.7,0,0,1,5.6,5.3,100.0,0,0,1,19
Laquon Treadwell,10657,WR,JAX,12,0,15,75.2,0,0,6,2.1,1.9,100.0,0,0,0,6,310,,0,0,0,0.0,0.0,,0,0,0,144
Jon Toth,22917,G,WAS,1,0,32,0.0,0,1,4,100.0,100.0,87.5,0,1,0,5,5,71.9,0,0,1,100.0,100.0,100.0,0,0,1,1
Demarcus Robinson,10760,WR,KC,20,0,16,79.6,0,0,5,0.9,0.8,100.0,2,0,0,5,609,,0,0,0,0.0,0.0,,0,0,0,281
Cethan Carter,47149,TE,MIA,8,0,17,77.0,0,0,4,21.1,22.7,100.0,0,0,0,5,22,,0,0,0,0.0,0.0,,0,0,0,6
James O'Shaughnessy,9606,TE,JAX,7,0,15,73.7,0,0,3,1.7,2.6,100.0,2,0,0,5,194,65.7,0,0,1,1.1,1.0,100.0,0,0,1,96
Brycen Hopkins,47338,TE,LA,5,0,26,30.8,0,0,5,11.1,9.6,100.0,0,0,0,5,52,,0,0,0,0.0,0.0,,0,0,0,28
Kylen Granson,40630,TE,IND,16,1,14,72.4,0,0,5,5.1,4.6,100.0,1,0,0,5,108,70.8,0,0,4,8.3,7.4,100.0,0,0,4,54
Nick Bawden,27413,FB,NYJ,7,0,22,73.6,0,0,5,21.7,20.8,100.0,0,0,0,5,24,,0,0,0,0.0,0.0,,0,0,0,2
Adrian Peterson,3623,HB,SEA,4,0,29,78.6,0,0,4,14.3,16.7,100.0,0,0,0,5,30,72.4,0,0,1,16.7,16.7,100.0,0,0,1,6
Jake Hanson,28148,C,GB,1,0,12,79.2,0,0,5,100.0,100.0,100.0,0,0,0,5,5,75.4,0,0,2,100.0,100.0,100.0,0,0,2,2
Corey Clement,12253,HB,DAL,7,0,9,83.7,0,0,5,17.2,14.3,100.0,0,0,0,5,35,78.7,0,0,2,20.0,12.5,100.0,0,0,2,16
Joshua Miles,29038,T,ARZ,3,0,1,81.3,0,0,4,100.0,100.0,100.0,0,0,0,5,5,74.1,0,0,2,100.0,100.0,100.0,0,0,2,2
Marlon Mack,11898,HB,IND,5,0,14,82.2,0,0,5,19.2,19.2,100.0,0,0,0,5,26,77.3,0,0,2,20.0,20.0,100.0,0,0,2,10
Mike Boone,31615,HB,DEN,3,0,10,21.2,0,0,3,20.0,27.8,100.0,0,0,0,5,18,29.2,0,0,3,50.0,50.0,100.0,0,0,4,8
Taysom Hill,12112,QB,NO,12,0,20,16.9,1,0,5,2.3,2.2,70.0,1,2,1,5,223,0.0,1,0,1,1.0,1.0,50.0,1,0,1,104
