player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Mike Evans,8642,WR,TB,1,6,0,30,0,,0,,,0,0,,0,1.25,0,0,,46.6,0,0,0.0,0,6,66.7,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,10.0,0,100.0,,0,0,0.0,0,0.66,2,0,78.0,83.2,0,24,0.0,0,10,70.0,3,100.0,10,149.3,3,30.0,1,31,7,2.3,10.3,3.1
Justice Hill,45865,HB,BLT,1,6,0,3,0,-6.0,2,100.0,,0,0,0.0,0,0.4,0,0,78.7,89.5,0,7,0.0,0,3,100.0,1,66.7,2,95.8,1,50.0,0,7,13,13.0,7.0,3.5,,0,,,0,0,,0,0.0,0,0,75.6,63.3,0,0,0.0,0,3,100.0,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0
Adonai Mitchell,146712,WR,IND,1,5,0,14,0,-1.0,0,100.0,,0,0,0.0,0,-0.07,0,0,78.7,59.3,0,2,0.0,0,2,50.0,1,100.0,2,79.2,1,50.0,0,2,3,3.0,2.0,1.0,,0,,,0,0,,0,0.16,0,0,64.7,47.3,0,0,0.0,0,7,57.1,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Alvin Kamara,11822,HB,NO,1,5,0,20,0,-4.3,1,100.0,,0,0,0.0,0,-0.24,0,0,88.7,94.0,0,18,0.0,0,4,50.0,3,100.0,4,95.8,3,75.0,0,21,34,11.3,7.0,5.25,-4.0,0,100.0,,0,0,0.0,0,0.31,0,0,76.5,82.0,0,5,0.0,0,5,66.7,1,60.0,3,87.5,1,33.3,0,5,9,9.0,5.0,1.67
Rashid Shaheed,63707,WR,NO,1,5,0,20,0,-2.0,0,100.0,,0,0,0.0,0,-0.68,1,0,78.7,92.3,0,13,0.0,0,3,33.3,1,100.0,3,118.8,1,33.3,0,13,15,15.0,13.0,4.33,6.0,0,66.7,,0,0,0.0,0,0.01,1,0,70.5,69.8,0,13,0.0,0,7,33.3,2,85.7,6,77.1,3,50.0,0,14,15,7.5,7.0,2.33
Colby Parkinson,52266,TE,LA,1,5,0,26,0,-6.0,0,0.0,,0,0,100.0,1,0.19,0,0,21.6,22.3,0,0,0.0,0,3,33.3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,2.5,0,100.0,,0,0,0.0,0,0.79,1,0,29.7,55.1,0,10,0.0,0,6,66.7,2,100.0,6,91.7,2,33.3,0,12,7,3.5,6.0,2.0
Sam LaPorta,101690,TE,DET,1,5,0,11,0,,0,,,0,0,,0,0.46,0,0,,48.7,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.32,0,0,75.6,62.5,0,0,0.0,0,5,40.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Jaleel McLaughlin,138346,HB,DEN,1,5,0,10,0,-6.0,3,100.0,,0,0,0.0,0,-0.49,0,0,84.5,62.5,0,1,0.0,0,6,16.7,2,100.0,6,79.2,2,33.3,0,-1,11,5.5,-0.5,-0.17,-7.0,0,100.0,,0,0,0.0,0,-1.01,0,0,77.3,45.0,0,-2,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,-2,5,5.0,-2.0,-2.0
Devin Singletary,40485,HB,NYG,1,5,0,21,0,-6.0,2,100.0,,0,0,0.0,0,-2.17,1,0,84.5,79.9,0,12,0.0,0,4,25.0,2,100.0,4,91.7,2,50.0,0,12,24,12.0,6.0,3.0,-5.0,1,100.0,,0,0,0.0,0,-2.86,0,0,29.7,43.7,0,0,0.0,0,3,0.0,1,100.0,3,79.2,1,33.3,0,0,5,5.0,0.0,0.0
Jaylen Waddle,84088,WR,MIA,1,5,0,17,0,-4.0,0,100.0,,0,0,0.0,0,-0.02,0,0,78.7,49.1,0,1,0.0,0,9,44.4,1,100.0,9,79.2,1,11.1,0,1,5,5.0,1.0,0.11,-4.0,0,100.0,,0,0,0.0,0,-2.05,0,0,73.4,68.4,0,1,0.0,0,6,20.0,1,83.3,5,79.2,1,20.0,0,1,5,5.0,1.0,0.2
