player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Drake London,86519,WR,ATL,1,14,0,2,10.0,0,57.1,60.0,3,5,0.0,0,-0.03,4,0,72.1,91.6,0,25,0.0,0,11,40.0,4,90.9,10,110.7,7,70.0,3,36,0,0.0,9.0,3.6,0,6.8,0,100.0,100.0,1,1,0.0,0,0.15,3,0,72.1,72.9,0,16,8.0,2,25,50.0,4,88.0,22,110.4,4,18.2,0,42,15,3.8,10.5,1.91
Chase Brown,77787,HB,CIN,1,13,0,7,4.5,0,100.0,,0,0,0.0,0,0.73,2,0,68.3,68.6,0,21,6.3,1,16,71.4,2,81.3,13,118.8,2,15.4,0,36,27,13.5,18.0,2.77,0,1.0,2,62.5,,0,0,16.7,1,0.36,2,0,45.8,65.2,0,13,14.8,4,27,48.1,5,85.2,23,73.4,8,34.8,0,37,33,6.6,7.4,1.61
Brock Bowers,146715,TE,LV,1,13,0,23,7.0,0,100.0,100.0,1,1,0.0,0,1.05,4,0,72.1,93.6,0,27,0.0,0,14,76.9,4,92.9,13,154.2,4,30.8,3,46,27,6.8,11.5,3.54,0,5.0,2,100.0,100.0,2,2,0.0,0,-0.28,2,0,74.6,83.2,0,14,5.9,1,17,50.0,6,88.2,15,102.1,6,40.0,0,51,21,3.5,8.5,3.4
Amon-Ra St. Brown,84470,WR,DET,1,12,0,11,10.0,0,100.0,100.0,1,1,0.0,0,0.32,1,0,72.1,90.5,0,19,0.0,0,13,46.2,4,100.0,13,118.8,4,30.8,0,51,11,2.8,12.8,3.92,0,13.2,0,66.7,100.0,1,1,20.0,1,0.13,1,0,42.1,56.0,0,19,0.0,0,22,47.6,4,95.5,21,83.3,6,28.6,0,37,13,3.3,9.3,1.76
Michael Pittman Jr.,29049,WR,IND,1,12,0,14,13.5,0,50.0,0.0,0,1,0.0,0,-0.45,1,0,64.7,61.3,0,15,0.0,0,14,28.6,1,100.0,14,75.0,2,14.3,0,15,1,1.0,15.0,1.07,0,9.8,1,80.0,0.0,0,1,0.0,0,-0.28,5,0,76.5,79.6,1,21,0.0,0,32,66.7,8,93.8,30,68.8,10,33.3,0,100,20,2.5,12.5,3.33
CeeDee Lamb,61570,WR,DAL,1,12,0,9,6.0,0,100.0,100.0,1,1,0.0,0,1.92,1,0,64.7,78.3,0,10,0.0,0,1,100.0,1,100.0,1,108.3,1,100.0,0,10,4,4.0,10.0,10.0,0,12.6,5,71.4,0.0,0,1,0.0,0,0.28,2,0,74.6,76.7,0,33,0.0,0,31,48.3,5,93.5,29,100.9,7,24.1,0,66,27,5.4,13.2,2.28
Alec Pierce,78038,WR,IND,1,11,0,14,22.7,0,33.3,0.0,0,1,0.0,0,-0.44,1,0,64.7,59.8,0,18,0.0,0,17,26.7,1,88.2,15,54.9,3,20.0,0,18,1,1.0,18.0,1.2,0,12.4,0,80.0,,0,0,0.0,0,-0.38,3,0,73.4,72.6,0,26,0.0,0,30,64.3,4,93.3,28,117.5,5,17.9,0,61,10,2.5,15.3,2.18
Wan'Dale Robinson,101735,WR,NYG,1,10,0,21,7.5,0,50.0,0.0,0,1,0.0,0,-0.21,1,0,64.7,68.8,0,6,0.0,0,6,50.0,1,100.0,6,56.3,2,33.3,0,6,2,2.0,6.0,1.0,0,5.0,1,100.0,,0,0,0.0,0,0.15,0,0,72.1,60.6,0,9,0.0,0,23,52.2,4,100.0,23,93.8,4,17.4,0,26,6,1.5,6.5,1.13
Romeo Doubs,84329,WR,GB,1,10,0,12,13.0,0,50.0,,0,0,0.0,0,0.68,1,0,64.7,62.6,0,10,0.0,0,4,50.0,1,100.0,4,64.6,2,50.0,0,10,0,0.0,10.0,2.5,0,15.4,1,80.0,100.0,2,2,0.0,0,0.02,3,0,72.1,77.0,0,30,0.0,0,21,47.6,4,100.0,21,118.8,5,23.8,0,71,12,3.0,17.8,3.38
Nico Collins,61441,WR,HST,1,10,0,13,6.0,0,100.0,100.0,1,1,0.0,0,-0.68,0,0,68.3,56.3,0,8,0.0,0,10,11.1,1,90.0,9,100.0,1,11.1,0,8,2,2.0,8.0,0.89,0,14.1,0,57.1,33.3,1,3,0.0,0,0.03,3,0,72.1,75.3,0,26,0.0,0,23,39.1,4,100.0,23,74.7,7,30.4,0,42,11,2.8,10.5,1.83
