player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Ja'Marr Chase,84270,WR,CIN,1,18,0,7,3.6,1,57.1,100.0,2,2,20.0,1,0.62,3,0,41.6,82.7,0,9,0.0,0,8,62.5,4,100.0,8,67.6,7,87.5,0,30,22,5.5,7.5,3.75,0,-0.3,2,100.0,,0,0,0.0,0,0.18,1,0,75.6,79.2,0,17,0.0,0,13,58.3,7,92.3,12,93.5,7,58.3,0,45,47,6.7,6.4,3.75
Rashid Shaheed,63707,WR,NO,1,12,0,20,27.5,0,0.0,0.0,0,1,,0,-1.16,0,0,,54.2,0,0,0.0,0,7,57.1,0,100.0,7,39.6,2,28.6,0,0,0,,,0.0,0,6.7,0,88.9,66.7,2,3,0.0,0,-0.39,4,1,76.5,59.5,0,10,0.0,0,39,42.1,8,97.4,38,98.1,9,23.7,0,68,16,2.0,8.5,1.79
Chris Olave,84355,WR,NO,1,12,0,20,1.0,0,100.0,,0,0,0.0,0,-0.78,0,0,64.7,54.6,0,7,0.0,0,10,50.0,1,100.0,10,95.8,1,10.0,0,7,6,6.0,7.0,0.7,0,11.9,0,63.6,0.0,0,2,12.5,1,-0.33,1,0,52.5,52.8,1,28,0.0,0,48,40.4,7,97.9,47,38.4,11,23.4,0,56,7,1.0,8.0,1.19
Justin Jefferson,61398,WR,MIN,1,11,0,18,16.0,0,100.0,,0,0,0.0,0,-0.15,0,0,64.7,77.8,0,17,0.0,0,2,50.0,1,100.0,2,118.8,1,50.0,0,17,1,1.0,17.0,8.5,0,7.8,0,50.0,33.3,1,3,0.0,0,-0.6,2,0,72.1,66.7,1,16,0.0,0,22,36.4,4,100.0,22,20.8,8,36.4,0,32,14,3.5,8.0,1.45
CeeDee Lamb,61570,WR,DAL,1,10,0,9,10.6,0,80.0,0.0,0,1,0.0,0,0.0,3,0,72.1,80.5,0,29,0.0,0,16,53.8,4,81.3,13,115.8,5,38.5,0,59,15,3.8,14.8,4.54,0,15.3,0,66.7,0.0,0,1,0.0,0,0.5,0,0,68.3,55.4,0,5,0.0,0,15,57.1,2,93.3,14,70.1,3,21.4,0,9,-2,-1.0,4.5,0.64
Tetairoa McMillan,158735,WR,CAR,1,10,0,5,10.5,0,100.0,100.0,1,1,0.0,0,0.46,2,0,68.3,81.3,0,16,0.0,0,11,54.5,2,100.0,11,118.8,2,18.2,0,28,7,3.5,14.0,2.55,0,11.0,1,75.0,,0,0,0.0,0,-0.95,3,0,70.5,75.0,0,19,0.0,0,15,35.7,3,93.3,14,114.6,4,28.6,0,48,12,4.0,16.0,3.43
Ladd McConkey,124030,WR,LAC,1,10,0,27,13.6,0,60.0,,0,0,0.0,0,0.43,2,0,70.5,83.1,0,27,0.0,0,10,50.0,3,100.0,10,135.8,5,50.0,1,53,10,3.3,17.7,5.3,0,6.8,0,60.0,0.0,0,1,0.0,0,-0.18,2,0,70.5,72.7,1,16,0.0,0,15,53.3,3,100.0,15,41.7,5,33.3,0,35,17,5.7,11.7,2.33
Rome Odunze,73774,WR,CHI,1,10,0,6,11.4,0,60.0,100.0,1,1,25.0,1,0.07,3,0,36.8,67.3,0,16,0.0,0,16,46.7,3,93.8,15,82.1,5,33.3,0,36,6,2.0,12.0,2.4,0,16.3,1,100.0,100.0,1,1,0.0,0,0.27,4,0,72.1,78.5,0,27,0.0,0,21,57.1,4,100.0,21,118.8,4,19.0,0,78,13,3.3,19.5,3.71
Rashee Rice,97605,WR,KC,1,9,0,16,,0,,,0,0,,0,0.21,0,0,,52.9,0,0,0.0,0,12,60.0,0,83.3,10,0.0,0,0.0,0,0,0,,,0.0,0,3.9,0,100.0,,0,0,0.0,0,0.51,5,1,76.5,82.2,0,25,0.0,0,19,63.2,8,100.0,19,151.6,8,42.1,1,87,56,7.0,10.9,4.58
Michael Pittman Jr.,29049,WR,IND,1,9,0,14,9.0,0,100.0,100.0,1,1,0.0,0,0.4,1,0,68.3,82.1,0,14,0.0,0,5,60.0,2,100.0,5,114.6,2,40.0,0,23,5,2.5,11.5,4.6,0,4.5,0,83.3,50.0,1,2,0.0,0,0.53,3,0,73.4,76.4,0,18,0.0,0,17,52.9,5,100.0,17,102.1,6,35.3,0,51,24,4.8,10.2,3.0
