player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jaylan Ford,123114,LB,NO,1,1,1.0,1.0,20,0,83.3,1,1,0,4,0,4.0
D.J. James,100379,CB,NE,1,1,1.0,1.0,19,0,112.5,1,1,0,11,1,11.0
Swayze Bozeman,98634,LB,NYG,1,1,1.0,1.0,21,0,79.2,1,1,0,3,5,3.0
Darrell Luter Jr.,121428,CB,SF,1,1,1.0,1.0,28,0,118.8,1,1,0,16,11,16.0
Cam'Ron Silmon-Craig,150938,S,JAX,1,1,1.0,1.0,15,0,116.7,1,1,0,12,3,12.0
Christian Benford,79181,CB,BUF,2,2,1.0,1.0,4,0,116.7,2,2,0,24,13,12.0
Darien Porter,99553,CB,LV,1,1,1.0,1.0,23,0,79.2,1,1,0,3,0,3.0
Maxx Crosby,26316,ED,LV,1,1,1.0,1.0,23,0,87.5,1,1,0,5,0,5.0
Jordan Turner,129932,LB,DEN,1,1,1.0,1.0,10,0,91.7,1,1,0,6,3,6.0
Cobee Bryant,144575,CB,ATL,2,2,1.0,1.0,2,0,81.3,2,2,0,7,7,3.5
Natrone Brooks,121449,CB,ATL,1,1,1.0,1.0,2,0,83.3,1,1,0,4,7,4.0
