player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Anthony Gould,97078,WR,IND,5,0,14,58.5,100.0,9,33.3,9,60.3,0,100.0,27,27,60.8,100.0,9,33.3,9
Beaux Limmer,99067,G,LA,3,0,26,79.1,100.0,12,44.4,12,82.2,0,100.0,27,27,74.6,100.0,5,18.5,5
D'Wayne Eskridge,29573,WR,MIA,10,0,17,75.9,100.0,9,34.6,9,77.1,0,100.0,26,26,54.5,100.0,12,46.2,12
Justice Hill,45865,HB,BLT,10,0,3,66.4,61.5,8,30.8,13,74.7,0,57.8,26,45,60.0,31.3,5,19.2,16
Kyle Monangai,129891,HB,CHI,18,0,6,59.1,6.1,4,15.4,66,59.4,0,11.8,26,221,60.0,1.5,2,7.7,132
Derius Davis,78196,WR,LAC,7,0,27,53.4,100.0,10,38.5,10,53.6,0,92.9,26,28,56.7,100.0,12,46.2,12
Walter Rouse,100564,T,MIN,4,0,18,67.1,100.0,8,30.8,8,49.1,1,100.0,26,26,41.9,100.0,17,65.4,17
D'Andre Swift,57212,HB,CHI,18,0,6,56.9,3.6,3,11.5,83,66.5,1,9.2,26,282,60.4,2.8,5,19.2,176
J.K. Dobbins,57366,HB,DEN,10,0,10,46.4,5.1,5,19.2,98,47.7,1,14.2,26,183,57.2,7.6,5,19.2,66
Bijan Robinson,123126,HB,ATL,17,0,2,60.0,1.5,1,3.8,65,41.9,0,8.2,26,317,56.6,8.9,22,84.6,247
Aidan O'Connell,60516,QB,LV,1,0,23,60.0,100.0,7,26.9,7,60.0,0,100.0,26,26,60.0,100.0,18,69.2,18
Kyren Williams,97118,HB,LA,20,0,26,,0.0,0,0.0,159,57.9,0,7.7,26,338,60.0,1.3,2,7.7,149
Tyrone Tracy,84226,HB,NYG,15,0,21,57.2,13.9,10,38.5,72,54.3,0,12.8,26,203,57.4,5.0,6,23.1,119
Christian Haynes,77339,G,SEA,3,0,29,57.1,100.0,9,36.0,9,43.2,0,100.0,25,25,40.6,100.0,15,60.0,15
Ty Johnson,45769,HB,BUF,17,0,4,68.4,40.0,8,32.0,20,62.1,0,34.2,25,73,58.8,15.8,6,24.0,38
Noah Brown,11993,WR,WAS,4,0,32,58.8,100.0,16,64.0,16,42.4,0,100.0,25,25,61.3,100.0,9,36.0,9
Kenneth Gainwell,77737,HB,PIT,18,0,25,60.1,6.8,3,12.0,44,56.6,0,17.2,25,145,59.6,3.9,3,12.0,76
Travis Vokolek,61004,TE,ARZ,3,0,1,49.6,100.0,19,79.2,19,46.5,0,100.0,24,24,51.0,100.0,3,12.5,3
Robbie Chosen,11254,WR,WAS,3,0,32,59.5,100.0,9,37.5,9,57.2,0,100.0,24,24,56.8,100.0,14,58.3,14
Blake Hance,46301,G,TEN,4,0,31,59.6,100.0,11,45.8,11,59.9,0,100.0,24,24,60.4,100.0,12,50.0,12
Jarrett Kingston,81933,G,HST,2,0,13,56.9,100.0,17,70.8,17,55.9,0,100.0,24,24,57.1,100.0,7,29.2,7
Emery Jones Jr.,157117,G,BLT,5,0,3,37.2,100.0,8,33.3,8,45.6,1,100.0,24,24,60.8,100.0,10,41.7,10
Cam Skattebo,147787,HB,NYG,8,0,21,79.5,20.8,10,41.7,48,83.1,0,18.3,24,131,60.0,5.6,4,16.7,71
