season,team,hc,hc_prev,hc_changed,oc,dc,dc_prev,dc_source,oc_changed,dc_changed,dc_to_hc,def_staff_changed,coaching_cohort
2017,DAL,Jason Garrett,Jason Garrett,0.0,Scott Linehan,Rod Marinelli,Rod Marinelli,wikipedia,0.0,0.0,False,0.0,none
2017,DEN,Vance Joseph,Gary Kubiak,1.0,Bill Musgrave,,Wade Phillips,,1.0,,False,1.0,unknown
2017,DET,Jim Caldwell,Jim Caldwell,0.0,Jim Bob Cooter,Teryl Austin,Teryl Austin,wikipedia,0.0,0.0,False,0.0,none
2017,GB,Mike McCarthy,Mike McCarthy,0.0,Edgar Bennett,Dom Capers,Dom Capers,wikipedia,0.0,0.0,False,0.0,none
2017,HOU,Bill O'Brien,Bill O'Brien,0.0,,Mike Vrabel,Romeo Crennel,wikipedia,,1.0,False,1.0,dc_only
2017,IND,Chuck Pagano,Chuck Pagano,0.0,Rob Chudzinski,Ted Monachino,Ted Monachino,wikipedia,0.0,0.0,False,0.0,none
2017,JAX,Doug Marrone,Gus Bradley,1.0,Nathaniel Hackett,Todd Wash,Todd Wash,wikipedia,0.0,0.0,False,1.0,hc_only
2017,KC,Andy Reid,Andy Reid,0.0,Matt Nagy,,,,1.0,,False,0.0,unknown
2017,LA,Sean McVay,Jeff Fisher,1.0,Matt LaFleur,Wade Phillips,Gregg Williams,wikipedia,1.0,1.0,False,1.0,both
2017,LAC,Anthony Lynn,Mike McCoy,1.0,Ken Whisenhunt,Gus Bradley,John Pagano,wikipedia,0.0,1.0,False,1.0,both
2017,LV,Jack Del Rio,Jack Del Rio,0.0,Todd Downing,John Pagano,,wikipedia,1.0,,False,0.0,unknown
2017,MIA,Adam Gase,Adam Gase,0.0,Clyde Christensen,,Vance Joseph,,0.0,,False,0.0,unknown
2017,MIN,Mike Zimmer,Mike Zimmer,0.0,Pat Shurmur,,,,0.0,,False,0.0,unknown
2017,NE,Bill Belichick,Bill Belichick,0.0,Josh McDaniels,Matt Patricia,Matt Patricia,wikipedia,0.0,0.0,False,0.0,none
2017,NO,Sean Payton,Sean Payton,0.0,,,,,,,False,0.0,unknown
2017,NYG,Ben McAdoo,Ben McAdoo,0.0,,Steve Spagnuolo,Steve Spagnuolo,wikipedia,,0.0,False,0.0,none
2017,NYJ,Todd Bowles,Todd Bowles,0.0,,Kacy Rodgers,Kacy Rodgers,wikipedia,,0.0,False,0.0,none
2017,PHI,Doug Pederson,Doug Pederson,0.0,Frank Reich,Jim Schwartz,Jim Schwartz,wikipedia,0.0,0.0,False,0.0,none
2017,PIT,Mike Tomlin,Mike Tomlin,0.0,Todd Haley,,,,0.0,,False,0.0,unknown
2017,SEA,Pete Carroll,Pete Carroll,0.0,Darrell Bevell,Kris Richard,Kris Richard,wikipedia,0.0,0.0,False,0.0,none
2017,SF,Kyle Shanahan,Chip Kelly,1.0,Kyle Shanahan,Robert Saleh,,wikipedia,1.0,,False,1.0,unknown
2017,TB,Dirk Koetter,Dirk Koetter,0.0,Todd Monken,,,,0.0,,False,0.0,unknown
2017,TEN,Mike Mularkey,Mike Mularkey,0.0,Terry Robiskie,Dick LeBeau,Dick LeBeau,wikipedia,0.0,0.0,False,0.0,none
2017,WAS,Jay Gruden,Jay Gruden,0.0,Matt Cavanaugh,Greg Manusky,Joe Barry,wikipedia,1.0,1.0,False,1.0,dc_only
2018,ARI,Steve Wilks,Bruce Arians,1.0,,Al Holcomb,James Bettcher,wikipedia,,1.0,False,1.0,both
2018,ATL,Dan Quinn,Dan Quinn,0.0,,Marquand Manuel,Marquand Manuel,wikipedia,,0.0,False,0.0,none
2018,BAL,John Harbaugh,John Harbaugh,0.0,,Don Martindale,Dean Pees,wikipedia,,1.0,False,1.0,dc_only
2018,BUF,Sean McDermott,Sean McDermott,0.0,,Leslie Frazier,Leslie Frazier,wikipedia,,0.0,False,0.0,none
2018,CAR,Ron Rivera,Ron Rivera,0.0,,,,,,,False,0.0,unknown
2018,CHI,Matt Nagy,John Fox,1.0,,Vic Fangio,Vic Fangio,wikipedia,,0.0,False,1.0,hc_only
2018,CIN,Marvin Lewis,Marvin Lewis,0.0,,,,,,,False,0.0,unknown
2018,CLE,Hue Jackson,Hue Jackson,0.0,,Gregg Williams,Gregg Williams,wikipedia,,0.0,False,0.0,none
2018,DAL,Jason Garrett,Jason Garrett,0.0,,Rod Marinelli,Rod Marinelli,wikipedia,,0.0,False,0.0,none
2018,DEN,Vance Joseph,Vance Joseph,0.0,,,,,,,False,0.0,unknown
2018,DET,Matt Patricia,Jim Caldwell,1.0,,Paul Pasqualoni,Teryl Austin,wikipedia,,1.0,False,1.0,both
