year,week,player,pos,base_proj,var_proj,actual,var_error,perstat_shift,abs_error
2025,6,Tyler Warren,TE,12.61,11.66,18.3,-6.64,-0.95,6.64
2025,7,Jaylen Warren,RB,14.46,13.17,19.8,-6.63,-1.29,6.63
2024,8,Chris Olave,WR,11.4,12.08,18.7,-6.62,0.68,6.62
2024,7,Jaylen Waddle,WR,8.52,8.71,2.1,6.61,0.19,6.61
2025,18,Chig Okonkwo,TE,8.24,8.81,2.2,6.61,0.57,6.61
2024,4,Elijah Moore,WR,8.62,8.71,2.1,6.61,0.09,6.61
2025,7,Tyler Allgeier,RB,8.2,8.2,1.6,6.6,0.0,6.6
2025,3,Jaxon Smith-Njigba,WR,14.29,14.0,20.6,-6.6,-0.29,6.6
2025,5,Rhamondre Stevenson,RB,8.01,8.11,14.7,-6.59,0.1,6.59
2024,13,Devaughn Vele,WR,9.39,9.19,2.6,6.59,-0.2,6.59
2024,13,Chase Brown,RB,12.62,12.43,19.0,-6.57,-0.19,6.57
2024,13,Nico Collins,WR,13.52,13.33,19.9,-6.57,-0.19,6.57
2024,8,Dontayvion Wicks,WR,9.87,9.67,3.1,6.57,-0.2,6.57
2025,9,Jordan Addison,WR,14.38,14.96,8.4,6.56,0.58,6.56
2025,14,Justin Herbert,QB,18.41,18.71,12.16,6.55,0.3,6.55
2024,12,Justice Hill,RB,7.74,7.65,14.2,-6.55,-0.09,6.55
2025,15,Jalen Coker,WR,7.46,7.46,14.0,-6.54,0.0,6.54
2024,7,Kenneth Walker III,RB,16.95,16.76,23.3,-6.54,-0.19,6.54
2025,15,Justin Herbert,QB,16.42,16.94,10.4,6.54,0.52,6.54
2024,13,De'Von Achane,RB,27.45,27.54,21.0,6.54,0.09,6.54
2025,8,Deebo Samuel Sr.,WR,10.35,10.73,4.2,6.53,0.38,6.53
2025,13,Chimere Dike,WR,8.14,8.43,1.9,6.53,0.29,6.53
2024,17,Jaylen Warren,RB,9.58,9.67,16.2,-6.53,0.09,6.53
2025,6,Hunter Henry,TE,12.32,12.23,5.7,6.53,-0.09,6.53
2024,5,Travis Kelce,TE,9.76,9.47,16.0,-6.53,-0.29,6.53
2025,17,Bryce Young,QB,14.95,15.39,8.86,6.53,0.44,6.53
2025,18,TreVeyon Henderson,RB,11.14,10.78,17.3,-6.52,-0.36,6.52
2024,3,Tyreek Hill,WR,13.13,13.52,7.0,6.52,0.39,6.52
2024,7,Zach Ertz,TE,8.33,7.48,14.0,-6.52,-0.85,6.52
2024,7,J.K. Dobbins,RB,16.12,16.12,9.6,6.52,0.0,6.52
2024,4,Quentin Johnston,WR,8.52,8.81,2.3,6.51,0.29,6.51
2024,3,DK Metcalf,WR,13.9,13.9,20.4,-6.5,0.0,6.5
2024,8,Justice Hill,RB,9.58,9.4,2.9,6.5,-0.18,6.5
2024,5,Josh Allen,QB,21.36,21.14,14.64,6.5,-0.22,6.5
2025,10,Matthew Stafford,QB,21.07,20.4,26.9,-6.5,-0.67,6.5
2025,3,Troy Franklin,WR,9.29,9.29,2.8,6.49,0.0,6.49
2025,6,Calvin Ridley,WR,9.29,9.29,2.8,6.49,0.0,6.49
2024,18,James Cook,RB,15.2,15.29,8.8,6.49,0.09,6.49
2024,11,Romeo Doubs,WR,9.19,9.19,2.7,6.49,0.0,6.49
2025,8,Derrick Henry,RB,12.62,12.62,19.1,-6.48,0.0,6.48
2024,10,Jalen Hurts,QB,23.72,23.2,29.68,-6.48,-0.52,6.48
2024,15,Chuba Hubbard,RB,15.38,15.38,8.9,6.48,0.0,6.48
2024,3,Brock Purdy,QB,19.81,19.3,25.78,-6.48,-0.51,6.48
