season,team,role,coach,year_hired,rev
2019,JAX,dc,Todd Wash,,2019-10-28
2019,KC,dc,Steve Spagnuolo,,2019-10-28
2019,LA,dc,Wade Phillips,,2019-10-28
2019,LAC,dc,Gus Bradley,,2019-10-28
2019,NE,dc,Bill Belichick,,2019-10-28
2019,NYG,dc,James Bettcher,,2019-10-28
2019,NYJ,dc,Gregg Williams,,2019-10-28
2019,PHI,dc,Jim Schwartz,,2019-10-28
2019,SEA,dc,Ken Norton Jr.,,2019-10-28
2019,SF,dc,Robert Saleh,,2019-10-28
2019,TB,dc,Todd Bowles,,2019-10-28
2019,TEN,dc,Dean Pees,,2019-10-28
2019,WAS,dc,Greg Manusky,,2019-10-28
2020,ARI,dc,Vance Joseph,,2020-11-15
2020,ATL,dc,Jeff Ulbrich,,2020-11-15
2020,BAL,dc,Don Martindale,,2020-11-15
2020,BUF,dc,Leslie Frazier,,2020-11-15
2020,CAR,dc,Phil Snow,,2020-11-15
2020,CHI,dc,Chuck Pagano,,2020-11-15
2020,CIN,dc,Lou Anarumo,,2020-11-15
2020,DAL,dc,Mike Nolan,,2020-11-15
2020,DEN,dc,Ed Donatell,,2020-11-15
2020,DET,dc,Cory Undlin,,2020-11-15
2020,GB,dc,Mike Pettine,,2020-11-15
2020,HOU,dc,Anthony Weaver,,2020-11-15
2020,IND,dc,Matt Eberflus,,2020-11-15
2020,JAX,dc,Todd Wash,,2020-11-15
2020,KC,dc,Steve Spagnuolo,,2020-11-15
2020,LA,dc,Brandon Staley,,2020-11-15
2020,LAC,dc,Gus Bradley,,2020-11-15
2020,MIA,dc,Josh Boyer,,2020-11-15
2020,NE,dc,Bill Belichick,,2020-11-15
2020,NYJ,dc,Gregg Williams,,2020-11-15
2020,PHI,dc,Jim Schwartz,,2020-11-15
2020,SEA,dc,Ken Norton Jr.,,2020-11-15
2020,SF,dc,Robert Saleh,,2020-11-15
2020,TB,dc,Todd Bowles,,2020-11-15
2020,WAS,dc,Jack Del Rio,,2020-11-15
2021,ARI,dc,Vance Joseph,,2021-03-06
2021,ATL,dc,Dean Pees,,2021-03-06
2021,BAL,dc,Don Martindale,,2021-03-06
2021,BUF,dc,Leslie Frazier,,2021-03-06
2021,CAR,dc,Phil Snow,,2021-03-06
2021,CHI,dc,Sean Desai,,2021-03-06
2021,CIN,dc,Lou Anarumo,,2021-03-06
2021,CLE,dc,Joe Woods,,2021-03-06
2021,DAL,dc,Dan Quinn,,2021-03-06
2021,DEN,dc,Ed Donatell,,2021-03-06
2021,DET,dc,Aaron Glenn,,2021-03-06
2021,GB,dc,Joe Barry,,2021-03-06
2021,HOU,dc,Lovie Smith,,2021-03-06
2021,IND,dc,Matt Eberflus,,2021-03-06
2021,JAX,dc,Joe Cullen,,2021-03-06
2021,KC,dc,Steve Spagnuolo,,2021-03-06
2021,LA,dc,Raheem Morris,,2021-03-06
2021,LAC,dc,Renaldo Hill,,2021-03-06
2021,LV,dc,Gus Bradley,,2021-03-06
2021,MIA,dc,Josh Boyer,,2021-03-06
2021,NO,dc,Dennis Allen,,2021-03-06
2021,NYG,dc,Patrick Graham,,2021-03-06
2021,NYJ,dc,Jeff Ulbrich,,2021-03-06
2021,PHI,dc,Jonathan Gannon,,2021-03-06
2021,PIT,dc,Keith Butler,,2021-03-06
2021,SEA,dc,Ken Norton,,2021-03-06
2021,SF,dc,DeMeco Ryans,,2021-03-06
2021,TB,dc,Todd Bowles,,2021-03-06
2021,TEN,dc,Shane Bowen,,2021-03-06
2021,WAS,dc,Jack Del Rio,,2021-03-06
2015,ATL,oc,Kyle Shanahan,,2015-11-04
2015,BAL,oc,Marc Trestman,,2015-11-04
2015,BUF,oc,Greg Roman,,2015-11-04
2015,CAR,oc,Mike Shula,,2015-11-04
2015,CHI,oc,Adam Gase,,2015-11-04
2015,CIN,oc,Hue Jackson,,2015-11-04
2015,CLE,oc,John DeFilippo,,2015-11-04
2015,DAL,oc,Scott Linehan,,2015-11-04
2015,DEN,oc,Rick Dennison,,2015-11-04
2015,DET,oc,Jim Bob Cooter,,2015-11-04
2015,GB,oc,Tom Clements,,2015-11-04
2015,IND,oc,Rob Chudzinski,,2015-11-04
2015,KC,oc,Doug Pederson,,2015-11-04
2015,LAC,oc,Frank Reich,,2015-11-04
2015,LV,oc,Bill Musgrave,,2015-11-04
2015,MIA,oc,Bill Lazor,,2015-11-04
2015,MIN,oc,Norv Turner,,2015-11-04
2015,NE,oc,Josh McDaniels,,2015-11-04
2015,NYG,oc,Ben McAdoo,,2015-11-04
2015,PHI,oc,Pat Shurmur,,2015-11-04
2015,PIT,oc,Todd Haley,,2015-11-04
2015,SEA,oc,Darrell Bevell,,2015-11-04
2015,SF,oc,Geep Chryst,,2015-11-04
2015,TB,oc,Dirk Koetter,2015,2015-11-04
2015,TEN,oc,Jason Michael,,2015-11-04
2015,WAS,oc,Sean McVay,,2015-11-04
2016,ATL,oc,Kyle Shanahan,,2016-11-02
2016,BAL,oc,Marty Mornhinweg,,2016-11-02
2016,BUF,oc,Anthony Lynn,,2016-11-02
2016,CAR,oc,Mike Shula,,2016-11-02
2016,CHI,oc,Dowell Loggains,,2016-11-02
2016,CIN,oc,Ken Zampese,,2016-11-02
2016,CLE,oc,Pep Hamilton,,2016-11-02
2016,DAL,oc,Scott Linehan,,2016-11-02
2016,DEN,oc,Rick Dennison,,2016-11-02
2016,DET,oc,Jim Bob Cooter,,2016-11-02
2016,GB,oc,Edgar Bennett,,2016-11-02
2016,HOU,oc,George Godsey,,2016-11-02
2016,IND,oc,Rob Chudzinski,,2016-11-02
2016,JAX,oc,Nathaniel Hackett,,2016-11-02
2016,LA,oc,Rob Boras,,2016-11-02
2016,LAC,oc,Ken Whisenhunt,,2016-11-02
2016,LV,oc,Bill Musgrave,,2016-11-02
2016,MIA,oc,Clyde Christensen,,2016-11-02
2016,MIN,oc,Pat Shurmur,,2016-11-02
2016,NE,oc,Josh McDaniels,,2016-11-02
2016,NYJ,oc,Chan Gailey,,2016-11-02
2016,PHI,oc,Frank Reich,,2016-11-02
2016,PIT,oc,Todd Haley,,2016-11-02
2016,SEA,oc,Darrell Bevell,,2016-11-02
2016,SF,oc,Curtis Modkins,,2016-11-02
2016,TB,oc,Todd Monken,,2016-11-02
2016,TEN,oc,Terry Robiskie,,2016-11-02
2016,WAS,oc,Sean McVay,,2016-11-02
2017,ATL,oc,Steve Sarkisian,,2017-11-22
2017,BAL,oc,Marty Mornhinweg,,2017-11-22
2017,BUF,oc,Rick Dennison,,2017-11-22
2017,CAR,oc,Mike Shula,,2017-11-22
2017,CHI,oc,Dowell Loggains,,2017-11-22
2017,CIN,oc,Bill Lazor,,2017-11-22
2017,CLE,oc,Hue Jackson,,2017-11-22
2017,DAL,oc,Scott Linehan,,2017-11-22
2017,DEN,oc,Bill Musgrave,,2017-11-22
2017,DET,oc,Jim Bob Cooter,,2017-11-22
2017,GB,oc,Edgar Bennett,,2017-11-22
2017,IND,oc,Rob Chudzinski,,2017-11-22
2017,JAX,oc,Nathaniel Hackett,,2017-11-22
2017,KC,oc,Matt Nagy,,2017-11-22
2017,LA,oc,Matt LaFleur,,2017-11-22
2017,LAC,oc,Ken Whisenhunt,,2017-11-22
2017,LV,oc,Todd Downing,,2017-11-22
2017,MIA,oc,Clyde Christensen,,2017-11-22
2017,MIN,oc,Pat Shurmur,,2017-11-22
2017,NE,oc,Josh McDaniels,,2017-11-22
2017,PHI,oc,Frank Reich,,2017-11-22
2017,PIT,oc,Todd Haley,,2017-11-22
2017,SEA,oc,Darrell Bevell,,2017-11-22
2017,SF,oc,Kyle Shanahan,,2017-11-22
2017,TB,oc,Todd Monken,,2017-11-22
2017,TEN,oc,Terry Robiskie,,2017-11-22
2017,WAS,oc,Matt Cavanaugh,,2017-11-22
2020,ATL,oc,Dirk Koetter,,2020-11-03
2020,BAL,oc,Greg Roman,,2020-11-03
2020,BUF,oc,Brian Daboll,,2020-11-03
2020,CHI,oc,Bill Lazor,,2020-11-03
2020,CIN,oc,Brian Callahan,,2020-11-03
2020,CLE,oc,Alex Van Pelt,,2020-11-03
2020,DAL,oc,Kellen Moore,,2020-11-03
2020,DEN,oc,Pat Shurmur,,2020-11-03
2020,DET,oc,Darrell Bevell,,2020-11-03
2020,GB,oc,Nathaniel Hackett,,2020-11-03
2020,IND,oc,Nick Sirianni,,2020-11-03
2020,JAX,oc,Jay Gruden,,2020-11-03
2020,KC,oc,Eric Bieniemy,,2020-11-03
2020,LAC,oc,Shane Steichen,,2020-11-03
2020,MIA,oc,Chan Gailey,,2020-11-03
2020,MIN,oc,Gary Kubiak,,2020-11-03
2020,NE,oc,Josh McDaniels,,2020-11-03
2020,NO,oc,Pete Carmichael Jr.,,2020-11-03
2020,NYG,oc,Jason Garrett,,2020-11-03
2020,NYJ,oc,Dowell Loggains,,2020-11-03
2020,PIT,oc,Randy Fichtner,,2020-11-03
2020,SEA,oc,Brian Schottenheimer,,2020-11-03
2020,TB,oc,Byron Leftwich,,2020-11-03
2021,ATL,oc,Dave Ragone,,2021-02-07
2021,BAL,oc,Greg Roman,,2021-02-07
2021,BUF,oc,Brian Daboll,,2021-02-07
2021,CAR,oc,Joe Brady,,2021-02-07
2021,CHI,oc,Bill Lazor,,2021-02-07
2021,CIN,oc,Brian Callahan,,2021-02-07
2021,CLE,oc,Alex Van Pelt,,2021-02-07
2021,DAL,oc,Kellen Moore,,2021-02-07
2021,DEN,oc,Pat Shurmur,,2021-02-07
2021,DET,oc,Anthony Lynn,,2021-02-07
2021,GB,oc,Nathaniel Hackett,,2021-02-07
2021,HOU,oc,Tim Kelly,,2021-02-07
2021,IND,oc,Marcus Brady,,2021-02-07
2021,JAX,oc,Darrell Bevell,,2021-02-07
2021,KC,oc,Eric Bieniemy,,2021-02-07
2021,LA,oc,Kevin O'Connell,,2021-02-07
2021,LAC,oc,Joe Lombardi,,2021-02-07
2021,LV,oc,Greg Olson,,2021-02-07
2021,MIN,oc,Klint Kubiak,,2021-02-07
2021,NE,oc,Josh McDaniels,,2021-02-07
2021,NO,oc,Pete Carmichael,,2021-02-07
2021,NYG,oc,Jason Garrett,,2021-02-07
2021,NYJ,oc,Mike LaFleur,,2021-02-07
2021,PHI,oc,Shane Steichen,,2021-02-07
2021,PIT,oc,Matt Canada,,2021-02-07
2021,SEA,oc,Shane Waldron,,2021-02-07
2021,SF,oc,Mike McDaniel,,2021-02-07
2021,TB,oc,Byron Leftwich,,2021-02-07
2021,TEN,oc,Todd Downing,,2021-02-07
2021,WAS,oc,Scott Turner,,2021-02-07
