player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Amon-Ra St. Brown,84470,WR,DET,1,14,0,11,8.5,1,75.0,0.0,0,1,0.0,0,0.29,6,0,74.6,90.2,0,26,0.0,0,23,56.5,6,100.0,23,104.7,8,34.8,0,77,25,4.2,12.8,3.35,0,11.0,0,83.3,50.0,1,2,0.0,0,0.17,2,0,73.4,76.2,1,30,0.0,0,16,68.8,5,100.0,16,70.1,6,37.5,0,62,21,4.2,12.4,3.88
Colston Loveland,158540,TE,CHI,1,13,0,6,5.5,0,50.0,50.0,1,2,0.0,0,-0.25,0,0,64.7,58.9,0,7,0.0,0,3,66.7,1,100.0,3,58.3,2,66.7,0,7,1,1.0,7.0,2.33,0,7.1,1,87.5,50.0,1,2,0.0,0,0.05,3,0,75.6,80.1,0,27,0.0,0,23,54.5,7,95.7,22,107.3,8,36.4,0,78,27,3.9,11.1,3.55
Keenan Allen,7857,WR,LAC,1,13,0,27,4.0,1,66.7,100.0,1,1,0.0,0,-0.31,0,0,68.3,58.0,0,5,0.0,0,8,28.6,2,87.5,7,70.1,3,42.9,0,7,2,1.0,3.5,1.0,0,10.1,0,50.0,,0,0,0.0,0,-0.72,1,0,72.1,63.0,0,8,0.0,0,19,42.1,4,100.0,19,56.3,8,42.1,0,21,24,6.0,5.3,1.11
Justin Jefferson,61398,WR,MIN,1,10,0,18,13.0,1,100.0,,0,0,0.0,0,-0.17,1,0,64.7,69.5,0,16,0.0,0,5,40.0,1,100.0,5,118.8,1,20.0,0,16,3,3.0,16.0,3.2,0,5.0,1,87.5,,0,0,0.0,0,0.45,4,0,75.6,89.5,0,18,0.0,0,21,61.9,7,100.0,21,110.9,8,38.1,0,85,50,7.1,12.1,4.05
Elic Ayomanor,157263,WR,TEN,1,10,0,31,8.8,0,25.0,100.0,1,1,0.0,0,-0.5,1,0,64.7,66.8,0,10,0.0,0,9,22.2,1,100.0,9,39.6,4,44.4,0,10,0,0.0,10.0,1.11,0,13.6,1,40.0,,0,0,0.0,0,-0.62,1,0,68.3,60.5,1,39,0.0,0,21,15.0,2,95.2,20,29.2,5,25.0,0,40,14,7.0,20.0,2.0
Ja'Marr Chase,84270,WR,CIN,1,10,0,7,7.0,0,100.0,,0,0,0.0,0,0.89,1,0,64.7,78.0,0,21,0.0,0,7,71.4,1,100.0,7,118.8,1,14.3,0,21,14,14.0,21.0,3.0,0,4.3,0,100.0,,0,0,0.0,0,-0.46,4,0,72.1,75.9,0,11,0.0,0,23,43.5,4,100.0,23,110.4,4,17.4,0,42,25,6.3,10.5,1.83
Puka Nacua,100632,WR,LA,1,10,0,26,,0,,,0,0,,0,0.88,0,0,,59.3,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,6.7,1,100.0,,0,0,0.0,0,0.32,4,0,75.6,86.1,0,17,0.0,0,25,54.2,7,96.0,24,104.8,7,29.2,0,64,17,2.4,9.1,2.67
Tyrone Tracy,84226,HB,NYG,1,9,0,21,20.0,0,50.0,0.0,0,1,0.0,0,-0.11,1,0,64.7,92.3,0,13,0.0,0,10,30.0,1,100.0,10,110.4,2,20.0,1,13,0,0.0,13.0,1.3,0,-3.1,4,100.0,,0,0,0.0,0,0.35,3,1,76.5,68.5,0,14,4.0,1,25,56.5,7,88.0,22,92.3,7,31.8,0,43,65,9.3,6.1,1.95
Gunner Olszewski,95015,WR,NYG,1,9,0,21,10.0,0,83.3,,0,0,0.0,0,-0.1,3,0,73.4,88.9,0,28,0.0,0,16,33.3,5,93.8,15,115.3,6,40.0,0,70,44,8.8,14.0,4.67,0,5.7,0,100.0,100.0,1,1,0.0,0,0.35,2,0,70.5,65.4,0,15,0.0,0,26,56.5,3,84.6,22,111.1,3,13.6,0,32,15,5.0,10.7,1.45
Kevin Austin Jr.,84345,WR,NO,1,9,0,20,,0,,,0,0,,0,0.78,0,0,,56.3,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,5.2,0,50.0,0.0,0,3,0.0,0,-0.09,2,0,70.5,62.0,0,15,0.0,0,33,43.8,3,97.0,32,61.8,6,18.8,0,26,15,5.0,8.7,0.81
