player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jerry Jeudy,61103,WR,CLV,1,18,0,8,7.8,0,80.0,0.0,0,1,0.0,0,-0.48,1,0,72.1,74.8,0,17,0.0,0,9,50.0,4,88.9,8,102.5,5,62.5,0,43,10,2.5,10.8,5.38,0,6.4,1,58.3,,0,0,30.0,3,-0.45,4,0,28.4,58.9,1,17,0.0,0,37,36.1,7,97.3,36,32.3,12,33.3,0,47,17,2.4,6.7,1.31
Trey McBride,75916,TE,ARZ,1,16,0,1,5.5,1,66.7,100.0,1,1,0.0,0,-0.07,4,0,72.1,85.4,1,17,0.0,0,15,53.3,4,100.0,15,84.7,6,40.0,1,39,19,4.8,9.8,2.6,0,6.0,0,87.5,0.0,0,1,0.0,0,0.04,1,0,76.5,79.8,0,34,0.0,0,32,50.0,7,93.8,30,103.6,8,26.7,0,71,38,5.4,10.1,2.37
Ja'Marr Chase,84270,WR,CIN,1,15,0,7,9.6,0,42.9,,0,0,0.0,0,0.28,3,0,70.5,64.7,0,13,0.0,0,33,59.4,3,97.0,32,56.3,7,21.9,0,31,8,2.7,10.3,0.97,0,6.3,1,83.3,0.0,0,1,0.0,0,0.19,1,0,73.4,65.5,0,38,0.0,0,24,61.9,5,87.5,21,112.5,6,28.6,0,66,32,6.4,13.2,3.14
Puka Nacua,100632,WR,LA,1,13,0,26,4.3,1,66.7,,0,0,0.0,0,-0.72,0,0,68.3,68.0,0,9,0.0,0,9,25.0,2,88.9,8,79.9,3,37.5,0,16,6,3.0,8.0,2.0,0,5.8,2,88.9,100.0,1,1,0.0,0,0.2,5,0,76.5,91.4,0,25,0.0,0,22,57.1,8,95.5,21,118.8,9,42.9,0,113,67,8.4,14.1,5.38
Drake London,86519,WR,ATL,1,13,0,2,14.3,1,57.1,,0,0,0.0,0,-0.14,3,0,72.1,83.9,0,31,4.5,1,22,50.0,4,86.4,19,92.0,7,36.8,0,71,25,6.3,17.8,3.74,0,12.6,0,60.0,0.0,0,1,0.0,0,0.25,2,0,70.5,70.9,0,17,0.0,0,14,35.7,3,100.0,14,81.3,5,35.7,0,35,1,0.3,11.7,2.5
Mike Gesicki,47153,TE,CIN,1,12,0,7,5.1,1,85.7,100.0,2,2,0.0,0,0.38,3,0,74.6,78.0,0,12,0.0,0,20,65.0,6,100.0,20,97.6,7,35.0,0,52,16,2.7,8.7,2.6,0,6.5,0,75.0,,0,0,0.0,0,0.27,1,0,70.5,61.1,0,8,0.0,0,21,66.7,3,85.7,18,87.5,4,22.2,0,22,8,2.7,7.3,1.22
Tee Higgins,61211,WR,CIN,1,12,0,7,11.2,1,83.3,100.0,1,1,0.0,0,0.15,4,1,73.4,77.8,0,31,0.0,0,26,60.0,5,96.2,25,149.3,6,24.0,2,62,11,2.2,12.4,2.48,0,9.3,0,100.0,,0,0,0.0,0,0.43,2,0,72.1,68.7,0,15,0.0,0,19,81.3,4,84.2,16,112.5,4,25.0,0,44,7,1.8,11.0,2.75
Ricky Pearsall,100660,WR,SF,1,10,0,28,14.4,0,80.0,100.0,1,1,0.0,0,0.39,4,0,72.1,88.6,1,40,0.0,0,11,63.6,4,100.0,11,118.8,5,45.5,1,71,10,2.5,17.8,6.45,0,11.4,0,80.0,0.0,0,1,0.0,0,0.43,3,0,72.1,71.1,1,39,0.0,0,24,73.9,4,87.5,21,79.2,5,23.8,0,70,27,6.8,17.5,3.33
Travis Kelce,7844,TE,KC,1,10,0,16,6.3,0,66.7,,0,0,0.0,0,0.84,2,0,70.5,80.4,0,20,6.7,1,15,69.2,2,80.0,12,97.9,3,25.0,0,29,22,11.0,14.5,2.42,0,4.5,0,83.3,,0,0,0.0,0,0.38,1,0,73.4,62.7,0,19,10.0,2,20,60.0,5,90.0,18,96.5,6,33.3,0,43,31,6.2,8.6,2.39
Michael Pittman Jr.,29049,WR,IND,1,10,0,14,14.7,0,100.0,100.0,1,1,0.0,0,0.84,3,0,70.5,90.7,0,31,0.0,0,11,70.0,3,90.9,10,118.8,3,30.0,0,63,19,6.3,21.0,6.3,0,4.4,0,80.0,50.0,1,2,0.0,0,-0.11,2,0,72.1,62.3,0,14,0.0,0,20,61.1,4,90.0,18,91.7,5,27.8,0,30,12,3.0,7.5,1.67
