player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Tee Higgins,61211,WR,CIN,1,6,0,7,0,,0,,,0,0,,0,0.0,0,0,,49.2,0,0,0.0,0,5,80.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,5.0,0,0.0,,0,0,,0,-0.52,0,0,70.5,57.7,1,0,0.0,0,10,50.0,0,100.0,10,0.0,1,10.0,0,0,0,,,0.0
Brandin Cooks,8655,WR,HST,1,6,0,13,0,-3.0,0,100.0,,0,0,0.0,0,-0.4,0,0,78.7,54.9,0,-3,0.0,0,5,25.0,1,80.0,4,79.2,1,25.0,0,-3,0,0.0,-3.0,-0.75,41.0,0,100.0,100.0,1,1,0.0,0,-0.64,1,0,73.4,73.9,0,44,0.0,0,6,16.7,1,100.0,6,118.8,1,16.7,0,44,3,3.0,44.0,7.33
Dalton Schultz,47304,TE,DAL,1,6,0,9,0,,0,,,0,0,,0,0.54,0,0,,49.3,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,9.8,0,100.0,,0,0,0.0,0,0.95,1,0,78.7,81.7,0,30,0.0,0,10,90.0,4,100.0,10,118.8,4,40.0,0,51,12,3.0,12.8,5.1
Evan Engram,11778,TE,JAX,1,6,0,15,0,-2.0,0,100.0,,0,0,0.0,0,-0.24,0,0,78.7,51.3,0,6,16.7,1,6,33.3,1,83.3,5,91.7,1,20.0,0,6,8,8.0,6.0,1.2,26.0,0,100.0,,0,0,0.0,0,-0.55,1,0,54.5,74.8,0,22,0.0,0,9,28.6,1,77.8,7,158.3,1,14.3,1,22,0,0.0,22.0,3.14
Brandon Aiyuk,84109,WR,SF,1,6,0,28,0,,0,,,0,0,,0,0.31,0,0,,47.4,0,0,0.0,0,4,75.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,1.06,0,0,74.6,68.9,0,0,0.0,0,10,90.0,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0
Robert Tonyan,12193,TE,GB,1,6,0,12,0,-2.0,1,100.0,,0,0,0.0,0,0.1,0,0,78.7,51.1,0,3,16.7,1,6,50.0,1,83.3,5,79.2,1,20.0,0,3,5,5.0,3.0,0.6,6.0,1,80.0,0.0,0,1,0.0,0,0.43,1,0,76.5,63.8,0,15,9.1,1,11,45.5,4,90.9,10,91.7,5,50.0,0,30,24,6.0,7.5,3.0
Damiere Byrd,9964,WR,ATL,1,6,0,2,0,,0,,,0,0,,0,2.6,0,0,,52.5,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,56.0,0,0.0,0.0,0,1,,0,0.03,0,0,72.1,91.1,0,0,0.0,0,3,33.3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0
Darius Slayton,25578,WR,NYG,1,6,0,21,0,,0,,,0,0,,0,-1.0,0,0,,51.9,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,16.0,0,0.0,,0,0,,0,-0.43,0,0,75.6,78.6,0,0,0.0,0,9,33.3,0,100.0,9,39.6,1,11.1,0,0,0,,,0.0
Dalvin Cook,11796,HB,MIN,1,6,0,18,0,-3.5,0,100.0,,0,0,0.0,0,0.39,0,0,84.5,77.4,0,7,0.0,0,4,75.0,2,100.0,4,91.7,2,50.0,0,12,19,9.5,6.0,3.0,,0,,,0,0,,0,0.0,0,0,75.6,59.1,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Tyler Higbee,10744,TE,LA,1,6,0,26,0,-4.3,0,33.3,,0,0,0.0,0,-0.07,1,0,78.7,85.1,0,10,14.3,1,7,57.1,1,85.7,6,43.8,3,50.0,0,10,15,15.0,10.0,1.67,,0,,,0,0,,0,0.0,0,0,28.6,45.7,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Michael Gallup,26075,WR,DAL,1,6,0,9,0,,0,,,0,0,,0,0.54,0,0,,49.4,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0.0,0,100.0,,0,0,0.0,0,-0.26,0,0,74.6,71.7,0,4,0.0,0,3,33.3,1,100.0,3,83.3,1,33.3,0,4,4,4.0,4.0,1.33
Najee Harris,57121,HB,PIT,1,6,0,25,0,,0,,,0,0,,0,0.37,0,0,,52.8,0,0,33.3,1,3,66.7,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,78.7,62.7,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Laviska Shenault Jr.,61220,WR,CAR,1,6,0,5,0,-1.8,4,100.0,,0,0,0.0,0,-0.23,1,0,90.6,92.6,0,13,0.0,0,6,16.7,5,100.0,6,88.3,5,83.3,0,26,35,7.0,5.2,4.33,2.2,3,80.0,0.0,0,1,0.0,0,0.55,1,0,78.0,80.1,0,13,0.0,0,9,33.3,4,100.0,9,89.2,5,55.6,0,27,33,8.3,6.8,3.0
Drake London,86519,WR,ATL,1,5,0,2,0,-2.0,0,100.0,,0,0,0.0,0,0.99,0,0,78.7,54.8,0,-1,0.0,0,3,66.7,1,100.0,3,79.2,1,33.3,0,-1,1,1.0,-1.0,-0.33,1.5,1,100.0,,0,0,0.0,0,-0.08,1,0,74.6,73.9,0,7,0.0,0,9,44.4,2,100.0,9,79.2,2,22.2,0,6,3,1.5,3.0,0.67
Keelan Cole Sr.,51593,WR,LV,1,5,0,23,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,70.5,65.7,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Eno Benjamin,57136,HB,ARZ,1,5,0,1,0,-2.0,0,0.0,,0,0,100.0,1,0.16,0,0,24.1,23.8,0,0,0.0,0,10,42.9,0,70.0,7,39.6,1,14.3,0,0,0,,,0.0,,0,,,0,0,,0,-0.19,0,0,35.3,45.6,0,0,0.0,0,5,33.3,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0
D'Andre Swift,57212,HB,DET,1,5,0,11,0,-4.0,1,100.0,,0,0,0.0,0,0.26,0,0,88.7,85.4,0,7,0.0,0,4,66.7,2,75.0,3,85.4,2,66.7,0,9,17,8.5,4.5,3.0,,0,,,0,0,,0,0.0,0,0,78.7,78.2,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Cade Otton,61071,TE,TB,1,5,0,30,0,,0,,,0,0,,0,0.27,0,0,,41.0,0,0,0.0,0,6,66.7,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,10.0,0,33.3,0.0,0,1,0.0,0,0.0,1,0,32.6,55.8,0,10,0.0,0,29,46.2,1,89.7,26,43.8,3,11.5,0,10,4,4.0,10.0,0.38
Josh Reynolds,11872,WR,DET,1,5,0,11,0,,0,,,0,0,,0,0.26,0,0,,48.7,0,0,0.0,0,4,66.7,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,35.0,0,0.0,,0,0,,0,0.53,0,0,28.0,49.7,0,0,0.0,0,14,66.7,0,85.7,12,39.6,1,8.3,0,0,0,,,0.0
Tanner Hudson,66924,TE,NYG,1,5,0,21,0,,0,,,0,0,,0,-1.0,0,0,,47.5,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,14.0,0,100.0,,0,0,0.0,0,0.64,1,0,73.4,80.6,0,27,0.0,0,8,57.1,1,87.5,7,118.8,1,14.3,0,27,13,13.0,27.0,3.86
