player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Wan'Dale Robinson,101735,WR,NYG,1,13,0,21,0,-1.0,0,100.0,,0,0,0.0,0,-0.14,1,0,78.7,58.5,0,2,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,2,3,3.0,2.0,1.0,6.2,1,80.0,,0,0,11.1,1,-0.18,4,0,36.6,73.5,0,19,0.0,0,28,46.2,8,92.9,26,100.8,10,38.5,0,82,42,5.3,10.3,3.15
Amari Cooper,9437,WR,CLV,1,13,0,8,0,,0,,,0,0,,0,0.26,0,0,,49.8,0,0,0.0,0,6,50.0,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,18.2,0,60.0,33.3,1,3,0.0,0,0.82,3,0,80.0,91.0,0,25,0.0,0,12,63.6,3,91.7,11,135.8,5,45.5,1,53,13,4.3,17.7,4.82
Pat Freiermuth,84085,TE,PIT,1,12,0,25,0,-6.0,0,100.0,,0,0,0.0,0,-0.4,0,0,78.7,56.0,0,3,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,3,9,9.0,3.0,1.5,11.6,2,80.0,,0,0,0.0,0,0.73,3,0,79.4,86.5,0,27,0.0,0,15,64.3,4,93.3,14,114.2,5,35.7,0,57,20,5.0,14.3,4.07
DeAndre Hopkins,7808,WR,ARZ,1,12,0,1,0,,0,,,0,0,,0,0.54,0,0,,47.4,0,0,0.0,0,6,33.3,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,8.0,1,100.0,,0,0,0.0,0,0.65,3,0,80.6,76.9,0,17,0.0,0,10,50.0,3,100.0,10,118.1,3,30.0,0,37,13,4.3,12.3,3.7
Allen Lazard,48135,WR,GB,1,11,0,12,0,-1.0,0,100.0,,0,0,0.0,0,0.07,0,0,78.7,50.2,0,2,0.0,0,6,60.0,1,83.3,5,79.2,1,20.0,0,2,3,3.0,2.0,0.4,13.0,0,66.7,,0,0,0.0,0,-0.28,1,0,76.5,66.9,0,12,0.0,0,16,33.3,2,93.8,15,77.1,3,20.0,0,14,4,2.0,7.0,0.93
Tee Higgins,61211,WR,CIN,1,11,0,7,0,,0,,,0,0,,0,-0.51,0,0,,56.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,8.5,1,100.0,,0,0,0.0,0,0.69,3,0,84.1,93.2,0,24,0.0,0,10,70.0,4,100.0,10,118.8,4,40.0,0,62,28,7.0,15.5,6.2
Davante Adams,8688,WR,LV,1,11,0,23,0,-2.0,1,100.0,,0,0,0.0,0,-0.87,0,0,78.7,55.9,0,4,0.0,0,4,0.0,1,100.0,4,83.3,1,25.0,0,4,6,6.0,4.0,1.0,17.3,1,100.0,,0,0,0.0,0,0.58,4,0,62.1,90.7,0,35,0.0,0,17,50.0,4,82.4,14,158.3,4,28.6,1,91,22,5.5,22.8,6.5
Joshua Palmer,62979,WR,LAC,1,10,0,27,0,-4.5,0,100.0,,0,0,0.0,0,-0.55,0,0,84.5,79.5,0,6,0.0,0,6,50.0,2,100.0,6,79.2,2,33.3,0,4,13,6.5,2.0,0.67,2.0,0,100.0,,0,0,0.0,0,0.23,1,0,78.7,80.4,0,6,0.0,0,8,62.5,3,100.0,8,127.1,3,37.5,1,15,14,4.7,5.0,1.88
Greg Dortch,42237,WR,ARZ,1,10,0,1,0,-1.5,3,100.0,,0,0,0.0,0,0.42,1,0,90.2,75.8,0,47,0.0,0,8,37.5,4,100.0,8,118.8,4,50.0,0,69,75,18.8,17.3,8.63,2.5,1,100.0,100.0,1,1,0.0,0,-0.12,2,0,82.7,66.9,0,13,0.0,0,38,39.5,8,100.0,38,95.8,8,21.1,0,56,36,4.5,7.0,1.47
Travis Kelce,7844,TE,KC,1,10,0,16,0,-2.0,0,100.0,,0,0,0.0,0,0.25,1,0,84.5,94.4,0,4,0.0,0,2,50.0,2,100.0,2,118.8,2,100.0,1,5,9,4.5,2.5,2.5,7.0,0,0.0,,0,0,,0,-0.05,0,0,76.5,91.0,0,0,0.0,0,11,33.3,0,81.8,9,39.6,1,11.1,0,0,0,,,0.0
DeVonta Smith,61100,WR,PHI,1,9,0,24,0,,0,,,0,0,,0,-0.44,0,0,,48.0,0,0,0.0,0,4,0.0,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,15.0,0,50.0,50.0,1,2,0.0,0,-0.34,0,0,77.3,71.8,0,17,0.0,0,7,20.0,1,71.4,5,79.2,2,40.0,0,17,0,0.0,17.0,3.4
