player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeVonta Smith,61100,WR,PHI,1,9,0,24,0,-1.5,0,100.0,,0,0,0.0,0,-0.22,0,0,84.5,55.0,0,5,0.0,0,7,33.3,2,85.7,6,85.4,2,33.3,0,9,12,6.0,4.5,1.5,8.7,1,66.7,,0,0,0.0,0,0.31,1,0,78.0,58.9,0,12,0.0,0,10,55.6,2,90.0,9,82.6,3,33.3,0,18,13,6.5,9.0,2.0
JuJu Smith-Schuster,11817,WR,KC,1,9,0,16,0,-5.0,0,100.0,,0,0,0.0,0,-0.03,0,0,78.7,55.4,0,0,0.0,0,4,75.0,1,100.0,4,79.2,1,25.0,0,0,5,5.0,0.0,0.0,6.6,0,80.0,100.0,1,1,0.0,0,0.48,2,0,80.0,77.9,0,14,0.0,0,12,66.7,4,100.0,12,93.3,5,41.7,0,32,9,2.3,8.0,2.67
A.J. Brown,48327,WR,PHI,1,8,0,24,0,,0,,,0,0,,0,-0.3,0,0,,47.3,0,0,0.0,0,6,20.0,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,37.0,0,0.0,0.0,0,1,,0,0.12,0,0,78.0,71.0,0,0,0.0,0,13,38.5,0,100.0,13,39.6,1,7.7,0,0,0,,,0.0
Dallas Goedert,47272,TE,PHI,1,7,0,24,0,0.0,0,66.7,,0,0,0.0,0,-0.22,0,0,84.5,53.6,0,5,0.0,0,7,33.3,2,85.7,6,70.1,3,50.0,0,8,11,5.5,4.0,1.33,10.2,0,80.0,100.0,3,3,0.0,0,0.38,3,0,78.0,77.4,0,17,0.0,0,26,48.0,4,96.2,25,108.3,5,20.0,0,50,2,0.5,12.5,2.0
Travis Kelce,7844,TE,KC,1,6,0,16,0,,0,,,0,0,,0,-0.11,0,0,,50.3,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,0.37,0,0,77.3,79.5,0,7,0.0,0,11,63.6,1,100.0,11,95.8,1,9.1,0,7,3,3.0,7.0,0.64
Kenneth Gainwell,77737,HB,PHI,1,4,0,24,0,0.0,0,100.0,,0,0,0.0,0,-0.06,0,0,84.5,92.9,0,9,0.0,0,3,50.0,1,66.7,2,104.2,1,50.0,0,9,9,9.0,9.0,4.5,,0,,,0,0,,0,2.04,0,0,80.6,74.1,0,0,0.0,0,2,100.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Quez Watkins,61664,WR,PHI,1,3,0,24,0,,0,,,0,0,,0,-0.22,0,0,,47.9,0,0,0.0,0,4,25.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,30.3,0,33.3,0.0,0,1,50.0,1,0.12,0,0,28.8,45.5,0,8,0.0,0,19,47.4,1,100.0,19,42.4,3,15.8,0,8,6,6.0,8.0,0.42
Jerick McKinnon,8731,HB,KC,1,3,0,16,0,-4.0,0,100.0,,0,0,0.0,0,0.19,0,0,84.5,70.3,0,7,0.0,0,2,100.0,2,100.0,2,91.7,2,100.0,0,12,20,10.0,6.0,6.0,,0,,,0,0,,0,0.94,0,0,73.4,56.2,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Justin Watson,66915,WR,KC,1,2,0,16,0,,0,,,0,0,,0,-0.12,0,0,,49.6,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.94,0,0,72.1,62.9,0,0,0.0,0,2,0.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
Zach Pascal,12303,WR,PHI,1,2,0,24,0,,0,,,0,0,,0,-0.59,0,0,,50.7,0,0,0.0,0,2,0.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,5.5,0,100.0,100.0,1,1,0.0,0,0.78,1,0,73.4,73.2,0,9,0.0,0,6,50.0,2,100.0,6,89.6,2,33.3,0,11,0,0.0,5.5,1.83
