player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Jaylen Waddle,84088,WR,MIA,1,19,0,17,0,-2.5,0,100.0,,0,0,0.0,0,0.29,2,0,84.5,94.7,0,6,0.0,0,5,50.0,2,80.0,4,131.3,2,50.0,1,12,17,8.5,6.0,3.0,10.6,0,60.0,0.0,0,1,25.0,1,2.02,2,0,29.6,86.1,0,59,0.0,0,13,72.7,3,84.6,11,143.8,5,45.5,1,70,42,14.0,23.3,6.36
Cooper Kupp,11824,WR,LA,1,14,0,26,0,,0,,,0,0,,0,1.26,0,0,,49.5,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,9.3,2,87.5,0.0,0,1,0.0,0,0.27,5,1,82.7,84.5,0,19,0.0,0,19,68.4,7,100.0,19,104.2,8,42.1,0,72,27,3.9,10.3,3.79
Garrett Wilson,97405,WR,NYJ,1,14,0,22,0,2.0,0,100.0,,0,0,0.0,0,-0.05,0,0,78.7,63.7,0,5,0.0,0,1,0.0,1,100.0,1,87.5,1,100.0,0,5,3,3.0,5.0,5.0,11.5,0,50.0,0.0,0,1,0.0,0,0.04,1,0,41.1,70.9,0,14,0.0,0,18,38.9,2,100.0,18,63.5,4,22.2,0,19,3,1.5,9.5,1.06
Tyreek Hill,10799,WR,MIA,1,13,0,17,0,-4.0,2,100.0,,0,0,0.0,0,0.19,1,0,88.7,93.4,0,15,0.0,0,7,50.0,2,85.7,6,104.2,2,33.3,0,18,26,13.0,9.0,3.0,4.5,1,100.0,,0,0,0.0,0,0.62,2,0,84.9,90.8,0,15,0.0,0,18,61.1,4,100.0,18,108.3,4,22.2,0,40,22,5.5,10.0,2.22
Jakobi Meyers,47468,WR,NE,1,13,0,19,0,,0,,,0,0,,0,-0.48,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,10.6,0,55.6,0.0,0,1,16.7,1,0.1,3,0,55.6,72.1,0,24,0.0,0,20,55.0,5,100.0,20,78.9,9,45.0,0,66,19,3.8,13.2,3.3
Chris Olave,84355,WR,NO,1,13,0,20,0,,0,,,0,0,,0,-0.41,0,0,,53.2,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,45.0,0,0.0,0.0,0,1,,0,-0.65,0,0,77.3,64.1,1,0,0.0,0,12,25.0,0,100.0,12,0.0,2,16.7,0,0,0,,,0.0
Stefon Diggs,9579,WR,BUF,1,13,0,4,0,0.0,1,100.0,,0,0,0.0,0,0.66,0,0,78.7,91.2,0,9,0.0,0,3,66.7,1,100.0,3,104.2,1,33.3,0,9,9,9.0,9.0,3.0,3.0,0,100.0,,0,0,0.0,0,-0.12,0,0,80.0,86.0,0,4,0.0,0,5,40.0,1,100.0,5,83.3,1,20.0,0,4,1,1.0,4.0,0.8
Justin Jefferson,61398,WR,MIN,1,12,0,18,0,,0,,,0,0,,0,-0.44,0,0,,47.0,0,0,0.0,0,5,20.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,5.3,2,85.7,,0,0,0.0,0,0.06,4,0,79.4,64.9,0,11,0.0,0,28,55.6,6,96.4,27,95.2,7,25.9,0,48,20,3.3,8.0,1.78
Amon-Ra St. Brown,84470,WR,DET,1,12,0,11,0,-2.0,0,100.0,,0,0,0.0,0,0.24,0,0,78.7,59.2,0,3,0.0,0,2,50.0,1,100.0,2,79.2,1,50.0,0,3,5,5.0,3.0,1.5,5.3,0,71.4,0.0,0,1,0.0,0,0.13,2,0,82.2,81.0,0,11,0.0,0,23,47.8,5,100.0,23,85.4,7,30.4,0,40,12,2.4,8.0,1.74
Mark Andrews,47436,TE,BLT,1,11,0,3,0,,0,,,0,0,,0,-0.17,0,0,,50.9,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,11.4,1,71.4,100.0,1,1,16.7,1,0.12,3,0,63.2,70.0,0,16,0.0,0,20,55.6,5,90.0,18,93.2,7,38.9,0,53,20,4.0,10.6,2.94
