player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Michael Wilson,84423,WR,ARZ,1,16,0,1,0,,0,,,0,0,,0,0.36,0,0,,52.5,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,12.5,0,50.0,,0,0,0.0,0,-0.19,1,0,83.2,92.7,0,7,0.0,0,7,28.6,1,100.0,7,58.3,2,28.6,0,7,1,1.0,7.0,1.0
Ryan Flournoy,159617,WR,DAL,1,13,0,9,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,8.0,0,80.0,,0,0,0.0,0,-0.05,2,0,81.1,74.2,0,18,0.0,0,17,35.7,4,82.4,14,95.0,5,35.7,0,34,8,2.0,8.5,2.43
A.J. Brown,48327,WR,PHI,1,13,0,24,0,,0,,,0,0,,0,-0.4,0,0,,48.5,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,9.0,1,66.7,,0,0,0.0,0,-0.64,2,0,64.4,74.6,1,26,0.0,0,5,60.0,2,100.0,5,70.1,3,60.0,0,42,20,10.0,21.0,8.4
D.K. Metcalf,47864,WR,PIT,1,12,0,25,0,,0,,,0,0,,0,-0.52,0,0,,46.5,0,0,0.0,0,4,33.3,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,9.0,0,100.0,,0,0,0.0,0,0.88,0,0,78.0,90.3,0,12,0.0,0,4,75.0,1,100.0,4,116.7,1,25.0,0,12,3,3.0,12.0,3.0
Michael Pittman Jr.,29049,WR,IND,1,12,0,14,0,-1.5,0,100.0,,0,0,0.0,0,-0.47,0,0,84.5,62.0,0,3,0.0,0,3,0.0,2,100.0,3,79.2,2,66.7,0,2,5,2.5,1.0,0.67,-4.0,0,100.0,,0,0,0.0,0,-0.43,0,0,82.2,63.2,0,-1,0.0,0,10,22.2,1,90.0,9,79.2,1,11.1,0,-1,3,3.0,-1.0,-0.11
Zay Flowers,97268,WR,BLT,1,11,0,3,0,-0.5,0,100.0,,0,0,0.0,0,-0.15,0,0,84.5,91.4,0,7,0.0,0,3,66.7,2,100.0,3,79.2,2,66.7,0,6,7,3.5,3.0,2.0,16.2,1,83.3,0.0,0,1,0.0,0,0.58,4,0,49.6,82.8,0,35,0.0,0,14,71.4,5,100.0,14,118.8,6,42.9,0,112,37,7.4,22.4,8.0
Tee Higgins,61211,WR,CIN,1,11,0,7,0,,0,,,0,0,,0,-0.31,0,0,,49.2,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,7.3,0,100.0,100.0,1,1,0.0,0,0.86,2,0,58.5,86.3,0,12,0.0,0,6,83.3,3,100.0,6,105.6,3,50.0,0,28,6,2.0,9.3,4.67
Harold Fannin Jr.,163104,TE,CLV,1,10,0,8,0,-0.5,0,100.0,,0,0,0.0,0,-0.52,1,0,84.5,92.8,0,13,42.9,3,7,28.6,2,57.1,4,97.9,2,50.0,0,15,16,8.0,7.5,3.75,8.8,0,60.0,33.3,1,3,0.0,0,0.37,3,0,82.2,91.2,0,17,0.0,0,17,62.5,3,94.1,16,122.5,5,31.3,1,37,16,5.3,12.3,2.31
Courtland Sutton,48164,WR,DEN,1,10,0,10,0,,0,,,0,0,,0,0.66,0,0,,49.4,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0.09,0,0,78.0,74.4,0,8,0.0,0,8,50.0,1,100.0,8,100.0,1,12.5,0,8,3,3.0,8.0,1.0
Jaxon Smith-Njigba,129758,WR,SEA,1,10,0,29,0,,0,,,0,0,,0,-0.98,0,0,,51.2,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0.6,1,0,74.6,66.1,0,8,0.0,0,5,60.0,2,100.0,5,91.7,2,40.0,0,12,2,1.0,6.0,2.4
