player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Lee Smith,6311,TE,BUF,11,6,0,4,8.0,0,100.0,,0,0,0.0,0,0.3,1,0,68.3,64.6,0,27,57.1,20,35,46.9,1,37.1,13,118.8,1,7.7,0,27,19,19.0,27.0,2.08,0,3.5,0,50.0,,0,0,0.0,0,0.37,0,0,64.7,52.1,0,3,40.0,10,25,64.0,1,60.0,15,56.3,2,13.3,0,3,2,2.0,3.0,0.2
Virgil Green,6356,TE,LAC,6,6,0,27,,0,,,0,0,,0,0.11,0,0,,47.9,0,0,35.3,6,17,25.0,0,58.8,10,0.0,0,0.0,0,0,0,,,0.0,0,12.3,1,50.0,50.0,1,2,25.0,1,-0.25,2,0,36.2,86.4,0,26,52.8,19,36,34.3,3,47.2,17,118.1,6,35.3,1,50,24,8.0,16.7,2.94
Josh Malone,11883,WR,NYJ,2,6,0,22,1.0,0,100.0,,0,0,0.0,0,-0.66,0,0,64.7,55.2,0,1,0.0,0,8,40.0,1,62.5,5,79.2,1,20.0,0,1,0,0.0,1.0,0.2,0,4.2,0,60.0,,0,0,25.0,1,-0.29,1,0,36.8,52.8,0,13,0.0,0,39,36.8,3,97.4,38,64.6,5,13.2,0,15,7,2.3,5.0,0.39
Riley Ridley,47933,WR,CHI,4,6,0,6,10.7,0,100.0,,0,0,0.0,0,0.08,3,0,70.5,77.3,0,18,0.0,0,14,35.7,3,100.0,14,113.9,3,21.4,0,34,2,0.7,11.3,2.43,0,7.7,1,100.0,,0,0,0.0,0,0.35,2,0,70.5,65.9,0,18,0.0,0,22,57.1,3,95.5,21,118.8,3,14.3,0,41,18,6.0,13.7,1.95
Levine Toilolo,7915,TE,NYG,15,6,0,21,0.0,0,100.0,,0,0,0.0,0,-0.53,0,0,64.7,49.1,0,0,46.9,15,32,32.1,1,43.8,14,79.2,1,7.1,0,0,0,0.0,0.0,0.0,0,5.3,1,75.0,,0,0,25.0,1,0.02,2,0,36.2,57.5,0,14,58.1,36,62,50.8,3,41.9,26,99.0,4,15.4,0,33,18,6.0,11.0,1.27
Theo Riddick,7980,HB,LV,4,6,0,23,,0,,,0,0,,0,0.68,0,0,,55.9,0,0,61.5,8,13,46.2,0,38.5,5,0.0,0,0.0,0,0,0,,,0.0,0,0.8,1,80.0,0.0,0,1,0.0,0,-0.38,1,0,72.1,73.2,0,15,13.6,3,22,47.6,4,81.8,18,95.8,5,27.8,0,35,31,7.8,8.8,1.94
Bennie Fowler,8914,WR,NO,5,6,0,20,6.0,0,0.0,,0,0,,0,1.52,0,0,,56.1,0,0,0.0,0,4,75.0,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,7.2,0,40.0,0.0,0,1,33.3,1,-0.29,1,0,30.0,52.5,1,7,0.0,0,26,41.7,2,92.3,24,8.3,5,20.8,0,11,1,0.5,5.5,0.46
Seth Roberts,9079,WR,CAR,7,6,0,5,,0,,,0,0,,0,0.24,0,0,,52.4,0,0,0.0,0,19,58.8,0,89.5,17,0.0,0,0.0,0,0,0,,,0.0,0,7.3,1,66.7,0.0,0,1,0.0,0,-0.16,2,0,72.1,59.8,0,12,0.0,0,41,40.0,4,97.6,40,79.2,6,15.0,0,31,22,5.5,7.8,0.78
Robert Foster,48230,WR,WAS,4,6,0,32,7.0,0,0.0,,0,0,100.0,1,0.13,0,0,27.9,39.0,0,0,0.0,0,3,50.0,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0,0,18.5,0,50.0,,0,0,0.0,0,0.31,2,0,68.3,77.1,0,28,0.0,0,14,35.7,2,100.0,14,82.3,4,28.6,0,37,32,16.0,18.5,2.64
DeAndre Carter,9859,WR,CHI,5,6,0,6,5.5,0,50.0,,0,0,0.0,0,0.2,0,0,64.7,57.8,0,3,0.0,0,5,60.0,1,100.0,5,56.3,2,40.0,0,3,4,4.0,3.0,0.6,0,8.3,0,66.7,100.0,1,1,33.3,1,0.17,1,0,29.9,54.7,0,8,0.0,0,15,40.0,2,100.0,15,77.1,3,20.0,0,14,2,1.0,7.0,0.93
Andre Roberts,5612,WR,BUF,7,5,0,4,,0,,,0,0,,0,-0.07,0,0,,52.8,0,0,0.0,0,10,44.4,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0,0,12.5,0,75.0,,0,0,25.0,1,-0.34,2,0,36.2,63.0,1,16,0.0,0,29,40.7,3,93.1,27,58.3,4,14.8,0,32,0,0.0,10.7,1.19
Gunner Olszewski,95015,WR,NE,7,5,0,19,3.5,1,100.0,,0,0,0.0,0,-0.02,2,0,72.1,70.5,0,12,5.6,1,18,31.3,4,83.3,15,91.7,4,26.7,0,24,10,2.5,6.0,1.6,0,13.0,2,100.0,,0,0,0.0,0,0.42,1,0,64.7,59.3,0,38,0.0,0,40,50.0,1,95.0,38,158.3,1,2.6,1,38,25,25.0,38.0,1.0
Ashton Dulin,91479,WR,IND,12,5,0,14,2.0,0,0.0,,0,0,,0,0.21,0,0,,53.0,0,0,6.7,1,15,46.2,0,86.7,13,39.6,1,7.7,0,0,0,,,0.0,0,6.8,1,75.0,,0,0,0.0,0,-0.53,2,1,70.5,68.1,0,34,0.0,0,17,41.2,3,100.0,17,116.7,4,23.5,0,53,31,10.3,17.7,3.12
C.J. Prosise,10724,HB,HST,6,5,0,13,2.0,0,100.0,,0,0,0.0,0,0.48,1,0,64.7,69.9,0,2,25.0,2,8,62.5,1,75.0,6,118.8,1,16.7,1,2,0,0.0,2.0,0.33,0,-2.3,0,100.0,,0,0,0.0,0,0.06,0,0,73.4,59.5,0,10,4.2,1,24,50.0,4,87.5,21,83.3,4,19.0,0,16,25,6.3,4.0,0.76
Jaeden Graham,31849,TE,ATL,14,5,0,2,,0,,,0,0,,0,-0.15,0,0,,51.5,0,0,16.7,2,12,30.0,0,66.7,8,0.0,0,0.0,0,0,0,,,0.0,0,3.6,0,60.0,50.0,1,2,0.0,0,-0.07,1,0,70.5,50.2,0,11,4.7,2,43,53.5,3,95.3,41,72.9,5,12.2,0,25,15,5.0,8.3,0.61
Tavon Austin,7789,WR,GB,4,5,0,12,,0,,,0,0,,0,0.36,0,0,,58.3,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-4.8,1,100.0,,0,0,0.0,0,-0.06,1,0,73.4,67.3,0,7,0.0,0,11,60.0,5,90.9,10,83.3,5,50.0,0,20,44,8.8,4.0,2.0
Tevin Coleman,9506,HB,SF,8,5,0,28,1.0,0,0.0,0.0,0,1,,0,0.14,0,0,,52.9,0,0,33.3,3,9,66.7,0,66.7,6,39.6,1,16.7,0,0,0,,,0.0,0,3.3,2,100.0,100.0,1,1,0.0,0,0.37,2,0,73.4,91.1,0,18,9.1,2,22,57.1,4,86.4,19,102.1,4,21.1,0,34,21,5.3,8.5,1.79
Trayveon Williams,45775,HB,CIN,5,5,0,7,-7.0,0,100.0,,0,0,0.0,0,-0.7,0,0,64.7,56.1,0,3,36.4,4,11,44.4,1,54.5,6,79.2,1,16.7,0,3,10,10.0,3.0,0.5,0,-1.3,3,100.0,,0,0,0.0,0,0.35,1,0,72.1,70.1,0,13,22.2,4,18,61.1,4,77.8,14,94.8,4,28.6,0,27,32,8.0,6.8,1.93
Khari Blasingame,44889,FB,TEN,16,5,0,31,-0.3,0,66.7,,0,0,33.3,1,-0.25,1,0,29.9,39.6,0,16,15.8,3,19,38.9,2,78.9,15,86.8,3,20.0,0,21,22,11.0,10.5,1.4,0,2.5,0,100.0,,0,0,0.0,0,0.36,1,0,68.3,66.0,0,13,48.3,14,29,55.2,2,51.7,15,104.2,2,13.3,0,18,13,6.5,9.0,1.2
Dalton Keene,61068,TE,NE,6,5,0,19,12.0,0,50.0,0.0,0,1,0.0,0,-0.32,0,1,64.7,30.5,0,2,17.1,6,35,36.4,1,77.1,27,56.3,2,7.4,0,2,1,1.0,2.0,0.07,0,6.7,0,66.7,,0,0,0.0,0,0.13,0,0,68.3,45.4,0,8,9.3,5,54,47.2,2,88.9,48,77.1,3,6.3,0,14,3,1.5,7.0,0.29
Andy Janovich,10810,FB,CLV,16,5,0,8,-0.5,0,0.0,,0,0,100.0,1,-0.51,0,0,27.9,29.4,0,0,46.2,12,26,32.0,0,50.0,13,39.6,2,15.4,0,0,0,,,0.0,0,1.3,1,66.7,0.0,0,1,0.0,0,-0.25,1,0,68.3,63.5,0,13,33.3,10,30,40.7,2,60.0,18,75.7,3,16.7,0,13,13,6.5,6.5,0.72
Ted Ginn Jr.,3625,WR,CHI,6,5,0,6,11.5,0,50.0,100.0,1,1,0.0,0,-0.44,0,0,64.7,52.9,0,6,0.0,0,16,37.5,1,100.0,16,56.3,2,12.5,0,6,0,0.0,6.0,0.38,0,33.0,0,50.0,,0,0,0.0,0,0.18,1,0,64.7,64.4,0,29,0.0,0,24,39.1,1,95.8,23,95.8,2,8.7,0,29,7,7.0,29.0,1.26
Charlie Woerner,42257,TE,SF,9,4,0,28,-1.0,0,0.0,0.0,0,1,,0,-0.09,0,0,,50.0,0,0,28.6,2,7,71.4,0,71.4,5,39.6,1,20.0,0,0,0,,,0.0,0,3.7,1,100.0,100.0,1,1,0.0,0,0.12,2,0,70.5,70.9,0,18,37.5,12,32,56.3,3,62.5,20,116.7,3,15.0,0,36,25,8.3,12.0,1.8
Eric Saubert,11929,TE,JAX,7,4,0,15,,0,,,0,0,,0,-0.41,0,0,,51.8,0,0,28.6,4,14,33.3,0,57.1,8,0.0,0,0.0,0,0,0,,,0.0,0,3.3,0,75.0,0.0,0,1,0.0,0,-0.68,0,0,70.5,54.0,1,9,20.0,5,25,17.4,3,76.0,19,41.7,4,21.1,0,16,7,2.3,5.3,0.84
Jeremy Sprinkle,11909,TE,WAS,16,4,0,32,,0,,,0,0,,0,-0.11,0,0,,51.9,0,0,56.3,9,16,37.5,0,43.8,7,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,50.0,,0,0,33.3,1,-0.19,0,0,29.9,34.3,0,8,45.6,31,68,43.8,2,52.9,36,58.3,4,11.1,0,14,8,4.0,7.0,0.39
Johnny Mundt,12206,TE,LA,9,4,0,26,,0,,,0,0,,0,0.96,0,0,,56.8,0,0,40.0,2,5,80.0,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0,0,1.7,1,100.0,,0,0,0.0,0,-0.13,1,0,70.5,68.6,0,34,37.5,12,32,45.2,3,62.5,20,118.8,3,15.0,0,48,43,14.3,16.0,2.4
Austin Carr,12215,WR,NO,5,4,0,20,15.0,0,100.0,100.0,1,1,0.0,0,1.06,1,0,64.7,78.3,0,11,14.3,1,7,80.0,1,57.1,4,152.1,1,25.0,1,11,0,0.0,11.0,2.75,0,10.3,1,66.7,0.0,0,1,0.0,0,0.27,2,0,68.3,65.8,0,10,0.0,0,20,52.6,2,95.0,19,79.9,3,15.8,0,16,10,5.0,8.0,0.84
D'Ernest Johnson,45734,HB,CLV,7,4,0,8,1.3,0,66.7,,0,0,33.3,1,-0.73,0,0,29.9,30.2,0,5,25.0,2,8,14.3,2,75.0,6,71.5,3,50.0,0,10,5,2.5,5.0,1.67,0,-3.0,0,100.0,,0,0,0.0,0,0.06,0,0,64.7,53.4,0,4,18.5,5,27,42.3,1,77.8,21,83.3,1,4.8,0,4,7,7.0,4.0,0.19
Brandon Zylstra,66438,WR,CAR,13,4,0,5,,0,,,0,0,,0,-0.15,0,0,,51.8,0,0,0.0,0,16,43.8,0,100.0,16,0.0,0,0.0,0,0,0,,,0.0,0,12.0,0,66.7,,0,0,0.0,0,-0.1,2,0,68.3,55.3,0,4,0.0,0,54,35.8,2,96.3,52,70.1,3,5.8,0,7,5,2.5,3.5,0.13
Antonio Callaway,48101,WR,MIA,4,4,0,17,9.0,0,50.0,100.0,1,1,0.0,0,0.14,1,0,64.7,58.6,0,13,0.0,0,24,42.9,1,87.5,21,70.8,2,9.5,0,13,4,4.0,13.0,0.62,0,7.0,0,50.0,,0,0,0.0,0,0.02,0,0,64.7,61.8,0,7,0.0,0,18,50.0,1,88.9,16,58.3,2,12.5,0,7,-2,-2.0,7.0,0.44
Ben Ellefson,27766,TE,JAX,7,4,0,15,21.0,0,0.0,,0,0,,0,0.03,0,0,,50.4,1,0,38.9,7,18,50.0,0,50.0,9,0.0,1,11.1,0,0,0,,,0.0,0,7.0,0,33.3,,0,0,50.0,1,-0.45,1,0,29.9,57.9,0,10,33.3,10,30,27.6,1,63.3,19,43.8,3,15.8,0,10,3,3.0,10.0,0.53
Jonathan Williams,10790,HB,DET,2,4,0,11,,0,,,0,0,,0,1.34,0,0,,58.5,0,0,60.0,3,5,80.0,0,40.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-0.3,0,100.0,,0,0,0.0,0,0.35,2,0,72.1,63.1,0,10,5.0,1,20,65.0,4,95.0,19,88.5,4,21.1,0,21,22,5.5,5.3,1.11
Alfred Morris,7165,HB,NYG,9,4,0,21,2.0,0,0.0,0.0,0,1,,0,0.15,0,0,,53.2,0,0,31.6,6,19,42.1,0,68.4,13,39.6,1,7.7,0,0,0,,,0.0,0,0.7,1,100.0,,0,0,0.0,0,0.29,2,0,70.5,69.9,0,9,20.8,5,24,52.2,3,75.0,18,132.6,3,16.7,1,19,17,5.7,6.3,1.06
Luke Willson,7940,TE,SEA,4,3,0,29,2.0,0,0.0,,0,0,100.0,1,-0.48,0,0,28.0,37.8,0,0,10.0,1,10,44.4,0,80.0,8,39.6,1,12.5,0,0,0,,,0.0,0,10.0,0,100.0,,0,0,0.0,0,-0.12,0,0,64.7,50.5,0,12,9.4,3,32,34.5,1,81.3,26,116.7,1,3.8,0,12,2,2.0,12.0,0.46
Elijhaa Penny,11300,FB,NYG,10,3,0,21,,0,,,0,0,,0,-0.15,0,0,,58.5,0,0,50.0,2,4,25.0,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,1.5,1,50.0,,0,0,0.0,0,0.76,0,0,64.7,71.6,0,9,12.5,1,8,62.5,1,87.5,7,62.5,2,28.6,0,9,7,7.0,9.0,1.29
Tommylee Lewis,11231,WR,NO,4,3,0,20,45.0,0,0.0,,0,0,,0,-0.12,0,0,,56.2,0,0,0.0,0,4,25.0,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,0.0,0,50.0,,0,0,50.0,1,0.09,0,0,28.8,45.0,0,5,0.0,0,10,60.0,1,100.0,10,56.3,2,20.0,0,5,2,2.0,5.0,0.5
Hunter Bryant,61072,TE,DET,4,3,0,11,23.0,0,0.0,,0,0,,0,-0.56,0,0,,56.1,0,0,0.0,0,4,33.3,0,75.0,3,39.6,1,33.3,0,0,0,,,0.0,0,32.0,0,100.0,100.0,1,1,0.0,0,-0.38,1,0,64.7,85.9,0,44,0.0,0,8,42.9,1,87.5,7,118.8,1,14.3,0,44,12,12.0,44.0,6.29
