player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jason Verrett,8660,CB,SF,3,5,,5.0,28,0,39.6,0,1,0,0,0,0.0
Eric Kendricks,9478,LB,MIN,10,22,,11.0,18,0,39.6,0,2,0,0,0,0.0
Charvarius Ward,43034,CB,KC,12,15,,15.0,16,0,39.6,0,1,0,0,0,0.0
Luq Barcoo,83079,CB,JAX,1,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Logan Wilson,29623,LB,CIN,9,18,,18.0,7,0,39.6,0,1,0,0,0,0.0
Blake Lynch,47621,LB,MIN,1,5,,2.5,18,0,39.6,0,2,0,0,0,0.0
Willie Gay,57987,LB,KC,5,5,,5.0,16,0,39.6,0,1,0,0,0,0.0
Jerome Baker,28091,LB,MIA,12,28,,7.0,17,0,39.6,0,4,0,0,0,0.0
Damien Wilson,9560,LB,KC,11,14,,14.0,16,0,39.6,0,1,0,0,0,0.0
Joe Thomas,9272,LB,DAL,7,21,,21.0,9,0,39.6,0,1,0,0,0,0.0
Anthony Chickillo,9645,ED,DEN,2,1,,1.0,10,0,39.6,0,1,0,0,0,0.0
Tae Davis,26296,LB,CLV,2,3,,3.0,8,0,39.6,0,1,0,0,0,0.0
Michael Davis,12040,CB,LAC,5,9,,9.0,27,0,39.6,0,1,0,0,0,0.0
James Vaughters,9934,ED,CHI,6,7,,7.0,6,0,39.6,0,1,0,0,0,0.0
Brandon Wilson,11962,S,CIN,7,12,,12.0,7,0,39.6,0,1,0,0,0,0.0
Dallin Leavitt,49120,S,LV,2,3,,3.0,23,0,39.6,0,1,0,0,0,0.0
Ricardo Allen,8782,S,ATL,10,23,,23.0,2,0,39.6,0,1,0,0,0,0.0
Barkevious Mingo,7787,ED,CHI,13,21,,10.5,6,0,39.6,0,2,0,0,0,0.0
Bryce Hall,42313,CB,NYJ,7,14,,14.0,22,0,39.6,0,1,0,0,0,0.0
Ahkello Witherspoon,11821,CB,SF,3,3,,1.5,28,0,39.6,0,2,0,0,0,0.0
Tyus Bowser,11802,ED,BLT,4,6,,6.0,3,1,0.0,0,1,0,0,0,0.0
Olasunkanmi Adeniyi,50154,ED,PIT,2,3,,3.0,25,0,39.6,0,1,0,0,0,0.0
Mike Edwards,51282,S,TB,13,35,,11.7,30,0,39.6,0,3,0,0,0,0.0
Reggie Ragland,10675,LB,DET,4,11,,11.0,11,0,39.6,0,1,0,0,0,0.0
Will Compton,8308,LB,TEN,4,7,,7.0,31,0,39.6,0,1,0,0,0,0.0
A.J. Moore,51146,S,HST,9,19,,19.0,13,0,39.6,0,1,0,0,0,0.0
Donte Jackson,49377,CB,CAR,4,8,,8.0,5,0,39.6,0,1,0,0,0,0.0
Ka'dar Hollman,49446,CB,GB,3,8,,8.0,12,0,39.6,0,1,0,0,0,0.0
Tyler Matakevich,10880,LB,BUF,1,2,,2.0,4,0,39.6,0,1,0,0,0,0.0
Kyle Fuller,8649,CB,CHI,11,16,,8.0,6,0,39.6,0,2,0,0,0,0.0
Jordan Whitehead,49196,S,TB,19,109,109.0,21.8,30,0,39.6,1,5,0,7,6,0.06
Minkah Fitzpatrick,51206,S,PIT,17,83,83.0,27.7,25,0,42.4,1,3,0,5,1,0.06
Fabian Moreau,11836,CB,WAS,6,42,42.0,14.0,32,0,45.1,1,3,0,11,8,0.26
Duke Dawson,51576,CB,DEN,9,41,41.0,41.0,10,0,87.5,1,1,0,5,4,0.12
Sam Franklin Jr.,43580,S,CAR,7,34,34.0,11.3,5,0,47.9,1,3,0,13,6,0.38
Johnathan Abram,34646,S,LV,13,68,34.0,17.0,23,2,35.4,2,4,0,30,19,0.44
T.J. Carrie,8853,CB,IND,6,32,32.0,8.0,14,0,39.6,1,4,0,5,0,0.16
Marcell Harris,51408,S,SF,9,30,30.0,10.0,28,0,81.9,1,3,1,6,0,0.2
Zach Cunningham,11812,LB,HST,14,30,30.0,15.0,13,0,56.3,1,2,0,6,1,0.2
Marcus Williams,11797,S,NO,10,24,24.0,12.0,20,0,95.8,1,2,0,50,36,2.08
Jamel Dean,34918,CB,TB,12,23,23.0,5.8,30,0,39.6,1,4,0,12,2,0.52
Micah Hyde,7941,S,BUF,17,111,22.2,12.3,4,0,82.2,5,9,0,73,10,0.66
Troy Pride Jr.,42883,CB,CAR,9,22,22.0,5.5,5,0,90.6,1,4,1,23,0,1.05
Adrian Phillips,9177,S,NE,13,43,21.5,8.6,19,0,50.4,2,5,0,18,11,0.42
Daryl Worley,10711,CB,LV,6,21,21.0,10.5,23,0,62.5,1,2,0,9,3,0.43
T.J. Watt,11785,ED,PIT,11,21,21.0,10.5,25,0,125.0,1,2,1,20,0,0.95
Alex Anzalone,11831,LB,NO,9,21,21.0,7.0,20,0,42.4,1,3,0,2,1,0.1
Juan Thornhill,50426,S,KC,18,105,21.0,8.1,16,0,48.9,5,13,0,46,20,0.44
Darnell Savage,34247,S,GB,17,145,20.7,10.4,12,2,65.5,7,14,1,126,42,0.87
J.C. Jackson,42781,CB,NE,16,61,20.3,5.5,19,0,39.6,3,11,0,26,6,0.43
Harrison Hand,55576,CB,MIN,4,20,20.0,10.0,18,1,50.0,1,2,0,22,1,1.1
Bryce Callahan,10000,CB,DEN,8,120,20.0,8.6,10,2,10.7,6,14,0,41,12,0.34
Jalen Ramsey,10639,CB,LA,14,115,19.2,9.6,26,0,57.6,6,12,0,40,42,0.35
Antoine Brooks Jr.,49751,CB,PIT,2,19,19.0,9.5,25,0,56.3,1,2,0,5,6,0.26
Anthony Harris,9895,S,MIN,16,109,18.2,10.9,18,0,126.7,6,10,1,99,19,0.91
P.J. Williams,9511,S,NO,14,53,17.7,10.6,20,0,79.6,3,5,0,33,12,0.62
Xavier Woods,11946,S,DAL,15,102,17.0,12.8,9,0,116.7,6,8,1,18,15,0.18
Danny Trevathan,7177,LB,CHI,14,34,17.0,11.3,6,0,95.1,2,3,0,27,18,0.79
Brandon Jones,43049,S,MIA,12,17,17.0,17.0,17,0,91.7,1,1,0,6,0,0.35
Delano Hill,11849,S,SEA,2,17,17.0,8.5,29,0,56.3,1,2,0,4,0,0.24
Erik Harris,10346,S,LV,13,33,16.5,11.0,23,0,92.4,2,3,0,25,5,0.76
D.J. Swearinger Sr.,7838,S,NO,5,16,16.0,16.0,20,0,118.8,1,1,0,29,2,1.81
Will Redmond,10702,S,GB,13,96,16.0,8.7,12,0,97.5,6,11,1,52,42,0.54
Isaiah Simmons,42451,LB,ARZ,13,48,16.0,6.9,1,0,104.2,3,7,1,45,40,0.94
Isaiah Johnson,48233,CB,LV,8,16,16.0,16.0,23,0,118.8,1,1,0,17,9,1.06
Tavon Young,10738,CB,BLT,2,16,16.0,8.0,3,0,95.8,1,2,0,28,4,1.75
Chuck Clark,11941,S,BLT,18,127,15.9,7.5,3,0,62.6,8,17,0,87,45,0.69
Taylor Rapp,51172,S,LA,9,63,15.8,10.5,26,0,70.1,4,6,0,15,13,0.24
Jessie Bates III,49162,S,CIN,15,63,15.8,7.9,7,0,63.0,4,8,0,37,20,0.59
Jimmy Smith,6179,CB,BLT,13,47,15.7,5.9,3,0,53.6,3,8,0,39,2,0.83
Ronald Darby,9483,CB,WAS,15,31,15.5,4.4,32,0,39.6,2,7,0,16,17,0.52
Dean Marlowe,9966,S,BUF,9,31,15.5,7.8,4,0,67.7,2,4,0,23,3,0.74
Marcus Peters,9451,CB,BLT,16,62,15.5,7.8,3,1,33.3,4,8,0,56,24,0.9
Tre'Davious White,11782,CB,BUF,8,15,15.0,15.0,4,0,108.3,1,1,0,10,7,0.67
Shaquill Griffin,11845,CB,SEA,9,15,15.0,5.0,29,0,53.5,1,3,0,17,1,1.13
Jordan Poyer,8000,S,BUF,19,104,14.9,7.4,4,0,96.7,7,14,2,45,20,0.43
Jaquiski Tartt,9479,S,SF,7,44,14.7,8.8,28,0,117.5,3,5,1,31,12,0.7
Marcus Maye,11794,S,NYJ,15,102,14.6,7.8,22,0,103.8,7,13,2,54,41,0.53
Chris Harris Jr.,6457,CB,LAC,9,246,14.5,9.8,27,1,114.9,17,25,2,277,143,1.13
Darius Phillips,49507,CB,CIN,8,84,14.0,7.6,7,0,60.0,6,11,0,33,11,0.39
Demario Davis,7079,LB,NO,16,54,13.5,6.8,20,0,95.8,4,8,1,18,15,0.33
De'Vondre Campbell,10749,LB,ARZ,13,80,13.3,6.7,1,0,71.5,6,12,0,80,55,1.0
Jarrod Wilson,10902,S,JAX,12,93,13.3,13.3,15,0,108.9,7,7,0,71,44,0.76
Nicholas Morrow,51674,LB,LV,14,53,13.3,7.6,23,1,67.0,4,7,1,29,0,0.55
Jaylon Smith,10668,LB,DAL,16,78,13.0,6.5,9,0,68.4,6,12,0,71,12,0.91
Brandon Rusnak,51088,S,JAX,2,13,13.0,3.3,15,0,39.6,1,4,0,8,4,0.62
Malik Harrison,28081,LB,BLT,8,13,13.0,6.5,3,0,83.3,1,2,0,19,5,1.46
Antonio Hamilton Sr.,11353,CB,KC,6,39,13.0,9.8,16,0,111.5,3,4,0,45,10,1.15
Avonte Maddox,50543,CB,PHI,6,13,13.0,3.3,24,0,39.6,1,4,0,10,6,0.77
K'Von Wallace,42467,S,PHI,5,26,13.0,13.0,24,0,87.5,2,2,0,10,10,0.38
Christian Kirksey,8706,LB,GB,10,25,12.5,12.5,12,0,106.3,2,2,0,19,12,0.76
Siran Neal,27130,CB,BUF,9,62,12.4,7.8,4,0,111.5,5,8,1,34,11,0.55
Tracy Walker III,51266,S,DET,15,136,12.4,9.1,11,0,131.8,11,15,1,167,68,1.23
Terrell Edmunds,51334,S,PIT,16,160,12.3,8.0,25,0,98.8,13,20,1,124,36,0.78
Blidi Wreh-Wilson,7851,CB,ATL,11,109,12.1,9.1,2,2,97.2,9,12,2,94,29,0.86
Ryan Lewis,12017,CB,NYG,5,12,12.0,2.4,21,0,40.4,1,5,0,16,1,1.33
Kareem Orr,50513,CB,TEN,2,24,12.0,12.0,31,0,108.3,2,2,0,20,7,0.83
Harrison Smith,7641,S,MIN,15,83,11.9,9.2,18,0,103.2,7,9,0,79,52,0.95
Jalen Mills,10867,S,PHI,14,119,11.9,9.2,24,1,74.8,10,13,0,127,75,1.07
Jayron Kearse,10878,S,DET,10,93,11.6,8.5,11,0,79.7,8,11,0,45,39,0.48
Jimmie Ward,8665,S,SF,14,139,11.6,6.6,28,0,63.6,12,21,0,70,32,0.5
CJ Henderson,55593,CB,JAX,7,23,11.5,7.7,15,0,109.7,2,3,0,43,3,1.87
Leighton Vander Esch,50950,LB,DAL,9,23,11.5,11.5,9,0,97.9,2,2,0,15,14,0.65
Eddie Jackson,11867,S,CHI,17,159,11.4,8.4,6,0,99.2,14,19,0,163,98,1.03
Arthur Maulet,12224,S,NYJ,7,171,11.4,7.1,22,1,77.4,15,24,1,154,84,0.9
Antoine Winfield Jr.,42475,S,TB,18,79,11.3,7.9,30,0,91.7,7,10,0,75,35,0.95
Kenny Vaccaro,7796,S,TEN,14,79,11.3,11.3,31,0,145.5,7,7,1,66,42,0.84
Sione Takitaki,12666,LB,CLV,14,45,11.3,9.0,8,0,105.8,4,5,0,47,16,1.04
