player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Stefon Diggs,9579,WR,BUF,19,193,0,4,0,-2.1,5,84.6,,0,0,8.3,1,0.22,4,0,64.7,66.8,0,21,0.0,0,87,53.0,11,95.4,83,120.2,13,15.7,1,87,110,10.0,7.9,1.05,9.4,5,75.0,62.5,5,8,11.4,5,0.25,18,0,65.7,88.8,0,36,0.0,0,250,57.6,39,94.4,236,122.0,52,22.0,3,477,178,4.6,12.2,2.02
Travis Kelce,7844,TE,KC,18,178,0,16,0,-1.2,0,92.3,,0,0,0.0,0,0.16,7,0,92.4,92.8,1,17,10.1,7,69,54.5,12,84.1,58,96.6,13,22.4,3,70,85,7.1,5.8,1.21,9.2,5,78.7,45.5,5,11,2.0,1,0.26,35,0,91.6,94.4,2,45,0.9,2,223,56.4,48,90.6,202,131.5,61,30.2,6,669,247,5.1,13.9,3.31
Davante Adams,8688,WR,GB,16,170,0,12,0,-1.0,1,100.0,,0,0,0.0,0,0.02,7,0,93.5,82.9,0,27,0.0,0,70,53.6,24,98.6,69,105.7,24,34.8,1,145,170,7.1,6.0,2.1,6.7,0,80.6,44.4,4,9,1.7,1,0.45,32,0,91.5,91.8,0,45,0.0,0,194,57.8,58,96.4,187,132.8,72,38.5,8,503,251,4.3,8.7,2.69
Tyreek Hill,10799,WR,KC,18,162,0,16,0,-2.5,5,85.7,,0,0,7.7,1,0.17,5,0,68.4,68.0,0,15,0.0,0,69,54.5,12,95.7,66,115.2,14,21.2,1,83,117,9.8,6.9,1.26,13.1,13,67.0,37.5,3,8,10.6,7,0.29,39,0,39.2,81.7,2,71,0.0,0,447,55.7,59,94.0,420,114.3,88,21.0,7,831,360,6.1,14.1,1.98
Allen Robinson II,8696,WR,CHI,17,157,0,6,0,-2.3,1,100.0,,0,0,0.0,0,-0.27,0,0,91.1,47.3,0,7,0.0,0,46,35.6,6,97.8,45,81.3,6,13.3,0,21,35,5.8,3.5,0.47,7.9,6,71.2,33.3,4,12,0.0,0,-0.05,23,0,92.1,86.8,1,35,0.5,1,193,42.6,37,96.9,187,101.4,52,27.8,3,359,140,3.8,9.7,1.92
Diontae Johnson,33441,WR,PIT,16,155,0,25,0,-2.4,2,91.7,,0,0,8.3,1,-0.21,3,0,60.6,63.8,0,13,0.0,0,63,31.7,11,100.0,63,89.2,12,19.0,0,65,93,8.5,5.9,1.03,3.6,0,73.3,,0,0,8.3,1,-0.16,4,1,30.6,68.6,0,10,0.0,0,83,38.5,11,94.0,78,76.8,15,19.2,0,49,34,3.1,4.5,0.63
DeAndre Hopkins,7808,WR,ARZ,16,154,0,1,0,-1.9,5,100.0,,0,0,0.0,0,-0.14,4,0,93.2,73.1,0,12,0.0,0,77,39.2,20,96.1,74,81.7,20,27.0,0,72,110,5.5,3.6,0.97,5.8,1,93.3,100.0,2,2,0.0,0,0.06,8,0,92.7,88.2,0,33,0.0,0,68,44.6,14,95.6,65,129.7,15,23.1,1,147,72,5.1,10.5,2.26
JuJu Smith-Schuster,11817,WR,PIT,17,143,0,25,0,-1.1,1,100.0,,0,0,0.0,0,-0.07,5,1,93.1,58.5,0,20,0.0,0,85,37.6,20,100.0,85,84.6,20,23.5,0,86,107,5.4,4.3,1.01,6.8,4,78.2,50.0,15,30,3.1,3,0.15,48,2,92.1,70.3,4,33,0.0,0,648,48.5,93,93.5,606,111.8,119,19.6,10,888,386,4.2,9.5,1.47
Darren Waller,9637,TE,LV,16,140,0,23,0,-2.0,2,100.0,,0,0,0.0,0,-0.06,4,0,92.5,88.1,0,22,4.4,2,45,47.7,15,93.3,42,95.3,15,35.7,0,103,133,8.9,6.9,2.45,10.3,1,60.6,57.1,4,7,0.0,0,-0.15,11,2,91.4,90.1,1,29,0.8,1,128,45.8,20,93.0,119,89.6,33,27.7,2,233,110,5.5,11.7,1.96
Keenan Allen,7857,WR,LAC,14,138,0,27,0,-2.3,1,94.4,,0,0,5.6,1,0.18,7,0,81.2,72.6,0,15,0.0,0,64,54.1,17,95.3,61,88.2,18,29.5,0,93,133,7.8,5.5,1.52,7.4,5,71.7,50.0,8,16,2.3,1,0.13,25,1,90.2,88.2,3,27,0.3,1,287,46.1,43,94.1,270,104.9,60,22.2,6,441,184,4.3,10.3,1.63
