player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Doug Costin,44473,DI,JAX,12,1,0,15,0,,,0.0,,,0,0,,61.8,0,,0.0,0,0,0.0,0,0,0.0,76,1,1,0,0,0,0,,,0,0,,,0.8,,,0,0,,59.7,0,,0.0,0,0,0.0,0,1,100.0,123,1,3,0,0,0,0,0.0,
Kyzir White,44485,LB,LAC,11,306,0,27,0,5.6,57.1,90.4,11.0,6.3,0,1,14.3,42.3,0,29,14.3,1,0,80.7,4,47,15.4,52,0,6,7,0,52,23,1.2,13.0,0,4,6.6,83.8,96.4,7.3,6.1,0,4,10.8,70.4,0,28,11.4,4,3,124.9,31,240,78.4,249,13,27,37,3,277,131,1.2,8.9
Rashard Lawrence,44515,DI,ARZ,9,1,0,1,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,41,0,0,0,0,0,0,,,0,0,,,2.1,,,0,0,,73.4,0,,0.0,0,0,0.0,0,1,100.0,48,1,1,0,0,0,0,0.0,
Brian Burns,44522,ED,CAR,15,91,0,5,0,,,4.4,,,0,0,,63.3,0,,0.0,0,0,0.0,0,5,5.5,113,3,2,0,0,0,0,0.0,,0,0,0.8,94.1,23.1,4.8,4.5,0,0,0.0,53.0,0,21,20.0,3,0,94.9,16,80,87.9,346,9,12,17,0,115,105,1.5,7.2
Ross Blacklock,44526,DI,HST,15,1,0,13,0,,,2.4,,,0,0,,59.9,0,,,0,0,0.0,0,1,100.0,42,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,61.7,0,,0.0,0,0,0.0,0,0,0.0,74,1,1,0,0,0,0,,
D.J. Wonnum,44550,ED,MIN,14,9,0,18,0,,,4.5,,,0,0,,60.8,0,,,0,0,0.0,0,3,33.3,67,1,0,0,0,0,0,0.0,,0,0,,,3.1,,,0,0,,63.5,0,,66.7,2,0,0.0,0,6,66.7,193,3,1,0,0,0,0,0.0,
Raekwon Davis,44582,DI,MIA,16,5,0,17,0,,,3.8,,,0,0,,57.3,0,,,0,0,0.0,0,5,100.0,130,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,123,0,0,0,0,0,0,,
Joe Jackson,44615,ED,CLV,3,2,0,8,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,1,3.0,100.0,4.8,2.0,2.0,0,0,0.0,64.3,0,5,0.0,0,0,87.5,1,2,100.0,42,1,2,1,0,5,2,2.5,5.0
Francis Bernard,44722,LB,DAL,2,3,0,9,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.6,0,,,0,0,0.0,0,3,100.0,3,0,0,0,0,0,0,0.0,
Leon Jacobs,44980,LB,JAX,3,9,0,15,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,7,0,0,0,0,0,0,0.0,,0,0,3.5,100.0,100.0,3.5,3.5,0,0,0.0,67.0,0,7,0.0,0,0,93.8,2,8,88.9,8,1,2,2,0,13,6,1.9,6.5
