player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Mitch Wishnowsky,44663,P,SF,20,70,70,4.29,39.89,43.79,8.5,0,0,17,21,28,73.3,38,74,8,0,25.7,153,18,70,300.2,2792,6,3065
Braden Mann,44664,P,NYJ,17,82,82,4.35,40.98,47.35,11.3,1,0,11,16,22,76.8,29,72,15,0,39.0,363,32,83,356.41,3360,8,3883
Drue Chrisman,44787,P,CIN,10,37,37,3.85,41.68,47.43,9.1,0,0,2,8,7,56.9,16,65,6,0,51.4,173,19,37,142.53,1542,2,1755
Blake Gillikin,45045,P,NO,17,77,77,4.25,41.55,46.38,8.9,0,0,13,25,20,69.7,35,68,6,0,33.8,232,26,77,327.53,3199,7,3571
Ryan Stonehouse,52045,P,TEN,17,90,90,4.31,44.03,53.09,10.8,0,0,10,11,31,67.5,32,74,1,0,65.6,635,59,90,387.7,3963,9,4778
Jordan Stout,57649,P,BLT,18,60,60,4.33,41.02,45.98,6.6,0,0,5,21,3,60.1,29,69,3,0,40.0,158,24,60,259.58,2461,7,2759
Trenton Gill,60295,P,CHI,17,66,66,4.2,40.86,46.03,9.1,1,0,8,20,6,61.0,20,63,4,0,47.0,281,31,67,277.07,2697,3,3038
Pressley Harvin III,62973,P,PIT,17,69,69,4.38,41.09,44.52,5.7,0,0,11,22,25,67.5,21,69,7,0,34.8,137,24,69,302.5,2835,5,3072
Jamie Gillan,63303,P,NYG,19,81,81,4.44,40.9,46.54,9.6,1,0,6,30,21,69.8,31,69,7,0,35.8,277,29,82,359.33,3313,9,3770
Ryan Wright,77591,P,MIN,18,76,76,4.4,43.29,47.63,7.8,1,0,5,23,18,71.0,35,73,7,0,52.6,310,40,77,334.2,3290,1,3620
Arryn Siposs,82019,P,PHI,14,46,46,4.22,39.26,45.74,10.8,1,0,7,11,24,54.2,19,59,3,0,47.8,238,22,47,193.93,1806,3,2104
Jake Camarda,82636,P,TB,18,84,84,4.46,41.7,48.86,11.2,0,0,7,22,30,72.5,27,74,10,0,40.5,381,34,84,374.56,3503,11,4104
