player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,18,185,0,18,12.5,3,61.8,53.3,8,15,2.9,1,-0.05,23,0,71.4,87.0,1,47,0.0,0,229,40.5,34,91.3,209,106.8,55,26.3,2,642,238,7.0,18.9,3.07,0,10.3,6,79.8,55.0,11,20,4.6,4,0.05,52,0,85.0,90.2,4,64,0.0,0,412,52.3,83,95.4,393,103.0,104,26.5,3,1066,356,4.3,12.8,2.71
Travis Kelce,7844,TE,KC,20,182,0,16,7.6,13,74.6,50.0,6,12,4.1,2,0.36,34,0,78.8,91.0,1,39,3.3,9,276,50.6,47,87.3,241,130.8,63,26.1,10,508,280,6.0,10.8,2.11,0,7.4,9,77.1,44.4,4,9,2.6,2,0.13,48,2,88.1,90.7,2,52,4.1,16,391,53.4,74,92.6,362,103.2,96,26.5,1,970,442,6.0,13.1,2.68
Tyreek Hill,10799,WR,MIA,18,181,0,17,12.1,3,63.3,37.5,3,8,0.0,0,-0.03,12,1,83.2,84.4,2,26,0.0,0,99,40.9,19,93.9,93,78.9,30,32.3,2,213,54,2.8,11.2,2.29,0,12.7,5,72.2,57.1,8,14,5.2,5,0.06,58,0,78.9,91.7,5,64,0.0,0,384,45.6,91,95.1,365,102.6,126,34.5,5,1321,374,4.1,14.5,3.62
Davante Adams,8688,WR,LV,17,168,0,23,12.0,5,51.5,37.5,3,8,5.6,1,-0.07,13,0,68.7,82.8,0,58,0.0,0,134,43.5,17,92.5,124,115.9,33,26.6,4,248,101,5.9,14.6,2.0,0,12.7,7,61.7,45.0,9,20,7.0,5,-0.02,39,1,67.8,89.4,6,60,0.3,1,362,44.1,66,95.9,347,82.5,107,30.8,5,946,328,5.0,14.3,2.73
CeeDee Lamb,61570,WR,DAL,19,167,0,9,11.2,3,72.7,58.3,7,12,3.0,1,0.12,23,0,79.9,90.8,1,34,0.0,0,169,48.7,32,92.3,156,119.3,44,28.2,3,458,140,4.4,14.3,2.94,0,9.9,9,72.8,42.9,6,14,7.4,6,-0.04,43,0,65.2,79.1,2,46,0.0,0,406,47.3,75,95.8,389,108.6,103,26.5,5,934,366,4.9,12.5,2.4
Stefon Diggs,9579,WR,BUF,18,166,0,4,14.2,5,59.7,38.5,5,13,11.9,5,0.04,29,0,47.3,84.8,0,52,0.0,0,219,46.5,37,91.3,200,108.9,62,31.0,4,529,205,5.5,14.3,2.65,0,11.1,9,79.3,70.0,7,10,1.5,1,0.24,38,0,90.2,83.0,0,49,0.0,0,371,55.1,65,96.0,356,119.2,82,23.0,3,794,193,3.0,12.2,2.23
A.J. Brown,48327,WR,PHI,20,158,0,24,13.7,10,62.3,47.1,8,17,9.5,4,0.31,28,1,49.9,90.1,0,68,0.0,0,223,49.3,38,91.9,205,131.9,61,29.8,6,661,242,6.4,17.4,3.22,0,12.6,6,60.8,41.7,5,12,5.9,3,-0.06,28,1,72.4,71.8,3,78,0.0,0,408,42.0,48,96.3,393,86.8,79,20.1,3,706,283,5.9,14.7,1.8
Ja'Marr Chase,84270,WR,CIN,15,155,0,7,10.9,6,69.0,44.4,4,9,6.5,2,-0.04,24,0,66.6,90.7,2,60,0.0,0,152,47.8,29,88.2,134,123.4,42,31.3,5,444,197,6.8,15.3,3.31,0,10.1,11,65.9,14.3,2,14,6.7,4,0.06,33,2,69.8,73.5,1,28,0.0,0,398,51.8,56,95.2,379,93.6,85,22.4,3,606,248,4.4,10.8,1.6
DeVonta Smith,61100,WR,PHI,20,154,0,24,10.8,4,66.7,50.0,9,18,5.3,2,0.32,26,0,72.7,84.2,0,45,0.0,0,229,49.8,36,92.1,211,128.3,54,25.6,5,516,236,6.6,14.3,2.45,0,9.9,9,75.9,27.3,3,11,2.9,2,-0.03,33,0,85.3,76.4,0,45,0.0,0,431,43.0,66,96.1,414,104.7,87,21.0,1,742,237,3.6,11.2,1.79
D.K. Metcalf,47864,WR,SEA,18,152,0,29,14.2,2,58.1,36.8,7,19,3.8,1,0.09,15,0,75.1,78.4,1,54,0.0,0,143,45.0,25,90.2,129,103.7,43,33.3,3,409,109,4.4,16.4,3.17,0,11.0,2,68.6,68.2,15,22,6.3,4,-0.01,30,2,69.9,72.5,2,26,0.0,0,393,52.0,59,95.9,377,87.3,86,22.8,2,619,153,2.6,10.5,1.64
