player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Landon Collins,9466,S,NYG,6,24,,12.0,21,1,0.0,0,2,0,0,0,0.0
Martin Emerson Jr.,97872,CB,CLV,7,9,,9.0,8,0,39.6,0,1,0,0,0,0.0
Mike Jackson,50437,CB,SEA,8,13,,13.0,29,0,39.6,0,1,0,0,0,0.0
Dawuane Smoot,11823,ED,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Damontae Kazee,11904,S,PIT,7,17,,17.0,25,1,0.0,0,1,0,0,0,0.0
Neville Hewitt,9836,LB,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Arnold Ebiketie,56862,ED,ATL,2,1,,1.0,2,0,39.6,0,1,0,0,0,0.0
Micah Parsons,81360,ED,DAL,2,4,,4.0,9,0,39.6,0,1,0,0,0,0.0
Terrance Mitchell,8888,CB,TEN,8,18,,18.0,31,0,39.6,0,1,0,0,0,0.0
Anthony Walker Jr.,11916,LB,CLV,3,5,,5.0,8,0,39.6,0,1,0,0,0,0.0
Alontae Taylor,83469,CB,NO,6,9,,3.0,20,0,39.6,0,3,0,0,0,0.0
J.C. Jackson,42781,CB,LAC,1,1,,1.0,27,0,39.6,0,1,0,0,0,0.0
Christian Matthew,156140,CB,ARZ,2,4,,4.0,1,0,39.6,0,1,0,0,0,0.0
Stephon Gilmore,7016,CB,IND,4,6,,6.0,14,0,39.6,0,1,0,0,0,0.0
Dallis Flowers,156091,CB,IND,2,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Tracy Walker III,51266,S,DET,3,22,,22.0,11,0,39.6,0,1,0,0,0,0.0
Garret Wallow,60761,LB,HST,5,17,,8.5,13,0,39.6,0,2,0,0,0,0.0
Jaire Alexander,49350,CB,GB,7,17,,5.7,12,0,39.6,0,3,0,0,0,0.0
Isaiah Pola-Mao,60781,S,LV,5,6,,6.0,23,0,39.6,0,1,0,0,0,0.0
Montaric Brown,55797,CB,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Caleb Farley,61803,CB,TEN,2,2,,2.0,31,0,39.6,0,1,0,0,0,0.0
James Bradberry,10696,CB,PHI,2,6,,6.0,24,0,39.6,0,1,0,0,0,0.0
Sauce Gardner,100903,CB,NYJ,4,7,,7.0,22,0,39.6,0,1,0,0,0,0.0
Michael Davis,12040,CB,LAC,6,10,,10.0,27,0,39.6,0,1,0,0,0,0.0
Andre Chachere,51194,CB,PHI,1,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Tae Hayes,35173,CB,NE,2,4,,4.0,19,0,39.6,0,1,0,0,0,0.0
Duke Shelley,49569,CB,MIN,1,1,,1.0,18,0,39.6,0,1,0,0,0,0.0
Marcus Jones,55717,CB,NE,8,46,46.0,23.0,19,0,79.2,1,2,0,17,15,0.37
Juston Burris,10752,S,CAR,5,41,41.0,13.7,5,0,81.9,1,3,1,4,0,0.1
Eddie Jackson,11867,S,CHI,11,39,39.0,13.0,6,0,42.4,1,3,0,4,0,0.1
Alex Anzalone,11831,LB,DET,15,38,38.0,38.0,11,0,118.8,1,1,0,43,43,1.13
Elijah Molden,56290,CB,TEN,2,35,35.0,11.7,31,0,42.4,1,3,0,9,7,0.26
Marcus Maye,11794,S,NO,9,35,35.0,17.5,20,0,56.3,1,2,0,4,5,0.11
CJ Henderson,55593,CB,CAR,13,30,30.0,15.0,5,0,70.8,1,2,0,13,7,0.43
David Long Jr.,27377,CB,LA,8,27,27.0,13.5,26,0,77.1,1,2,0,16,22,0.59
Kristian Fulton,42894,CB,TEN,8,25,25.0,12.5,31,0,56.3,1,2,0,4,1,0.16
Jaycee Horn,83375,CB,CAR,12,96,24.0,16.0,5,0,76.4,4,6,0,27,22,0.28
Quay Walker,82547,LB,GB,13,24,24.0,8.0,12,0,60.4,1,3,0,22,16,0.92
Quandre Diggs,9633,S,SEA,13,23,23.0,23.0,29,0,79.2,1,1,0,3,0,0.13
Demario Davis,7079,LB,NO,15,42,21.0,7.0,20,0,44.4,2,6,0,21,9,0.5
Rashaan Evans,50213,LB,ATL,9,20,20.0,20.0,2,0,118.8,1,1,0,13,13,0.65
Nasir Adderley,33880,S,LAC,15,99,19.8,9.9,27,0,76.7,5,10,0,79,24,0.8
Kevin Byard,10698,S,TEN,17,137,19.6,12.5,31,0,132.4,7,11,1,124,34,0.91
Cam Taylor-Britt,83326,CB,CIN,11,19,19.0,6.3,7,0,43.8,1,3,0,10,-1,0.53
