player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Calais Campbell,4364,DI,BLT,15,17,0,3,0,,,6.7,,,0,1,,63.4,0,,100.0,1,0,0.0,0,8,47.1,120,1,0,0,0,0,0,0.0,,0,0,,,2.8,,,0,0,,52.8,0,,100.0,3,0,0.0,0,6,35.3,211,4,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,20,12,0,24,0,,,1.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,8.3,84,2,0,0,0,0,0,0.0,,0,2,-1.5,100.0,4.9,5.0,5.0,0,0,0.0,87.9,0,2,28.6,2,0,79.2,2,10,83.3,206,12,3,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,15,16,0,3,0,1.0,100.0,11.8,7.0,7.0,0,0,0.0,53.9,0,9,50.0,2,0,104.2,1,9,56.3,76,0,2,1,0,9,8,1.3,9.0,0,0,1.3,100.0,3.4,2.3,2.3,0,0,0.0,64.5,0,8,50.0,1,0,91.7,3,7,43.8,206,5,1,3,0,18,14,2.6,6.0
Kareem Jackson,5545,S,DEN,17,706,0,10,0,4.5,80.0,99.3,16.3,13.0,0,3,30.0,67.4,0,9,7.7,1,2,122.9,8,140,19.8,141,5,12,10,3,40,24,0.3,5.0,0,2,8.6,69.2,99.8,21.4,14.8,1,0,0.0,53.0,0,23,21.2,7,0,101.6,18,407,57.6,408,4,24,26,1,181,58,0.5,10.1
Devin McCourty,5552,S,NE,17,680,0,19,2,10.7,71.4,99.6,43.8,31.3,1,1,14.3,66.8,2,26,0.0,0,1,93.8,5,232,34.1,233,2,14,7,2,54,11,0.2,10.8,0,1,19.0,58.3,99.7,52.3,30.5,2,2,16.7,60.4,2,54,6.9,2,2,91.0,7,380,55.9,381,3,26,12,1,177,33,0.5,25.3
Jerry Hughes,5556,ED,HST,17,3,0,13,0,,,2.4,,,0,0,,60.2,0,,66.7,2,0,0.0,0,2,66.7,82,3,1,0,0,0,0,0.0,,0,0,,,0.4,,,0,0,,68.2,1,,75.0,3,0,0.0,0,1,33.3,253,7,1,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,20,21,0,16,1,,,0.7,,,0,0,,64.2,0,,33.3,1,0,0.0,0,1,4.8,140,3,1,0,0,0,0,0.0,,0,0,8.5,100.0,7.3,9.0,9.0,0,0,0.0,53.6,0,9,33.3,1,0,102.1,2,18,85.7,245,2,2,2,0,17,0,0.9,8.5
Corey Peters,5607,DI,JAX,14,1,0,15,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,38,1,0,0,0,0,0,,,0,1,,,1.0,,,0,0,,63.5,0,,0.0,0,0,0.0,0,1,100.0,100,0,2,0,0,0,0,0.0,
Al Woods,5646,DI,SEA,15,2,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,15,0,0,0,0,0,0,,,0,0,,,1.0,,,0,0,,59.6,0,,0.0,0,0,0.0,0,1,50.0,96,3,2,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,11,4,0,4,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,82,4,0,0,0,0,0,,,0,0,,,2.2,,,0,0,,62.4,0,,25.0,1,0,0.0,0,4,100.0,180,7,3,0,0,0,0,0.0,
