player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,20,0,3,3,100.0,13,9,69.2,28,74.5,0,0,,56,55,98.2,0,8,8,100.0,40,35,87.5,16,15,93.8
Matt Prater,3471,K,ARZ,13,0,6,5,83.3,8,6,75.0,1,74.0,0,0,,18,17,94.4,0,10,10,100.0,25,22,88.0,1,1,100.0
Nick Folk,3794,K,NE,17,0,5,4,80.0,14,10,71.4,19,59.0,1,1,100.0,35,32,91.4,0,8,8,100.0,37,32,86.5,9,9,100.0
Mason Crosby,3809,K,GB,17,0,4,1,25.0,7,6,85.7,12,72.4,0,0,,39,37,94.9,0,8,8,100.0,29,25,86.2,10,10,100.0
Ryan Succop,5180,K,TB,17,0,7,2,28.6,12,12,100.0,30,69.3,0,0,,25,24,96.0,0,8,7,87.5,38,31,81.6,11,10,90.9
Graham Gano,5443,K,NYG,19,0,9,8,88.9,11,10,90.9,21,90.4,0,0,,39,37,94.9,0,10,9,90.0,33,30,90.9,3,3,100.0
Randy Bullock,7154,K,TEN,15,0,2,1,50.0,8,6,75.0,31,67.3,0,0,,28,28,100.0,0,5,5,100.0,20,17,85.0,5,5,100.0
Greg Zuerlein,7163,K,NYJ,17,0,11,6,54.5,11,9,81.8,22,71.3,0,0,,29,28,96.6,0,10,10,100.0,37,30,81.1,5,5,100.0
Justin Tucker,7604,K,BLT,18,0,14,9,64.3,5,4,80.0,3,90.4,0,0,,34,33,97.1,0,11,11,100.0,44,38,86.4,14,14,100.0
Dustin Hopkins,7958,K,LAC,5,0,0,0,,2,1,50.0,27,70.2,0,0,,12,12,100.0,0,6,6,100.0,10,9,90.0,2,2,100.0
Brandon McManus,8437,K,DEN,17,0,13,8,61.5,10,10,100.0,10,64.7,0,0,,27,25,92.6,0,6,4,66.7,36,28,77.8,7,6,85.7
Brett Maher,8585,K,DAL,19,1,11,9,81.8,8,7,87.5,9,71.5,0,0,,59,51,86.4,1,5,5,100.0,34,31,91.2,10,10,100.0
Cairo Santos,8932,K,CHI,16,0,5,4,80.0,7,6,85.7,6,48.5,0,0,,32,27,84.4,0,7,7,100.0,23,21,91.3,4,4,100.0
Chris Boswell,8990,K,PIT,12,0,9,7,77.8,10,5,50.0,25,66.1,0,0,,18,18,100.0,0,5,4,80.0,28,20,71.4,4,4,100.0
Josh Lambo,10133,K,TEN,1,0,0,0,,0,0,,31,47.2,0,0,,4,3,75.0,0,0,0,,0,0,,0,0,
Jason Myers,10207,K,SEA,18,0,7,7,100.0,6,4,66.7,29,81.0,0,0,,44,43,97.7,0,16,15,93.8,38,35,92.1,9,9,100.0
Wil Lutz,11096,K,NO,17,0,6,4,66.7,8,4,50.0,20,70.4,0,0,,33,33,100.0,0,11,9,81.8,31,23,74.2,6,6,100.0
Ka'imi Fairbairn,11161,K,HST,17,0,6,6,100.0,10,9,90.0,13,84.3,0,0,,24,24,100.0,0,8,7,87.5,31,29,93.5,7,7,100.0
Taylor Bertolet,11182,K,LAC,2,0,0,0,,0,0,,27,66.6,0,0,,6,6,100.0,0,0,0,,3,3,100.0,3,3,100.0
Jake Elliott,11908,K,PHI,19,0,6,5,83.3,2,1,50.0,24,76.5,0,0,,65,63,96.9,0,13,12,92.3,27,24,88.9,6,6,100.0
Harrison Butker,11988,K,KC,16,0,9,5,55.6,8,6,75.0,16,61.8,0,0,,51,48,94.1,0,5,4,80.0,31,24,77.4,9,9,100.0
Younghoe Koo,12042,K,ATL,17,0,11,7,63.6,10,9,90.0,2,81.6,0,0,,35,33,94.3,0,7,7,100.0,37,32,86.5,9,9,100.0
Tristan Vizcaino,13076,K,NE,1,0,0,0,,1,1,100.0,19,67.9,0,0,,3,3,100.0,0,1,1,100.0,2,2,100.0,0,0,
Austin Seibert,13701,K,DET,3,0,1,0,0.0,3,2,66.7,11,58.2,0,0,,12,12,100.0,0,1,1,100.0,5,3,60.0,0,0,
Greg Joseph,22842,K,MIN,18,0,10,4,40.0,8,7,87.5,18,61.6,0,0,,49,43,87.8,0,6,6,100.0,34,27,79.4,10,10,100.0
Daniel Carlson,28121,K,LV,16,0,13,11,84.6,4,3,75.0,23,90.8,0,0,,36,35,97.2,0,11,11,100.0,37,34,91.9,9,9,100.0
Jason Sanders,29578,K,MIA,18,0,6,2,33.3,15,14,93.3,17,63.1,0,0,,46,43,93.5,0,8,8,100.0,35,29,82.9,6,5,83.3
Tyler Bass,33010,K,BUF,18,0,3,2,66.7,11,10,90.9,4,71.6,0,0,,55,53,96.4,0,15,13,86.7,34,30,88.2,5,5,100.0
Chase McLaughlin,33285,K,IND,15,0,12,9,75.0,11,9,81.8,14,81.1,0,0,,21,21,100.0,0,6,5,83.3,36,30,83.3,7,7,100.0
Dominik Eberle,33789,K,DET,1,0,0,0,,1,1,100.0,11,36.2,0,0,,4,2,50.0,0,0,0,,1,1,100.0,0,0,
Rodrigo Blankenship,34038,K,ARZ,2,0,1,1,100.0,2,1,50.0,1,42.6,0,0,,5,4,80.0,0,0,0,,5,4,80.0,2,2,100.0
Matt Ammendola,34039,K,ARZ,4,0,0,0,,1,0,0.0,1,28.4,1,1,100.0,7,5,71.4,0,2,1,50.0,7,5,71.4,3,3,100.0
Joey Slye,39235,K,WAS,16,0,6,4,66.7,10,8,80.0,32,53.7,1,1,100.0,28,24,85.7,0,5,4,80.0,30,25,83.3,8,8,100.0
Michael Badgley,39417,K,DET,13,0,3,2,66.7,11,9,81.8,11,64.7,0,0,,33,33,100.0,0,7,7,100.0,28,24,85.7,7,6,85.7
Matthew Wright,39675,K,KC,6,0,2,2,100.0,8,6,75.0,16,63.6,0,0,,15,15,100.0,0,7,6,85.7,18,15,83.3,1,1,100.0
Eddy Pineiro,44140,K,CAR,17,0,2,2,100.0,14,13,92.9,5,75.0,0,0,,32,30,93.8,0,17,16,94.1,35,33,94.3,2,2,100.0
Mitch Wishnowsky,44663,P,SF,1,0,0,0,,0,0,,28,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,
