player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Rashod Bateman,84296,WR,BLT,1,3,0,3,,0,,,0,0,,0,0.11,0,0,,53.6,0,0,0.0,0,11,54.5,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,0,12.0,0,100.0,100.0,2,2,0.0,0,0.56,2,0,70.5,76.2,0,21,0.0,0,9,66.7,3,100.0,9,118.8,3,33.3,0,39,3,1.0,13.0,4.33
Latavius Murray,7962,HB,BUF,1,3,0,4,3.0,0,100.0,,0,0,0.0,0,1.25,1,0,64.7,78.2,0,15,25.0,1,4,100.0,1,75.0,3,118.8,1,33.3,0,15,12,12.0,15.0,5.0,0,0.0,0,100.0,,0,0,0.0,0,-0.44,0,0,68.3,66.3,0,6,33.3,2,6,16.7,2,66.7,4,91.7,2,50.0,0,12,12,6.0,6.0,3.0
Isaiah Likely,83955,TE,BLT,1,3,0,3,11.0,0,100.0,100.0,1,1,0.0,0,0.4,2,0,68.3,85.6,0,19,0.0,0,12,66.7,2,100.0,12,158.3,2,16.7,1,34,14,7.0,17.0,2.83,0,19.0,0,0.0,,0,0,,0,0.15,0,0,,50.7,0,0,0.0,0,11,45.5,0,100.0,11,39.6,1,9.1,0,0,0,,,0.0
Trent Sherfield,48021,WR,BUF,1,3,0,4,4.0,0,100.0,,0,0,0.0,0,0.9,1,0,64.7,66.0,0,7,0.0,0,8,100.0,1,100.0,8,95.8,1,12.5,0,7,3,3.0,7.0,0.88,0,38.0,0,0.0,0.0,0,1,,0,0.05,0,0,,47.0,0,0,0.0,0,19,42.1,0,100.0,19,39.6,2,10.5,0,0,0,,,0.0
Robert Woods,7822,WR,HST,1,3,0,13,,0,,,0,0,,0,-1.11,0,0,,55.9,0,0,0.0,0,7,16.7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0,0,7.5,0,0.0,,0,0,,0,-0.18,0,0,,53.1,0,0,0.0,0,15,28.6,0,93.3,14,39.6,2,14.3,0,0,0,,,0.0
Josh Reynolds,11872,WR,DET,1,3,0,11,4.0,0,0.0,0.0,0,1,,0,-0.03,0,0,,52.3,0,0,0.0,0,14,38.5,0,92.9,13,39.6,1,7.7,0,0,0,,,0.0,0,12.0,0,100.0,,0,0,0.0,0,0.28,1,0,68.3,70.4,0,18,0.0,0,23,63.6,1,95.7,22,118.8,1,4.5,0,18,6,6.0,18.0,0.82
Noah Gray,60878,TE,KC,1,3,0,16,,0,,,0,0,,0,-1.3,0,0,,56.0,0,0,0.0,0,2,0.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,6.0,0,100.0,,0,0,0.0,0,0.66,1,0,68.3,70.7,0,12,0.0,0,9,55.6,2,100.0,9,91.7,2,22.2,0,12,0,0.0,6.0,1.33
Ray-Ray McCloud III,47895,WR,SF,1,2,0,28,22.0,0,0.0,,0,0,,0,0.83,0,0,,56.3,0,0,0.0,0,4,50.0,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,7.0,0,100.0,100.0,1,1,0.0,0,-0.03,0,0,64.7,56.8,0,7,0.0,0,8,50.0,1,100.0,8,95.8,1,12.5,0,7,0,0.0,7.0,0.88
Deebo Samuel,48274,WR,SF,1,2,0,28,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,-4.0,0,100.0,,0,0,0.0,0,0.48,1,0,64.7,71.1,0,15,0.0,0,5,60.0,1,100.0,5,118.8,1,20.0,0,15,19,19.0,15.0,3.0
Dontayvion Wicks,99711,WR,GB,1,2,0,12,15.0,0,0.0,,0,0,,0,0.06,0,0,,57.0,0,0,0.0,0,3,50.0,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0,0,3.0,0,0.0,0.0,0,1,,0,0.47,0,0,,53.4,0,0,0.0,0,10,40.0,0,100.0,10,39.6,1,10.0,0,0,0,,,0.0
