player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Harrison Bryant,26394,TE,CLV,1,2,0,8,0,,0,,,0,0,,0,-0.53,0,0,,53.2,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.55,0,0,,54.0,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Laviska Shenault Jr.,61220,WR,CAR,1,2,0,5,0,-4.5,1,100.0,,0,0,0.0,0,0.46,1,0,84.5,97.7,0,14,0.0,0,3,33.3,2,100.0,3,100.0,2,66.7,0,16,25,12.5,8.0,5.33,,0,,,0,0,,0,0.74,0,0,72.1,81.4,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Michael Gallup,26075,WR,DAL,1,2,0,9,0,,0,,,0,0,,0,1.41,0,0,,50.3,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.56,0,0,64.7,54.7,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Donovan Peoples-Jones,61439,WR,CLV,1,2,0,8,0,,0,,,0,0,,0,0.43,0,0,,53.6,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.13,0,0,68.3,58.0,0,0,0.0,0,8,37.5,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0
Latavius Murray,7962,HB,BUF,1,2,0,4,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,2.0,0,100.0,,0,0,0.0,0,0.94,1,0,70.5,76.2,0,9,0.0,0,5,80.0,1,100.0,5,104.2,1,20.0,0,9,7,7.0,9.0,1.8
Quez Watkins,61664,WR,PHI,1,2,0,24,0,,0,,,0,0,,0,0.0,0,0,,53.2,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,,1.5,0,100.0,,0,0,0.0,0,-0.03,1,0,70.5,57.1,0,9,0.0,0,28,45.8,2,85.7,24,102.1,2,8.3,0,17,14,7.0,8.5,0.71
Sean Tucker,123056,HB,TB,1,2,0,30,0,-3.0,0,100.0,,0,0,0.0,0,-0.43,0,0,78.7,80.1,0,3,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,3,6,6.0,3.0,3.0,,0,,,0,0,,0,0.0,0,0,64.7,63.2,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Trey McBride,75916,TE,ARZ,1,2,0,1,0,,0,,,0,0,,0,-1.3,0,0,,52.8,0,0,50.0,1,2,0.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.15,0,0,,52.0,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Mo Alie-Cox,12078,TE,IND,1,2,0,14,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.6,0,0,,49.4,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Jamaal Williams,11889,HB,NO,1,2,0,20,0,,0,,,0,0,,0,0.1,0,0,,49.9,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,64.7,52.4,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
