player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Amon-Ra St. Brown,84470,WR,DET,1,13,0,11,0,-3.0,0,100.0,,0,0,0.0,0,0.08,1,0,78.7,92.1,0,15,0.0,0,3,33.3,1,100.0,3,118.8,1,33.3,0,15,18,18.0,15.0,5.0,6.3,0,71.4,100.0,1,1,0.0,0,0.3,3,0,35.3,67.8,0,15,0.0,0,29,53.6,5,96.6,28,126.2,7,25.0,1,42,22,4.4,8.4,1.5
Mike Evans,8642,WR,TB,1,12,0,30,0,,0,,,0,0,,0,0.42,0,0,,49.1,0,0,0.0,0,5,25.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,9.0,0,100.0,100.0,1,1,0.0,0,0.4,1,0,40.3,82.6,0,18,0.0,0,12,55.6,2,75.0,9,114.6,2,22.2,0,23,5,2.5,11.5,2.56
Christian McCaffrey,11763,HB,SF,1,12,0,28,0,-5.7,1,66.7,,0,0,0.0,0,0.05,0,0,84.5,75.8,0,4,0.0,0,5,60.0,2,100.0,5,70.1,3,60.0,0,4,16,8.0,2.0,0.8,-6.0,0,100.0,,0,0,0.0,0,-0.04,0,0,77.3,61.8,0,4,0.0,0,4,75.0,1,100.0,4,83.3,1,25.0,0,4,10,10.0,4.0,1.0
Sam LaPorta,101690,TE,DET,1,11,0,11,0,-1.0,0,100.0,,0,0,0.0,0,0.27,1,0,78.7,94.7,0,2,0.0,0,2,50.0,1,100.0,2,79.2,1,50.0,0,2,3,3.0,2.0,1.0,5.0,1,100.0,,0,0,0.0,0,0.94,1,0,80.6,83.0,0,12,0.0,0,7,66.7,1,85.7,6,116.7,1,16.7,0,12,7,7.0,12.0,2.0
Nico Collins,61441,WR,HST,1,10,0,13,0,-3.0,0,100.0,,0,0,0.0,0,-0.42,1,0,84.5,88.1,0,10,0.0,0,4,25.0,2,100.0,4,93.8,2,50.0,0,13,19,9.5,6.5,3.25,0.8,1,75.0,0.0,0,1,0.0,0,-0.01,2,0,76.5,77.4,0,10,0.0,0,12,50.0,3,83.3,10,88.5,4,40.0,0,23,32,10.7,7.7,2.3
Cade Otton,61071,TE,TB,1,8,0,30,0,,0,,,0,0,,0,0.42,0,0,,43.7,0,0,0.0,0,5,25.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,12.0,0,0.0,,0,0,,0,0.07,0,0,72.1,60.2,1,0,5.3,1,19,47.4,0,94.7,18,0.0,1,5.6,0,0,0,,,0.0
Khalil Shakir,84140,WR,BUF,1,8,0,4,0,-2.5,0,100.0,,0,0,0.0,0,0.24,1,0,84.5,51.1,0,6,0.0,0,9,77.8,2,100.0,9,89.6,2,22.2,0,11,16,8.0,5.5,1.22,0.0,0,83.3,100.0,1,1,0.0,0,0.11,3,0,82.2,78.8,0,10,0.0,0,22,45.5,5,100.0,22,86.1,6,27.3,0,28,34,6.8,5.6,1.27
Chris Godwin,11839,WR,TB,1,7,0,30,0,0.0,0,100.0,,0,0,0.0,0,0.42,0,0,78.7,54.0,0,0,0.0,0,5,25.0,1,80.0,4,79.2,1,25.0,0,0,0,0.0,0.0,0.0,5.5,0,100.0,,0,0,0.0,0,-0.16,2,0,78.0,71.4,0,12,0.0,0,22,45.0,2,90.9,20,114.6,2,10.0,0,23,12,6.0,11.5,1.15
Dalton Schultz,47304,TE,HST,1,7,0,13,0,,0,,,0,0,,0,-0.2,0,0,,46.5,0,0,25.0,1,4,25.0,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.69,0,0,49.2,66.8,0,0,0.0,0,7,0.0,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Stefon Diggs,9579,WR,BUF,1,7,0,4,0,-4.5,0,100.0,,0,0,0.0,0,0.18,0,1,84.5,26.4,0,3,0.0,0,9,77.8,2,100.0,9,79.2,2,22.2,0,6,15,7.5,3.0,0.67,1.2,0,60.0,,0,0,0.0,0,0.1,1,1,54.5,40.8,0,15,0.0,0,17,47.1,3,100.0,17,69.6,5,29.4,0,21,25,8.3,7.0,1.24
