player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Alvin Kamara,11822,HB,NO,1,14,0,20,0,-3.8,0,100.0,,0,0,0.0,0,-0.02,1,0,90.2,79.5,0,10,0.0,0,7,42.9,4,100.0,7,79.2,4,57.1,0,2,17,4.3,0.5,0.29,-2.3,0,100.0,,0,0,0.0,0,-0.67,0,0,85.7,74.0,0,4,0.0,0,4,25.0,3,100.0,4,79.2,3,75.0,0,-2,5,1.7,-0.7,-0.5
Davante Adams,8688,WR,LV,1,13,0,23,0,,0,,,0,0,,0,0.41,0,0,,49.5,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.17,0,0,80.6,69.4,0,0,0.0,0,4,50.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
Romeo Doubs,84329,WR,GB,1,13,0,12,0,,0,,,0,0,,0,-0.29,0,0,,53.6,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,11.3,0,66.7,100.0,1,1,0.0,0,0.21,2,0,80.6,75.2,0,15,0.0,0,8,50.0,2,100.0,8,85.4,3,37.5,0,20,0,0.0,10.0,2.5
Garrett Wilson,97405,WR,NYJ,1,13,0,22,0,-1.0,1,100.0,,0,0,0.0,0,0.03,0,0,84.5,81.2,0,4,0.0,0,6,20.0,2,83.3,5,83.3,2,40.0,0,8,10,5.0,4.0,1.6,6.3,1,87.5,,0,0,0.0,0,0.33,2,0,81.1,76.9,0,10,0.0,0,17,41.2,7,100.0,17,87.5,8,47.1,0,40,9,1.3,5.7,2.35
A.J. Brown,48327,WR,PHI,1,13,0,24,0,,0,,,0,0,,0,-0.44,0,0,,49.4,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,30.0,1,100.0,,0,0,0.0,0,0.75,1,0,80.6,83.7,0,59,0.0,0,8,57.1,1,87.5,7,158.3,1,14.3,1,59,29,29.0,59.0,8.43
Christian Kirk,47546,WR,JAX,1,11,0,15,0,-2.0,0,100.0,,0,0,0.0,0,-0.19,0,0,84.5,54.7,0,6,0.0,0,6,50.0,2,100.0,6,85.4,2,33.3,0,9,13,6.5,4.5,1.5,6.0,0,75.0,100.0,1,1,0.0,0,0.23,3,0,81.1,71.7,0,16,0.0,0,23,52.2,6,100.0,23,91.7,8,34.8,0,52,22,3.7,8.7,2.26
Chris Godwin,11839,WR,TB,1,11,0,30,0,-3.0,0,100.0,,0,0,0.0,0,-0.72,0,0,78.7,63.8,0,1,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,1,4,4.0,1.0,1.0,4.5,0,100.0,,0,0,0.0,0,-0.04,1,0,78.7,83.0,0,9,0.0,0,5,66.7,2,60.0,3,102.1,2,66.7,0,17,8,4.0,8.5,5.67
Terry McLaurin,48229,WR,WAS,1,10,0,32,0,-4.0,0,100.0,,0,0,0.0,0,-0.05,0,0,78.7,56.6,0,5,0.0,0,3,66.7,1,100.0,3,87.5,1,33.3,0,5,9,9.0,5.0,1.67,23.0,0,0.0,0.0,0,1,,0,-0.04,0,0,79.4,77.7,0,0,0.0,0,9,50.0,0,88.9,8,39.6,1,12.5,0,0,0,,,0.0
Puka Nacua,100632,WR,LA,1,10,0,26,0,0.0,0,100.0,,0,0,0.0,0,-0.04,0,0,78.7,56.7,0,7,0.0,0,3,33.3,1,100.0,3,95.8,1,33.3,0,7,7,7.0,7.0,2.33,,0,,,0,0,,0,-0.01,0,0,82.2,89.9,0,0,0.0,0,7,57.1,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Zach Ertz,7816,TE,ARZ,1,10,0,1,0,,0,,,0,0,,0,0.2,0,0,,46.2,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,7.7,0,71.4,,0,0,16.7,1,0.15,2,0,49.6,59.0,0,15,0.0,0,29,50.0,5,96.6,28,86.0,7,25.0,0,41,6,1.2,8.2,1.46
