player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
CeeDee Lamb,61570,WR,DAL,18,197,0,9,10.8,10,74.2,50.0,5,10,3.9,2,0.48,37,0,78.2,94.1,0,92,0.0,0,203,57.5,49,91.6,186,150.4,66,35.5,7,810,355,7.2,16.5,4.35,0,10.0,8,71.3,35.3,6,17,4.9,4,0.09,41,1,77.7,81.6,2,32,0.0,0,409,49.9,77,94.1,385,95.8,108,28.1,3,850,307,4.0,11.0,2.21
Amon-Ra St. Brown,84470,WR,DET,19,190,0,11,8.1,4,66.7,33.3,3,9,0.0,0,0.05,20,0,78.4,82.0,0,30,0.6,1,173,44.8,32,93.1,161,93.2,48,29.8,1,330,154,4.8,10.3,2.05,0,8.4,11,75.0,61.5,8,13,4.5,4,0.13,56,1,80.3,91.0,3,70,0.7,3,430,52.0,84,96.3,414,115.2,112,27.1,6,1180,511,6.1,14.0,2.85
Stefon Diggs,9579,WR,BUF,19,175,0,4,11.5,5,61.5,50.0,8,16,3.0,1,0.31,20,0,79.6,78.5,0,55,0.0,0,239,52.2,32,94.6,226,113.0,52,23.0,4,424,120,3.8,13.3,1.88,0,10.0,4,69.5,30.0,3,10,8.3,6,0.03,29,2,60.7,68.1,1,48,0.0,0,351,51.8,66,94.6,332,93.4,95,28.6,3,621,224,3.4,9.4,1.87
Tyreek Hill,10799,WR,MIA,17,175,0,17,13.3,2,65.7,20.0,1,5,8.0,2,0.26,19,1,52.0,85.5,0,78,0.0,0,117,51.4,23,91.5,107,145.3,35,32.7,4,423,174,7.6,18.4,3.95,0,11.4,20,74.8,25.0,3,12,7.2,6,0.2,50,0,67.1,93.3,3,64,0.0,0,298,51.4,77,98.0,292,120.1,103,35.3,7,1117,388,5.0,14.5,3.83
Davante Adams,8688,WR,LV,17,171,0,23,10.5,1,46.4,41.2,7,17,13.3,4,-0.11,17,0,53.8,76.0,1,33,0.0,0,163,42.1,26,93.3,152,87.9,56,36.8,6,253,75,2.9,9.7,1.66,0,11.8,6,67.0,22.2,2,9,7.8,5,-0.01,32,0,63.8,78.1,4,46,0.0,0,328,49.1,59,98.2,322,75.7,88,27.3,1,694,212,3.6,11.8,2.16
Garrett Wilson,97405,WR,NYJ,17,163,0,22,9.7,2,57.8,63.6,7,11,7.1,2,-0.37,16,0,44.2,69.5,3,30,0.0,0,191,33.9,26,92.7,177,53.8,45,25.4,1,258,59,2.3,9.9,1.46,0,10.1,10,61.5,15.0,3,20,5.1,3,-0.27,24,2,74.4,70.5,3,68,0.0,0,368,37.1,56,94.8,349,70.5,91,26.1,1,595,202,3.6,10.6,1.7
Puka Nacua,100632,WR,LA,18,163,0,26,8.6,6,61.4,30.8,4,13,12.9,4,-0.05,22,0,48.0,78.3,0,80,1.5,3,198,38.0,27,88.9,176,118.5,44,25.0,2,529,337,12.5,19.6,3.01,0,10.0,9,78.2,72.7,8,11,8.1,7,0.18,46,1,62.4,90.4,2,70,1.6,6,368,53.6,79,93.8,345,115.4,101,29.3,4,1061,384,4.9,13.4,3.08
Travis Kelce,7844,TE,KC,19,155,0,16,6.3,2,79.5,60.0,3,5,11.4,4,0.15,17,0,52.5,79.5,2,53,3.4,7,204,51.9,31,87.7,179,104.7,39,21.8,3,316,162,5.2,10.2,1.77,0,7.2,11,82.8,36.4,4,11,3.5,3,0.07,45,1,85.5,89.8,1,40,3.5,14,403,51.5,82,92.8,374,108.4,99,26.5,2,931,421,5.1,11.4,2.49
A.J. Brown,48327,WR,PHI,17,152,0,24,10.9,7,67.9,45.5,5,11,5.0,2,0.03,25,2,74.8,90.4,2,38,0.6,1,169,44.4,38,89.9,152,105.5,56,36.8,4,510,205,5.4,13.4,3.36,0,13.4,12,70.9,47.4,9,19,3.2,2,0.05,42,0,83.5,88.3,1,59,0.3,1,362,46.0,61,97.5,353,109.8,86,24.4,3,864,268,4.4,14.2,2.45
Michael Pittman Jr.,29049,WR,IND,16,150,0,14,7.8,2,67.9,50.0,6,12,7.3,3,0.07,16,1,73.9,76.4,2,75,0.0,0,190,45.5,38,92.6,176,90.5,56,31.8,3,388,193,5.1,10.2,2.2,0,7.2,3,77.1,60.0,9,15,3.0,2,-0.04,31,0,85.3,76.0,4,42,0.8,3,364,42.3,64,93.4,340,82.6,83,24.4,1,643,287,4.5,10.0,1.89
Mike Evans,8642,WR,TB,19,146,0,30,13.8,0,60.5,70.0,7,10,8.0,2,0.15,20,0,61.3,89.2,0,40,0.0,0,125,42.9,23,89.6,112,133.4,38,33.9,5,377,86,3.7,16.4,3.37,0,16.2,4,63.6,47.6,10,21,6.7,4,0.17,35,0,68.3,81.5,4,75,0.0,0,390,48.9,56,95.9,374,114.9,88,23.5,9,942,229,4.1,16.8,2.52
Keenan Allen,7857,WR,LAC,13,145,0,27,9.7,1,68.1,63.6,7,11,3.0,1,0.1,19,0,78.5,85.5,1,28,1.1,2,182,48.8,32,90.7,165,102.5,47,28.5,3,353,115,3.6,11.0,2.14,0,10.6,6,78.2,37.5,3,8,4.2,3,-0.02,32,2,80.4,82.5,1,42,0.3,1,311,46.3,68,95.2,296,108.8,87,29.4,2,820,257,3.8,12.1,2.77
Sam LaPorta,101690,TE,DET,20,144,0,11,7.8,3,69.4,60.0,6,10,7.4,2,0.14,17,0,63.2,75.2,0,35,11.4,19,166,46.8,25,83.7,139,105.1,36,25.9,2,230,87,3.5,9.2,1.65,0,6.7,9,78.3,57.1,4,7,5.3,4,0.09,36,0,76.0,85.5,3,48,8.7,35,401,51.7,72,88.5,355,113.0,92,25.9,7,762,340,4.7,10.6,2.15
Ja'Marr Chase,84270,WR,CIN,16,140,0,7,8.1,1,76.7,77.8,7,9,0.0,0,0.04,17,0,84.9,81.4,0,76,0.0,0,148,47.5,23,93.9,139,144.6,30,21.6,5,281,156,6.8,12.2,2.02,0,9.4,11,72.7,28.6,4,14,3.0,2,-0.01,38,1,85.0,85.7,2,63,0.0,0,357,48.0,64,95.8,342,92.4,88,25.7,1,748,329,5.1,11.7,2.19
Evan Engram,11778,TE,JAX,17,140,0,15,6.0,4,67.9,66.7,2,3,9.5,2,-0.14,14,0,59.2,78.6,3,34,4.8,7,146,42.6,19,83.6,122,76.6,28,23.0,2,227,144,7.6,11.9,1.86,0,4.9,8,86.2,66.7,4,6,4.7,4,-0.01,27,3,79.1,68.8,0,28,2.8,12,425,51.0,81,93.4,397,98.3,94,23.7,1,634,318,3.9,7.8,1.6
Chris Olave,84355,WR,NO,16,138,0,20,14.1,1,58.8,66.7,6,9,9.1,2,-0.06,17,0,59.2,89.1,0,51,0.0,0,127,40.8,20,94.5,120,127.3,34,28.3,3,382,112,5.6,19.1,3.18,0,13.2,3,64.0,28.6,4,14,6.8,4,0.02,34,0,67.2,75.9,3,42,0.0,0,349,44.1,55,97.4,340,78.8,86,25.3,2,624,208,3.8,11.3,1.84
Adam Thielen,8288,WR,CAR,17,136,0,5,8.6,1,76.1,33.3,2,6,0.0,0,-0.1,25,1,89.7,83.2,1,30,1.0,2,198,42.2,35,89.9,178,113.2,46,25.8,3,387,160,4.6,11.1,2.17,0,8.2,2,78.1,80.0,4,5,5.0,3,-0.22,28,1,75.0,71.4,0,32,0.5,2,385,38.4,57,96.1,370,102.6,73,19.7,1,550,153,2.7,9.6,1.49
Chris Godwin,11839,WR,TB,19,135,0,30,11.9,1,52.4,66.7,4,6,0.0,0,0.17,9,0,80.0,67.8,0,32,0.8,1,130,44.0,11,88.5,115,111.0,21,18.3,2,169,66,6.0,15.4,1.47,0,9.7,4,80.8,75.0,12,16,3.1,2,0.13,38,0,84.6,82.1,1,47,0.2,1,404,47.8,63,95.3,385,106.7,78,20.3,1,770,268,4.3,12.2,2.0
DeAndre Hopkins,7808,WR,TEN,17,133,0,31,14.4,1,56.0,50.0,2,4,0.0,0,-0.32,12,0,80.6,80.1,1,38,0.0,0,106,37.0,14,85.8,91,89.1,25,27.5,2,182,37,2.6,13.0,2.0,0,15.5,4,57.0,16.7,3,18,5.4,3,-0.1,31,0,74.1,82.9,5,61,0.0,0,329,38.4,53,93.9,309,76.5,93,30.1,4,780,169,3.2,14.7,2.52
Calvin Ridley,48262,WR,JAX,17,132,0,15,16.5,1,46.9,40.0,2,5,11.8,2,-0.09,11,0,51.2,69.2,1,45,0.0,0,152,43.7,15,88.8,135,78.8,32,23.7,2,229,53,3.5,15.3,1.7,0,13.1,3,62.7,42.9,6,14,7.1,4,-0.01,31,1,66.6,70.5,3,59,0.0,0,428,51.0,52,95.8,410,90.0,83,20.2,4,691,138,2.7,13.3,1.69
DJ Moore,48267,WR,CHI,17,132,0,6,15.3,5,66.7,50.0,5,10,3.2,1,-0.1,24,1,77.3,91.2,1,58,0.0,0,163,38.1,30,95.1,155,130.1,45,29.0,4,598,251,8.4,19.9,3.86,0,10.2,11,75.7,60.0,9,15,0.0,0,-0.06,34,0,90.6,80.7,1,36,0.0,0,373,46.3,56,96.8,361,107.0,74,20.5,2,683,256,4.6,12.2,1.89
David Njoku,11784,TE,CLV,17,131,0,8,2.0,3,77.8,0.0,0,1,6.7,1,-0.08,7,0,64.4,67.9,0,43,9.7,11,113,41.6,14,79.6,90,118.1,18,20.0,1,142,123,8.8,10.1,1.58,0,5.6,15,68.5,57.1,8,14,9.0,6,-0.23,24,2,52.9,69.4,3,45,10.0,43,428,40.1,61,86.0,368,84.5,89,24.2,2,681,448,7.3,11.2,1.85
Rashee Rice,97605,WR,KC,20,131,0,16,6.2,2,63.4,14.3,1,7,7.1,2,-0.02,15,1,64.1,70.1,1,39,0.5,1,187,47.1,26,92.5,173,107.3,41,23.7,4,295,199,7.7,11.3,1.71,0,3.8,13,87.1,,0,0,1.6,1,0.01,33,2,90.0,86.5,0,67,0.7,2,304,48.1,61,95.1,289,109.9,70,24.2,0,727,528,8.7,11.9,2.52
Terry McLaurin,48229,WR,WAS,17,128,0,32,15.9,0,48.8,58.3,7,12,13.0,3,-0.09,17,0,46.6,74.1,1,48,0.0,0,218,39.7,20,93.6,204,79.0,41,20.1,1,377,98,4.9,18.9,1.85,0,10.3,7,69.6,45.5,5,11,2.0,1,-0.2,26,0,90.4,71.6,2,36,0.0,0,365,46.7,48,95.6,349,88.6,69,19.8,2,512,211,4.4,10.7,1.47
