player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Calais Campbell,4364,ED,ATL,17,10,0,2,0,,,1.7,,,0,0,,48.0,0,,50.0,1,0,0.0,0,2,20.0,119,1,1,0,0,0,0,0.0,,0,0,12.0,100.0,4.2,8.0,8.0,0,0,0.0,67.7,0,13,20.0,1,0,118.8,1,8,80.0,190,8,4,1,0,13,1,1.6,13.0
Brandon Graham,5538,ED,PHI,18,22,0,24,0,,,2.6,,,0,0,,73.5,0,,0.0,0,0,0.0,0,2,9.1,76,3,2,0,0,0,0,0.0,,0,0,-7.0,0.0,8.5,,12.0,0,0,0.0,65.1,0,,0.0,0,0,39.6,0,12,54.5,142,1,1,1,0,0,0,0.0,
Kareem Jackson,5545,S,HST,11,296,0,13,0,6.1,71.4,98.3,11.0,7.9,0,1,14.3,64.5,1,19,0.0,0,1,90.2,5,59,19.9,60,2,6,7,1,48,27,0.9,9.6,0,1,4.7,100.0,100.0,23.1,23.1,0,0,0.0,66.7,0,18,4.2,1,0,97.6,7,172,58.1,172,3,22,7,0,52,19,0.3,7.4
Jerry Hughes,5556,ED,HST,17,9,0,13,0,,,7.3,,,0,0,,61.0,0,,0.0,0,0,0.0,0,3,33.3,41,2,1,0,0,0,0,0.0,,0,0,,,2.6,,,0,0,,64.0,0,,0.0,0,0,0.0,0,5,55.6,191,3,1,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,14,16,0,4,0,,,4.3,,,0,0,,60.5,0,,,0,0,0.0,0,2,12.5,46,0,0,0,0,0,0,0.0,,0,0,4.0,100.0,9.4,11.0,11.0,0,0,0.0,74.9,0,8,66.7,2,0,100.0,1,12,75.0,127,0,1,1,0,8,4,0.7,8.0
Patrick Peterson,6157,CB,PIT,18,716,0,25,0,12.6,60.7,99.6,12.4,7.5,0,2,7.1,30.0,0,52,50.0,4,2,135.4,17,230,32.1,231,1,4,28,4,290,120,1.4,17.1,0,2,9.2,45.8,98.2,33.6,15.4,0,3,12.5,77.3,2,29,16.7,4,2,23.6,11,388,54.2,395,7,18,24,0,104,82,0.3,9.5
Cameron Jordan,6176,ED,NO,17,11,0,20,0,,,5.4,,,0,0,,69.9,0,,50.0,1,0,0.0,0,8,72.7,148,0,1,0,0,0,0,0.0,,0,0,,,0.7,,,0,0,,80.1,0,,25.0,1,0,0.0,0,2,18.2,276,4,3,0,0,0,0,0.0,
Justin Houston,6222,ED,MIA,8,19,0,17,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,20,0,0,0,0,0,0,,,0,1,-7.0,100.0,19.3,16.0,16.0,0,0,0.0,83.5,0,0,0.0,0,0,79.2,1,17,89.5,88,4,3,1,0,0,7,0.0,0.0
Nick Bellore,6515,LB,SEA,5,4,0,29,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,1,0,0,0,0,0,0,0.0,
Stephon Gilmore,7016,CB,DAL,18,622,0,9,1,11.3,58.8,100.0,8.2,4.8,1,9,17.6,71.1,1,23,7.1,2,6,96.3,30,268,43.1,268,6,25,51,4,333,74,1.4,11.1,0,5,11.2,57.1,100.0,13.0,7.4,0,5,11.9,65.2,1,68,2.8,1,3,87.5,24,335,53.9,335,8,30,42,1,401,147,1.3,16.7
Bruce Irvin,7021,ED,MIA,4,5,0,17,0,5.0,0.0,3.8,,1.0,0,0,0.0,60.0,0,,,0,0,39.6,0,1,20.0,26,1,0,1,0,0,0,0.0,,0,0,10.0,100.0,18.2,4.0,4.0,0,0,0.0,41.9,0,19,,0,0,118.8,1,4,80.0,22,0,0,1,0,19,9,4.8,19.0
Melvin Ingram III,7024,ED,MIA,4,8,0,17,0,,,2.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,12.5,36,1,0,0,0,0,0,0.0,,0,0,21.0,100.0,19.4,6.0,6.0,0,0,0.0,39.2,0,26,0.0,0,0,118.8,1,6,75.0,31,0,1,1,0,26,5,4.3,26.0
Bobby Wagner,7050,LB,SEA,17,615,0,29,1,9.5,100.0,57.1,24.0,24.0,0,0,0.0,58.6,0,19,0.0,0,0,158.3,2,52,8.5,91,2,4,2,1,27,8,0.6,13.5,0,11,3.4,85.7,94.5,11.7,10.0,0,3,7.1,55.9,0,30,3.9,2,3,113.7,36,444,72.2,470,15,38,42,1,394,289,0.9,10.9
Lavonte David,7060,LB,TB,17,629,0,30,2,5.6,70.6,78.6,10.2,7.2,0,2,11.8,80.6,0,21,0.0,0,2,83.0,12,132,21.0,168,5,11,17,0,90,41,0.7,7.5,0,7,5.2,76.8,90.7,7.7,5.9,1,3,4.3,55.7,0,33,8.6,5,2,97.3,53,429,68.2,473,24,46,69,1,436,245,1.1,8.2
Demario Davis,7079,LB,NO,17,567,0,20,2,4.8,60.0,75.9,24.7,14.8,0,1,10.0,71.7,0,26,0.0,0,0,108.3,6,161,28.4,212,10,6,10,1,55,21,0.4,9.2,0,8,5.0,69.7,93.8,15.1,10.5,0,2,6.1,85.4,0,16,2.9,1,2,77.7,23,363,64.0,387,12,25,33,0,139,91,0.4,6.0
Rodney McLeod,7271,S,CLV,10,169,0,8,0,4.0,0.0,97.0,,29.0,0,0,0.0,51.3,0,,0.0,0,0,39.6,0,64,37.9,66,0,2,2,0,0,0,0.0,,0,1,7.6,62.5,97.1,19.4,12.1,1,1,12.5,53.2,0,17,0.0,0,1,78.6,5,99,58.6,102,1,3,8,0,47,31,0.5,9.4
Tashaun Gipson Sr.,7288,S,SF,19,802,0,28,1,7.7,42.9,95.5,51.0,21.9,0,1,14.3,70.0,0,16,11.1,1,1,54.5,3,171,21.3,179,2,7,7,0,28,19,0.2,9.3,0,6,15.9,61.5,98.3,33.6,20.7,1,3,11.5,60.4,1,52,7.9,3,2,85.1,16,563,70.2,573,5,29,26,1,218,74,0.4,13.6
Harrison Smith,7641,S,MIN,17,593,0,18,1,1.0,50.0,71.1,45.0,22.5,0,0,0.0,72.2,0,5,16.7,1,0,56.3,2,96,16.2,135,4,4,4,0,8,18,0.1,4.0,0,8,8.0,67.4,87.9,14.2,9.6,0,1,2.3,63.5,0,36,4.7,2,1,81.9,29,423,71.3,481,15,33,43,0,244,142,0.6,8.4
Justin Bethel,7654,CB,MIA,9,86,0,17,1,11.7,66.7,89.3,12.0,8.0,0,1,33.3,70.6,0,24,0.0,0,0,126.4,2,25,29.1,28,1,1,3,1,21,12,0.9,10.5,0,0,11.3,100.0,94.4,8.3,8.3,0,0,0.0,46.1,0,19,0.0,0,0,158.3,4,34,39.5,36,2,4,4,2,51,11,1.5,12.8
Darius Slay,7817,CB,PHI,13,616,0,24,0,13.5,54.5,100.0,9.7,5.3,1,5,15.2,35.7,0,35,6.3,1,3,88.2,18,187,30.4,187,2,15,33,1,242,97,1.4,13.4,0,1,9.6,74.2,100.0,13.0,9.6,0,5,16.1,84.4,2,39,10.3,3,2,79.9,23,312,50.6,312,7,25,31,1,239,78,0.8,10.4
Johnathan Hankins,7830,DI,DAL,15,2,0,9,0,,,0.0,,,0,0,,75.4,0,,0.0,0,0,0.0,0,0,0.0,79,1,1,0,0,0,0,,,0,0,,,1.9,,,0,0,,58.2,0,,,0,0,0.0,0,2,100.0,103,3,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,17,648,0,20,1,13.0,42.9,94.3,61.7,26.4,0,1,14.3,89.5,3,19,9.1,1,1,11.9,3,200,30.9,212,3,9,7,0,23,23,0.1,7.7,0,5,4.5,70.8,99.0,22.6,16.0,1,2,8.3,70.1,0,46,6.7,2,2,128.0,17,400,61.7,404,8,23,24,2,225,171,0.6,13.2
Logan Ryan,7864,S,SF,6,175,0,28,0,7.0,75.0,100.0,12.7,9.5,0,0,0.0,61.1,0,21,0.0,0,0,133.3,3,45,25.7,45,1,3,4,1,28,15,0.7,9.3,0,4,1.3,66.7,96.6,26.5,17.7,0,0,0.0,62.6,0,10,0.0,0,0,75.7,4,112,64.0,116,1,5,6,0,26,22,0.2,6.5
Duron Harmon,7872,S,CLV,7,139,0,8,0,4.0,100.0,96.3,16.0,16.0,0,0,0.0,61.1,1,12,0.0,0,0,98.6,3,52,37.4,54,2,3,3,1,23,19,0.5,7.7,0,2,4.0,80.0,93.3,17.0,13.6,0,0,0.0,61.3,0,18,0.0,0,0,92.5,4,70,50.4,75,2,7,5,0,31,12,0.5,7.8
A.J. Klein,7930,LB,BUF,2,56,0,4,0,1.0,50.0,84.6,8.0,4.0,0,1,50.0,86.1,0,0,0.0,0,0,56.3,1,11,19.6,13,1,1,2,0,0,1,0.0,0.0,0,2,5.3,87.5,97.0,4.3,3.8,0,0,0.0,30.1,0,29,0.0,0,0,110.9,7,32,57.1,33,0,3,8,0,85,43,2.8,12.1
Micah Hyde,7941,S,BUF,16,574,0,4,2,13.6,66.7,91.9,16.3,10.9,0,0,0.0,50.4,0,32,11.1,1,0,143.3,6,113,19.7,123,0,6,9,1,105,37,1.1,17.5,0,5,9.7,77.8,97.5,23.9,18.6,0,2,11.1,80.7,2,29,0.0,0,2,78.7,14,349,60.8,358,6,24,18,1,143,28,0.4,10.2
Jordan Poyer,8000,S,BUF,18,664,0,4,3,7.0,100.0,83.2,15.9,15.9,0,1,14.3,56.7,0,21,0.0,0,1,144.9,7,124,18.7,149,0,3,7,1,65,25,0.6,9.3,0,10,7.7,73.5,96.5,15.8,11.6,1,3,8.8,70.2,0,33,5.8,3,3,96.3,25,411,61.9,426,11,39,34,0,269,111,0.7,10.8
Mike Purcell,8530,DI,DEN,16,6,0,10,0,,,3.7,,,0,0,,59.6,0,,,0,0,0.0,0,2,33.3,54,0,0,0,0,0,0,0.0,,0,1,7.0,100.0,0.8,1.0,1.0,0,0,0.0,59.5,0,5,0.0,0,0,87.5,1,1,16.7,126,0,0,1,0,5,-2,5.0,5.0
Jadeveon Clowney,8636,ED,BLT,19,22,0,3,1,,,2.0,,,0,0,,63.5,0,,66.7,2,0,0.0,0,3,13.6,151,2,0,0,0,0,0,0.0,,0,3,9.0,100.0,6.6,9.0,9.0,0,0,0.0,55.4,0,10,14.3,1,0,102.1,2,19,86.4,289,4,3,2,0,17,-1,0.9,8.5
